[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
3162 0x0005cd52 0x0045d952 4   5    .text   ascii   u)j,
3163 0x0005cdf4 0x0045d9f4 4   5    .text   ascii   \a@LG
3164 0x0005ce2b 0x0045da2b 4   5    .text   ascii   j@SP
3165 0x0005cf40 0x0045db40 4   5    .text   ascii   t8V3
3166 0x0005cf45 0x0045db45 4   5    .text   ascii   9w(~
3167 0x0005cf56 0x0045db56 7   8    .text   ascii   FYY;w(|
3168 0x0005cfba 0x0045dbba 4   5    .text   ascii   t:V3
3169 0x0005cfbf 0x0045dbbf 4   5    .text   ascii   9w(~
3170 0x0005cfd4 0x0045dbd4 5   6    .text   ascii   F;w(|
3171 0x0005d007 0x0045dc07 4   5    .text   ascii   h@LF
3172 0x0005d0f0 0x0045dcf0 5   6    .text   ascii   t\nj8V
3173 0x0005d112 0x0045dd12 4   5    .text   ascii   t\rh(
3174 0x0005d153 0x0045dd53 6   7    .text   ascii   9F(~8j
3175 0x0005d188 0x0045dd88 6   8    .text   utf8    ;F(|Ћ} blocks=Basic Latin,Cyrillic
3176 0x0005d236 0x0045de36 9   11   .text   utf8    3ɋV<;V8}\t blocks=Basic Latin,Latin Extended-B
3177 0x0005d2b5 0x0045deb5 6   7    .text   ascii   9F(~8j
3178 0x0005d2ea 0x0045deea 6   8    .text   utf8    ;F(|Ћ} blocks=Basic Latin,Cyrillic
3179 0x0005d398 0x0045df98 9   11   .text   utf8    3ɋV<;V8}\t blocks=Basic Latin,Latin Extended-B
3180 0x0005d417 0x0045e017 6   7    .text   ascii   9F(~<j
3181 0x0005d450 0x0045e050 6   8    .text   utf8    ;F(|̋} blocks=Basic Latin,Combining Diacritical Marks
3182 0x0005d4fe 0x0045e0fe 9   11   .text   utf8    3ɋV<;V8}\t blocks=Basic Latin,Latin Extended-B
3183 0x0005d621 0x0045e221 6   8    .text   utf8    E\b_^[ǀ blocks=Basic Latin,Latin Extended-B
3184 0x0005d654 0x0045e254 6   8    .text   utf8    FH3ɇ\b^ blocks=Basic Latin,Latin Extended-B
3185 0x0005d692 0x0045e292 5   6    .text   ascii   E\bSVW
3186 0x0005d749 0x0045e349 4   5    .text   ascii   6j\fP
3187 0x0005d77f 0x0045e37f 4   5    .text   ascii   u0j,
3188 0x0005d815 0x0045e415 4   5    .text   ascii   ;\btP
3189 0x0005d8ed 0x0045e4ed 5   7    .text   utf8    3ɍF8A blocks=Basic Latin,Latin Extended-B
3190 0x0005d94d 0x0045e54d 4   5    .text   ascii   ]\bVW
3191 0x0005d981 0x0045e581 5   6    .text   ascii   9~\bt\n
3192 0x0005d99e 0x0045e59e 4   5    .text   ascii   QSVW
3193 0x0005d9e9 0x0045e5e9 4   6    .text   utf8    3ҋv\b blocks=Basic Latin,Cyrillic
3194 0x0005da61 0x0045e661 5   7    .text   utf8    }\b3\tE
3195 0x0005db6b 0x0045e76b 5   6    .text   ascii   AP;AL
3196 0x0005db9e 0x0045e79e 6   7    .text   ascii   F\f9E\br
3197 0x0005dbc8 0x0045e7c8 4   5    .text   ascii   4SVW
3198 0x0005dc4b 0x0045e84b 4   6    .text   utf8    tɉu\b blocks=Basic Latin,Latin Extended-B
3199 0x0005dc64 0x0045e864 7   8    .text   ascii   u78E\ft2
3200 0x0005dccc 0x0045e8cc 5   6    .text   ascii   BP;BL
3201 0x0005dce8 0x0045e8e8 9   12   .text   utf8    |ˋVP3\vNL; blocks=Basic Latin,Spacing Modifier Letters
3202 0x0005dcf7 0x0045e8f7 4   6    .text   utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
3203 0x0005dd85 0x0045e985 10  11   .text   ascii   O#}\f;V<|\a2
3204 0x0005dd99 0x0045e999 4   5    .text   ascii   F4S;
3205 0x0005ddb7 0x0045e9b7 5   7    .text   utf8    \v3ҋE\b blocks=Basic Latin,Cyrillic
3206 0x0005ddf3 0x0045e9f3 5   6    .text   ascii   ;FD~Y
3207 0x0005de13 0x0045ea13 5   6    .text   ascii   ;FD~G
3208 0x0005de22 0x0045ea22 8   10   .text   utf8    u;3ҍNHB3 blocks=Basic Latin,Cyrillic
3209 0x0005ded4 0x0045ead4 4   5    .text   ascii   E\bVj
3210 0x0005defc 0x0045eafc 4   5    .text   ascii   u\bWj
3211 0x0005df1d 0x0045eb1d 4   5    .text   ascii   W;FL
3212 0x0005e01f 0x0045ec1f 4   6    .text   utf8    3\tF\b
3213 0x0005e0a7 0x0045eca7 4   5    .text   ascii   h|LG
3214 0x0005e0b4 0x0045ecb4 4   5    .text   ascii   h \nH
3215 0x0005e0d6 0x0045ecd6 5   7    .text   utf8    1QhԶE blocks=Basic Latin,Armenian
3216 0x0005e0fa 0x0045ecfa 4   5    .text   ascii   E\bSV
3217 0x0005e24a 0x0045ee4a 4   5    .text   ascii   ~98]
3218 0x0005e26d 0x0045ee6d 5   6    .text   ascii   HP;HL
3219 0x0005e315 0x0045ef15 4   5    .text   ascii   M\f+~
3220 0x0005e3ac 0x0045efac 4   5    .text   ascii   _^[]
3221 0x0005e3e2 0x0045efe2 5   6    .text   ascii   E\b_^]
3222 0x0005e489 0x0045f089 6   8    .text   utf8    I\3\vU\f
3223 0x0005e508 0x0045f108 7   8    .text   ascii   F88]\ft/
3224 0x0005e53b 0x0045f13b 5   6    .text   ascii   ^\b_^[
3225 0x0005e840 0x0045f440 4   5    .text   ascii   |%hT
3226 0x0005e8ee 0x0045f4ee 4   5    .text   ascii   tJVW
3227 0x0005e91a 0x0045f51a 6   7    .text   ascii   C,H_^u
3228 0x0005e9d4 0x0045f5d4 4   5    .text   ascii   \ahMG
3229 0x0005ebff 0x0045f7ff 5   6    .text   ascii   E\bYY]
3230 0x0005ec2f 0x0045f82f 4   6    .text   utf8    A\b3ɨ blocks=Basic Latin,IPA Extensions
3231 0x0005ed56 0x0045f956 4   5    .text   ascii   E\bY]
3232 0x0005ed79 0x0045f979 4   5    .text   ascii   E\bSV
3233 0x0005ede9 0x0045f9e9 4   5    .text   ascii   E\bSV
3234 0x0005ee67 0x0045fa67 5   7    .text   utf8    3ۍOLV blocks=Basic Latin,Arabic
3235 0x0005ef26 0x0045fb26 5   7    .text   utf8    Op3\t\a
3236 0x0005ef42 0x0045fb42 4   5    .text   ascii   GH_^
3237 0x0005effc 0x0045fbfc 4   5    .text   ascii   ;3|m
3238 0x0005f027 0x0045fc27 4   5    .text   ascii   U\bYY
3239 0x0005f094 0x0045fc94 4   5    .text   ascii   hP%H
3240 0x0005f12c 0x0045fd2c 5   7    .text   utf8    #N\b3ۍ blocks=Basic Latin,Arabic
3241 0x0005f162 0x0045fd62 4   5    .text   ascii   _^[]
3242 0x0005f1b5 0x0045fdb5 5   7    .text   utf8    N\b3ۋF blocks=Basic Latin,Arabic
3243 0x0005f1f7 0x0045fdf7 4   5    .text   ascii   _^[]
3244 0x0005f220 0x0045fe20 6   8    .text   utf8    FHS3ۉE blocks=Basic Latin,Arabic
3245 0x0005f22d 0x0045fe2d 7   8    .text   ascii   tM9Xp~H
3246 0x0005f24c 0x0045fe4c 4   5    .text   ascii   8Y`t
3247 0x0005f2a4 0x0045fea4 7   8    .text   ascii   G\b9H\fu\b
3248 0x0005f371 0x0045ff71 5   6    .text   ascii   uNSVW
3249 0x0005f521 0x00460121 4   5    .text   ascii   QSVW
3250 0x0005f560 0x00460160 4   5    .text   ascii   $_^[
3251 0x0005f57b 0x0046017b 5   6    .text   ascii   F\bTGG
3252 0x0005f581 0x00460181 5   6    .text   ascii   t\njPV
3253 0x0005f5b3 0x004601b3 4   5    .text   ascii   9H\bt
3254 0x0005f5de 0x004601de 4   5    .text   ascii   h(CG
3255 0x0005f5eb 0x004601eb 4   5    .text   ascii   h \nH
3256 0x0005f604 0x00460204 4   5    .text   ascii   ALHu
3257 0x0005f610 0x00460210 4   6    .text   utf8    ]ÍA\b blocks=Basic Latin,Latin-1 Supplement
3258 0x0005f693 0x00460293 5   6    .text   ascii   F\bTGG
3259 0x0005f699 0x00460299 5   6    .text   ascii   t\njXV
3260 0x0005f746 0x00460346 4   5    .text   ascii   ;sPt
3261 0x0005f790 0x00460390 4   5    .text   ascii   h \nH
3262 0x0005f7a7 0x004603a7 4   5    .text   ascii   ]\bVW
3263 0x0005f80f 0x0046040f 4   5    .text   ascii   ]\bVW
3264 0x0005f843 0x00460443 4   5    .text   ascii   9wPt
3265 0x0005f860 0x00460460 4   5    .text   ascii   GLHu
3266 0x0005f89c 0x0046049c 4   5    .text   ascii   h \nH
3267 0x0005f8cf 0x004604cf 6   7    .text   ascii   t\v;GPu
3268 0x0005f900 0x00460500 4   5    .text   ascii   ]\bVW
3269 0x0005f932 0x00460532 4   5    .text   ascii   9GPt
3270 0x0005f96a 0x0046056a 4   5    .text   ascii   h \nH
3271 0x0005f9dd 0x004605dd 4   5    .text   ascii   [_^]
3272 0x0005fa12 0x00460612 5   6    .text   ascii   G0_^]
3273 0x0005fa31 0x00460631 6   7    .text   ascii   \r9~Tu\r
3274 0x0005fa3f 0x0046063f 4   5    .text   ascii   9~Pu
3275 0x0005faaa 0x004606aa 4   5    .text   ascii   YYuX
3276 0x0005fb01 0x00460701 4   5    .text   ascii   9{$t
3277 0x0005fb0b 0x0046070b 4   6    .text   utf8    ]Ãa@ blocks=Basic Latin,Latin-1 Supplement
3278 0x0005fb65 0x00460765 4   5    .text   ascii   h@NG
3279 0x0005fb72 0x00460772 4   5    .text   ascii   h \nH
3280 0x0005fb86 0x00460786 4   5    .text   ascii   \fSVW
3281 0x0005fbd5 0x004607d5 7   9    .text   utf8    u\b3ҍC B blocks=Basic Latin,Cyrillic
3282 0x0005fc02 0x00460802 5   7    .text   utf8    C 3ɇ\b blocks=Basic Latin,Latin Extended-B
3283 0x0005fc27 0x00460827 4   5    .text   ascii   h \nH
3284 0x0005fc9d 0x0046089d 5   6    .text   ascii   Vh*\nF
3285 0x0005fcfc 0x004608fc 4   5    .text   ascii   h\b&H
3286 0x0005fd2b 0x0046092b 4   5    .text   ascii   h@LF
3287 0x0005fd50 0x00460950 4   5    .text   ascii   \aPNG
3288 0x0005fd97 0x00460997 5   6    .text   ascii   t\nj0V
3289 0x0005fe3f 0x00460a3f 4   6    .text   utf8    3ɍG  blocks=Basic Latin,Latin Extended-B
3290 0x0005ff03 0x00460b03 5   6    .text   ascii   @,;B\b
3291 0x0005ff39 0x00460b39 5   6    .text   ascii   A\b;B\b
3292 0x0005ff7b 0x00460b7b 6   8    .text   utf8    ǉw\b_^] blocks=Latin Extended-B,Basic Latin
3293 0x000600d8 0x00460cd8 4   5    .text   ascii   {\fer
3294 0x0006011b 0x00460d1b 5   8    .text   utf8    C\f봃c\f blocks=Basic Latin,Hangul Syllables
3295 0x00060134 0x00460d34 4   6    .text   utf8    3Ƀ}\f blocks=Basic Latin,Latin Extended-B
3296 0x00060157 0x00460d57 4   5    .text   ascii   ;U\ft
3297 0x00060193 0x00460d93 4   5    .text   ascii   u\bPW
3298 0x000601b1 0x00460db1 4   5    .text   ascii   _^[]
3299 0x000601d1 0x00460dd1 4   5    .text   ascii   u\bPW
3300 0x000601ef 0x00460def 4   5    .text   ascii   _^[]
3301 0x0006024d 0x00460e4d 4   5    .text   ascii   ]\fVW
3302 0x000602c2 0x00460ec2 4   5    .text   ascii   _^[]
3303 0x0006030c 0x00460f0c 4   5    .text   ascii   ]\fVW
3304 0x0006037b 0x00460f7b 4   5    .text   ascii   _^[]
3305 0x00060488 0x00461088 5   7    .text   utf8    Y^ËN\b blocks=Basic Latin,Latin-1 Supplement
3306 0x00060634 0x00461234 5   6    .text   ascii   F -\eF
3307 0x0006065f 0x0046125f 4   5    .text   ascii   >\btO
3308 0x000606e7 0x004612e7 4   5    .text   ascii   E\fSW
3309 0x000607ce 0x004613ce 4   5    .text   ascii   u\n8E
3310 0x000607ed 0x004613ed 7   11   .text   utf8    MԉM؋M܉M blocks=Basic Latin,Cyrillic Supplement,Arabic,Syriac
3311 0x0006096e 0x0046156e 4   6    .text   utf8    ;}܋\v blocks=Basic Latin,Syriac
3312 0x000609b3 0x004615b3 4   5    .text   ascii   E\fSW
3313 0x00060a9a 0x0046169a 4   5    .text   ascii   u\n8E
3314 0x00060aee 0x004616ee 4   5    .text   ascii   PRQW
3315 0x00060b21 0x00461721 4   5    .text   ascii   PRQW
3316 0x00060f30 0x00461b30 4   5    .text   ascii   QQSV
3317 0x00061045 0x00461c45 4   5    .text   ascii   QQSV
3318 0x0006135a 0x00461f5a 4   5    .text   ascii   ;u\fu
3319 0x00061367 0x00461f67 4   5    .text   ascii   V\fS3
3320 0x000613a5 0x00461fa5 4   5    .text   ascii   t,8]
3321 0x000613d5 0x00461fd5 4   5    .text   ascii   [_^]
3322 0x000613eb 0x00461feb 4   5    .text   ascii   ;E\ft
3323 0x00061433 0x00462033 5   7    .text   utf8    ϋGxPj blocks=Greek and Coptic,Basic Latin
3324 0x00061588 0x00462188 5   6    .text   ascii   Y__^[
3325 0x000615ad 0x004621ad 10  11   .text   ascii   D$\f+d$\fSVW
3326 0x000615e1 0x004621e1 10  11   .text   ascii   D$\f+d$\fSVW
3327 0x00061618 0x00462218 10  11   .text   ascii   D$\f+d$\fSVW
3328 0x00061646 0x00462246 6   7    .text   ascii   j\fhp&H
3329 0x000616da 0x004622da 5   6    .text   ascii   tB+}\f
3330 0x000616fe 0x004622fe 8   11   .text   utf8    E܋E܁8csm blocks=Basic Latin,Syriac
3331 0x0006174e 0x0046234e 4   5    .text   ascii   D$\f3
3332 0x00061756 0x00462356 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
3333 0x0006179f 0x0046239f 7   8    .text   ascii   ;T$\fw\br
3334 0x000617a7 0x004623a7 10  11   .text   ascii   ;D$\bv\tN+D$
3335 0x000617b8 0x004623b8 8   9    .text   ascii   +D$\b\eT$\f
3336 0x000617c8 0x004623c8 4   9    .text   utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
3337 0x000617e2 0x004623e2 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
3338 0x000617f8 0x004623f8 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
3339 0x0006180f 0x0046240f 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
3340 0x00061818 0x00462418 7   9    .text   utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
3341 0x0006182d 0x0046242d 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
3342 0x00061837 0x00462437 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
3343 0x00061867 0x00462467 4   6    .text   utf8    ؋D$\f blocks=Arabic,Basic Latin
3344 0x000618a4 0x004624a4 9   10   .text   ascii   w\br\a;D$\fv
3345 0x000618fe 0x004624fe 4   5    .text   ascii   _^[]
3346 0x0006191a 0x0046251a 4   5    .text   ascii   h0'C
3347 0x00061928 0x00462528 4   5    .text   ascii   \bSVW
3348 0x00061991 0x00462591 4   5    .text   ascii   Y_^[
3349 0x000619c2 0x004625c2 4   5    .text   ascii   Y_^[
3350 0x000619db 0x004625db 4   5    .text   ascii   f9\bt
3351 0x000619e2 0x004625e2 4   6    .text   utf8    ]ËH< blocks=Basic Latin,Latin-1 Supplement
3352 0x00061a10 0x00462610 4   5    .text   ascii   WVS3
3353 0x00061a9b 0x0046269b 7   8    .text   ascii   w\br\a;D$
3354 0x00061b30 0x00462730 4   5    .text   ascii   h0'C
3355 0x00061c1d 0x0046281d 9   10   .text   ascii   ;D$\fv\b+D$
3356 0x00061c2b 0x0046282b 7   8    .text   ascii   +D$\f\eT$
3357 0x00061c50 0x00462850 4   5    .text   ascii   WVU3
3358 0x00061cf6 0x004628f6 6   7    .text   ascii   v\tN+D$
3359 0x00061d16 0x00462916 4   9    .text   utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
3360 0x00061d59 0x00462959 4   5    .text   ascii   <$Xf
3361 0x00061dfe 0x004629fe 4   5    .text   ascii   D$\f3
3362 0x00061e3c 0x00462a3c 7   8    .text   ascii   ;T$\fw\br
3363 0x00061e44 0x00462a44 9   10   .text   ascii   ;D$\bv\b+D$
3364 0x00061e52 0x00462a52 8   9    .text   ascii   +D$\b\eT$\f
3365 0x00061f3f 0x00462b3f 5   6    .text   ascii   ~\fjTj
3366 0x00061fdc 0x00462bdc 4   5    .text   ascii   K\fSQ
3367 0x00062036 0x00462c36 4   5    .text   ascii   H\fPQ
3368 0x0006209b 0x00462c9b 5   7    .text   utf8    ]\b3ҋF blocks=Basic Latin,Cyrillic
3369 0x000620b3 0x00462cb3 4   5    .text   ascii   ;csm
3370 0x00062154 0x00462d54 4   5    .text   ascii   hT\tH
3371 0x0006216d 0x00462d6d 4   5    .text   ascii   h@LF
3372 0x00062199 0x00462d99 4   5    .text   ascii   ?csm
3373 0x0006223e 0x00462e3e 6   9    .text   utf8    t\nj`V英 blocks=Basic Latin,CJK Unified Ideographs
3374 0x00062267 0x00462e67 5   6    .text   ascii   t\nj\bV
3375 0x000623b1 0x00462fb1 5   7    .text   utf8    U\b3ɉ\n blocks=Basic Latin,Latin Extended-B
3376 0x000623fb 0x00462ffb 4   5    .text   ascii   90tt
3377 0x00062404 0x00463004 4   5    .text   ascii   90uk
3378 0x00062410 0x00463010 4   5    .text   ascii   8MOC
3379 0x0006241f 0x0046301f 4   5    .text   ascii   8RCC
3380 0x000624e8 0x004630e8 4   5    .text   ascii   hT\tH
3381 0x00062555 0x00463155 4   5    .text   ascii   ht\fH
3382 0x000625c3 0x004631c3 4   6    .text   utf8    Eȋ@\f blocks=Basic Latin,Latin Extended-B
3383 0x0006263a 0x0046323a 4   5    .text   ascii   h`JH
3384 0x0006263f 0x0046323f 4   5    .text   ascii   PVj\b
3385 0x0006264d 0x0046324d 7   8    .text   ascii   t\v)5`JH
3386 0x000626e0 0x004632e0 5   6    .text   ascii   E\bSVW
3387 0x00062700 0x00463300 5   6    .text   ascii   ;M\fr\v
3388 0x00062712 0x00463312 4   5    .text   ascii   _^[]
3389 0x00062732 0x00463332 4   5    .text   ascii   }\bww
3390 0x0006282c 0x0046342c 4   8    .text   utf8    뽋}\b3 blocks=Hangul Syllables,Basic Latin
3391 0x000628c8 0x004634c8 6   8    .text   utf8    3\nD$\bS
3392 0x000628fd 0x004634fd 4   6    .text   utf8    V\v؋\n blocks=Basic Latin,Arabic
3393 0x0006293c 0x0046353c 4   5    .text   ascii   ^_[3
3394 0x00062979 0x00463579 5   7    .text   utf8    ^_[ÍB blocks=Basic Latin,Latin-1 Supplement
3395 0x00062980 0x00463580 5   7    .text   utf8    ^_[ÍB blocks=Basic Latin,Latin-1 Supplement
3396 0x000629af 0x004635af 4   5    .text   ascii   S\f|F
3397 0x00062a85 0x00463685 4   5    .text   ascii   +Q\b+
3398 0x00062b5b 0x0046375b 4   5    .text   ascii   YY;E
3399 0x00062bdf 0x004637df 5   6    .text   ascii   E\bSVW
3400 0x00062beb 0x004637eb 5   7    .text   utf8    p\b3\tU
3401 0x00062d7e 0x0046397e 4   5    .text   ascii   YY;E
3402 0x00062eb1 0x00463ab1 4   5    .text   ascii   h8)H
3403 0x00062edd 0x00463add 4   5    .text   ascii   +}\f+
3404 0x00062f42 0x00463b42 4   5    .text   ascii   h\bOG
3405 0x00062f88 0x00463b88 6   7    .text   ascii   YYhT)H
3406 0x00062fd1 0x00463bd1 5   6    .text   ascii   d$\buA
3407 0x0006300d 0x00463c0d 4   5    .text   ascii   d$\bu
3408 0x00063042 0x00463c42 4   6    .text   utf8    \fÍT$ blocks=Basic Latin,Latin-1 Supplement
3409 0x00063053 0x00463c53 6   7    .text   ascii   D$\ftQf
3410 0x00063081 0x00463c81 4   5    .text   ascii   \r OG
3411 0x000630de 0x00463cde 4   5    .text   ascii   \r OG
3412 0x0006311c 0x00463d1c 5   6    .text   ascii   (5pOG
3413 0x000631bd 0x00463dbd 5   6    .text   ascii   o5POG
3414 0x000631c9 0x00463dc9 5   6    .text   ascii   o5`OG
3415 0x00063234 0x00463e34 5   6    .text   ascii   o5@OG
3416 0x0006331b 0x00463f1b 4   5    .text   ascii   D$\b=
3417 0x0006335c 0x00463f5c 4   5    .text   ascii   D$\b=
3418 0x0006337f 0x00463f7f 4   5    .text   ascii   D$\b%
3419 0x000633cc 0x00463fcc 4   5    .text   ascii   ZYXu
3420 0x0006340f 0x0046400f 5   6    .text   ascii   ZYXu\e
3421 0x00063486 0x00464086 4   6    .text   utf8    uOݕ0 blocks=Basic Latin,Arabic Supplement
3422 0x000634ed 0x004640ed 4   5    .text   ascii   t\ef=
3423 0x00063531 0x00464131 4   5    .text   ascii   \rXPG
3424 0x0006355f 0x0046415f 4   5    .text   ascii   \rPPG
3425 0x0006372d 0x0046432d 5   7    .text   utf8    \bËT$\b blocks=Basic Latin,Latin-1 Supplement
3426 0x0006382d 0x0046442d 5   7    .text   utf8    \bËT$\b blocks=Basic Latin,Latin-1 Supplement
3427 0x0006393d 0x0046453d 5   7    .text   utf8    \bËT$\b blocks=Basic Latin,Latin-1 Supplement
3428 0x000639ad 0x004645ad 5   7    .text   utf8    \bËT$\b blocks=Basic Latin,Latin-1 Supplement
3429 0x00063a0d 0x0046460d 4   6    .text   utf8    \bËM\b blocks=Basic Latin,Latin-1 Supplement
3430 0x00063aef 0x004646ef 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
3431 0x00063b0f 0x0046470f 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
3432 0x00063b33 0x00464733 4   7    .text   utf8    E\bP蘘 blocks=Basic Latin,CJK Unified Ideographs
3433 0x00063b3d 0x0046473d 5   7    .text   utf8    \bËT$\b blocks=Basic Latin,Latin-1 Supplement
3434 0x00063bd5 0x004647d5 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3435 0x00063c05 0x00464805 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3436 0x00063c35 0x00464835 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3437 0x00063dd7 0x004649d7 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3438 0x0006403f 0x00464c3f 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
3439 0x00064115 0x00464d15 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3440 0x0006415b 0x00464d5b 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3441 0x0006419b 0x00464d9b 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3442 0x000641d5 0x00464dd5 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3443 0x00064205 0x00464e05 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3444 0x0006423d 0x00464e3d 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3445 0x0006428f 0x00464e8f 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
3446 0x000642af 0x00464eaf 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
3447 0x000642cf 0x00464ecf 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
3448 0x00064338 0x00464f38 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3449 0x0006439d 0x00464f9d 5   7    .text   utf8    \bËT$\b blocks=Basic Latin,Latin-1 Supplement
3450 0x000643c5 0x00464fc5 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3451 0x000643ef 0x00464fef 4   6    .text   utf8    ̋E\bP blocks=Combining Diacritical Marks,Basic Latin
3452 0x000643ff 0x00464fff 5   7    .text   utf8    \bËT$\b blocks=Basic Latin,Latin-1 Supplement
3453 0x000645d8 0x004651d8 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3454 0x00064624 0x00465224 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3455 0x0006465b 0x0046525b 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3456 0x0006468b 0x0046528b 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3457 0x000646d7 0x004652d7 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3458 0x0006471b 0x0046531b 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3459 0x00064755 0x00465355 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3460 0x0006477f 0x0046537f 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
3461 0x000647b1 0x004653b1 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3462 0x000647e3 0x004653e3 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3463 0x00064847 0x00465447 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3464 0x0006489f 0x0046549f 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3465 0x000648de 0x004654de 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3466 0x0006491b 0x0046551b 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3467 0x000649c9 0x004655c9 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3468 0x00064a07 0x00465607 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3469 0x00064a5c 0x0046565c 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3470 0x00064ae5 0x004656e5 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3471 0x00064b5f 0x0046575f 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
3472 0x00064b95 0x00465795 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3473 0x00064bfd 0x004657fd 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3474 0x00064c38 0x00465838 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3475 0x00064ca3 0x004658a3 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3476 0x00064d03 0x00465903 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3477 0x00064d66 0x00465966 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3478 0x00064dd3 0x004659d3 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3479 0x00064e36 0x00465a36 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3480 0x00064ea6 0x00465aa6 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3481 0x00064f16 0x00465b16 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3482 0x00064f4d 0x00465b4d 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3483 0x00064faa 0x00465baa 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3484 0x000650d6 0x00465cd6 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
3485 0x00065119 0x00465d19 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
