[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000cf 0x000000cf 4   6            utf8    \r+ń\r blocks=Basic Latin,Latin Extended-A
2    0x00000117 0x00000117 5   6            ascii   \rRich
3    0x00000230 0x00000230 5   6            ascii   .text
4    0x00000257 0x00000257 7   8            ascii   `.rdata
5    0x0000027f 0x0000027f 6   7            ascii   @.data
6    0x000002a8 0x000002a8 4   5            ascii   poly
7    0x000002d0 0x000002d0 5   6            ascii   .rsrc
8    0x000002f7 0x000002f7 7   8            ascii   @.reloc
40   0x00000c59 0x10001859 4   5    .text   ascii   t$Wh
41   0x00000c65 0x10001865 4   5    .text   ascii   7j\fV
42   0x00000d73 0x10001973 5   6    .text   ascii   t\tWVS
43   0x00000d7c 0x1000197c 5   6    .text   ascii   t\fWVS
44   0x00000d8d 0x1000198d 4   5    .text   ascii   NWVS
45   0x00000d9a 0x1000199a 4   5    .text   ascii   E\fu\f
46   0x00000da0 0x100019a0 5   6    .text   ascii   u7WPS
47   0x00000db1 0x100019b1 5   6    .text   ascii   u&WVS
48   0x00000dcf 0x100019cf 5   6    .text   ascii   t\bWVS
49   0x00000dda 0x100019da 6   7    .text   ascii   E\f_^[]
50   0x00000e02 0x10001a02 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
51   0x00000e18 0x10001a18 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
52   0x00000e42 0x10001a42 5   6    .text   ascii   M\b+M\f
53   0x00000e6d 0x10001a6d 4   5    .text   ascii   8csm
54   0x00000ead 0x10001aad 5   6    .text   ascii   x\v)u\b
55   0x00000f87 0x10001b87 4   5    .text   ascii   Y_^[
56   0x00000fb0 0x10001bb0 4   5    .text   ascii   WVS3
57   0x0000103b 0x10001c3b 7   8    .text   ascii   w\br\a;D$
58   0x00001630 0x10002430 4   5    .rdata  ascii   @J7<
59   0x0000166c 0x1000246c 4   8    .rdata  utf8    Oծ8ᶇ blocks=Basic Latin,Armenian,Phonetic Extensions Supplement
60   0x0000178f 0x1000258f 7   9    .rdata  utf8    V`=\vߏT\e blocks=Basic Latin,NKo
61   0x00002976 0x10003776 11  12   .rdata  ascii   GetFileSize
62   0x00002984 0x10003784 14  15   .rdata  ascii   SetFilePointer
63   0x00002996 0x10003796 12  13   .rdata  ascii   SetEndOfFile
64   0x000029a6 0x100037a6 9   10   .rdata  ascii   WriteFile
65   0x000029b2 0x100037b2 8   9    .rdata  ascii   ReadFile
66   0x000029be 0x100037be 11  12   .rdata  ascii   CreateFileW
67   0x000029cc 0x100037cc 11  12   .rdata  ascii   CloseHandle
68   0x000029da 0x100037da 20  21   .rdata  ascii   GetWindowsDirectoryW
69   0x000029f2 0x100037f2 11  12   .rdata  ascii   FreeLibrary
70   0x00002a00 0x10003800 25  26   .rdata  ascii   InitializeCriticalSection
71   0x00002a1c 0x1000381c 12  13   .rdata  ascii   LoadLibraryW
72   0x00002a2c 0x1000382c 5   6    .rdata  ascii   Sleep
73   0x00002a34 0x10003834 20  21   .rdata  ascii   LeaveCriticalSection
74   0x00002a4c 0x1000384c 19  20   .rdata  ascii   MultiByteToWideChar
75   0x00002a62 0x10003862 12  13   .rdata  ascii   GetTempPathW
76   0x00002a72 0x10003872 12  13   .rdata  ascii   GetLastError
77   0x00002a82 0x10003882 20  21   .rdata  ascii   EnterCriticalSection
78   0x00002a9a 0x1000389a 21  22   .rdata  ascii   DeleteCriticalSection
79   0x00002ab2 0x100038b2 11  12   .rdata  ascii   DeleteFileW
80   0x00002ac0 0x100038c0 9   10   .rdata  ascii   LocalFree
81   0x00002acc 0x100038cc 20  21   .rdata  ascii   SystemTimeToFileTime
82   0x00002ae4 0x100038e4 12  13   .rdata  ascii   GetLocalTime
83   0x00002af4 0x100038f4 14  15   .rdata  ascii   FindFirstFileW
84   0x00002b06 0x10003906 13  14   .rdata  ascii   PeekNamedPipe
85   0x00002b16 0x10003916 14  15   .rdata  ascii   CreateProcessW
86   0x00002b28 0x10003928 17  18   .rdata  ascii   GetCurrentProcess
87   0x00002b3c 0x1000393c 16  17   .rdata  ascii   CreateDirectoryW
88   0x00002b50 0x10003950 19  20   .rdata  ascii   WideCharToMultiByte
89   0x00002b66 0x10003966 9   10   .rdata  ascii   CopyFileW
90   0x00002b72 0x10003972 16  17   .rdata  ascii   TerminateProcess
91   0x00002b86 0x10003986 20  21   .rdata  ascii   FileTimeToSystemTime
92   0x00002b9e 0x1000399e 20  21   .rdata  ascii   GetCurrentDirectoryW
93   0x00002bb6 0x100039b6 9   10   .rdata  ascii   MoveFileW
94   0x00002bc2 0x100039c2 17  18   .rdata  ascii   GetProcessVersion
95   0x00002bd6 0x100039d6 9   10   .rdata  ascii   FindClose
96   0x00002be2 0x100039e2 10  11   .rdata  ascii   LocalAlloc
97   0x00002bf0 0x100039f0 20  21   .rdata  ascii   SetCurrentDirectoryW
98   0x00002c08 0x10003a08 16  17   .rdata  ascii   RemoveDirectoryW
99   0x00002c1c 0x10003a1c 10  11   .rdata  ascii   CreatePipe
100  0x00002c2a 0x10003a2a 13  14   .rdata  ascii   FindNextFileW
101  0x00002c3a 0x10003a3a 15  16   .rdata  ascii   DuplicateHandle
102  0x00002c4c 0x10003a4c 13  14   .rdata  ascii   GetDriveTypeA
103  0x00002c5c 0x10003a5c 13  14   .rdata  ascii   GetFileSizeEx
104  0x00002c6c 0x10003a6c 11  12   .rdata  ascii   GetFileTime
105  0x00002c7a 0x10003a7a 19  20   .rdata  ascii   GetDiskFreeSpaceExA
106  0x00002c90 0x10003a90 15  16   .rdata  ascii   GetCommandLineW
107  0x00002ca2 0x10003aa2 11  12   .rdata  ascii   CreateFileA
108  0x00002cb0 0x10003ab0 12  13   .rdata  ascii   SetErrorMode
109  0x00002cc0 0x10003ac0 25  26   .rdata  ascii   ExpandEnvironmentStringsA
110  0x00002cdc 0x10003adc 14  15   .rdata  ascii   FormatMessageA
111  0x00002cee 0x10003aee 11  12   .rdata  ascii   OpenProcess
112  0x00002cfc 0x10003afc 14  15   .rdata  ascii   FormatMessageW
113  0x00002d0e 0x10003b0e 16  17   .rdata  ascii   CreateDirectoryA
114  0x00002d22 0x10003b22 12  13   .rdata  ascii   SetLastError
115  0x00002d32 0x10003b32 12  13   .rdata  ascii   CreateMutexA
116  0x00002d42 0x10003b42 13  14   .rdata  ascii   GetVersionExA
117  0x00002d52 0x10003b52 13  14   .rdata  ascii   GetSystemTime
118  0x00002d62 0x10003b62 11  12   .rdata  ascii   DeleteFileA
119  0x00002d70 0x10003b70 19  20   .rdata  ascii   WaitForSingleObject
120  0x00002d86 0x10003b86 12  13   .rdata  ascii   GetTickCount
121  0x00002d96 0x10003b96 10  11   .rdata  ascii   ExitThread
122  0x00002da4 0x10003ba4 12  13   .rdata  ascii   CreateThread
123  0x00002db4 0x10003bb4 14  15   .rdata  ascii   GetProcAddress
124  0x00002dc6 0x10003bc6 12  13   .rdata  ascii   LoadLibraryA
125  0x00002dd6 0x10003bd6 18  19   .rdata  ascii   GetCurrentThreadId
126  0x00002dec 0x10003bec 16  17   .rdata  ascii   GetModuleHandleA
127  0x00002e00 0x10003c00 19  20   .rdata  ascii   GetSystemDirectoryW
128  0x00002e16 0x10003c16 14  15   .rdata  ascii   CreateProcessA
129  0x00002e28 0x10003c28 13  14   .rdata  ascii   GetSystemInfo
130  0x00002e38 0x10003c38 12  13   .rdata  ascii   GetTempPathA
131  0x00002e48 0x10003c48 18  19   .rdata  ascii   GetModuleFileNameA
132  0x00002e5e 0x10003c5e 16  17   .rdata  ascii   GetComputerNameA
133  0x00002e72 0x10003c72 8   9    .rdata  ascii   SetEvent
134  0x00002e7e 0x10003c7e 12  13   .rdata  ascii   CreateEventA
135  0x00002e8e 0x10003c8e 10  11   .rdata  ascii   OpenEventA
136  0x00002e9c 0x10003c9c 11  12   .rdata  ascii   ExitProcess
137  0x00002eaa 0x10003caa 11  12   .rdata  ascii   MoveFileExA
138  0x00002eb8 0x10003cb8 11  12   .rdata  ascii   MoveFileExW
139  0x00002ec6 0x10003cc6 11  12   .rdata  ascii   SetFileTime
140  0x00002ed4 0x10003cd4 20  21   .rdata  ascii   GetWindowsDirectoryA
141  0x00002eec 0x10003cec 19  20   .rdata  ascii   GetSystemDirectoryA
142  0x00002f02 0x10003d02 9   10   .rdata  ascii   CopyFileA
143  0x00002f0e 0x10003d0e 18  19   .rdata  ascii   GetModuleFileNameW
144  0x00002f24 0x10003d24 25  26   .rdata  ascii   DisableThreadLibraryCalls
145  0x00002f3e 0x10003d3e 12  13   .rdata  ascii   KERNEL32.dll
146  0x00002f4e 0x10003d4e 16  17   .rdata  ascii   SetThreadDesktop
147  0x00002f62 0x10003d62 16  17   .rdata  ascii   GetDesktopWindow
148  0x00002f76 0x10003d76 9   10   .rdata  ascii   ReleaseDC
149  0x00002f82 0x10003d82 18  19   .rdata  ascii   OpenWindowStationA
150  0x00002f98 0x10003d98 5   6    .rdata  ascii   GetDC
151  0x00002fa0 0x10003da0 12  13   .rdata  ascii   CloseDesktop
152  0x00002fb0 0x10003db0 16  17   .rdata  ascii   OpenInputDesktop
153  0x00002fc4 0x10003dc4 23  24   .rdata  ascii   GetProcessWindowStation
154  0x00002fde 0x10003dde 18  19   .rdata  ascii   CloseWindowStation
155  0x00002ff4 0x10003df4 16  17   .rdata  ascii   GetThreadDesktop
156  0x00003008 0x10003e08 11  12   .rdata  ascii   GetWindowDC
157  0x00003016 0x10003e16 13  14   .rdata  ascii   GetWindowRect
158  0x00003026 0x10003e26 23  24   .rdata  ascii   SetProcessWindowStation
159  0x00003040 0x10003e40 16  17   .rdata  ascii   GetSystemMetrics
160  0x00003054 0x10003e54 11  12   .rdata  ascii   GetMessageA
161  0x00003060 0x10003e60 10  11   .rdata  ascii   USER32.dll
162  0x0000306e 0x10003e6e 14  15   .rdata  ascii   GetStockObject
163  0x00003080 0x10003e80 10  11   .rdata  ascii   GetObjectA
164  0x0000308e 0x10003e8e 13  14   .rdata  ascii   SelectPalette
165  0x0000309e 0x10003e9e 14  15   .rdata  ascii   RealizePalette
166  0x000030b0 0x10003eb0 22  23   .rdata  ascii   CreateCompatibleBitmap
167  0x000030ca 0x10003eca 12  13   .rdata  ascii   SelectObject
168  0x000030da 0x10003eda 12  13   .rdata  ascii   DeleteObject
169  0x000030ea 0x10003eea 9   10   .rdata  ascii   GetDIBits
170  0x000030f6 0x10003ef6 10  11   .rdata  ascii   StretchBlt
171  0x00003102 0x10003f02 9   10   .rdata  ascii   GDI32.dll
172  0x0000310e 0x10003f0e 12  13   .rdata  ascii   GetUserNameA
173  0x0000311e 0x10003f1e 15  16   .rdata  ascii   RegCreateKeyExW
174  0x00003130 0x10003f30 16  17   .rdata  ascii   RegQueryValueExW
175  0x00003144 0x10003f44 13  14   .rdata  ascii   RegEnumKeyExW
176  0x00003154 0x10003f54 11  12   .rdata  ascii   RegCloseKey
177  0x00003162 0x10003f62 16  17   .rdata  ascii   OpenProcessToken
178  0x00003176 0x10003f76 19  20   .rdata  ascii   GetTokenInformation
179  0x0000318c 0x10003f8c 28  29   .rdata  ascii   InitializeSecurityDescriptor
180  0x000031ac 0x10003fac 25  26   .rdata  ascii   SetSecurityDescriptorDacl
181  0x000031c8 0x10003fc8 21  22   .rdata  ascii   LookupPrivilegeValueA
182  0x000031e0 0x10003fe0 17  18   .rdata  ascii   LookupAccountSidW
183  0x000031f4 0x10003ff4 21  22   .rdata  ascii   AdjustTokenPrivileges
184  0x0000320c 0x1000400c 18  19   .rdata  ascii   CloseServiceHandle
185  0x00003222 0x10004022 13  14   .rdata  ascii   DeleteService
186  0x00003232 0x10004032 19  20   .rdata  ascii   EnumServicesStatusA
187  0x00003248 0x10004048 12  13   .rdata  ascii   OpenServiceW
188  0x00003258 0x10004058 13  14   .rdata  ascii   StartServiceW
189  0x00003268 0x10004068 16  17   .rdata  ascii   RegQueryInfoKeyA
190  0x0000327c 0x1000407c 15  16   .rdata  ascii   RegDeleteValueW
191  0x0000328e 0x1000408e 19  20   .rdata  ascii   EnumServicesStatusW
192  0x000032a4 0x100040a4 14  15   .rdata  ascii   OpenSCManagerA
193  0x000032b6 0x100040b6 13  14   .rdata  ascii   RegEnumValueW
194  0x000032c6 0x100040c6 13  14   .rdata  ascii   RegOpenKeyExW
195  0x000032d6 0x100040d6 14  15   .rdata  ascii   ControlService
196  0x000032e8 0x100040e8 14  15   .rdata  ascii   RegSetValueExW
197  0x000032fa 0x100040fa 17  18   .rdata  ascii   CryptGetHashParam
198  0x0000330e 0x1000410e 16  17   .rdata  ascii   RegQueryValueExA
199  0x00003322 0x10004122 19  20   .rdata  ascii   CryptReleaseContext
200  0x00003338 0x10004138 8   9    .rdata  ascii   CredFree
201  0x00003344 0x10004144 13  14   .rdata  ascii   RegEnumKeyExA
202  0x00003354 0x10004154 20  21   .rdata  ascii   CryptAcquireContextA
203  0x0000336c 0x1000416c 13  14   .rdata  ascii   RegOpenKeyExA
204  0x0000337c 0x1000417c 14  15   .rdata  ascii   CredEnumerateW
205  0x0000338e 0x1000418e 15  16   .rdata  ascii   CryptCreateHash
206  0x000033a0 0x100041a0 13  14   .rdata  ascii   RegEnumValueA
207  0x000033b0 0x100041b0 16  17   .rdata  ascii   CryptDestroyHash
208  0x000033c4 0x100041c4 13  14   .rdata  ascii   CryptHashData
209  0x000033d4 0x100041d4 13  14   .rdata  ascii   RegCreateKeyW
210  0x000033e4 0x100041e4 14  15   .rdata  ascii   RegSetValueExA
211  0x000033f6 0x100041f6 17  18   .rdata  ascii   LookupAccountSidA
212  0x0000340a 0x1000420a 11  12   .rdata  ascii   RegOpenKeyW
213  0x00003418 0x10004218 13  14   .rdata  ascii   RegCreateKeyA
214  0x00003428 0x10004228 16  17   .rdata  ascii   DuplicateTokenEx
215  0x0000343c 0x1000423c 23  24   .rdata  ascii   ImpersonateLoggedOnUser
216  0x00003456 0x10004256 15  16   .rdata  ascii   RegDeleteValueA
217  0x00003468 0x10004268 12  13   .rdata  ascii   RevertToSelf
218  0x00003478 0x10004278 11  12   .rdata  ascii   RegOpenKeyA
219  0x00003484 0x10004284 12  13   .rdata  ascii   ADVAPI32.dll
220  0x00003494 0x10004294 18  19   .rdata  ascii   CommandLineToArgvW
221  0x000034aa 0x100042aa 16  17   .rdata  ascii   SHFileOperationW
222  0x000034bc 0x100042bc 11  12   .rdata  ascii   SHELL32.dll
223  0x000034ca 0x100042ca 16  17   .rdata  ascii   CoCreateInstance
224  0x000034de 0x100042de 14  15   .rdata  ascii   CoUninitialize
225  0x000034f0 0x100042f0 12  13   .rdata  ascii   CoInitialize
226  0x00003500 0x10004300 13  14   .rdata  ascii   CoTaskMemFree
227  0x0000350e 0x1000430e 9   10   .rdata  ascii   ole32.dll
228  0x00003518 0x10004318 12  13   .rdata  ascii   OLEAUT32.dll
229  0x00003528 0x10004328 15  16   .rdata  ascii   GetAdaptersInfo
230  0x00003538 0x10004338 12  13   .rdata  ascii   IPHLPAPI.DLL
231  0x00003548 0x10004348 17  18   .rdata  ascii   PathCanonicalizeW
232  0x0000355c 0x1000435c 12  13   .rdata  ascii   SHDeleteKeyW
233  0x0000356c 0x1000436c 12  13   .rdata  ascii   SHDeleteKeyA
234  0x0000357a 0x1000437a 11  12   .rdata  ascii   SHLWAPI.dll
235  0x00003586 0x10004386 10  11   .rdata  ascii   WS2_32.dll
236  0x00003594 0x10004394 20  21   .rdata  ascii   GetModuleFileNameExW
237  0x000035aa 0x100043aa 9   10   .rdata  ascii   PSAPI.DLL
238  0x000035b6 0x100043b6 18  19   .rdata  ascii   CryptUnprotectData
239  0x000035ca 0x100043ca 11  12   .rdata  ascii   CRYPT32.dll
240  0x000035d8 0x100043d8 16  17   .rdata  ascii   LoadUserProfileA
241  0x000035ec 0x100043ec 17  18   .rdata  ascii   UnloadUserProfile
242  0x000035fe 0x100043fe 11  12   .rdata  ascii   USERENV.dll
243  0x0000360c 0x1000440c 7   8    .rdata  ascii   wcsncpy
244  0x00003616 0x10004416 12  13   .rdata  ascii   ??3@YAXPAX@Z
245  0x00003626 0x10004426 4   5    .rdata  ascii   free
246  0x0000362e 0x1000442e 6   7    .rdata  ascii   malloc
247  0x00003638 0x10004438 7   8    .rdata  ascii   sprintf
248  0x00003642 0x10004442 7   8    .rdata  ascii   memmove
249  0x0000364c 0x1000444c 10  11   .rdata  ascii   _snwprintf
250  0x0000365a 0x1000445a 9   10   .rdata  ascii   _snprintf
251  0x00003666 0x10004466 7   8    .rdata  ascii   wcsncat
252  0x00003670 0x10004470 11  12   .rdata  ascii   _vsnwprintf
253  0x0000367e 0x1000447e 7   8    .rdata  ascii   realloc
254  0x00003688 0x10004488 12  13   .rdata  ascii   ??2@YAPAXI@Z
255  0x00003698 0x10004498 7   8    .rdata  ascii   _wfopen
256  0x000036a2 0x100044a2 6   7    .rdata  ascii   fgetws
257  0x000036ac 0x100044ac 7   8    .rdata  ascii   toupper
258  0x000036b6 0x100044b6 6   7    .rdata  ascii   fclose
259  0x000036c0 0x100044c0 7   8    .rdata  ascii   wcsrchr
260  0x000036ca 0x100044ca 6   7    .rdata  ascii   wcsstr
261  0x000036d4 0x100044d4 7   8    .rdata  ascii   _time64
262  0x000036de 0x100044de 4   5    .rdata  ascii   rand
263  0x000036e6 0x100044e6 5   6    .rdata  ascii   srand
264  0x000036ee 0x100044ee 8   9    .rdata  ascii   wcstombs
265  0x000036fa 0x100044fa 7   8    .rdata  ascii   strncmp
266  0x00003704 0x10004504 6   7    .rdata  ascii   strstr
267  0x0000370e 0x1000450e 4   5    .rdata  ascii   atoi
268  0x00003716 0x10004516 7   8    .rdata  ascii   strncpy
269  0x00003720 0x10004520 6   7    .rdata  ascii   wcschr
270  0x0000372a 0x1000452a 9   10   .rdata  ascii   _wcsnicmp
271  0x00003736 0x10004536 7   8    .rdata  ascii   isprint
272  0x00003740 0x10004540 5   6    .rdata  ascii   _wtof
273  0x00003748 0x10004548 6   7    .rdata  ascii   strchr
274  0x00003752 0x10004552 7   8    .rdata  ascii   isalnum
275  0x0000375c 0x1000455c 13  14   .rdata  ascii   ??_U@YAPAXI@Z
276  0x0000376c 0x1000456c 5   6    .rdata  ascii   fopen
277  0x00003774 0x10004574 13  14   .rdata  ascii   ??_V@YAXPAX@Z
278  0x00003784 0x10004584 5   6    .rdata  ascii   fread
279  0x0000378c 0x1000458c 8   9    .rdata  ascii   _stricmp
280  0x00003798 0x10004598 8   9    .rdata  ascii   _wcsicmp
281  0x000037a4 0x100045a4 7   8    .rdata  ascii   _wcsupr
282  0x000037ae 0x100045ae 9   10   .rdata  ascii   _strnicmp
283  0x000037ba 0x100045ba 7   8    .rdata  ascii   _wcslwr
284  0x000037c4 0x100045c4 18  19   .rdata  ascii   _CxxThrowException
285  0x000037da 0x100045da 6   7    .rdata  ascii   memset
286  0x000037e2 0x100045e2 10  11   .rdata  ascii   msvcrt.dll
287  0x000037f0 0x100045f0 20  21   .rdata  ascii   ??1type_info@@UAE@XZ
288  0x00003808 0x10004608 9   10   .rdata  ascii   _initterm
289  0x00003814 0x10004614 12  13   .rdata  ascii   _adjust_fdiv
290  0x00003824 0x10004624 17  18   .rdata  ascii   ?terminate@@YAXXZ
291  0x00003838 0x10004638 16  17   .rdata  ascii   _except_handler3
292  0x0000384c 0x1000464c 24  25   .rdata  ascii   ZwQuerySystemInformation
293  0x00003868 0x10004668 9   10   .rdata  ascii   RtlUnwind
294  0x00003872 0x10004672 9   10   .rdata  ascii   ntdll.dll
295  0x0000387e 0x1000467e 24  25   .rdata  ascii   UnhandledExceptionFilter
296  0x0000389a 0x1000469a 27  28   .rdata  ascii   SetUnhandledExceptionFilter
297  0x000038b8 0x100046b8 17  18   .rdata  ascii   IsDebuggerPresent
298  0x000038cc 0x100046cc 6   7    .rdata  ascii   memcpy
299  0x000038d6 0x100046d6 17  18   .rdata  ascii   __CxxFrameHandler
300  0x0000394a 0x1000474a 12  13   .rdata  ascii   Office32.dll
301  0x00003957 0x10004757 17  18   .rdata  ascii   DllRegisterServer
302  0x00003969 0x10004769 19  20   .rdata  ascii   DllUnregisterServer
303  0x0000397d 0x1000477d 11  12   .rdata  ascii   ServiceMain
304  0x00003989 0x10004789 13  14   .rdata  ascii   WUServiceMain
305  0x00003997 0x10004797 18  19   .rdata  ascii   _crt_debugger_hook
306  0x00003a0c 0x1000500c 16  17   .data   ascii   .?AV_com_error@@
307  0x00003a48 0x10005048 13  14   .data   ascii   .?AVDIRECTX@@
308  0x00003a60 0x10005060 40  41   .data   ascii   .?AV?$LIST_STORE@PAU_PCC_MISC_PACKET@@@@
309  0x00003a94 0x10005094 14  15   .data   ascii   .?AVPCC_MISC@@
310  0x00003aac 0x100050ac 41  42   .data   ascii   .?AV?$LIST_STORE@PAU_PCC_MEDIA_PACKET@@@@
311  0x00003ae0 0x100050e0 15  16   .data   ascii   .?AVPCC_MEDIA@@
312  0x00003af8 0x100050f8 14  15   .data   ascii   .?AUIUnknown@@
313  0x00003b10 0x10005110 22  23   .data   ascii   .?AUISampleGrabberCB@@
314  0x00003b30 0x10005130 22  23   .data   ascii   .?AVCSampleGrabberCB@@
315  0x00003b50 0x10005150 23  24   .data   ascii   .?AV?$LIST_STORE@PA_W@@
316  0x00003b70 0x10005170 18  19   .data   ascii   .?AVINTERNAL_CMD@@
317  0x00003b8c 0x1000518c 13  14   .data   ascii   .?AVPCC_CMD@@
318  0x00003ba4 0x100051a4 14  15   .data   ascii   .?AVPCC_SOCK@@
319  0x00003bbc 0x100051bc 20  21   .data   ascii   .?AVPCC_SUPER_SOCK@@
320  0x00003bdc 0x100051dc 13  14   .data   ascii   .?AVBD_SOCK@@
321  0x00003bf4 0x100051f4 41  42   .data   ascii   .?AV?$LIST_STORE@PAU_PCC_PROXY_PACKET@@@@
322  0x00003c28 0x10005228 15  16   .data   ascii   .?AVPCC_PROXY@@
323  0x00003c40 0x10005240 13  14   .data   ascii   .?AVPCC_SYS@@
324  0x00003c58 0x10005258 14  15   .data   ascii   .?AVPCC_FILE@@
325  0x00003e05 0x10006005 4   5    poly    ascii   poly
326  0x00004f57 0x10007157 5   6    poly    ascii   2;1u\e
327  0x00005035 0x10007235 4   5    poly    ascii   @\bRP
328  0x00005070 0x10007270 4   5    poly    ascii   U\fVR
329  0x00005078 0x10007278 4   5    poly    ascii   @\bRP
330  0x000050f9 0x100072f9 4   6    poly    utf8    W2ۉ} blocks=Basic Latin,Arabic
331  0x00005132 0x10007332 4   6    poly    utf8    F$+ǃ blocks=Basic Latin,Latin Extended-B
332  0x00005252 0x10007452 4   5    poly    ascii   _^[]
333  0x000052a4 0x100074a4 4   6    poly    utf8    u\b3\v
334  0x000052f4 0x100074f4 4   5    poly    ascii   E\bSV
335  0x000053a0 0x100075a0 4   6    poly    utf8    3\rw\b
336  0x000054c1 0x100076c1 4   5    poly    ascii   t)Wj
337  0x0000558a 0x1000778a 7   8    poly    ascii   ~$;~ w5
338  0x00005677 0x10007877 5   6    poly    ascii   ;M\bu#
339  0x0000569d 0x1000789d 4   6    poly    utf8    uҋv  blocks=Basic Latin,Cyrillic
340  0x000056ae 0x100078ae 4   5    poly    ascii   M\b9H
341  0x000056f8 0x100078f8 4   5    poly    ascii   F\bWP
342  0x00005712 0x10007912 4   5    poly    ascii   F 9X
343  0x00005773 0x10007973 4   5    poly    ascii   SVWh
344  0x0000578c 0x1000798c 6   7    poly    ascii   u\a_^[]
345  0x00005919 0x10007b19 4   5    poly    ascii   Qh~f
346  0x00005968 0x10007b68 4   5    poly    ascii   Qh~f
347  0x00005a2d 0x10007c2d 4   5    poly    ascii   C\bVP
348  0x00005aae 0x10007cae 4   6    poly    utf8    3ĉD$ blocks=Basic Latin,Latin Extended-A
349  0x00005ab8 0x10007cb8 4   5    poly    ascii   VWtr
350  0x00005acb 0x10007ccb 4   5    poly    ascii   tahP
351  0x00005ba6 0x10007da6 6   8    poly    utf8    uKL$$_
352  0x00005c07 0x10007e07 4   5    poly    ascii   u\ej\n
353  0x00005c9b 0x10007e9b 4   5    poly    ascii   U\b_^
354  0x00005e00 0x10008000 4   6    poly    utf8    RAQǅ blocks=Basic Latin,Latin Extended-B
355  0x00005fbe 0x100081be 5   7    poly    utf8    3ĉD$4 blocks=Basic Latin,Latin Extended-A
356  0x00005fc5 0x100081c5 5   6    poly    ascii   E\bSWj
357  0x00005ff4 0x100081f4 4   6    poly    utf8    u\3:
358  0x00005ffe 0x100081fe 4   5    poly    ascii   D$,Q
359  0x0000600b 0x1000820b 4   5    poly    ascii   D$<f
360  0x00006027 0x10008227 4   5    poly    ascii   D$0j
