[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
315   0x00006a64 0x10007664 4   5    .text   ascii   @\a*F
316   0x00006b01 0x10007701 5   6    .text   ascii   '[+`6
317   0x00006b5f 0x1000775f 5   6    .text   ascii   \eDFBW
318   0x00006bd0 0x100077d0 4   5    .text   ascii   \f`DF
319   0x00006c23 0x10007823 4   5    .text   ascii   |HC\n
320   0x00006c81 0x10007881 4   5    .text   ascii   H.AH
321   0x00006ce0 0x100078e0 5   7    .text   utf8    @E\bEƬ blocks=Basic Latin,Latin Extended-B
322   0x00006ce9 0x100078e9 4   5    .text   ascii   EunH
323   0x00006d26 0x10007926 4   6    .text   utf8    @ILЉ blocks=Basic Latin,Cyrillic
324   0x00006d86 0x10007986 4   6    .text   utf8    DHLʅ blocks=Basic Latin,IPA Extensions
325   0x00006de9 0x100079e9 4   5    .text   ascii   \nHHx
326   0x00006e21 0x10007a21 6   7    .text   ascii   HHLH$D
327   0x00006e79 0x10007a79 4   5    .text   ascii   C\HA
328   0x00006ee7 0x10007ae7 4   6    .text   utf8    ̅ol{ blocks=Combining Diacritical Marks,Basic Latin
329   0x00006eff 0x10007aff 4   5    .text   ascii   E|8'
330   0x00006fc9 0x10007bc9 5   7    .text   utf8    [zћl+ blocks=Basic Latin,Cyrillic
331   0x00006fdc 0x10007bdc 4   5    .text   ascii   8}SC
332   0x00007038 0x10007c38 4   5    .text   ascii   N%)(
333   0x00007052 0x10007c52 4   5    .text   ascii   FFLx
334   0x000070a0 0x10007ca0 4   5    .text   ascii   L="\a
335   0x000070f5 0x10007cf5 4   5    .text   ascii   Y_ui
336   0x0000710c 0x10007d0c 5   7    .text   utf8    xIǾ[e blocks=Basic Latin,Latin Extended-B
337   0x00007180 0x10007d80 4   5    .text   ascii   JA8B
338   0x00007212 0x10007e12 4   5    .text   ascii   HHG|
339   0x00007245 0x10007e45 5   6    .text   ascii   HE LD
340   0x00007254 0x10007e54 4   6    .text   utf8    frȘH blocks=Basic Latin,Latin Extended-B
341   0x0000725f 0x10007e5f 4   5    .text   ascii   {Gt$
342   0x0000728d 0x10007e8d 5   6    .text   ascii   \tITH 
343   0x0000729b 0x10007e9b 5   6    .text   ascii   tHM%A
344   0x00007300 0x10007f00 4   5    .text   ascii   9t@;
345   0x00007360 0x10007f60 4   5    .text   ascii    HH(
346   0x0000741b 0x1000801b 4   5    .text   ascii   HC\bD
347   0x00007442 0x10008042 4   5    .text   ascii   LHiD
