[Strings]
nth  paddr      vaddr      len  size section       type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
2361 0x0006d188 0x0048bb88 10   11                 ascii   atonexit.c
2362 0x0006d1e2 0x0048bbe2 6    7                  ascii   atexit
2363 0x0006d1f4 0x0048bbf4 5    6                  ascii   .text
2364 0x0006d218 0x0048bc18 5    6                  ascii   .data
2365 0x0006d23c 0x0048bc3c 4    5                  ascii   .bss
2366 0x0006d260 0x0048bc60 6    7                  ascii   .xdata
2367 0x0006d284 0x0048bc84 6    7                  ascii   .pdata
2368 0x0006d2a8 0x0048bca8 5    6                  ascii   .file
2369 0x0006d2ba 0x0048bcba 9    10                 ascii   gccmain.c
2370 0x0006d2f0 0x0048bcf0 7    8                  ascii   p.92158
2371 0x0006d338 0x0048bd38 6    7                  ascii   __main
2372 0x0006d35c 0x0048bd5c 5    6                  ascii   .text
2373 0x0006d380 0x0048bd80 5    6                  ascii   .data
2374 0x0006d3a4 0x0048bda4 4    5                  ascii   .bss
2375 0x0006d3c8 0x0048bdc8 6    7                  ascii   .xdata
2376 0x0006d3ec 0x0048bdec 6    7                  ascii   .pdata
2377 0x0006d410 0x0048be10 5    6                  ascii   .file
2378 0x0006d422 0x0048be22 10   11                 ascii   natstart.c
2379 0x0006d434 0x0048be34 5    6                  ascii   .text
2380 0x0006d458 0x0048be58 5    6                  ascii   .data
2381 0x0006d47c 0x0048be7c 4    5                  ascii   .bss
2382 0x0006d4a0 0x0048bea0 5    6                  ascii   .file
2383 0x0006d4b2 0x0048beb2 10   11                 ascii   wildcard.c
2384 0x0006d4c4 0x0048bec4 5    6                  ascii   .text
2385 0x0006d4e8 0x0048bee8 5    6                  ascii   .data
2386 0x0006d50c 0x0048bf0c 4    5                  ascii   .bss
2387 0x0006d530 0x0048bf30 5    6                  ascii   .file
2388 0x0006d542 0x0048bf42 9    10                 ascii   charmax.c
2389 0x0006d578 0x0048bf78 5    6                  ascii   .text
2390 0x0006d59c 0x0048bf9c 5    6                  ascii   .data
2391 0x0006d5c0 0x0048bfc0 4    5                  ascii   .bss
2392 0x0006d5e4 0x0048bfe4 6    7                  ascii   .xdata
2393 0x0006d608 0x0048c008 6    7                  ascii   .pdata
2394 0x0006d62c 0x0048c02c 9    10                 ascii   .CRT$XIC(
2395 0x0006d650 0x0048c050 5    6                  ascii   .file
2396 0x0006d662 0x0048c062 9    10                 ascii   dllargv.c
2397 0x0006d674 0x0048c074 8    9                  ascii   _setargv
2398 0x0006d698 0x0048c098 5    6                  ascii   .text
2399 0x0006d6bc 0x0048c0bc 5    6                  ascii   .data
2400 0x0006d6e0 0x0048c0e0 4    5                  ascii   .bss
2401 0x0006d704 0x0048c104 6    7                  ascii   .xdata
2402 0x0006d728 0x0048c128 6    7                  ascii   .pdata
2403 0x0006d74c 0x0048c14c 5    6                  ascii   .file
2404 0x0006d75e 0x0048c15e 12   13                 ascii   gs_support.c
2405 0x0006d824 0x0048c224 5    6                  ascii   .text
2406 0x0006d848 0x0048c248 5    6                  ascii   .data
2407 0x0006d86c 0x0048c26c 4    5                  ascii   .bss
2408 0x0006d890 0x0048c290 6    7                  ascii   .xdata
2409 0x0006d8b4 0x0048c2b4 6    7                  ascii   .pdata
2410 0x0006d8d8 0x0048c2d8 6    7                  ascii   .rdata
2411 0x0006d8fc 0x0048c2fc 5    6                  ascii   .file
2412 0x0006d90e 0x0048c30e 10   11                 ascii   _newmode.c
2413 0x0006d920 0x0048c320 5    6                  ascii   .text
2414 0x0006d944 0x0048c344 5    6                  ascii   .data
2415 0x0006d968 0x0048c368 4    5                  ascii   .bss
2416 0x0006d98c 0x0048c38c 5    6                  ascii   .file
2417 0x0006d99e 0x0048c39e 8    9                  ascii   tlssup.c
2418 0x0006da0a 0x0048c40a 6    7                  ascii   __xd_a
2419 0x0006da1c 0x0048c41c 6    7                  ascii   __xd_z
2420 0x0006da40 0x0048c440 5    6                  ascii   .text
2421 0x0006da64 0x0048c464 5    6                  ascii   .data
2422 0x0006da88 0x0048c488 4    5                  ascii   .bss
2423 0x0006daac 0x0048c4ac 6    7                  ascii   .xdata
2424 0x0006dad0 0x0048c4d0 6    7                  ascii   .pdata
2425 0x0006daf4 0x0048c4f4 9    10                 ascii   .CRT$XLDH
2426 0x0006db18 0x0048c518 9    10                 ascii   .CRT$XLC@
2427 0x0006db3c 0x0048c53c 6    7                  ascii   .rdata
2428 0x0006db60 0x0048c560 9    10                 ascii   .CRT$XDZ`
2429 0x0006db84 0x0048c584 9    10                 ascii   .CRT$XDAX
2430 0x0006dba8 0x0048c5a8 4    5                  ascii   .tls
2431 0x0006dbcc 0x0048c5cc 9    10                 ascii   .CRT$XLZP
2432 0x0006dbf0 0x0048c5f0 9    10                 ascii   .CRT$XLA8
2433 0x0006dc14 0x0048c614 9    10                 ascii   .tls$ZZZ`
2434 0x0006dc38 0x0048c638 8    9                  ascii   .tls$AAA
2435 0x0006dc5c 0x0048c65c 5    6                  ascii   .file
2436 0x0006dc6e 0x0048c66e 10   11                 ascii   cinitexe.c
2437 0x0006dc80 0x0048c680 5    6                  ascii   .text
2438 0x0006dca4 0x0048c6a4 5    6                  ascii   .data
2439 0x0006dcc8 0x0048c6c8 4    5                  ascii   .bss
2440 0x0006dcec 0x0048c6ec 8    9                  ascii   .CRT$XCZ
2441 0x0006dd10 0x0048c710 8    9                  ascii   .CRT$XCA
2442 0x0006dd34 0x0048c734 9    10                 ascii   .CRT$XIZ0
2443 0x0006dd58 0x0048c758 8    9                  ascii   .CRT$XIA
2444 0x0006dd7c 0x0048c77c 5    6                  ascii   .file
2445 0x0006dd8e 0x0048c78e 6    7                  ascii   merr.c
2446 0x0006dde8 0x0048c7e8 8    9                  ascii   _matherr
2447 0x0006ddfa 0x0048c7fa 5    6                  ascii   .text
2448 0x0006de1e 0x0048c81e 5    6                  ascii   .data
2449 0x0006de42 0x0048c842 4    5                  ascii   .bss
2450 0x0006de66 0x0048c866 6    7                  ascii   .xdata
2451 0x0006de8a 0x0048c88a 6    7                  ascii   .pdata
2452 0x0006deae 0x0048c8ae 6    7                  ascii   .rdata
2453 0x0006ded2 0x0048c8d2 5    6                  ascii   .file
2454 0x0006dee4 0x0048c8e4 10   11                 ascii   CRT_fp10.c
2455 0x0006def6 0x0048c8f6 9    11                 utf8    _fpresetн blocks=Basic Latin,Cyrillic
2456 0x0006df1a 0x0048c91a 7    8                  ascii   fpreset
2457 0x0006df2c 0x0048c92c 5    6                  ascii   .text
2458 0x0006df50 0x0048c950 5    6                  ascii   .data
2459 0x0006df74 0x0048c974 4    5                  ascii   .bss
2460 0x0006df98 0x0048c998 6    7                  ascii   .xdata
2461 0x0006dfbc 0x0048c9bc 6    7                  ascii   .pdata
2462 0x0006dfe0 0x0048c9e0 5    6                  ascii   .file
2463 0x0006dff2 0x0048c9f2 15   16                 ascii   mingw_helpers.c
2464 0x0006e03a 0x0048ca3a 5    6                  ascii   .text
2465 0x0006e05e 0x0048ca5e 5    6                  ascii   .data
2466 0x0006e082 0x0048ca82 4    5                  ascii   .bss
2467 0x0006e0a6 0x0048caa6 6    7                  ascii   .xdata
2468 0x0006e0ca 0x0048caca 6    7                  ascii   .pdata
2469 0x0006e0ee 0x0048caee 5    6                  ascii   .file
2470 0x0006e100 0x0048cb00 14   15                 ascii   pseudo-reloc.c
2471 0x0006e15a 0x0048cb5a 9    10                 ascii   the_secsH
2472 0x0006e1d8 0x0048cbd8 5    6                  ascii   .text
2473 0x0006e1fc 0x0048cbfc 5    6                  ascii   .data
2474 0x0006e220 0x0048cc20 4    5                  ascii   .bss
2475 0x0006e244 0x0048cc44 6    7                  ascii   .rdata
2476 0x0006e268 0x0048cc68 6    7                  ascii   .xdata
2477 0x0006e28c 0x0048cc8c 6    7                  ascii   .pdata
2478 0x0006e2b0 0x0048ccb0 5    6                  ascii   .file
2479 0x0006e2c2 0x0048ccc2 10   11                 ascii   xtxtmode.c
2480 0x0006e2d4 0x0048ccd4 5    6                  ascii   .text
2481 0x0006e2f8 0x0048ccf8 5    6                  ascii   .data
2482 0x0006e31c 0x0048cd1c 4    5                  ascii   .bss
2483 0x0006e340 0x0048cd40 5    6                  ascii   .file
2484 0x0006e352 0x0048cd52 13   14                 ascii   crt_handler.c
2485 0x0006e3e2 0x0048cde2 5    6                  ascii   .text
2486 0x0006e406 0x0048ce06 5    6                  ascii   .data
2487 0x0006e42a 0x0048ce2a 4    5                  ascii   .bss
2488 0x0006e44e 0x0048ce4e 6    7                  ascii   .xdata
2489 0x0006e472 0x0048ce72 6    7                  ascii   .pdata
2490 0x0006e496 0x0048ce96 6    7                  ascii   .rdata
2491 0x0006e4ba 0x0048ceba 5    6                  ascii   .file
2492 0x0006e4cc 0x0048cecc 9    10                 ascii   tlsthrd.c
2493 0x0006e56e 0x0048cf6e 5    6                  ascii   .text
2494 0x0006e592 0x0048cf92 5    6                  ascii   .data
2495 0x0006e5b6 0x0048cfb6 4    5                  ascii   .bss
2496 0x0006e5da 0x0048cfda 6    7                  ascii   .xdata
2497 0x0006e5fe 0x0048cffe 6    7                  ascii   .pdata
2498 0x0006e622 0x0048d022 5    6                  ascii   .file
2499 0x0006e634 0x0048d034 9    10                 ascii   tlsmcrt.c
2500 0x0006e646 0x0048d046 5    6                  ascii   .text
2501 0x0006e66a 0x0048d06a 5    6                  ascii   .data
2502 0x0006e68e 0x0048d08e 4    5                  ascii   .bss
2503 0x0006e6b2 0x0048d0b2 5    6                  ascii   .file
2504 0x0006e6d6 0x0048d0d6 5    6                  ascii   .text
2505 0x0006e6fa 0x0048d0fa 5    6                  ascii   .data
2506 0x0006e71e 0x0048d11e 4    5                  ascii   .bss
2507 0x0006e742 0x0048d142 5    6                  ascii   .file
2508 0x0006e754 0x0048d154 8    9                  ascii   pesect.c
2509 0x0006e82c 0x0048d22c 5    6                  ascii   .text
2510 0x0006e850 0x0048d250 5    6                  ascii   .data
2511 0x0006e874 0x0048d274 4    5                  ascii   .bss
2512 0x0006e898 0x0048d298 6    7                  ascii   .xdata
2513 0x0006e8bc 0x0048d2bc 6    7                  ascii   .pdata
2514 0x0006e8e0 0x0048d2e0 5    6                  ascii   .file
2515 0x0006e8f2 0x0048d2f2 4    5                  ascii   fake
2516 0x0006e970 0x0048d370 5    6                  ascii   .text
2517 0x0006e994 0x0048d394 5    6                  ascii   .data
2518 0x0006e9b8 0x0048d3b8 4    5                  ascii   .bss
2519 0x0006ea24 0x0048d424 5    6                  ascii   .file
2520 0x0006ea36 0x0048d436 9    10                 ascii   libgcc2.c
2521 0x0006ea48 0x0048d448 5    6                  ascii   .text
2522 0x0006ea6c 0x0048d46c 5    6                  ascii   .data
2523 0x0006ea90 0x0048d490 4    5                  ascii   .bss
2524 0x0006eb44 0x0048d544 5    6                  ascii   .file
2525 0x0006eb56 0x0048d556 13   14                 ascii   mingw_getsp.S
2526 0x0006eb8c 0x0048d58c 7    8                  ascii   longjmp
2527 0x0006eb9e 0x0048d59e 5    6                  ascii   .text
2528 0x0006ebc2 0x0048d5c2 5    6                  ascii   .data
2529 0x0006ebe6 0x0048d5e6 4    5                  ascii   .bss
2530 0x0006ec0a 0x0048d60a 5    6                  ascii   .file
2531 0x0006ec1c 0x0048d61c 15   16                 ascii   mingw_matherr.c
2532 0x0006ec2e 0x0048d62e 5    6                  ascii   .text
2533 0x0006ec52 0x0048d652 5    6                  ascii   .data
2534 0x0006ec76 0x0048d676 4    5                  ascii   .bss
2535 0x0006ec9a 0x0048d69a 5    6                  ascii   .text
2536 0x0006ecac 0x0048d6ac 5    6                  ascii   .data
2537 0x0006ecbe 0x0048d6be 4    5                  ascii   .bss
2538 0x0006ecd0 0x0048d6d0 8    9                  ascii   .idata$7
2539 0x0006ece4 0x0048d6e4 7    8                  ascii   data$5,
2540 0x0006ecf4 0x0048d6f4 8    9                  ascii   .idata$4
2541 0x0006ed08 0x0048d708 6    7                  ascii   data$6
2542 0x0006ed18 0x0048d718 5    6                  ascii   .text
2543 0x0006ed2a 0x0048d72a 5    6                  ascii   .data
2544 0x0006ed3c 0x0048d73c 4    5                  ascii   .bss
2545 0x0006ed4e 0x0048d74e 8    9                  ascii   .idata$7
2546 0x0006ed60 0x0048d760 9    10                 ascii   .idata$5$
2547 0x0006ed74 0x0048d774 6    7                  ascii   data$4
2548 0x0006ed84 0x0048d784 8    9                  ascii   .idata$6
2549 0x0006eda8 0x0048d7a8 5    6                  ascii   .data
2550 0x0006edba 0x0048d7ba 4    5                  ascii   .bss
2551 0x0006edcc 0x0048d7cc 8    9                  ascii   .idata$7
2552 0x0006ede0 0x0048d7e0 6    7                  ascii   data$5
2553 0x0006edf0 0x0048d7f0 8    9                  ascii   .idata$4
2554 0x0006ee04 0x0048d804 6    7                  ascii   data$6
2555 0x0006ee14 0x0048d814 5    6                  ascii   .text
2556 0x0006ee26 0x0048d826 5    6                  ascii   .data
2557 0x0006ee38 0x0048d838 4    5                  ascii   .bss
2558 0x0006ee4a 0x0048d84a 8    9                  ascii   .idata$7
2559 0x0006ee5c 0x0048d85c 8    9                  ascii   .idata$5
2560 0x0006ee70 0x0048d870 6    7                  ascii   data$4
2561 0x0006ee80 0x0048d880 10   11                 ascii   .idata$6z\t
2562 0x0006eea4 0x0048d8a4 5    6                  ascii   .data
2563 0x0006eeb6 0x0048d8b6 4    5                  ascii   .bss
2564 0x0006eec8 0x0048d8c8 8    9                  ascii   .idata$7
2565 0x0006eedc 0x0048d8dc 7    8                  ascii   data$5\f
2566 0x0006eeec 0x0048d8ec 8    9                  ascii   .idata$4
2567 0x0006ef00 0x0048d900 8    9                  ascii   data$6p\t
2568 0x0006ef10 0x0048d910 5    6                  ascii   .text
2569 0x0006ef22 0x0048d922 5    6                  ascii   .data
2570 0x0006ef34 0x0048d934 4    5                  ascii   .bss
2571 0x0006ef46 0x0048d946 8    9                  ascii   .idata$7
2572 0x0006ef58 0x0048d958 8    9                  ascii   .idata$5
2573 0x0006ef6c 0x0048d96c 6    7                  ascii   data$4
2574 0x0006ef7c 0x0048d97c 10   11                 ascii   .idata$6d\t
2575 0x0006efa0 0x0048d9a0 5    6                  ascii   .data
2576 0x0006efb2 0x0048d9b2 4    5                  ascii   .bss
2577 0x0006efc4 0x0048d9c4 8    9                  ascii   .idata$7
2578 0x0006efd8 0x0048d9d8 6    7                  ascii   data$5
2579 0x0006efe8 0x0048d9e8 9    10                 ascii   .idata$4|
2580 0x0006effc 0x0048d9fc 8    9                  ascii   data$6Z\t
2581 0x0006f00c 0x0048da0c 5    6                  ascii   .text
2582 0x0006f01e 0x0048da1e 5    6                  ascii   .data
2583 0x0006f030 0x0048da30 4    5                  ascii   .bss
2584 0x0006f042 0x0048da42 8    9                  ascii   .idata$7
2585 0x0006f054 0x0048da54 8    9                  ascii   .idata$5
2586 0x0006f068 0x0048da68 7    8                  ascii   data$4t
2587 0x0006f078 0x0048da78 10   11                 ascii   .idata$6P\t
2588 0x0006f09c 0x0048da9c 5    6                  ascii   .data
2589 0x0006f0ae 0x0048daae 4    5                  ascii   .bss
2590 0x0006f0c0 0x0048dac0 8    9                  ascii   .idata$7
2591 0x0006f0d4 0x0048dad4 6    7                  ascii   data$5
2592 0x0006f0e4 0x0048dae4 9    10                 ascii   .idata$4l
2593 0x0006f0f8 0x0048daf8 8    9                  ascii   data$6F\t
2594 0x0006f108 0x0048db08 5    6                  ascii   .text
2595 0x0006f11a 0x0048db1a 5    6                  ascii   .data
2596 0x0006f12c 0x0048db2c 4    5                  ascii   .bss
2597 0x0006f13e 0x0048db3e 8    9                  ascii   .idata$7
2598 0x0006f150 0x0048db50 8    9                  ascii   .idata$5
2599 0x0006f164 0x0048db64 7    8                  ascii   data$4d
2600 0x0006f174 0x0048db74 10   11                 ascii   .idata$6<\t
2601 0x0006f198 0x0048db98 5    6                  ascii   .data
2602 0x0006f1aa 0x0048dbaa 4    5                  ascii   .bss
2603 0x0006f1bc 0x0048dbbc 8    9                  ascii   .idata$7
2604 0x0006f1d0 0x0048dbd0 6    7                  ascii   data$5
2605 0x0006f1e0 0x0048dbe0 9    10                 ascii   .idata$4\
2606 0x0006f1f4 0x0048dbf4 8    9                  ascii   data$62\t
2607 0x0006f204 0x0048dc04 5    6                  ascii   .text
2608 0x0006f216 0x0048dc16 5    6                  ascii   .data
2609 0x0006f228 0x0048dc28 4    5                  ascii   .bss
2610 0x0006f23a 0x0048dc3a 8    9                  ascii   .idata$7
2611 0x0006f24c 0x0048dc4c 8    9                  ascii   .idata$5
2612 0x0006f260 0x0048dc60 7    8                  ascii   data$4T
2613 0x0006f270 0x0048dc70 10   11                 ascii   .idata$6(\t
2614 0x0006f294 0x0048dc94 5    6                  ascii   .data
2615 0x0006f2a6 0x0048dca6 4    5                  ascii   .bss
2616 0x0006f2b8 0x0048dcb8 8    9                  ascii   .idata$7
2617 0x0006f2cc 0x0048dccc 6    7                  ascii   data$5
2618 0x0006f2dc 0x0048dcdc 9    10                 ascii   .idata$4L
2619 0x0006f2f0 0x0048dcf0 6    7                  ascii   data$6
2620 0x0006f300 0x0048dd00 5    6                  ascii   .text
2621 0x0006f312 0x0048dd12 5    6                  ascii   .data
2622 0x0006f324 0x0048dd24 4    5                  ascii   .bss
2623 0x0006f336 0x0048dd36 8    9                  ascii   .idata$7
2624 0x0006f348 0x0048dd48 8    9                  ascii   .idata$5
2625 0x0006f35c 0x0048dd5c 7    8                  ascii   data$4D
2626 0x0006f36c 0x0048dd6c 8    9                  ascii   .idata$6
2627 0x0006f390 0x0048dd90 5    6                  ascii   .data
2628 0x0006f3a2 0x0048dda2 4    5                  ascii   .bss
2629 0x0006f3b4 0x0048ddb4 8    9                  ascii   .idata$7
2630 0x0006f3c8 0x0048ddc8 6    7                  ascii   data$5
2631 0x0006f3d8 0x0048ddd8 9    10                 ascii   .idata$4<
2632 0x0006f3ec 0x0048ddec 8    9                  ascii   data$6\n\t
2633 0x0006f3fc 0x0048ddfc 5    6                  ascii   .text
2634 0x0006f40e 0x0048de0e 5    6                  ascii   .data
2635 0x0006f420 0x0048de20 4    5                  ascii   .bss
2636 0x0006f432 0x0048de32 8    9                  ascii   .idata$7
2637 0x0006f444 0x0048de44 8    9                  ascii   .idata$5
2638 0x0006f458 0x0048de58 7    8                  ascii   data$44
2639 0x0006f468 0x0048de68 8    9                  ascii   .idata$6
2640 0x0006f48c 0x0048de8c 5    6                  ascii   .data
2641 0x0006f49e 0x0048de9e 4    5                  ascii   .bss
2642 0x0006f4b0 0x0048deb0 8    9                  ascii   .idata$7
2643 0x0006f4c4 0x0048dec4 6    7                  ascii   data$5
2644 0x0006f4d4 0x0048ded4 9    10                 ascii   .idata$4,
2645 0x0006f4e8 0x0048dee8 6    7                  ascii   data$6
2646 0x0006f4f8 0x0048def8 5    6                  ascii   .text
2647 0x0006f50a 0x0048df0a 5    6                  ascii   .data
2648 0x0006f51c 0x0048df1c 4    5                  ascii   .bss
2649 0x0006f52e 0x0048df2e 8    9                  ascii   .idata$7
2650 0x0006f540 0x0048df40 8    9                  ascii   .idata$5
2651 0x0006f554 0x0048df54 7    8                  ascii   data$4$
2652 0x0006f564 0x0048df64 8    9                  ascii   .idata$6
2653 0x0006f588 0x0048df88 5    6                  ascii   .data
2654 0x0006f59a 0x0048df9a 4    5                  ascii   .bss
2655 0x0006f5ac 0x0048dfac 8    9                  ascii   .idata$7
2656 0x0006f5c0 0x0048dfc0 6    7                  ascii   data$5
2657 0x0006f5d0 0x0048dfd0 8    9                  ascii   .idata$4
2658 0x0006f5e4 0x0048dfe4 6    7                  ascii   data$6
2659 0x0006f5f4 0x0048dff4 5    6                  ascii   .text
2660 0x0006f606 0x0048e006 5    6                  ascii   .data
2661 0x0006f618 0x0048e018 4    5                  ascii   .bss
2662 0x0006f62a 0x0048e02a 8    9                  ascii   .idata$7
2663 0x0006f63c 0x0048e03c 8    9                  ascii   .idata$5
2664 0x0006f650 0x0048e050 6    7                  ascii   data$4
2665 0x0006f660 0x0048e060 8    9                  ascii   .idata$6
2666 0x0006f684 0x0048e084 5    6                  ascii   .data
2667 0x0006f696 0x0048e096 4    5                  ascii   .bss
2668 0x0006f6a8 0x0048e0a8 8    9                  ascii   .idata$7
2669 0x0006f6bc 0x0048e0bc 6    7                  ascii   data$5
2670 0x0006f6cc 0x0048e0cc 9    10                 ascii   .idata$4\f
2671 0x0006f6e0 0x0048e0e0 6    7                  ascii   data$6
2672 0x0006f6f0 0x0048e0f0 5    6                  ascii   .text
2673 0x0006f702 0x0048e102 5    6                  ascii   .data
2674 0x0006f714 0x0048e114 4    5                  ascii   .bss
2675 0x0006f726 0x0048e126 8    9                  ascii   .idata$7
2676 0x0006f738 0x0048e138 8    9                  ascii   .idata$5
2677 0x0006f74c 0x0048e14c 6    7                  ascii   data$4
2678 0x0006f75c 0x0048e15c 8    9                  ascii   .idata$6
2679 0x0006f780 0x0048e180 5    6                  ascii   .data
2680 0x0006f792 0x0048e192 4    5                  ascii   .bss
2681 0x0006f7a4 0x0048e1a4 8    9                  ascii   .idata$7
2682 0x0006f7b8 0x0048e1b8 7    8                  ascii   data$5|
2683 0x0006f7c8 0x0048e1c8 8    9                  ascii   .idata$4
2684 0x0006f7dc 0x0048e1dc 6    7                  ascii   data$6
2685 0x0006f7ec 0x0048e1ec 5    6                  ascii   .text
2686 0x0006f7fe 0x0048e1fe 5    6                  ascii   .data
2687 0x0006f810 0x0048e210 4    5                  ascii   .bss
2688 0x0006f822 0x0048e222 8    9                  ascii   .idata$7
2689 0x0006f834 0x0048e234 9    10                 ascii   .idata$5t
2690 0x0006f848 0x0048e248 6    7                  ascii   data$4
2691 0x0006f858 0x0048e258 8    9                  ascii   .idata$6
2692 0x0006f87c 0x0048e27c 5    6                  ascii   .data
2693 0x0006f88e 0x0048e28e 4    5                  ascii   .bss
2694 0x0006f8a0 0x0048e2a0 8    9                  ascii   .idata$7
2695 0x0006f8b4 0x0048e2b4 7    8                  ascii   data$5l
2696 0x0006f8c4 0x0048e2c4 8    9                  ascii   .idata$4
2697 0x0006f8d8 0x0048e2d8 6    7                  ascii   data$6
2698 0x0006f8e8 0x0048e2e8 5    6                  ascii   .text
2699 0x0006f8fa 0x0048e2fa 5    6                  ascii   .data
2700 0x0006f90c 0x0048e30c 4    5                  ascii   .bss
2701 0x0006f91e 0x0048e31e 8    9                  ascii   .idata$7
2702 0x0006f930 0x0048e330 9    10                 ascii   .idata$5d
2703 0x0006f944 0x0048e344 6    7                  ascii   data$4
2704 0x0006f954 0x0048e354 8    9                  ascii   .idata$6
2705 0x0006f978 0x0048e378 5    6                  ascii   .data
2706 0x0006f98a 0x0048e38a 4    5                  ascii   .bss
2707 0x0006f99c 0x0048e39c 8    9                  ascii   .idata$7
2708 0x0006f9b0 0x0048e3b0 7    8                  ascii   data$5\
2709 0x0006f9c0 0x0048e3c0 8    9                  ascii   .idata$4
2710 0x0006f9d4 0x0048e3d4 6    7                  ascii   data$6
2711 0x0006f9e4 0x0048e3e4 5    6                  ascii   .text
2712 0x0006f9f6 0x0048e3f6 5    6                  ascii   .data
2713 0x0006fa08 0x0048e408 4    5                  ascii   .bss
2714 0x0006fa1a 0x0048e41a 10   11                 ascii   .idata$7|\n
2715 0x0006fa2c 0x0048e42c 9    10                 ascii   .idata$5T
2716 0x0006fa40 0x0048e440 6    7                  ascii   data$4
2717 0x0006fa50 0x0048e450 8    9                  ascii   .idata$6
2718 0x0006fa74 0x0048e474 5    6                  ascii   .data
2719 0x0006fa86 0x0048e486 4    5                  ascii   .bss
2720 0x0006fa98 0x0048e498 10   11                 ascii   .idata$7x\n
2721 0x0006faac 0x0048e4ac 7    8                  ascii   data$5L
2722 0x0006fabc 0x0048e4bc 8    9                  ascii   .idata$4
2723 0x0006fad0 0x0048e4d0 6    7                  ascii   data$6
2724 0x0006fae0 0x0048e4e0 5    6                  ascii   .text
2725 0x0006faf2 0x0048e4f2 5    6                  ascii   .data
2726 0x0006fb04 0x0048e504 4    5                  ascii   .bss
2727 0x0006fb16 0x0048e516 10   11                 ascii   .idata$7t\n
2728 0x0006fb28 0x0048e528 9    10                 ascii   .idata$5D
2729 0x0006fb3c 0x0048e53c 6    7                  ascii   data$4
2730 0x0006fb4c 0x0048e54c 10   11                 ascii   .idata$6|\b
2731 0x0006fb70 0x0048e570 5    6                  ascii   .data
2732 0x0006fb82 0x0048e582 4    5                  ascii   .bss
2733 0x0006fb94 0x0048e594 10   11                 ascii   .idata$7p\n
2734 0x0006fba8 0x0048e5a8 7    8                  ascii   data$5<
2735 0x0006fbb8 0x0048e5b8 8    9                  ascii   .idata$4
2736 0x0006fbcc 0x0048e5cc 8    9                  ascii   data$6r\b
2737 0x0006fbdc 0x0048e5dc 5    6                  ascii   .text
2738 0x0006fbee 0x0048e5ee 5    6                  ascii   .data
2739 0x0006fc00 0x0048e600 4    5                  ascii   .bss
2740 0x0006fc12 0x0048e612 10   11                 ascii   .idata$7l\n
2741 0x0006fc24 0x0048e624 9    10                 ascii   .idata$54
2742 0x0006fc38 0x0048e638 6    7                  ascii   data$4
2743 0x0006fc48 0x0048e648 10   11                 ascii   .idata$6f\b
2744 0x0006fc6c 0x0048e66c 5    6                  ascii   .data
2745 0x0006fc7e 0x0048e67e 4    5                  ascii   .bss
2746 0x0006fc90 0x0048e690 10   11                 ascii   .idata$7h\n
2747 0x0006fca4 0x0048e6a4 7    8                  ascii   data$5,
2748 0x0006fcb4 0x0048e6b4 8    9                  ascii   .idata$4
2749 0x0006fcc8 0x0048e6c8 8    9                  ascii   data$6\\b
2750 0x0006fcd8 0x0048e6d8 5    6                  ascii   .text
2751 0x0006fcea 0x0048e6ea 5    6                  ascii   .data
2752 0x0006fcfc 0x0048e6fc 4    5                  ascii   .bss
2753 0x0006fd0e 0x0048e70e 10   11                 ascii   .idata$7d\n
2754 0x0006fd20 0x0048e720 9    10                 ascii   .idata$5$
2755 0x0006fd34 0x0048e734 6    7                  ascii   data$4
2756 0x0006fd44 0x0048e744 10   11                 ascii   .idata$6R\b
2757 0x0006fd68 0x0048e768 5    6                  ascii   .data
2758 0x0006fd7a 0x0048e77a 4    5                  ascii   .bss
2759 0x0006fd8c 0x0048e78c 10   11                 ascii   .idata$7`\n
2760 0x0006fda0 0x0048e7a0 6    7                  ascii   data$5
2761 0x0006fdb0 0x0048e7b0 8    9                  ascii   .idata$4
2762 0x0006fdc4 0x0048e7c4 8    9                  ascii   data$6J\b
2763 0x0006fdd4 0x0048e7d4 5    6                  ascii   .text
2764 0x0006fde6 0x0048e7e6 5    6                  ascii   .data
2765 0x0006fdf8 0x0048e7f8 4    5                  ascii   .bss
2766 0x0006fe0a 0x0048e80a 10   11                 ascii   .idata$7\\n
2767 0x0006fe1c 0x0048e81c 8    9                  ascii   .idata$5
2768 0x0006fe30 0x0048e830 6    7                  ascii   data$4
2769 0x0006fe40 0x0048e840 10   11                 ascii   .idata$6>\b
2770 0x0006fe64 0x0048e864 5    6                  ascii   .data
2771 0x0006fe76 0x0048e876 4    5                  ascii   .bss
2772 0x0006fe88 0x0048e888 10   11                 ascii   .idata$7X\n
2773 0x0006fe9c 0x0048e89c 7    8                  ascii   data$5\f
2774 0x0006feac 0x0048e8ac 8    9                  ascii   .idata$4
2775 0x0006fec0 0x0048e8c0 8    9                  ascii   data$64\b
2776 0x0006fed0 0x0048e8d0 5    6                  ascii   .text
2777 0x0006fee2 0x0048e8e2 5    6                  ascii   .data
2778 0x0006fef4 0x0048e8f4 4    5                  ascii   .bss
2779 0x0006ff06 0x0048e906 10   11                 ascii   .idata$7T\n
2780 0x0006ff18 0x0048e918 8    9                  ascii   .idata$5
2781 0x0006ff2c 0x0048e92c 6    7                  ascii   data$4
