[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000091 0x00000091 4   5            ascii   L_ns
2     0x00000099 0x00000099 4   5            ascii   )Unf
3     0x000000b9 0x000000b9 4   5            ascii   )Wn]
4     0x000000bf 0x000000bf 6   7            ascii   nV*Kns
5     0x000000c7 0x000000c7 6   7            ascii   nV*Qnp
6     0x000000d7 0x000000d7 6   7            ascii   nV*Tnp
7     0x000000df 0x000000df 6   7            ascii   nRichq
8     0x000001e8 0x000001e8 5   6            ascii   .text
9     0x0000020f 0x0000020f 7   8            ascii   `.rdata
10    0x00000237 0x00000237 6   7            ascii   @.data
11    0x00000260 0x00000260 5   6            ascii   .vmp0
12    0x00000288 0x00000288 5   6            ascii   .vmp1
13    0x000002b0 0x000002b0 6   7            ascii   .reloc
14    0x000002d7 0x000002d7 6   7            ascii   @.rsrc
56    0x00000afc 0x004db6fc 4   5    .vmp1   ascii   HLYJ
57    0x00000b16 0x004db716 4   5    .vmp1   ascii   X=>m
58    0x00000b43 0x004db743 4   5    .vmp1   ascii   QPek
59    0x00000b4d 0x004db74d 5   6    .vmp1   ascii   M\e}9W
60    0x00000c03 0x004db803 4   5    .vmp1   ascii   }W{Y
61    0x00000c08 0x004db808 4   5    .vmp1   ascii   !SHw
62    0x00000c58 0x004db858 5   6    .vmp1   ascii   \nXjYL
63    0x00000c62 0x004db862 4   5    .vmp1   ascii   $zCM
64    0x00000cb3 0x004db8b3 4   5    .vmp1   ascii   Qq4G
65    0x00000cbc 0x004db8bc 4   5    .vmp1   ascii   l\&X
66    0x00000ce2 0x004db8e2 6   8    .vmp1   utf8    ="H*3ƴ blocks=Basic Latin,Latin Extended-B
67    0x00000cee 0x004db8ee 5   6    .vmp1   ascii   W(3rY
68    0x00000cf8 0x004db8f8 4   5    .vmp1   ascii   *}Q(
69    0x00000d0f 0x004db90f 5   7    .vmp1   utf8    {Q̎ym blocks=Basic Latin,Combining Diacritical Marks
70    0x00000d2b 0x004db92b 4   5    .vmp1   ascii   \v,>g
71    0x00000d7d 0x004db97d 5   6    .vmp1   ascii   \v\b>!=
72    0x00000d8f 0x004db98f 5   6    .vmp1   ascii   )/xyK
73    0x00000dc4 0x004db9c4 4   5    .vmp1   ascii   /'\r\t
74    0x00000dcd 0x004db9cd 4   5    .vmp1   ascii   7w6)
75    0x00000dfc 0x004db9fc 5   6    .vmp1   ascii   \b{Q`L
76    0x00000e11 0x004dba11 4   5    .vmp1   ascii   7<AK
77    0x00000e1e 0x004dba1e 7   8    .vmp1   ascii   L3b\fzy7
78    0x00000e8d 0x004dba8d 6   7    .vmp1   ascii   /umX>U
79    0x00000f31 0x004dbb31 5   8    .vmp1   utf8    %Dx̫ٗ blocks=Basic Latin,Combining Diacritical Marks,Arabic
80    0x00000f55 0x004dbb55 4   5    .vmp1   ascii   f('@
81    0x00000f6f 0x004dbb6f 6   7    .vmp1   ascii   'y\t9M\r
82    0x00000f7e 0x004dbb7e 4   5    .vmp1   ascii   -}\K
83    0x00000f84 0x004dbb84 8   10   .vmp1   utf8    s@p\e0v:(
84    0x00000f9a 0x004dbb9a 4   5    .vmp1   ascii   3_=F
85    0x00000fb0 0x004dbbb0 4   6    .vmp1   utf8    ˾B;c blocks=Spacing Modifier Letters,Basic Latin
86    0x00000fe8 0x004dbbe8 4   5    .vmp1   ascii   Hc\bl
87    0x00000fed 0x004dbbed 4   5    .vmp1   ascii   #69g
88    0x00001018 0x004dbc18 10  11   .vmp1   ascii   ^{\bTU<@)H,
89    0x00001033 0x004dbc33 5   8    .vmp1   utf8    9ںڣ?\b blocks=Basic Latin,Arabic
90    0x00001062 0x004dbc62 5   6    .vmp1   ascii   |M=mE
91    0x0000106f 0x004dbc6f 4   5    .vmp1   ascii   v2{w
92    0x0000109f 0x004dbc9f 4   5    .vmp1   ascii   gEDD
93    0x000010a8 0x004dbca8 6   7    .vmp1   ascii   M$y0\t(
94    0x000010b5 0x004dbcb5 6   7    .vmp1   ascii   Wk4!Q}
95    0x000010c9 0x004dbcc9 4   6    .vmp1   utf8    σGkn blocks=Greek and Coptic,Basic Latin
96    0x000010d4 0x004dbcd4 4   6    .vmp1   utf8    ."ͨG blocks=Basic Latin,Combining Diacritical Marks
97    0x000010eb 0x004dbceb 5   7    .vmp1   utf8    m߁\b7s blocks=Basic Latin,NKo
98    0x000010f8 0x004dbcf8 5   7    .vmp1   utf8    \b-m=ϒ blocks=Basic Latin,Greek and Coptic
99    0x0000112a 0x004dbd2a 4   5    .vmp1   ascii   gqWa
100   0x00001155 0x004dbd55 4   5    .vmp1   ascii   px.e
101   0x00001179 0x004dbd79 5   6    .vmp1   ascii   <iQ]]
102   0x000011a6 0x004dbda6 4   5    .vmp1   ascii   72gv
103   0x000011b4 0x004dbdb4 7   8    .vmp1   ascii   $W_mRYn
104   0x000011bf 0x004dbdbf 9   11   .vmp1   utf8    1pD,ux\b5خ blocks=Basic Latin,Arabic
105   0x0000122c 0x004dbe2c 9   10   .vmp1   ascii   wVK\bBk@\vk
106   0x00001237 0x004dbe37 7   8    .vmp1   ascii   H0R!Mw<
107   0x00001240 0x004dbe40 4   6    .vmp1   utf8    xgrǇ blocks=Basic Latin,Latin Extended-B
108   0x00001262 0x004dbe62 6   7    .vmp1   ascii   .YR(ZN
109   0x00001297 0x004dbe97 5   6    .vmp1   ascii   ~#wY\n
110   0x000012c6 0x004dbec6 5   6    .vmp1   ascii   .@bN8
111   0x00001327 0x004dbf27 4   5    .vmp1   ascii   6-5]
112   0x0000133b 0x004dbf3b 4   6    .vmp1   utf8    ظsU4 blocks=Arabic,Basic Latin
113   0x00001355 0x004dbf55 4   5    .vmp1   ascii   xhS%
114   0x00001378 0x004dbf78 10  11   .vmp1   ascii   -Cr"\eM|OG
115   0x0000139c 0x004dbf9c 4   5    .vmp1   ascii   Rgxg
116   0x000013a6 0x004dbfa6 7   9    .vmp1   utf8    @ /((xܽ blocks=Basic Latin,Syriac
117   0x000013b7 0x004dbfb7 6   7    .vmp1   ascii   y*]yWy
118   0x000013c3 0x004dbfc3 4   5    .vmp1   ascii   om(\v
119   0x000013df 0x004dbfdf 6   7    .vmp1   ascii   >}t"q|
120   0x00001408 0x004dc008 7   8    .vmp1   ascii   \v\tF!K7\v
121   0x00001430 0x004dc030 4   5    .vmp1   ascii   <ndS
122   0x00001470 0x004dc070 6   7    .vmp1   ascii   M\r\By7
123   0x000014a3 0x004dc0a3 6   7    .vmp1   ascii   <<(HDv
124   0x000014d8 0x004dc0d8 4   5    .vmp1   ascii   8Gnr
125   0x00001528 0x004dc128 6   7    .vmp1   ascii   ?(I+KW
126   0x000015af 0x004dc1af 5   7    .vmp1   utf8    +pt7Ȩ blocks=Basic Latin,Latin Extended-B
127   0x0000161e 0x004dc21e 4   5    .vmp1   ascii   :}P^
128   0x0000166f 0x004dc26f 5   6    .vmp1   ascii   P-,H+
129   0x000016c2 0x004dc2c2 6   8    .vmp1   utf8    bn׳+2c blocks=Basic Latin,Hebrew
130   0x000016de 0x004dc2de 5   6    .vmp1   ascii   U!C1>
131   0x00001723 0x004dc323 4   5    .vmp1   ascii   W\v4Y
132   0x00001789 0x004dc389 4   5    .vmp1   ascii   \b\v-o
133   0x000017b4 0x004dc3b4 4   6    .vmp1   utf8    }H̓i blocks=Basic Latin,Combining Diacritical Marks
134   0x000017c2 0x004dc3c2 8   10   .vmp1   utf8    fYs;]\atȔ blocks=Basic Latin,Latin Extended-B
135   0x000017fe 0x004dc3fe 5   6    .vmp1   ascii   Yn.8D
136   0x00001829 0x004dc429 4   6    .vmp1   utf8    qQf>
137   0x0000182f 0x004dc42f 5   6    .vmp1   ascii   -w\t\rL
138   0x00001874 0x004dc474 4   5    .vmp1   ascii   \f=[p
139   0x0000189e 0x004dc49e 5   6    .vmp1   ascii   YXcS:
140   0x000018b2 0x004dc4b2 4   5    .vmp1   ascii   [q\n,
141   0x000018c3 0x004dc4c3 4   5    .vmp1   ascii   a\bA'
142   0x000018e0 0x004dc4e0 6   7    .vmp1   ascii   97PYJ:
143   0x0000193c 0x004dc53c 7   8    .vmp1   ascii   MP\v%/$0
144   0x00001960 0x004dc560 6   7    .vmp1   ascii   {t*G\b\v
145   0x0000196b 0x004dc56b 4   5    .vmp1   ascii   7:tL
146   0x00001971 0x004dc571 4   5    .vmp1   ascii   *+-P
147   0x000019c2 0x004dc5c2 4   5    .vmp1   ascii   Lzg$
148   0x00001a1f 0x004dc61f 4   6    .vmp1   utf8    p.ŧ5 blocks=Basic Latin,Latin Extended-A
149   0x00001a41 0x004dc641 4   5    .vmp1   ascii   <s+d
150   0x00001a59 0x004dc659 4   5    .vmp1   ascii   l\vZO
151   0x00001a71 0x004dc671 5   6    .vmp1   ascii   M!n'q
152   0x00001aaa 0x004dc6aa 4   5    .vmp1   ascii   7*yr
153   0x00001b0f 0x004dc70f 4   5    .vmp1   ascii   c&66
154   0x00001b73 0x004dc773 5   6    .vmp1   ascii   gFG(X
155   0x00001bbf 0x004dc7bf 5   7    .vmp1   utf8    A9\fˌ\f blocks=Basic Latin,Spacing Modifier Letters
156   0x00001bc8 0x004dc7c8 4   5    .vmp1   ascii   M+:1
157   0x00001c3c 0x004dc83c 5   6    .vmp1   ascii   .\n\rPG
158   0x00001c43 0x004dc843 4   5    .vmp1   ascii   \tQ?
159   0x00001c56 0x004dc856 5   6    .vmp1   ascii   _Lti\f
160   0x00001c76 0x004dc876 4   5    .vmp1   ascii   [YC/
161   0x00001c80 0x004dc880 13  16   .vmp1   utf8    畮[=#\vV%<W-7K0 blocks=CJK Unified Ideographs,Basic Latin
162   0x00001ca2 0x004dc8a2 5   6    .vmp1   ascii   F,\f/'
163   0x00001cc2 0x004dc8c2 5   6    .vmp1   ascii   3mA'\t
164   0x00001ccc 0x004dc8cc 7   8    .vmp1   ascii   \es3"G),
165   0x00001cfd 0x004dc8fd 5   6    .vmp1   ascii   MSLd}
166   0x00001d09 0x004dc909 4   5    .vmp1   ascii   \rD|B
167   0x00001d0f 0x004dc90f 7   8    .vmp1   ascii   b\bkPw9H
168   0x00001d1f 0x004dc91f 8   9    .vmp1   ascii   nF<ASo?v
169   0x00001d8c 0x004dc98c 5   6    .vmp1   ascii   7\=#Y
170   0x00001dd2 0x004dc9d2 5   6    .vmp1   ascii   L|vk.
171   0x00001de5 0x004dc9e5 4   5    .vmp1   ascii   ?C\N
172   0x00001dfc 0x004dc9fc 5   6    .vmp1   ascii   \bv-Ot
173   0x00001e1c 0x004dca1c 5   6    .vmp1   ascii   ?^bN`
174   0x00001e34 0x004dca34 4   5    .vmp1   ascii   9JxS
175   0x00001e3b 0x004dca3b 5   8    .vmp1   utf8    7wڳΐw blocks=Basic Latin,Arabic,Greek and Coptic
176   0x00001e5e 0x004dca5e 5   6    .vmp1   ascii   9%;\tO
177   0x00001e7c 0x004dca7c 5   6    .vmp1   ascii   [w7{S
178   0x00001e8f 0x004dca8f 4   5    .vmp1   ascii   k\#6
179   0x00001e9f 0x004dca9f 5   6    .vmp1   ascii   \bw:1)
180   0x00001ee6 0x004dcae6 4   5    .vmp1   ascii   \nAV?
181   0x00001f04 0x004dcb04 4   5    .vmp1   ascii   *W\e!
182   0x00001f27 0x004dcb27 8   9    .vmp1   ascii   '?\f'OH?C
183   0x00001f46 0x004dcb46 4   5    .vmp1   ascii   w}f#
184   0x00001fa6 0x004dcba6 7   8    .vmp1   ascii   cL5W8)8
185   0x00001fcf 0x004dcbcf 5   7    .vmp1   utf8    ֬=l$H blocks=Hebrew,Basic Latin
186   0x00002044 0x004dcc44 4   7    .vmp1   utf8    O7Úڰ blocks=Basic Latin,Latin-1 Supplement,Arabic
187   0x0000206e 0x004dcc6e 4   5    .vmp1   ascii   CSq:
188   0x000020df 0x004dccdf 5   7    .vmp1   utf8    ߷/qW9 blocks=NKo,Basic Latin
189   0x000020e6 0x004dcce6 4   5    .vmp1   ascii   bwVL
190   0x000020fa 0x004dccfa 4   6    .vmp1   utf8    ]:ܼj blocks=Basic Latin,Syriac
191   0x00002170 0x004dcd70 4   5    .vmp1   ascii   `?G\r
192   0x00002187 0x004dcd87 4   6    .vmp1   utf8    ƚ()e blocks=Latin Extended-B,Basic Latin
193   0x000021a5 0x004dcda5 4   5    .vmp1   ascii   hsQe
194   0x000021d0 0x004dcdd0 5   6    .vmp1   ascii   Y7''9
195   0x000021dc 0x004dcddc 5   7    .vmp1   utf8    6H1˄T blocks=Basic Latin,Spacing Modifier Letters
196   0x000021fb 0x004dcdfb 6   7    .vmp1   ascii   'x;xMk
197   0x0000220c 0x004dce0c 6   7    .vmp1   ascii   X\e\n#6O
198   0x00002224 0x004dce24 4   5    .vmp1   ascii   a:So
199   0x0000223a 0x004dce3a 6   7    .vmp1   ascii   w^C'+7
200   0x000022ba 0x004dceba 6   7    .vmp1   ascii   OL}EY{
201   0x000022d2 0x004dced2 7   8    .vmp1   ascii   %6W8ihX
202   0x0000230f 0x004dcf0f 4   6    .vmp1   utf8    KHiˢ blocks=Basic Latin,Spacing Modifier Letters
203   0x00002320 0x004dcf20 6   8    .vmp1   utf8    5Gz'(ߚ blocks=Basic Latin,NKo
204   0x00002336 0x004dcf36 4   6    .vmp1   utf8    RGޕn blocks=Basic Latin,Thaana
205   0x0000235b 0x004dcf5b 4   5    .vmp1   ascii   9aY\n
206   0x00002388 0x004dcf88 4   5    .vmp1   ascii   <7H\n
207   0x000023cc 0x004dcfcc 6   7    .vmp1   ascii   /-3O0\v
208   0x00002400 0x004dd000 7   8    .vmp1   ascii   +8xX!8?
209   0x00002411 0x004dd011 5   6    .vmp1   ascii   !4IXK
210   0x00002450 0x004dd050 5   6    .vmp1   ascii   d?|Sg
211   0x0000247b 0x004dd07b 7   8    .vmp1   ascii   Gg0>w4X
212   0x00002483 0x004dd083 4   5    .vmp1   ascii   kX.+
213   0x000024b8 0x004dd0b8 5   6    .vmp1   ascii   B.D=N
214   0x000024f6 0x004dd0f6 4   5    .vmp1   ascii   \e]{G
215   0x000024fb 0x004dd0fb 4   5    .vmp1   ascii   -Owt
216   0x0000251e 0x004dd11e 4   5    .vmp1   ascii   a/+P
217   0x00002553 0x004dd153 5   6    .vmp1   ascii   PH\t/ 
218   0x0000257c 0x004dd17c 5   6    .vmp1   ascii   \n[o!P
219   0x00002596 0x004dd196 4   5    .vmp1   ascii   A\bhP
220   0x000025ac 0x004dd1ac 6   7    .vmp1   ascii   7+%o-s
221   0x000025c7 0x004dd1c7 6   8    .vmp1   utf8    @Z\vJÚ% blocks=Basic Latin,Latin-1 Supplement
222   0x000025f7 0x004dd1f7 4   5    .vmp1   ascii   3GG\a
223   0x0000261d 0x004dd21d 6   7    .vmp1   ascii   *6J0?7
224   0x0000265a 0x004dd25a 4   5    .vmp1   ascii   QF+H
225   0x0000266f 0x004dd26f 5   6    .vmp1   ascii   '>"rf
226   0x000026c2 0x004dd2c2 4   5    .vmp1   ascii   t[?O
227   0x000026cf 0x004dd2cf 5   7    .vmp1   utf8    3@ǻb= blocks=Basic Latin,Latin Extended-B
228   0x00002705 0x004dd305 6   7    .vmp1   ascii   UoYnlO
229   0x00002722 0x004dd322 4   5    .vmp1   ascii   Q4zl
230   0x0000272b 0x004dd32b 5   6    .vmp1   ascii   F;jC*
231   0x0000273f 0x004dd33f 7   8    .vmp1   ascii   \a+wQ0G.
232   0x0000275f 0x004dd35f 4   5    .vmp1   ascii   (@dO
233   0x000027bd 0x004dd3bd 7   8    .vmp1   ascii   |!/\vY07
234   0x000027ca 0x004dd3ca 4   5    .vmp1   ascii   {&P'
235   0x000027cf 0x004dd3cf 4   6    .vmp1   utf8    T̈́N; blocks=Basic Latin,Combining Diacritical Marks
236   0x000027e3 0x004dd3e3 5   6    .vmp1   ascii   !wBO\v
237   0x00002848 0x004dd448 4   5    .vmp1   ascii   Y7DT
238   0x0000284d 0x004dd44d 6   8    .vmp1   utf8    GQݧw7H blocks=Basic Latin,Arabic Supplement
239   0x00002855 0x004dd455 5   6    .vmp1   ascii   \ed]8/
240   0x00002887 0x004dd487 4   5    .vmp1   ascii   Dt%+
241   0x0000289a 0x004dd49a 4   5    .vmp1   ascii   \n5a{
242   0x000028a2 0x004dd4a2 5   6    .vmp1   ascii   *soBj
243   0x000028bf 0x004dd4bf 4   5    .vmp1   ascii   yC\o
244   0x00002942 0x004dd542 6   7    .vmp1   ascii   ]{x.3[
245   0x0000294c 0x004dd54c 7   9    .vmp1   utf8    m>;}˻MW blocks=Basic Latin,Spacing Modifier Letters
246   0x00002970 0x004dd570 4   5    .vmp1   ascii   #g*]
247   0x00002975 0x004dd575 4   5    .vmp1   ascii   k\v&;
248   0x00002995 0x004dd595 4   6    .vmp1   utf8    ˇ\r>? blocks=Spacing Modifier Letters,Basic Latin
249   0x0000299b 0x004dd59b 4   5    .vmp1   ascii   o Y.
250   0x000029a0 0x004dd5a0 4   5    .vmp1   ascii   !gX;
251   0x000029b4 0x004dd5b4 4   5    .vmp1   ascii    >c{
252   0x000029da 0x004dd5da 7   8    .vmp1   ascii   'pI=tDp
253   0x00002a0d 0x004dd60d 6   7    .vmp1   ascii   J\nV k2
254   0x00002a40 0x004dd640 10  11   .vmp1   ascii   'aIFlBM+Zg
255   0x00002aa4 0x004dd6a4 4   6    .vmp1   utf8    2ک;( blocks=Basic Latin,Arabic
256   0x00002ac9 0x004dd6c9 5   7    .vmp1   utf8    ߇6\nIW blocks=NKo,Basic Latin
257   0x00002ae6 0x004dd6e6 4   5    .vmp1   ascii   42Tg
258   0x00002b1c 0x004dd71c 4   5    .vmp1   ascii   |X:M
259   0x00002b24 0x004dd724 6   8    .vmp1   utf8    \f2sߏ'v blocks=Basic Latin,NKo
260   0x00002b90 0x004dd790 5   6    .vmp1   ascii   c:Y*/
261   0x00002b97 0x004dd797 7   8    .vmp1   ascii   x#Wt1"v
262   0x00002ba9 0x004dd7a9 5   6    .vmp1   ascii   q$\r\vG
263   0x00002bdf 0x004dd7df 4   5    .vmp1   ascii   FYGd
264   0x00002c15 0x004dd815 4   5    .vmp1   ascii   oY~7
265   0x00002c28 0x004dd828 6   7    .vmp1   ascii   \n6Wg'?
266   0x00002c37 0x004dd837 5   6    .vmp1   ascii   uE{<O
267   0x00002c5b 0x004dd85b 5   6    .vmp1   ascii   p&`H\v
268   0x00002c69 0x004dd869 5   6    .vmp1   ascii   ?+\bbS
269   0x00002c72 0x004dd872 6   8    .vmp1   utf8     ¢J_"\n blocks=Basic Latin,Latin-1 Supplement
270   0x00002c7a 0x004dd87a 7   8    .vmp1   ascii    Q-WcM6
271   0x00002ce3 0x004dd8e3 4   5    .vmp1   ascii   %'p/
272   0x00002d02 0x004dd902 4   5    .vmp1   ascii   Q\nL
273   0x00002d24 0x004dd924 4   5    .vmp1   ascii   <nmT
274   0x00002d76 0x004dd976 6   8    .vmp1   utf8    \r1o3Ɠ8 blocks=Basic Latin,Latin Extended-B
275   0x00002db9 0x004dd9b9 4   5    .vmp1   ascii   G7Dt
276   0x00002dd1 0x004dd9d1 6   8    .vmp1   utf8    3ɾpFmH blocks=Basic Latin,IPA Extensions
277   0x00002dec 0x004dd9ec 6   8    .vmp1   utf8    \r.ȟ1-l blocks=Basic Latin,Latin Extended-B
278   0x00002e0e 0x004dda0e 5   7    .vmp1   utf8    V0Wþ5 blocks=Basic Latin,Latin-1 Supplement
279   0x00002e16 0x004dda16 4   5    .vmp1   ascii   G3Pg
280   0x00002e29 0x004dda29 6   7    .vmp1   ascii   pW\ag'<
281   0x00002e71 0x004dda71 5   6    .vmp1   ascii   }[Umw
282   0x00002e8b 0x004dda8b 4   6    .vmp1   utf8    <ʚmB blocks=Basic Latin,IPA Extensions
283   0x00002e96 0x004dda96 4   5    .vmp1   ascii   N\v|'
284   0x00002eb4 0x004ddab4 6   7    .vmp1   ascii   J@$"+"
285   0x00002ee8 0x004ddae8 4   5    .vmp1   ascii   jMWG
286   0x00002f04 0x004ddb04 6   9    .vmp1   utf8    ]P%濽ry blocks=Basic Latin,CJK Unified Ideographs
287   0x00002f0d 0x004ddb0d 6   7    .vmp1   ascii   eLrqbG
288   0x00002f36 0x004ddb36 4   8    .vmp1   utf8    뀇ɜJh blocks=Hangul Syllables,IPA Extensions,Basic Latin
289   0x00002f4c 0x004ddb4c 4   5    .vmp1   ascii   d9\v;
290   0x00002f7c 0x004ddb7c 6   7    .vmp1   ascii   L{wA)Z
291   0x00002fad 0x004ddbad 8   11   .vmp1   utf8    +֤9Tط2R< blocks=Basic Latin,Hebrew,Arabic
292   0x00002feb 0x004ddbeb 4   5    .vmp1   ascii   "`"'
293   0x00002ff9 0x004ddbf9 4   5    .vmp1   ascii   (ing
294   0x00003019 0x004ddc19 4   6    .vmp1   utf8    4ږ\n& blocks=Basic Latin,Arabic
295   0x00003021 0x004ddc21 9   10   .vmp1   ascii   GoQwO Y$W
296   0x00003046 0x004ddc46 4   5    .vmp1   ascii   e9T*
297   0x0000306e 0x004ddc6e 4   7    .vmp1   utf8    ϧ/ݾV blocks=Greek and Coptic,Basic Latin,Arabic Supplement
298   0x000030aa 0x004ddcaa 5   6    .vmp1   ascii   Kj-j;
299   0x000030ba 0x004ddcba 4   5    .vmp1   ascii   QW\f@
300   0x000030c5 0x004ddcc5 5   7    .vmp1   utf8    xքs2k blocks=Basic Latin,Armenian
301   0x000030d7 0x004ddcd7 12  13   .vmp1   ascii   83^+?"Z!.?Na
302   0x00003108 0x004ddd08 4   5    .vmp1   ascii   ,I\n\b
303   0x0000314c 0x004ddd4c 4   5    .vmp1   ascii   aoSP
304   0x00003193 0x004ddd93 5   6    .vmp1   ascii   \b\Wx?
305   0x000031b7 0x004dddb7 5   6    .vmp1   ascii   .<a|c
306   0x000031c5 0x004dddc5 5   7    .vmp1   utf8    Q7C ړ blocks=Basic Latin,Arabic
307   0x000031de 0x004dddde 4   5    .vmp1   ascii   #;:\n
308   0x0000322d 0x004dde2d 5   6    .vmp1   ascii   W8S^S
309   0x0000323c 0x004dde3c 4   5    .vmp1   ascii   8~^%
310   0x0000327c 0x004dde7c 16  21   .vmp1   utf8    \r8-M!m?٣썜ٷk>[^A+ blocks=Basic Latin,Arabic,Hangul Syllables
311   0x00003296 0x004dde96 6   9    .vmp1   utf8    \tE퓬@lu blocks=Basic Latin,Hangul Syllables
312   0x000032a5 0x004ddea5 4   5    .vmp1   ascii   wPKM
313   0x000032af 0x004ddeaf 8   9    .vmp1   ascii   lW3Y$\v!9
314   0x00003341 0x004ddf41 5   6    .vmp1   ascii   'D76!
315   0x00003370 0x004ddf70 4   5    .vmp1   ascii   #!Zo
316   0x00003392 0x004ddf92 4   5    .vmp1   ascii   \b7=/
317   0x000033ac 0x004ddfac 4   5    .vmp1   ascii   g(/w
318   0x000033e3 0x004ddfe3 4   6    .vmp1   utf8    dЀNg blocks=Basic Latin,Cyrillic
319   0x00003419 0x004de019 6   8    .vmp1   utf8    xۧ"sZ` blocks=Basic Latin,Arabic
320   0x00003421 0x004de021 5   6    .vmp1   ascii   /hl)7
321   0x0000344d 0x004de04d 6   7    .vmp1   ascii   -.W&N^
