ii 1168 64
[Strings]
nth  paddr      vaddr      len size section type    string
103  0x00001b7d 0x00001b3d 4   5            ascii   \n\a {
104  0x00001b8a 0x00001b4a 4   5            ascii   ?(\r(
105  0x00001b96 0x00001b56 4   5            ascii   \n\a '
106  0x00001baf 0x00001b6f 4   5            ascii   \n\a \v
107  0x00001bb5 0x00001b75 5   7            utf8    a!9߅1 blocks=Basic Latin,NKo
108  0x00001bc8 0x00001b88 4   5            ascii   \n\a \a
109  0x00001be7 0x00001ba7 8   9            ascii   m!\eM`[}b
110  0x00001bfa 0x00001bba 4   5            ascii   \n\a M
111  0x00001c00 0x00001bc0 4   5            ascii   h!/E
112  0x00001c21 0x00001be1 4   5            ascii   Ib(\n
113  0x00001c5e 0x00001c1e 4   5            ascii   \n\a \r
114  0x00001c65 0x00001c25 6   7            ascii   !Tp3k]
115  0x00001c7e 0x00001c3e 4   5            ascii   !(K=
116  0x00001c85 0x00001c45 4   5            ascii   \f\v(\a
117  0x00001c90 0x00001c50 4   5            ascii   \n\a /
118  0x00001ca9 0x00001c69 4   5            ascii   \n\a "
119  0x00001cc2 0x00001c82 5   6            ascii   \n\a jA
120  0x00001cc8 0x00001c88 4   6            utf8    y!ֲo blocks=Basic Latin,Hebrew
121  0x00001cf4 0x00001cb4 11  12           ascii   \n\a \vm?B!jiU
122  0x00001d18 0x00001cd8 4   5            ascii   \t(dL
123  0x00001d2c 0x00001cec 5   6            ascii   X!KLA
124  0x00001d5e 0x00001d1e 4   5            ascii   &!B^
125  0x00001d71 0x00001d31 4   5            ascii   \n\a 5
126  0x00001da7 0x00001d67 5   6            ascii   O*B! 
127  0x00001dc0 0x00001d80 6   7            ascii   :IU!`\e
128  0x00001df3 0x00001db3 4   5            ascii   L>!Z
129  0x00001e52 0x00001e12 5   6            ascii   \n\a r\
130  0x00001e6b 0x00001e2b 4   5            ascii   \n\a H
131  0x00001e71 0x00001e31 5   6            ascii   /!Fa5
132  0x00001e89 0x00001e49 5   6            ascii   q,!aV
133  0x00001e9d 0x00001e5d 4   5            ascii   \n\a Y
134  0x00001ed3 0x00001e93 4   5            ascii   yDs!
135  0x00001ee8 0x00001ea8 7   9            utf8    \n\a ܰ"\v! blocks=Basic Latin,Syriac
136  0x00001f06 0x00001ec6 5   6            ascii   j[!nv
137  0x00001f0e 0x00001ece 4   6            utf8    /Ԡ(\a blocks=Basic Latin,Cyrillic Supplement
138  0x00001f1a 0x00001eda 7   9            utf8    \n\a ۳O\t! blocks=Basic Latin,Arabic
139  0x00001f4c 0x00001f0c 5   6            ascii   \n\a b@
140  0x00001f89 0x00001f49 7   8            ascii   v+X$w(\f
141  0x00001fe2 0x00001fa2 4   5            ascii   \n\a (
142  0x00001fe7 0x00001fa7 4   5            ascii   )z!(
143  0x00001ffb 0x00001fbb 5   6            ascii   \n\a |{
144  0x00002001 0x00001fc1 5   6            ascii   *!^u|
145  0x00002018 0x00001fd8 5   6            ascii   X'X!\
146  0x0000202d 0x00001fed 4   5            ascii   \n\a 0
147  0x00002046 0x00002006 5   6            ascii   \n\a @$
148  0x0000205f 0x0000201f 4   5            ascii   \n\a f
149  0x00002064 0x00002024 4   5            ascii   gC!+
150  0x00002086 0x00002046 4   5            ascii   >`(\f
151  0x000020aa 0x0000206a 6   7            ascii   \n\a ~&\b
152  0x000020dc 0x0000209c 8   9            ascii   \n\a \bKB{!
153  0x000020ea 0x000020aa 4   5            ascii   oy(\r
154  0x000020f5 0x000020b5 4   5            ascii   \n\a}\b
155  0x0000216a 0x0000212a 4   7            utf8     廇k! blocks=Basic Latin,CJK Unified Ideographs
156  0x00002174 0x00002134 4   6            utf8    Ʀ I( blocks=Latin Extended-B,Basic Latin
157  0x0000228a 0x0000224a 4   5            ascii   \f\b\r\t
158  0x000022fe 0x000022be 4   5            ascii   i.!\a
159  0x00002309 0x000022c9 8   9            ascii    -`H5!D\r
160  0x0000234a 0x0000230a 4   5            ascii   \v\a( 
161  0x00002351 0x00002311 4   5            ascii   \f\b($
162  0x00002380 0x00002340 4   5            ascii   \fI\r(
163  0x000023fe 0x000023be 4   5            ascii   \v\a( 
164  0x00002405 0x000023c5 4   5            ascii   \f\b($
165  0x00002490 0x00002450 4   5            ascii   + lQ
166  0x00002498 0x00002458 6   7            ascii   JKEjMR
167  0x000024be 0x0000247e 6   7            ascii   J!ZE&Q
168  0x000024fa 0x000024ba 4   5            ascii   ?!kd
169  0x0000254d 0x0000250d 4   5            ascii   ^1h(
170  0x000025d5 0x00002595 6   7            ascii    79^t!
171  0x0000260e 0x000025ce 5   6            ascii   _BK(\b
172  0x00002615 0x000025d5 4   5            ascii   + 8D
173  0x00002631 0x000025f1 6   7            ascii    zNj\!
174  0x00002643 0x00002603 4   5            ascii   + On
175  0x0000264f 0x0000260f 5   6            ascii   :A8(\r
176  0x00002674 0x00002634 5   6            ascii   GDm!,
177  0x000026d5 0x00002695 4   5            ascii   X@(\n
178  0x00002709 0x000026c9 4   5            ascii   %F@!
179  0x00002735 0x000026f5 7   9            utf8    GJ!wۯ_X blocks=Basic Latin,Arabic
180  0x00002770 0x00002730 8   10           utf8    + eMkt!ӟ blocks=Basic Latin,Cyrillic
181  0x0000279b 0x0000275b 7   9            utf8    + Χm(!1 blocks=Basic Latin,Greek and Coptic
182  0x000027bf 0x0000277f 4   5            ascii   Ete(
183  0x000027c9 0x00002789 6   8            utf8    2~v!Iͷ blocks=Basic Latin,Greek and Coptic
184  0x00002818 0x000027d8 5   6            ascii   \n*.~I
185  0x0000288d 0x0000284d 8   9            ascii   !HvEq42W
186  0x000028e7 0x000028a7 6   7            ascii   Tw!TJV
187  0x0000290a 0x000028ca 4   5            ascii   \n\f+Q
188  0x0000292e 0x000028ee 4   5            ascii   \v\a(L
189  0x000029ce 0x0000298e 4   5            ascii   ,2 \f
190  0x000029e2 0x000029a2 4   5            ascii   + @n
191  0x000029ff 0x000029bf 4   5            ascii   .3* 
192  0x00002a14 0x000029d4 12  14           utf8    + K,r/!BlPTڕ blocks=Basic Latin,Arabic
193  0x00002a8f 0x00002a4f 4   5            ascii   ,0 )
194  0x00002a99 0x00002a59 4   5            ascii   0\v5y
195  0x00002aa3 0x00002a63 4   5            ascii   + \b]
196  0x00002abf 0x00002a7f 4   6            utf8    &* գ blocks=Basic Latin,Armenian
197  0x00002ac5 0x00002a85 6   8            utf8    E!\]@ְ blocks=Basic Latin,Hebrew
198  0x00002b5b 0x00002b1b 6   8            utf8    S!|?]ˏ blocks=Basic Latin,Spacing Modifier Letters
199  0x00002c14 0x00002bd4 5   6            ascii   \n\v\ao^
200  0x00002c60 0x00002c20 5   6            ascii   ]!!J\t
201  0x00002c68 0x00002c28 4   5            ascii   \tC(\n
202  0x00002c8a 0x00002c4a 5   6            ascii   &* Bg
203  0x00002cdf 0x00002c9f 5   6            ascii   ,0 h>
204  0x00002ce5 0x00002ca5 4   5            ascii   '!VG
205  0x00002d0f 0x00002ccf 4   5            ascii   &*(<
206  0x00002d1e 0x00002cde 5   6            ascii   4'!_6
207  0x00002d73 0x00002d33 4   5            ascii   &* j
208  0x00002d7c 0x00002d3c 4   5            ascii   z}cU
209  0x00002d9a 0x00002d5a 6   7            ascii   <Mv!>#
210  0x00002ecd 0x00002e8d 4   5            ascii   I<(\n
211  0x00002ee2 0x00002ea2 6   7            ascii   s\ff!mK
212  0x00002ee9 0x00002ea9 6   7            ascii   Ox4!n(
213  0x00002f03 0x00002ec3 5   6            ascii   n!hJu
214  0x00002f21 0x00002ee1 5   6            ascii   {!o,!
215  0x00002fd8 0x00002f98 5   6            ascii   oY\e2d
216  0x00003092 0x00003052 5   6            ascii   ^!\a<1
217  0x000030b4 0x00003074 4   5            ascii   cI!)
218  0x000030bd 0x0000307d 4   5            ascii   c)(\t
219  0x000030cf 0x0000308f 6   7            ascii    }\rX5!
220  0x000030db 0x0000309b 4   5            ascii   ur(\n
221  0x00003129 0x000030e9 6   7            ascii    0^\b?!
222  0x00003149 0x00003109 5   6            ascii   _Q%!A
223  0x00003169 0x00003129 5   6            ascii   \t!Pz:
224  0x000031a3 0x00003163 4   5            ascii   !{s!
225  0x000031c7 0x00003187 4   5            ascii   Da\e>
226  0x00003474 0x00003434 5   7            utf8    ̚?!Vb blocks=Combining Diacritical Marks,Basic Latin
227  0x000034ac 0x0000346c 4   5            ascii   \f\b-[
228  0x000034d1 0x00003491 5   6            ascii   \r+$\b(
229  0x000035f2 0x000035b2 4   5            ascii   8!-:
230  0x0000368f 0x0000364f 4   5            ascii   6=i\r
231  0x000036a1 0x00003661 4   5            ascii   \v\a &
232  0x000036a6 0x00003666 4   5            ascii   S\v!L
233  0x0000375c 0x0000371c 4   5            ascii   \aGe!
234  0x000037aa 0x0000376a 6   7            ascii    BLq*!
235  0x000037b5 0x00003775 4   5            ascii   `Un(
236  0x000037d5 0x00003795 4   5            ascii   JS!\a
237  0x0000382c 0x000037ec 4   6            utf8    W/u(
238  0x0000384a 0x0000380a 9   10           ascii    evw\t!?O<
239  0x00003872 0x00003832 6   7            ascii   kj!,v\r
240  0x000038e0 0x000038a0 4   5            ascii   X\f\b\a
241  0x000039e1 0x000039a1 4   5            ascii   !RhM
242  0x00003a00 0x000039c0 5   7            utf8    d!\fDƽ blocks=Basic Latin,Latin Extended-B
243  0x00003a22 0x000039e2 4   5            ascii   *R^!
244  0x00003a72 0x00003a32 4   5            ascii   !4X#
245  0x00003a7f 0x00003a3f 4   5            ascii   +\b(f
246  0x00003aae 0x00003a6e 4   5            ascii   +\b(f
247  0x00003ba3 0x00003b63 5   6            ascii   Bo!O0
248  0x00003bb8 0x00003b78 4   5            ascii   ,1 p
249  0x00003bc4 0x00003b84 5   6            ascii   fOQ{(
250  0x00003be8 0x00003ba8 9   10           ascii   &+/ !\f#e!
251  0x00003c24 0x00003be4 7   8            ascii   7!a*k,C
252  0x00003c77 0x00003c37 5   6            ascii   V!xrT
253  0x00003c91 0x00003c51 4   5            ascii   \v+C\b
254  0x00003cb8 0x00003c78 4   5            ascii   '!l`
255  0x00003ccc 0x00003c8c 4   5            ascii   -\t\a\t
256  0x00003d14 0x00003cd4 5   6            ascii   =+*m(
257  0x00003dfd 0x00003dbd 4   5            ascii   `!^-
258  0x00003e02 0x00003dc2 7   8            ascii   {(I\t>(\r
259  0x00003e17 0x00003dd7 5   6            ascii   K^!\e\v
260  0x00003e1e 0x00003dde 5   6            ascii   (|wA(
261  0x00003e53 0x00003e13 5   7            utf8     Pض5! blocks=Basic Latin,Arabic
262  0x00003e7a 0x00003e3a 7   8            ascii   +L!)-~!
263  0x00003f34 0x00003ef4 4   5            ascii   W\ea!
264  0x00003f59 0x00003f19 5   7            utf8    :M\edԧ blocks=Basic Latin,Cyrillic Supplement
265  0x00003f72 0x00003f32 6   7            ascii    F2!2!
266  0x00003f7e 0x00003f3e 4   5            ascii   [Q(\b
267  0x00003fdd 0x00003f9d 4   5            ascii   b!K\n
268  0x00003fe4 0x00003fa4 4   5            ascii    u((
269  0x0000404f 0x0000400f 8   9            ascii   _!}9z<?d
270  0x0000406d 0x0000402d 4   5            ascii   i!lR
271  0x00004086 0x00004046 7   8            ascii    Z\bJ;!r
272  0x000040fc 0x000040bc 6   7            ascii   Y@Zi(Z
273  0x0000416f 0x0000412f 4   5            ascii   %%!d
274  0x00004178 0x00004138 4   5            ascii   7O(\v
275  0x0000419d 0x0000415d 5   7            utf8    %!j{ڬ blocks=Basic Latin,Arabic
276  0x000041c4 0x00004184 4   6            utf8    \tж(\f blocks=Basic Latin,Cyrillic
277  0x000041eb 0x000041ab 6   7            ascii    i\tn\f!
278  0x000041f2 0x000041b2 4   5            ascii   \e_^X
279  0x000041f7 0x000041b7 4   5            ascii   S((\v
280  0x00004280 0x00004240 4   5            ascii   [5(\f
281  0x00004476 0x00004436 6   7            ascii   s}L!U-
282  0x000045a6 0x00004566 4   5            ascii   !$\tj
283  0x000047b5 0x00004775 5   7            utf8    \vU!˒P blocks=Basic Latin,Spacing Modifier Letters
284  0x0000483f 0x000047ff 4   5            ascii   nw@!
285  0x00004867 0x00004827 4   6            utf8    ԁ7(\a blocks=Cyrillic Supplement,Basic Latin
286  0x0000490c 0x000048cc 6   7            ascii   -}z!sr
287  0x00004986 0x00004946 4   5            ascii   /!\bR
288  0x000049de 0x0000499e 6   7            ascii   >j!! )
289  0x00004a70 0x00004a30 4   6            utf8    V-ԏ( blocks=Basic Latin,Cyrillic Supplement
290  0x00004abc 0x00004a7c 6   7            ascii     sI{!
291  0x00004ade 0x00004a9e 5   6            ascii   o!j\G
292  0x00004ba6 0x00004b66 4   5            ascii   (\r!u
293  0x00004baf 0x00004b6f 4   5            ascii   Dk(\f
294  0x00004c0c 0x00004bcc 4   5            ascii   cW(\t
295  0x00004c8d 0x00004c4d 4   5            ascii   K}c!
296  0x00004cae 0x00004c6e 4   5            ascii   d!vG
297  0x00004dcc 0x00004d8c 5   6            ascii   NBi!-
298  0x00004f12 0x00004ed2 4   5            ascii   9!\l
299  0x00004f74 0x00004f34 4   6            utf8    =!(¾ blocks=Basic Latin,Latin-1 Supplement
300  0x00004fa1 0x00004f61 8   9            ascii   $3!g}s-`
301  0x00005101 0x000050c1 4   5            ascii   &!/r
302  0x000051c4 0x00005184 4   5            ascii   \v\a(@
303  0x00005205 0x000051c5 4   5            ascii   -&s\b
304  0x00005226 0x000051e6 4   5            ascii   \r\t(\r
305  0x0000526c 0x0000522c 4   5            ascii   \r\t\b(
306  0x000052b2 0x00005272 4   6            utf8    k!ǻx blocks=Basic Latin,Latin Extended-B
307  0x000052d6 0x00005296 4   5            ascii   {\+!
308  0x000053c2 0x00005382 4   6            utf8    \n ʥ! blocks=Basic Latin,IPA Extensions
309  0x000053cc 0x0000538c 4   5            ascii   +1u*
310  0x000054a1 0x00005461 5   6            ascii   [VA!Q
311  0x000054fb 0x000054bb 4   6            utf8    K!ɣD blocks=Basic Latin,IPA Extensions
312  0x0000559c 0x0000555c 8   10           utf8    q\r^!rt̜\b blocks=Basic Latin,Combining Diacritical Marks
313  0x0000561e 0x000055de 4   5            ascii   M2s!
314  0x0000565b 0x0000561b 4   5            ascii   \vgF!
315  0x00005671 0x00005631 4   5            ascii   ,m~T
316  0x0000569a 0x0000565a 4   5            ascii   ,D~T
317  0x000056c1 0x00005681 4   5            ascii   cw!^
318  0x00005701 0x000056c1 4   5            ascii   *f 9
319  0x00005727 0x000056e7 4   6            utf8    A~Ċ8 blocks=Basic Latin,Latin Extended-A
320  0x00005752 0x00005712 4   5            ascii     dO
321  0x00005757 0x00005717 5   6            ascii   {!EIW
322  0x0000575e 0x0000571e 4   6            utf8    u˙(\a blocks=Basic Latin,Spacing Modifier Letters
323  0x000057be 0x0000577e 5   7            utf8    !V,Cș blocks=Basic Latin,Latin Extended-B
324  0x0000581f 0x000057df 4   6            utf8    &2!T
325  0x00005834 0x000057f4 4   5            ascii   \f\b\r+
326  0x00005850 0x00005810 5   6            ascii   X\r\t\bY
327  0x00005861 0x00005821 4   5            ascii   G:?z
328  0x00005884 0x00005844 4   5            ascii   \tY(\e
329  0x000058dc 0x0000589c 5   8            utf8    '٪ޱ(\a blocks=Basic Latin,Arabic,Thaana
330  0x000058ee 0x000058ae 8   9            ascii    .vqb!:U
331  0x000058f9 0x000058b9 4   5            ascii   hP\v(
332  0x00005916 0x000058d6 5   7            utf8    #c!:ɏ blocks=Basic Latin,Latin Extended-B
333  0x00005972 0x00005932 4   5            ascii   rn!?
334  0x0000599f 0x0000595f 4   5            ascii   + 3z
335  0x000059aa 0x0000596a 5   6            ascii   G\tQL(
336  0x000059bb 0x0000597b 4   5            ascii   <p;!
337  0x000059dc 0x0000599c 4   6            utf8    W!\v̓ blocks=Basic Latin,Combining Diacritical Marks
338  0x000059fd 0x000059bd 9   10           ascii   \v\a RVdg!>
339  0x00005a0a 0x000059ca 4   5            ascii   +QK(
340  0x00005a57 0x00005a17 7   8            ascii    \n{,o!p
341  0x00005a69 0x00005a29 4   5            ascii   + 1T
342  0x00005a6e 0x00005a2e 4   5            ascii   h!#*
343  0x00005add 0x00005a9d 4   5            ascii    u!\b
344  0x00005af2 0x00005ab2 4   5            ascii   * L\v
345  0x00005b1b 0x00005adb 5   6            ascii   \n+]~R
346  0x00005b52 0x00005b12 4   6            utf8    IC!ܺ blocks=Basic Latin,Syriac
347  0x00005bf2 0x00005bb2 7   8            ascii   \r\t,>\t(3
348  0x00005cb1 0x00005c71 5   6            ascii   \v+o~R
349  0x00005cc6 0x00005c86 4   5            ascii   \f\b u
350  0x00005ccb 0x00005c8b 4   6            utf8    PI!ܩ blocks=Basic Latin,Syriac
351  0x00005ce6 0x00005ca6 4   5            ascii   \r\t(3
352  0x00005d15 0x00005cd5 4   5            ascii   \r&~I
353  0x00005d2e 0x00005cee 5   6            ascii   ,\r\a~R
354  0x00005d83 0x00005d43 5   6            ascii   \f\b :c
355  0x00005d8d 0x00005d4d 6   8            utf8    OTKßU( blocks=Basic Latin,Latin-1 Supplement
356  0x00005e1e 0x00005dde 4   5            ascii   \t%(P
357  0x00005e45 0x00005e05 4   5            ascii   \b\t(P
358  0x00005eb2 0x00005e72 4   5            ascii   \r&~I
359  0x00005ecb 0x00005e8b 5   6            ascii   ,\r\a~R
360  0x00005f56 0x00005f16 4   5            ascii   \t!9U
361  0x00005f77 0x00005f37 4   5            ascii   \r\t(d
362  0x00005f81 0x00005f41 4   5            ascii   r8!I
363  0x00005fa3 0x00005f63 4   5            ascii   !iB!
364  0x00005fdf 0x00005f9f 4   5            ascii   Vc:(
365  0x0000607a 0x0000603a 4   5            ascii   !I!W
366  0x000060c0 0x00006080 4   5            ascii   \n*Vs
367  0x000060f7 0x000060b7 5   6            ascii   nZm\r!
368  0x0000610d 0x000060cd 6   7            ascii   a\tnZ\v!
369  0x0000614e 0x0000610e 4   5            ascii   \f!06
370  0x00006165 0x00006125 9   10           ascii   \v\a\aZ\v!%#"
371  0x00006192 0x00006152 4   5            ascii   aaZ\n
372  0x0000619c 0x0000615c 4   6            utf8    \va ݞ blocks=Basic Latin,Arabic Supplement
373  0x000061bb 0x0000617b 5   6            ascii   `$XX 
374  0x000061c3 0x00006183 8   9            ascii    YXXnZX\n
375  0x000061f6 0x000061b6 6   8            utf8     ɣ`XX  blocks=Basic Latin,IPA Extensions
376  0x00006200 0x000061c0 4   5            ascii   \fadm
377  0x00006235 0x000061f5 4   5            ascii   \bn(z
378  0x00006273 0x00006233 5   8            utf8    j]ԑaҁ blocks=Basic Latin,Cyrillic Supplement,Cyrillic
379  0x0000631f 0x000062df 6   7            ascii   nZm\f!J
380  0x0000633e 0x000062fe 5   6            ascii   aa\bnZ
381  0x0000634f 0x0000630f 4   6            utf8    \t!݃- blocks=Basic Latin,Syriac
382  0x00006355 0x00006315 5   6            ascii   DB4\r!
383  0x0000636c 0x0000632c 4   5            ascii   X! \e
384  0x0000638d 0x0000634d 5   6            ascii   \n!%#"
385  0x000063bb 0x0000637b 6   7            ascii   ZXXnZX
386  0x000063ec 0x000063ac 7   8            ascii   \b LJxy 
387  0x000063fc 0x000063bc 5   6            ascii   \fYdm\r
388  0x00006402 0x000063c2 4   5            ascii   \bm\n~
389  0x0000646a 0x0000642a 5   8            utf8    j]ԑaҁ blocks=Basic Latin,Cyrillic Supplement,Cyrillic
390  0x000064a6 0x00006466 4   5            ascii   \n\v+5
391  0x000064e4 0x000064a4 4   5            ascii   \t\ao|
392  0x00006591 0x00006551 4   5            ascii   !%#"
393  0x0000659a 0x0000655a 8   9            ascii   \r+g\t!7B4
394  0x000065c3 0x00006583 5   6            ascii   aXZ\r\t
395  0x000065cc 0x0000658c 4   5            ascii   \b\ba 
396  0x000065dc 0x0000659c 5   6            ascii   P.a r
397  0x000065e2 0x000065a2 8   9            ascii   pLaanZX\r
398  0x0000661a 0x000065da 4   5            ascii   jadm
399  0x0000664f 0x0000660f 4   5            ascii   \tn(z
400  0x0000668d 0x0000664d 5   8            utf8    j]ԑaҁ blocks=Basic Latin,Cyrillic Supplement,Cyrillic
401  0x00006760 0x00006720 4   5            ascii   aa!b
402  0x00006797 0x00006757 4   5            ascii   nZ\r!
403  0x000067cc 0x0000678c 9   10           ascii   \a\t\tZ\r!%#"
404  0x000067df 0x0000679f 4   5            ascii   \v!0t
405  0x0000681a 0x000067da 5   6            ascii   \aa <h
406  0x00006825 0x000067e5 5   6            ascii   banZX
407  0x00006851 0x00006811 5   7            utf8     _~ԁ  blocks=Basic Latin,Cyrillic Supplement
408  0x00006859 0x00006819 5   6            ascii   \tlY [
409  0x00006870 0x00006830 6   7            ascii   JrXadm
410  0x000068c9 0x00006889 4   5            ascii   \f+)\b
411  0x000068e4 0x000068a4 5   8            utf8    j]ԑaҁ blocks=Basic Latin,Cyrillic Supplement,Cyrillic
