[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000090 0x00000090 4   6            utf8    \n,Hƴ blocks=Basic Latin,Latin Extended-B
2    0x000000a0 0x000000a0 4   6            utf8    \n,KƦ blocks=Basic Latin,Latin Extended-B
3    0x000000e8 0x000000e8 4   5            ascii   Rich
4    0x000001f8 0x000001f8 5   6            ascii   .text
5    0x0000021f 0x0000021f 7   8            ascii   `.rdata
6    0x00000247 0x00000247 6   7            ascii   @.data
7    0x00000270 0x00000270 6   7            ascii   .gfids
8    0x00000297 0x00000297 6   7            ascii   @.rsrc
9    0x000002bf 0x000002bf 7   8            ascii   @.reloc
31   0x00003d2a 0x0040492a 4   5    .text   ascii   \rTtF
32   0x00003d4c 0x0040494c 4   5    .text   ascii   \rTtF
33   0x00003d64 0x00404964 4   5    .text   ascii   \rTtF
34   0x00003d87 0x00404987 4   5    .text   ascii   =TtF
35   0x00003ecd 0x00404acd 4   5    .text   ascii   \rTtF
36   0x00003f7f 0x00404b7f 5   6    .text   ascii   E\f+E\b
37   0x00004045 0x00404c45 4   5    .text   ascii   l\rwf
38   0x00004061 0x00404c61 4   5    .text   ascii   p\nw5
39   0x00004126 0x00404d26 4   5    .text   ascii   F&SX
40   0x0000414b 0x00404d4b 4   5    .text   ascii   xt4h
41   0x00004608 0x00405208 4   6    .text   utf8    u\fǅL blocks=Basic Latin,Latin Extended-B
42   0x0000464c 0x0040524c 4   6    .text   utf8    u\fǅH blocks=Basic Latin,Latin Extended-B
43   0x00004676 0x00405276 4   6    .text   utf8    t\fǅD blocks=Basic Latin,Latin Extended-B
44   0x00004705 0x00405305 5   8    .text   utf8    +ʉMă} blocks=Basic Latin,IPA Extensions,Latin Extended-A
45   0x00004726 0x00405326 4   6    .text   utf8    t\fǅ@ blocks=Basic Latin,Latin Extended-B
46   0x00004774 0x00405374 4   6    .text   utf8    u\fǅ< blocks=Basic Latin,Latin Extended-B
47   0x00004795 0x00405395 4   6    .text   utf8    u\fǅ8 blocks=Basic Latin,Latin Extended-B
48   0x00004848 0x00405448 5   8    .text   utf8    +ЉUȃ} blocks=Basic Latin,Cyrillic,Latin Extended-B
49   0x00004857 0x00405457 4   6    .text   utf8    u\fǅ4 blocks=Basic Latin,Latin Extended-B
50   0x000048f8 0x004054f8 4   6    .text   utf8    u\fǅ0 blocks=Basic Latin,Latin Extended-B
51   0x0000493a 0x0040553a 4   6    .text   utf8    3ẺE blocks=Basic Latin,Combining Diacritical Marks
52   0x00004976 0x00405576 4   6    .text   utf8    u\fǅ, blocks=Basic Latin,Latin Extended-B
53   0x000049c9 0x004055c9 4   6    .text   utf8    t\fǅ( blocks=Basic Latin,Latin Extended-B
54   0x000049ff 0x004055ff 4   6    .text   utf8    t\fǅ$ blocks=Basic Latin,Latin Extended-B
55   0x00004a49 0x00405649 4   6    .text   utf8    u\fǅ  blocks=Basic Latin,Latin Extended-B
56   0x00004a77 0x00405677 4   6    .text   utf8    #ỦU blocks=Basic Latin,Combining Diacritical Marks
57   0x00004ba9 0x004057a9 4   6    .text   utf8    u\fǅ\f blocks=Basic Latin,Latin Extended-B
58   0x00004bc7 0x004057c7 4   6    .text   utf8    \vMԉM blocks=Basic Latin,Cyrillic Supplement
59   0x00004bf2 0x004057f2 4   6    .text   utf8    u\fǅ\b blocks=Basic Latin,Latin Extended-B
60   0x00004d5a 0x0040595a 6   9    .text   utf8    \vUԉUԃ} blocks=Basic Latin,Cyrillic Supplement
61   0x0000527e 0x00405e7e 4   6    .text   utf8    3UȉU blocks=Basic Latin,Latin Extended-B
62   0x0000550d 0x0040610d 6   9    .text   utf8    \vUĉUċE blocks=Basic Latin,Latin Extended-A
63   0x000055e1 0x004061e1 4   6    .text   utf8    \vUĉU blocks=Basic Latin,Latin Extended-A
64   0x00005747 0x00406347 4   6    .text   utf8    #UԉU blocks=Basic Latin,Cyrillic Supplement
65   0x00005812 0x00406412 4   6    .text   utf8    u\fǅ| blocks=Basic Latin,Latin Extended-B
66   0x0000585c 0x0040645c 4   6    .text   utf8    t\fǅx blocks=Basic Latin,Latin Extended-B
67   0x0000587d 0x0040647d 4   6    .text   utf8    u\fǅt blocks=Basic Latin,Latin Extended-B
68   0x000058cd 0x004064cd 4   6    .text   utf8    u\fǅp blocks=Basic Latin,Latin Extended-B
69   0x00005946 0x00406546 4   6    .text   utf8    t\fǅl blocks=Basic Latin,Latin Extended-B
70   0x00005988 0x00406588 4   6    .text   utf8    u\fǅh blocks=Basic Latin,Latin Extended-B
71   0x000059c1 0x004065c1 4   6    .text   utf8    u\fǅd blocks=Basic Latin,Latin Extended-B
72   0x00005a16 0x00406616 4   6    .text   utf8    t\fǅ` blocks=Basic Latin,Latin Extended-B
73   0x00005a3e 0x0040663e 4   6    .text   utf8    u\fǅ\ blocks=Basic Latin,Latin Extended-B
74   0x00005a88 0x00406688 4   6    .text   utf8    u\fǅX blocks=Basic Latin,Latin Extended-B
75   0x00005ae9 0x004066e9 4   6    .text   utf8    u\fǅT blocks=Basic Latin,Latin Extended-B
76   0x00005b17 0x00406717 4   6    .text   utf8    u\fǅP blocks=Basic Latin,Latin Extended-B
77   0x00005b60 0x00406760 4   6    .text   utf8    u\fǅL blocks=Basic Latin,Latin Extended-B
78   0x00005be3 0x004067e3 4   6    .text   utf8    3ỦU blocks=Basic Latin,Combining Diacritical Marks
79   0x00005c23 0x00406823 4   6    .text   utf8    u\fǅH blocks=Basic Latin,Latin Extended-B
80   0x00005c45 0x00406845 4   6    .text   utf8    t\fǅD blocks=Basic Latin,Latin Extended-B
81   0x00005ce4 0x004068e4 4   6    .text   utf8    u\fǅ@ blocks=Basic Latin,Latin Extended-B
82   0x00005d39 0x00406939 4   6    .text   utf8    \vUĉU blocks=Basic Latin,Latin Extended-A
83   0x00005d60 0x00406960 4   6    .text   utf8    #MĈM blocks=Basic Latin,Latin Extended-A
84   0x00005d6d 0x0040696d 4   6    .text   utf8    u\fǅ< blocks=Basic Latin,Latin Extended-B
85   0x00005d8e 0x0040698e 4   6    .text   utf8    u\fǅ8 blocks=Basic Latin,Latin Extended-B
86   0x00005dd9 0x004069d9 4   6    .text   utf8    u\fǅ4 blocks=Basic Latin,Latin Extended-B
87   0x00005e3e 0x00406a3e 4   6    .text   utf8    u\fǅ0 blocks=Basic Latin,Latin Extended-B
88   0x00005ecd 0x00406acd 4   6    .text   utf8    u\fǅ, blocks=Basic Latin,Latin Extended-B
89   0x00005f6c 0x00406b6c 4   5    .text   ascii   jPj@
90   0x00005f7c 0x00406b7c 4   5    .text   ascii   jPj@
91   0x00006643 0x00407243 4   6    .text   utf8    t\fǅ| blocks=Basic Latin,Latin Extended-B
92   0x0000667b 0x0040727b 4   6    .text   utf8    t\fǅx blocks=Basic Latin,Latin Extended-B
93   0x000066d5 0x004072d5 4   6    .text   utf8    t\fǅt blocks=Basic Latin,Latin Extended-B
94   0x0000670d 0x0040730d 4   6    .text   utf8    t\fǅp blocks=Basic Latin,Latin Extended-B
95   0x00006767 0x00407367 4   6    .text   utf8    t\fǅl blocks=Basic Latin,Latin Extended-B
96   0x0000679f 0x0040739f 4   6    .text   utf8    t\fǅh blocks=Basic Latin,Latin Extended-B
97   0x000067f9 0x004073f9 4   6    .text   utf8    t\fǅd blocks=Basic Latin,Latin Extended-B
98   0x00006831 0x00407431 4   6    .text   utf8    t\fǅ` blocks=Basic Latin,Latin Extended-B
99   0x0000693c 0x0040753c 4   6    .text   utf8    t\fǅ\ blocks=Basic Latin,Latin Extended-B
100  0x000069d8 0x004075d8 4   6    .text   utf8    u\fǅX blocks=Basic Latin,Latin Extended-B
101  0x000069fa 0x004075fa 4   6    .text   utf8    t\fǅT blocks=Basic Latin,Latin Extended-B
102  0x00006a66 0x00407666 4   6    .text   utf8    u\fǅP blocks=Basic Latin,Latin Extended-B
103  0x00006a90 0x00407690 4   6    .text   utf8    u\fǅL blocks=Basic Latin,Latin Extended-B
104  0x00006b15 0x00407715 4   6    .text   utf8    u\fǅH blocks=Basic Latin,Latin Extended-B
105  0x00006c14 0x00407814 4   6    .text   utf8    u\fǅD blocks=Basic Latin,Latin Extended-B
106  0x00006c36 0x00407836 4   6    .text   utf8    u\fǅ@ blocks=Basic Latin,Latin Extended-B
107  0x00006c68 0x00407868 4   6    .text   utf8    t\fǅ< blocks=Basic Latin,Latin Extended-B
108  0x00006cd0 0x004078d0 4   6    .text   utf8    t\fǅ8 blocks=Basic Latin,Latin Extended-B
109  0x00006d08 0x00407908 4   6    .text   utf8    t\fǅ4 blocks=Basic Latin,Latin Extended-B
110  0x00006d62 0x00407962 4   6    .text   utf8    t\fǅ0 blocks=Basic Latin,Latin Extended-B
111  0x00006d9a 0x0040799a 4   6    .text   utf8    t\fǅ, blocks=Basic Latin,Latin Extended-B
112  0x00006df4 0x004079f4 4   6    .text   utf8    t\fǅ( blocks=Basic Latin,Latin Extended-B
113  0x00006e2c 0x00407a2c 4   6    .text   utf8    t\fǅ$ blocks=Basic Latin,Latin Extended-B
114  0x00006e86 0x00407a86 4   6    .text   utf8    t\fǅ  blocks=Basic Latin,Latin Extended-B
115  0x00006f36 0x00407b36 4   6    .text   utf8    \vU؉U blocks=Basic Latin,Arabic
116  0x0000703c 0x00407c3c 4   6    .text   utf8    u\fǅ\f blocks=Basic Latin,Latin Extended-B
117  0x0000707c 0x00407c7c 4   6    .text   utf8    \vUЉU blocks=Basic Latin,Cyrillic
118  0x000070bd 0x00407cbd 4   6    .text   utf8    u\fǅ\b blocks=Basic Latin,Latin Extended-B
119  0x00007741 0x00408341 4   6    .text   utf8    3U؉U blocks=Basic Latin,Arabic
120  0x00007815 0x00408415 4   6    .text   utf8    3E؉E blocks=Basic Latin,Arabic
121  0x000078db 0x004084db 4   6    .text   utf8    \vEԉE blocks=Basic Latin,Cyrillic Supplement
122  0x00007a5a 0x0040865a 4   7    .text   utf8    ʉM܃} blocks=IPA Extensions,Basic Latin,Syriac
123  0x00007d13 0x00408913 4   5    .text   ascii   P7`z
124  0x00007d23 0x00408923 4   5    .text   ascii   P7`z
125  0x00007d75 0x00408975 4   5    .text   ascii   D\nwE
126  0x00007de4 0x004089e4 4   5    .text   ascii   bfZ\r
127  0x00007ea1 0x00408aa1 4   5    .text   ascii   qXwE
128  0x00007ecb 0x00408acb 4   5    .text   ascii   \nVvG
129  0x000086ef 0x004092ef 4   5    .text   ascii   M\bQj
130  0x00008c6b 0x0040986b 4   5    .text   ascii   \r\kF
131  0x00008cda 0x004098da 4   5    .text   ascii   Pj\bj
132  0x00008ed7 0x00409ad7 4   5    .text   ascii   Qj\bj
133  0x00009006 0x00409c06 4   5    .text   ascii   \r ~F
134  0x00009053 0x00409c53 4   5    .text   ascii   \r\kF
135  0x00009099 0x00409c99 4   5    .text   ascii   \r\kF
136  0x000091a7 0x00409da7 4   5    .text   ascii   Qj\bj
137  0x00009245 0x00409e45 4   5    .text   ascii   \r\kF
138  0x0000935f 0x00409f5f 4   5    .text   ascii   M\bQj
139  0x00009596 0x0040a196 4   5    .text   ascii   \r\kF
140  0x00009605 0x0040a205 4   5    .text   ascii   Pj\bj
141  0x0000986e 0x0040a46e 5   6    .text   ascii   Qh(~F
142  0x0000993c 0x0040a53c 5   6    .text   ascii   Qh(~F
143  0x00009a65 0x0040a665 4   5    .text   ascii   tvh 
144  0x00009a7b 0x0040a67b 4   5    .text   ascii   t`h(
145  0x00009d0b 0x0040a90b 4   5    .text   ascii   }whT
146  0x00009d2d 0x0040a92d 4   9    .text   utf16le Ajjj
147  0x00009d62 0x0040a962 4   9    .text   utf16le Ajjj
148  0x00009dc5 0x0040a9c5 4   5    .text   ascii   h(~F
149  0x00009fd1 0x0040abd1 4   9    .text   utf16le Ajjj
150  0x0000a006 0x0040ac06 4   9    .text   utf16le Ajjj
151  0x0000a03b 0x0040ac3b 4   9    .text   utf16le Ajjj
152  0x0000a085 0x0040ac85 4   5    .text   ascii   M\fQj
153  0x0000a1e5 0x0040ade5 4   5    .text   ascii   \fjDj
154  0x0000a411 0x0040b011 4   5    .text   ascii   uwh@
155  0x0000a422 0x0040b022 4   5    .text   ascii   ufhX
156  0x0000a433 0x0040b033 4   5    .text   ascii   uUhp
157  0x0000a466 0x0040b066 5   7    .text   utf8    u"hęA blocks=Basic Latin,Latin Extended-A
158  0x0000a4cb 0x0040b0cb 4   5    .text   ascii   u&h,
159  0x0000a514 0x0040b114 4   9    .text   utf16le Ajjh
160  0x0000a66f 0x0040b26f 4   9    .text   utf16le Ajjj
161  0x0000a693 0x0040b293 4   5    .text   ascii   j\bj@
162  0x0000a76f 0x0040b36f 4   9    .text   utf16le Ajjj
163  0x0000a79c 0x0040b39c 4   9    .text   utf16le Ajjj
164  0x0000a7cb 0x0040b3cb 4   5    .text   ascii   \rXkF
165  0x0000a8a2 0x0040b4a2 4   5    .text   ascii   =XkF
166  0x0000a922 0x0040b522 4   9    .text   utf16le Ajjj
167  0x0000a949 0x0040b549 4   5    .text   ascii   \rXkF
168  0x0000aaaf 0x0040b6af 5   6    .text   ascii   E\bPh$
169  0x0000ac66 0x0040b866 5   6    .text   ascii   ;\rtkF
170  0x0000ad2b 0x0040b92b 4   5    .text   ascii   t\vhK
171  0x0000ada1 0x0040b9a1 4   5    .text   ascii   u\aj\a
172  0x0000adb9 0x0040b9b9 4   7    .text   utf8    EܡܥF blocks=Basic Latin,Syriac
173  0x0000aec1 0x0040bac1 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
174  0x0000aff9 0x0040bbf9 4   5    .text   ascii   \rtkF
175  0x0000b009 0x0040bc09 4   5    .text   ascii   \rpkF
176  0x0000b02b 0x0040bc2b 7   9    .text   utf8    j Y+ȋE\b blocks=Basic Latin,Latin Extended-B
177  0x0000b060 0x0040bc60 7   8    .text   ascii   M\f;J\fr\n
178  0x0000b146 0x0040bd46 5   7    .text   utf8    j Y+ȃ blocks=Basic Latin,Latin Extended-B
179  0x0000b186 0x0040bd86 4   5    .text   ascii   j\bhx
180  0x0000b220 0x0040be20 4   6    .text   utf8    u\t39
181  0x0000b28b 0x0040be8b 4   5    .text   ascii   #E\b]
182  0x0000b2cd 0x0040becd 4   6    .text   utf8    УpkF blocks=Cyrillic,Basic Latin
183  0x0000b32b 0x0040bf2b 6   8    .text   utf8    \vȉ\rtkF blocks=Basic Latin,Latin Extended-B
184  0x0000b334 0x0040bf34 5   7    .text   utf8    щ\rpkF blocks=Cyrillic,Basic Latin
185  0x0000b52d 0x0040c12d 4   6    .text   utf8    A8PE
186  0x0000b53f 0x0040c13f 4   6    .text   utf8    uۃxt blocks=Basic Latin,Arabic
187  0x0000b567 0x0040c167 4   5    .text   ascii   8csm
188  0x0000b57c 0x0040c17c 4   5    .text   ascii   t\e=!
189  0x0000b660 0x0040c260 5   6    .text   ascii   Y__^[
190  0x0000b6c7 0x0040c2c7 4   5    .text   ascii   ineI
191  0x0000b6ce 0x0040c2ce 8   10   .text   utf8    5ntel\vȋE blocks=Basic Latin,Latin Extended-B
192  0x0000b6da 0x0040c2da 6   7    .text   ascii   5Genu\v
193  0x0000b6f4 0x0040c2f4 4   5    .text   ascii   W\fuC
194  0x0000b705 0x0040c305 4   5    .text   ascii   t#=`
195  0x0000b721 0x0040c321 4   5    .text   ascii   t\a=p
196  0x0000b754 0x0040c354 6   7    .text   ascii   |2j\aX3
197  0x0000b871 0x0040c471 6   8    .text   utf8    D$\f^_Ë blocks=Basic Latin,Latin-1 Supplement
198  0x0000b906 0x0040c506 4   5    .text   ascii   oF f
199  0x0000b962 0x0040c562 4   5    .text   ascii   oF f
200  0x0000b9ba 0x0040c5ba 4   5    .text   ascii   oF f
201  0x0000ba95 0x0040c695 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
202  0x0000baa1 0x0040c6a1 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
203  0x0000bab3 0x0040c6b3 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
204  0x0000bacd 0x0040c6cd 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
205  0x0000bb41 0x0040c741 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
206  0x0000bb4f 0x0040c74f 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
207  0x0000bb65 0x0040c765 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
208  0x0000bb7f 0x0040c77f 5   6    .text   ascii   D$\f^_
209  0x0000bc65 0x0040c865 5   6    .text   ascii   D$\f^_
210  0x0000bc9b 0x0040c89b 4   5    .text   ascii   oV f
211  0x0000bca0 0x0040c8a0 4   5    .text   ascii   o^0f
212  0x0000bcb8 0x0040c8b8 4   5    .text   ascii   of@f
213  0x0000bcbd 0x0040c8bd 4   5    .text   ascii   onPf
214  0x0000bcc2 0x0040c8c2 4   5    .text   ascii   ov`f
215  0x0000bcc7 0x0040c8c7 4   5    .text   ascii   o~pf
216  0x0000bd40 0x0040c940 5   6    .text   ascii   \aFGIu
217  0x0000bd51 0x0040c951 6   8    .text   utf8    D$\f^_Í blocks=Basic Latin,Latin-1 Supplement
218  0x0000bd77 0x0040c977 4   5    .text   ascii   FGIu
219  0x0000bd9f 0x0040c99f 4   6    .text   utf8    ̋L$\f blocks=Combining Diacritical Marks,Basic Latin
220  0x0000bf51 0x0040cb51 6   8    .text   utf8    D$\f^_Ë blocks=Basic Latin,Latin-1 Supplement
221  0x0000bfe6 0x0040cbe6 4   5    .text   ascii   oF f
222  0x0000c042 0x0040cc42 4   5    .text   ascii   oF f
223  0x0000c09a 0x0040cc9a 4   5    .text   ascii   oF f
224  0x0000c175 0x0040cd75 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
225  0x0000c181 0x0040cd81 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
226  0x0000c193 0x0040cd93 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
227  0x0000c1ad 0x0040cdad 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
228  0x0000c221 0x0040ce21 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
229  0x0000c22f 0x0040ce2f 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
230  0x0000c245 0x0040ce45 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
231  0x0000c25f 0x0040ce5f 5   6    .text   ascii   D$\f^_
232  0x0000c345 0x0040cf45 5   6    .text   ascii   D$\f^_
233  0x0000c37b 0x0040cf7b 4   5    .text   ascii   oV f
234  0x0000c380 0x0040cf80 4   5    .text   ascii   o^0f
235  0x0000c398 0x0040cf98 4   5    .text   ascii   of@f
236  0x0000c39d 0x0040cf9d 4   5    .text   ascii   onPf
237  0x0000c3a2 0x0040cfa2 4   5    .text   ascii   ov`f
238  0x0000c3a7 0x0040cfa7 4   5    .text   ascii   o~pf
239  0x0000c420 0x0040d020 5   6    .text   ascii   \aFGIu
240  0x0000c431 0x0040d031 6   8    .text   utf8    D$\f^_Í blocks=Basic Latin,Latin-1 Supplement
241  0x0000c457 0x0040d057 4   5    .text   ascii   FGIu
242  0x0000c4a7 0x0040d0a7 6   7    .text   ascii   3\f8_^]
243  0x0000c546 0x0040d146 4   5    .text   ascii   xf~U
244  0x0000c54e 0x0040d14e 4   5    .text   ascii   8csm
245  0x0000c595 0x0040d195 5   6    .text   ascii   9~\ftl
246  0x0000c5c7 0x0040d1c7 6   7    .text   ascii   t!htkF
247  0x0000c5f4 0x0040d1f4 4   5    .text   ascii   htkF
248  0x0000c67f 0x0040d27f 6   7    .text   ascii   URPQQh
249  0x0000c695 0x0040d295 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
250  0x0000c6aa 0x0040d2aa 4   5    .text   ascii   L$,3
251  0x0000c6fc 0x0040d2fc 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
252  0x0000c76e 0x0040d36e 4   5    .text   ascii   UVWS
253  0x0000c780 0x0040d380 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
254  0x0000c7a1 0x0040d3a1 4   5    .text   ascii   SVWj
255  0x0000c7b2 0x0040d3b2 4   5    .text   ascii   _^[]
256  0x0000c7b9 0x0040d3b9 5   6    .text   ascii   l$\bRQ
257  0x0000c93e 0x0040d53e 4   5    .text   ascii   _^[]
258  0x0000c94c 0x0040d54c 4   6    .text   utf8    W3\r<
259  0x0000c98f 0x0040d58f 6   7    .text   ascii   Wu\rVVS
260  0x0000c9bf 0x0040d5bf 4   5    .text   ascii   ^_[]
261  0x0000cab8 0x0040d6b8 6   8    .text   utf8    ^]átkF blocks=Basic Latin,Latin-1 Supplement
262  0x0000cacb 0x0040d6cb 6   8    .text   utf8    j Y+ȸx blocks=Basic Latin,Latin Extended-B
263  0x0000cad9 0x0040d6d9 5   6    .text   ascii   35tkF
264  0x0000cb24 0x0040d724 6   8    .text   utf8    ^]átkF blocks=Basic Latin,Latin-1 Supplement
265  0x0000cb2f 0x0040d72f 4   5    .text   ascii   j Y+
266  0x0000cb53 0x0040d753 5   6    .text   ascii   SVWUj
267  0x0000cb68 0x0040d768 4   5    .text   ascii   ]_^[
268  0x0000cb6e 0x0040d76e 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
269  0x0000cbf4 0x0040d7f4 6   7    .text   ascii   ;t$,v-
270  0x0000cc4f 0x0040d84f 6   7    .text   ascii   R\f9Q\bu
271  0x0000cc77 0x0040d877 10  11   .text   ascii   k\fUQPXY]Y[
272  0x0000cdb7 0x0040d9b7 4   6    .text   utf8    \b\vЀ} blocks=Basic Latin,Cyrillic
273  0x0000ce95 0x0040da95 6   8    .text   utf8    H#E\f]Ë blocks=Basic Latin,Latin-1 Supplement
274  0x0000cf75 0x0040db75 4   6    .text   utf8    tԃ}\f blocks=Basic Latin,Cyrillic Supplement
275  0x0000cf9a 0x0040db9a 5   6    .text   ascii   ;]\ft\e
276  0x0000cfb3 0x0040dbb3 8   9    .text   ascii   u$;u\bt\v3
277  0x0000d00e 0x0040dc0e 4   6    .text   utf8    3\vu\b
278  0x0000d02f 0x0040dc2f 5   7    .text   utf8    s3\v}\f
279  0x0000d10e 0x0040dd0e 6   7    .text   ascii   }\b99t\t
280  0x0000d132 0x0040dd32 7   9    .text   utf8    u\v3\tY\b@
281  0x0000d17a 0x0040dd7a 4   5    .text   ascii   wOtD
282  0x0000d24b 0x0040de4b 4   7    .text   utf8    ]áܦF blocks=Basic Latin,Latin-1 Supplement,Syriac
283  0x0000d2d2 0x0040ded2 4   5    .text   ascii   5tkF
284  0x0000d36f 0x0040df6f 4   5    .text   ascii   f9;u
285  0x0000d383 0x0040df83 4   5    .text   ascii   PWWS
286  0x0000d404 0x0040e004 4   5    .text   ascii   9:t\b
287  0x0000d40b 0x0040e00b 4   5    .text   ascii   A98u
288  0x0000d47b 0x0040e07b 5   6    .text   ascii   j"Xf9
289  0x0000d4af 0x0040e0af 5   6    .text   ascii   t\tf;E
290  0x0000d4b5 0x0040e0b5 5   7    .text   utf8    j"Xuą blocks=Basic Latin,Latin Extended-A
291  0x0000d51a 0x0040e11a 5   6    .text   ascii   @f91t
292  0x0000d520 0x0040e120 11  12   .text   ascii   j"^f91j\^u8
293  0x0000d52d 0x0040e12d 4   5    .text   ascii   u 8]
294  0x0000d534 0x0040e134 6   7    .text   ascii   j"^f9q
295  0x0000d53b 0x0040e13b 4   5    .text   ascii   j\^u
296  0x0000d56d 0x0040e16d 4   5    .text   ascii   t*8]
297  0x0000d572 0x0040e172 5   6    .text   ascii   u\ff;E
298  0x0000d5dd 0x0040e1dd 4   6    .text   utf8    M\f3ҋ blocks=Basic Latin,Cyrillic
299  0x0000d614 0x0040e214 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
300  0x0000d680 0x0040e280 5   7    .text   utf8    ]\b3\tE
301  0x0000d693 0x0040e293 7   8    .text   ascii   t/j=[f;
302  0x0000d6fb 0x0040e2fb 6   7    .text   ascii   f9\vt8j
303  0x0000d73a 0x0040e33a 5   6    .text   ascii   Cf93u
304  0x0000d766 0x0040e366 5   6    .text   ascii   PPPPP
305  0x0000d79b 0x0040e39b 5   7    .text   utf8    Y_^]Ë blocks=Basic Latin,Latin-1 Supplement
306  0x0000d860 0x0040e460 4   5    .text   ascii   Vj 2
307  0x0000d8aa 0x0040e4aa 4   5    .text   ascii   E\fSV
308  0x0000d8af 0x0040e4af 4   6    .text   utf8    u\b+ƃ blocks=Basic Latin,Latin Extended-B
309  0x0000d8bc 0x0040e4bc 4   5    .text   ascii   9u\f\e
310  0x0000d922 0x0040e522 4   5    .text   ascii   ;u\fu
311  0x0000d941 0x0040e541 5   6    .text   ascii   }\bcsm
312  0x0000d9ad 0x0040e5ad 4   5    .text   ascii   j Y+
313  0x0000d9b6 0x0040e5b6 4   6    .text   utf8    3Ë\r\f blocks=Basic Latin,Latin-1 Supplement
