Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000400  0xb000 0x00401000  0xb000 -r-x .text
1   0x0000b400  0x2c00 0x0040c000  0x3000 -r-- .rdata
2   0x0000e000  0x1e00 0x0040f000  0x2000 -rw- .data
3   0x0000fe00  0xc800 0x00411000  0xd000 -rw- .0lgfxz
4   0x0001c600   0x800 0x0041e000  0x1000 -r-- .reloc
5   0x0001ce00  0x9a00 0x0041f000  0xa000 -rw- .data1

[Segments]

nth paddr  size vaddr  vsize perm name
――――――――――――――――――――――――――――――――――――――

[Entrypoints]
vaddr=0x00403e9c paddr=0x0000329c haddr=0x00000120 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0040c000 NONE FUNC KERNEL32.dll lstrlenW
2   0x0040c004 NONE FUNC KERNEL32.dll SetErrorMode
3   0x0040c008 NONE FUNC KERNEL32.dll CloseHandle
4   0x0040c00c NONE FUNC KERNEL32.dll GetExitCodeProcess

[Symbols]

nth paddr      vaddr      bind type size lib          name
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x0000b400 0x0040c000 NONE FUNC 0    KERNEL32.dll imp.lstrlenW
2   0x0000b404 0x0040c004 NONE FUNC 0    KERNEL32.dll imp.SetErrorMode
3   0x0000b408 0x0040c008 NONE FUNC 0    KERNEL32.dll imp.CloseHandle
4   0x0000b40c 0x0040c00c NONE FUNC 0    KERNEL32.dll imp.GetExitCodeProcess
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000b434 0x0040c034 14  30   .rdata  utf16le ServicesActive
30  0x0000b605 0x0040c205 5   7    .rdata  utf8    kkֱoo blocks=Basic Latin,Hebrew
31  0x0000b60e 0x0040c20e 5   7    .rdata  utf8    őP00` blocks=Latin Extended-A,Basic Latin
32  0x0000b61c 0x0040c21c 4   5    .rdata  ascii   }++V
33  0x0000b67b 0x0040c27b 13  14   .rdata  ascii   =j&&LZ66lA??~
34  0x0000b68e 0x0040c28e 5   7    .rdata  utf8    ̃\44h blocks=Combining Diacritical Marks,Basic Latin
35  0x0000b6a6 0x0040c2a6 6   8    .rdata  utf8    ثS11b? blocks=Arabic,Basic Latin
36  0x0000b6b6 0x0040c2b6 6   8    .rdata  utf8    Ǖe##F^ blocks=Latin Extended-B,Basic Latin
37  0x0000b6cf 0x0040c2cf 4   5    .rdata  ascii   /\t\a\a
38  0x0000b6e4 0x0040c2e4 5   7    .rdata  utf8    i''NͲ blocks=Basic Latin,Greek and Coptic
39  0x0000b6f8 0x0040c2f8 5   6    .rdata  ascii   t,,X.
40  0x0000b6ff 0x0040c2ff 5   6    .rdata  ascii   4-\e\e6
41  0x0000b714 0x0040c314 5   6    .rdata  ascii   M;;va
42  0x0000b71f 0x0040c31f 6   7    .rdata  ascii   }{))R>
43  0x0000b728 0x0040c328 4   5    .rdata  ascii   q//^
44  0x0000b740 0x0040c340 4   5    .rdata  ascii   `  @
45  0x0000b75b 0x0040c35b 5   6    .rdata  ascii   gK99r
46  0x0000b788 0x0040c388 4   5    .rdata  ascii   U33f
47  0x0000b7a4 0x0040c3a4 4   5    .rdata  ascii   D<<x
48  0x0000b7c7 0x0040c3c7 5   6    .rdata  ascii   !H88p
49  0x0000b7da 0x0040c3da 6   8    .rdata  utf8    گc!!B0 blocks=Arabic,Basic Latin
50  0x0000b81c 0x0040c41c 4   5    .rdata  ascii   G==z
51  0x0000b83e 0x0040c43e 9   11   .rdata  utf8    ܣf""D~**T blocks=Syriac,Basic Latin
52  0x0000b874 0x0040c474 8   9    .rdata  ascii   V22dN::t
53  0x0000b887 0x0040c487 5   6    .rdata  ascii   \fl$$H
54  0x0000b8b6 0x0040c4b6 5   7    .rdata  utf8    ȋY77n blocks=Latin Extended-B,Basic Latin
55  0x0000b8df 0x0040c4df 6   9    .rdata  utf8    ϯeeʎzz blocks=Greek and Coptic,Basic Latin,IPA Extensions
56  0x0000b8f8 0x0040c4f8 9   10   .rdata  ascii   o%%Jr..\$
57  0x0000b934 0x0040c534 5   7    .rdata  utf8    B>>|ĵ blocks=Basic Latin,Latin Extended-A
58  0x0000b954 0x0040c554 4   5    .rdata  ascii   _55j
59  0x0000b9a8 0x0040c5a8 5   6    .rdata  ascii   x((Pz
60  0x0000b9d7 0x0040c5d7 5   6    .rdata  ascii   )w--Z
61  0x0000b9ef 0x0040c5ef 6   8    .rdata  utf8    ,ccƥ|| blocks=Basic Latin,Latin Extended-B
62  0x0000ba03 0x0040c603 7   10   .rdata  utf8    \rkkֽooޱ blocks=Basic Latin,Hebrew,Thaana
63  0x0000ba0d 0x0040c60d 6   8    .rdata  utf8    őT00`P blocks=Latin Extended-A,Basic Latin
64  0x0000ba18 0x0040c618 7   9    .rdata  utf8    ggΩ++V} blocks=Basic Latin,Greek and Coptic
65  0x0000ba39 0x0040c639 4   6    .rdata  utf8    ɉ@}} blocks=Latin Extended-B,Basic Latin
66  0x0000ba7c 0x0040c67c 12  13   .rdata  ascii   &&Lj66lZ??~A
67  0x0000ba8d 0x0040c68d 6   8    .rdata  utf8    ̃O44h\ blocks=Combining Diacritical Marks,Basic Latin
68  0x0000baa5 0x0040c6a5 6   8    .rdata  utf8    ثs11bS blocks=Arabic,Basic Latin
69  0x0000bab5 0x0040c6b5 6   8    .rdata  utf8    ǕR##Fe blocks=Latin Extended-B,Basic Latin
70  0x0000bae3 0x0040c6e3 5   6    .rdata  ascii   &''Ni
71  0x0000baf8 0x0040c6f8 4   5    .rdata  ascii   ,,Xt
72  0x0000bafe 0x0040c6fe 11  13   .rdata  utf8    4.\e\e6-nnܲZZ blocks=Basic Latin,Syriac
73  0x0000bb14 0x0040c714 4   5    .rdata  ascii   ;;vM
74  0x0000bb20 0x0040c720 4   5    .rdata  ascii   ))R{
75  0x0000bb27 0x0040c727 5   6    .rdata  ascii   >//^q
76  0x0000bb3f 0x0040c73f 5   6    .rdata  ascii   ,  @`
77  0x0000bb5c 0x0040c75c 6   7    .rdata  ascii   99rKJJ
78  0x0000bb88 0x0040c788 4   5    .rdata  ascii   33fU
79  0x0000bba4 0x0040c7a4 4   5    .rdata  ascii   <<xD
80  0x0000bbc8 0x0040c7c8 4   5    .rdata  ascii   88pH
81  0x0000bbd9 0x0040c7d9 6   8    .rdata  utf8    گu!!Bc blocks=Arabic,Basic Latin
82  0x0000bbf1 0x0040c7f1 4   6    .rdata  utf8    ́L\f\f blocks=Combining Diacritical Marks,Basic Latin
83  0x0000bc1c 0x0040c81c 9   11   .rdata  utf8    ==zGddȬ]] blocks=Basic Latin,Latin Extended-B
84  0x0000bc2a 0x0040c82a 4   5    .rdata  ascii   2+ss
85  0x0000bc40 0x0040c840 8   9    .rdata  ascii   ""Df**T~
86  0x0000bc61 0x0040c861 4   6    .rdata  utf8    ާy^^ blocks=Thaana,Basic Latin
87  0x0000bc73 0x0040c873 11  12   .rdata  ascii   ;22dV::tN\n\n
88  0x0000bc86 0x0040c886 8   9    .rdata  ascii   \f\n$$Hl\\
89  0x0000bcb5 0x0040c8b5 9   12   .rdata  utf8    ȋC77nYmmڷ blocks=Latin Extended-B,Basic Latin,Arabic
90  0x0000bcc5 0x0040c8c5 4   6    .rdata  utf8    ձdNN blocks=Armenian,Basic Latin
91  0x0000bcd0 0x0040c8d0 5   7    .rdata  utf8    llشVV blocks=Basic Latin,Arabic
92  0x0000bcdf 0x0040c8df 8   13   .rdata  utf8    %eeʯzz􎮮G blocks=Basic Latin,IPA Extensions,Supplementary Private Use Area-B
93  0x0000bcf8 0x0040c8f8 8   9    .rdata  ascii   %%Jo..\r
94  0x0000bd15 0x0040c915 4   6    .rdata  utf8    ݡ|tt blocks=Arabic Supplement,Basic Latin
95  0x0000bd1e 0x0040c91e 4   5    .rdata  ascii   >!KK
96  0x0000bd34 0x0040c934 4   5    .rdata  ascii   >>|B
97  0x0000bd3c 0x0040c93c 5   7    .rdata  utf8    ff̪HH blocks=Basic Latin,Combining Diacritical Marks
98  0x0000bd50 0x0040c950 9   11   .rdata  utf8    aa£55j_WW blocks=Basic Latin,Latin-1 Supplement
99  0x0000bd7e 0x0040c97e 5   7    .rdata  utf8    "3iiһ blocks=Basic Latin,Cyrillic
100 0x0000bda1 0x0040c9a1 4   6    .rdata  utf8    ·IUU blocks=Greek and Coptic,Basic Latin
101 0x0000bda8 0x0040c9a8 4   5    .rdata  ascii   ((Px
102 0x0000bdcc 0x0040c9cc 5   7    .rdata  utf8    hhиAA blocks=Basic Latin,Cyrillic
103 0x0000bdd8 0x0040c9d8 4   5    .rdata  ascii   --Zw
104 0x0000bdee 0x0040c9ee 6   8    .rdata  utf8    ,:cƥc| blocks=Basic Latin,Latin Extended-B
105 0x0000be04 0x0040ca04 8   12   .rdata  utf8    kֽkoޱoőT blocks=Basic Latin,Hebrew,Thaana,Latin Extended-A
106 0x0000be10 0x0040ca10 4   5    .rdata  ascii   0`P0
107 0x0000be18 0x0040ca18 7   9    .rdata  utf8    gΩg+V}+ blocks=Basic Latin,Greek and Coptic
108 0x0000be2f 0x0040ca2f 4   7    .rdata  utf8    vʏEʂ blocks=Basic Latin,IPA Extensions
109 0x0000be54 0x0040ca54 4   7    .rdata  utf8    ԳgԢ_ blocks=Armenian,Basic Latin,Cyrillic Supplement
110 0x0000be6b 0x0040ca6b 6   10   .rdata  utf8    r\e[7u· blocks=Basic Latin,Latin-1 Supplement
111 0x0000be7c 0x0040ca7c 12  13   .rdata  ascii   &Lj&6lZ6?~A?
112 0x0000be90 0x0040ca90 4   5    .rdata  ascii   4h\4
113 0x0000bea8 0x0040caa8 4   5    .rdata  ascii   1bS1
114 0x0000beb8 0x0040cab8 6   8    .rdata  utf8    #Fe#Ý^ blocks=Basic Latin,Latin-1 Supplement
115 0x0000bee4 0x0040cae4 4   5    .rdata  ascii   'Ni'
116 0x0000bef8 0x0040caf8 4   5    .rdata  ascii   ,Xt,
117 0x0000bf00 0x0040cb00 8   10   .rdata  utf8    \e6-\enܲnZ blocks=Basic Latin,Syriac
118 0x0000bf13 0x0040cb13 14  18   .rdata  utf8    R;vM;ַaֳ}γ)R{) blocks=Basic Latin,Hebrew,Greek and Coptic
119 0x0000bf28 0x0040cb28 4   5    .rdata  ascii   /^q/
120 0x0000bf40 0x0040cb40 4   5    .rdata  ascii    @` 
121 0x0000bf4f 0x0040cb4f 14  19   .rdata  utf8    [jԾjˍF˾gپ9rK9J blocks=Basic Latin,Armenian,Spacing Modifier Letters,Arabic
122 0x0000bf87 0x0040cb87 5   6    .rdata  ascii   M3fU3
123 0x0000bfa3 0x0040cba3 5   6    .rdata  ascii   P<xD<
124 0x0000bfc8 0x0040cbc8 4   5    .rdata  ascii   8pH8
125 0x0000bfd5 0x0040cbd5 4   7    .rdata  utf8    wvگu blocks=Basic Latin,Arabic
126 0x0000bfdc 0x0040cbdc 4   5    .rdata  ascii   !Bc!
127 0x0000c010 0x0040cc10 4   7    .rdata  utf8    ēWħU blocks=Latin Extended-A,Basic Latin
128 0x0000c01b 0x0040cc1b 9   11   .rdata  utf8    ~=zG=dȬd] blocks=Basic Latin,Latin Extended-B
129 0x0000c02f 0x0040cc2f 4   6    .rdata  utf8    s` `
130 0x0000c040 0x0040cc40 8   9    .rdata  ascii   "Df"*T~*
131 0x0000c074 0x0040cc74 9   10   .rdata  ascii   2dV2:tN:\n
132 0x0000c088 0x0040cc88 5   6    .rdata  ascii   $Hl$\
133 0x0000c094 0x0040cc94 4   7    .rdata  utf8    ӽnӬC blocks=Cyrillic,Basic Latin
134 0x0000c0b8 0x0040ccb8 7   9    .rdata  utf8    7nY7mڷm blocks=Basic Latin,Arabic
135 0x0000c0d0 0x0040ccd0 4   6    .rdata  utf8    lشlV blocks=Basic Latin,Arabic
136 0x0000c0e0 0x0040cce0 4   6    .rdata  utf8    eʯez blocks=Basic Latin,IPA Extensions
137 0x0000c0f7 0x0040ccf7 9   10   .rdata  ascii   x%Jo%.\r.
138 0x0000c109 0x0040cd09 4   7    .rdata  utf8    sǴƗQ blocks=Basic Latin,Latin Extended-B
139 0x0000c133 0x0040cd33 5   6    .rdata  ascii   p>|B>
140 0x0000c139 0x0040cd39 6   9    .rdata  utf8    qĵf̪fH blocks=Basic Latin,Latin Extended-A,Combining Diacritical Marks
141 0x0000c150 0x0040cd50 8   10   .rdata  utf8    a£a5j_5W blocks=Basic Latin,Latin-1 Supplement
142 0x0000c180 0x0040cd80 7   11   .rdata  utf8    iһi٩pَ\a blocks=Basic Latin,Cyrillic,Arabic
143 0x0000c1a7 0x0040cda7 8   11   .rdata  utf8    U(Px(ߥzߌ blocks=Basic Latin,NKo
144 0x0000c1cb 0x0040cdcb 5   7    .rdata  utf8    BhиhA blocks=Basic Latin,Cyrillic
145 0x0000c1d8 0x0040cdd8 4   5    .rdata  ascii   -Zw-
146 0x0000c204 0x0040ce04 6   9    .rdata  utf8    ֽkkޱoo blocks=Hebrew,Basic Latin,Thaana
147 0x0000c210 0x0040ce10 4   5    .rdata  ascii   `P00
148 0x0000c218 0x0040ce18 7   9    .rdata  utf8    ΩggV}++ blocks=Greek and Coptic,Basic Latin
149 0x0000c27c 0x0040ce7c 12  13   .rdata  ascii   Lj&&lZ66~A??
150 0x0000c290 0x0040ce90 5   6    .rdata  ascii   h\44Q
151 0x0000c2a8 0x0040cea8 6   7    .rdata  ascii   bS11*?
152 0x0000c2b8 0x0040ceb8 4   5    .rdata  ascii   Fe##
153 0x0000c2d1 0x0040ced1 5   6    .rdata  ascii   \t\a\a$6
154 0x0000c2e4 0x0040cee4 4   5    .rdata  ascii   Ni''
155 0x0000c2f8 0x0040cef8 6   7    .rdata  ascii   Xt,,4.
156 0x0000c300 0x0040cf00 7   9    .rdata  utf8    6-\e\eܲnn blocks=Basic Latin,Syriac
157 0x0000c312 0x0040cf12 6   7    .rdata  ascii   RRvM;;
158 0x0000c320 0x0040cf20 4   5    .rdata  ascii   R{))
159 0x0000c328 0x0040cf28 4   5    .rdata  ascii   ^q//
160 0x0000c340 0x0040cf40 4   5    .rdata  ascii   @`  
161 0x0000c34e 0x0040cf4e 5   7    .rdata  utf8    [[Ծjj blocks=Basic Latin,Armenian
162 0x0000c35c 0x0040cf5c 4   5    .rdata  ascii   rK99
163 0x0000c386 0x0040cf86 6   7    .rdata  ascii   MMfU33
164 0x0000c3a2 0x0040cfa2 7   8    .rdata  ascii   PPxD<<%
165 0x0000c3c8 0x0040cfc8 4   5    .rdata  ascii   pH88
166 0x0000c3dc 0x0040cfdc 6   7    .rdata  ascii   Bc!! 0
167 0x0000c3f6 0x0040cff6 4   5    .rdata  ascii   \f\f&5
168 0x0000c40a 0x0040d00a 4   5    .rdata  ascii   DD.9
169 0x0000c41a 0x0040d01a 9   11   .rdata  utf8    ~~zG==Ȭdd blocks=Basic Latin,Latin Extended-B
170 0x0000c426 0x0040d026 4   5    .rdata  ascii   ]]2+
171 0x0000c42e 0x0040d02e 5   7    .rdata  utf8    ss ``
172 0x0000c440 0x0040d040 9   10   .rdata  ascii   Df""T~**;
173 0x0000c474 0x0040d074 8   9    .rdata  ascii   dV22tN::
174 0x0000c482 0x0040d082 4   5    .rdata  ascii   II\f\n
175 0x0000c488 0x0040d088 4   5    .rdata  ascii   Hl$$
176 0x0000c498 0x0040d098 6   10   .rdata  utf8    CשּׁĦbb9 blocks=Basic Latin,Alphabetic Presentation Forms,Latin Extended-A
177 0x0000c4b8 0x0040d0b8 7   9    .rdata  utf8    nY77ڷmm blocks=Basic Latin,Arabic
178 0x0000c4ca 0x0040d0ca 7   11   .rdata  utf8    NNI੩شll blocks=Basic Latin,Gurmukhi,Arabic
179 0x0000c4e6 0x0040d0e6 4   7    .rdata  utf8    zzG鮮 blocks=Basic Latin,CJK Unified Ideographs
180 0x0000c4ee 0x0040d0ee 4   6    .rdata  utf8    \b\boպ blocks=Basic Latin,Armenian
181 0x0000c4f6 0x0040d0f6 12  13   .rdata  ascii   xxJo%%\r..8$
182 0x0000c51a 0x0040d11a 4   5    .rdata  ascii   tt>!
183 0x0000c522 0x0040d122 4   6    .rdata  utf8    KKaܽ blocks=Basic Latin,Syriac
184 0x0000c532 0x0040d132 8   10   .rdata  utf8    pp|B>>qĵ blocks=Basic Latin,Latin Extended-A
185 0x0000c550 0x0040d150 7   9    .rdata  utf8    £aaj_55 blocks=Latin-1 Supplement,Basic Latin
186 0x0000c55a 0x0040d15a 4   6    .rdata  utf8    WWiй blocks=Basic Latin,Cyrillic
187 0x0000c5a6 0x0040d1a6 6   7    .rdata  ascii   UUPx((
188 0x0000c5be 0x0040d1be 4   6    .rdata  utf8    \r\reڿ blocks=Basic Latin,Arabic
189 0x0000c5ca 0x0040d1ca 5   7    .rdata  utf8    BBиhh blocks=Basic Latin,Cyrillic
190 0x0000c5d8 0x0040d1d8 4   5    .rdata  ascii   Zw--
191 0x0000c5e6 0x0040d1e6 4   6    .rdata  utf8    TTmֻ blocks=Basic Latin,Hebrew
192 0x0000c5f0 0x0040d1f0 16  17   .rdata  ascii   cccc||||wwww{{{{
193 0x0000c604 0x0040d204 8   9    .rdata  ascii   kkkkoooo
194 0x0000c610 0x0040d210 4   5    .rdata  ascii   0000
195 0x0000c618 0x0040d218 8   9    .rdata  ascii   gggg++++
196 0x0000c62c 0x0040d22c 4   5    .rdata  ascii   vvvv
197 0x0000c63c 0x0040d23c 4   5    .rdata  ascii   }}}}
198 0x0000c644 0x0040d244 8   9    .rdata  ascii   YYYYGGGG
199 0x0000c668 0x0040d268 4   5    .rdata  ascii   rrrr
200 0x0000c67c 0x0040d27c 12  13   .rdata  ascii   &&&&6666????
201 0x0000c690 0x0040d290 4   5    .rdata  ascii   4444
202 0x0000c6a0 0x0040d2a0 4   5    .rdata  ascii   qqqq
203 0x0000c6a8 0x0040d2a8 4   5    .rdata  ascii   1111
204 0x0000c6b8 0x0040d2b8 4   5    .rdata  ascii   ####
205 0x0000c6d0 0x0040d2d0 4   5    .rdata  ascii   \a\a\a\a
206 0x0000c6e4 0x0040d2e4 4   5    .rdata  ascii   ''''
207 0x0000c6ec 0x0040d2ec 8   9    .rdata  ascii   uuuu\t\t\t\t
208 0x0000c6f8 0x0040d2f8 4   5    .rdata  ascii   ,,,,
209 0x0000c700 0x0040d300 12  13   .rdata  ascii   \e\e\e\ennnnZZZZ
210 0x0000c710 0x0040d310 8   9    .rdata  ascii   RRRR;;;;
211 0x0000c720 0x0040d320 4   5    .rdata  ascii   ))))
212 0x0000c728 0x0040d328 4   5    .rdata  ascii   ////
213 0x0000c730 0x0040d330 4   5    .rdata  ascii   SSSS
214 0x0000c740 0x0040d340 4   5    .rdata  ascii       
215 0x0000c74c 0x0040d34c 8   9    .rdata  ascii   [[[[jjjj
216 0x0000c75c 0x0040d35c 16  17   .rdata  ascii   9999JJJJLLLLXXXX
217 0x0000c780 0x0040d380 12  13   .rdata  ascii   CCCCMMMM3333
218 0x0000c790 0x0040d390 4   5    .rdata  ascii   EEEE
219 0x0000c7a0 0x0040d3a0 8   9    .rdata  ascii   PPPP<<<<
220 0x0000c7b0 0x0040d3b0 4   5    .rdata  ascii   QQQQ
221 0x0000c7b8 0x0040d3b8 4   5    .rdata  ascii   @@@@
222 0x0000c7c8 0x0040d3c8 4   5    .rdata  ascii   8888
223 0x0000c7dc 0x0040d3dc 4   5    .rdata  ascii   !!!!
224 0x0000c7f4 0x0040d3f4 4   5    .rdata  ascii   \f\f\f\f
225 0x0000c800 0x0040d400 4   5    .rdata  ascii   ____
226 0x0000c808 0x0040d408 4   5    .rdata  ascii   DDDD
227 0x0000c818 0x0040d418 16  17   .rdata  ascii   ~~~~====dddd]]]]
228 0x0000c82c 0x0040d42c 8   9    .rdata  ascii   ssss````
229 0x0000c838 0x0040d438 4   5    .rdata  ascii   OOOO
230 0x0000c840 0x0040d440 8   9    .rdata  ascii   """"****
231 0x0000c850 0x0040d450 4   5    .rdata  ascii   FFFF
232 0x0000c864 0x0040d464 8   9    .rdata  ascii   ^^^^\v\v\v\v
233 0x0000c874 0x0040d474 16  17   .rdata  ascii   2222::::\n\n\n\nIIII
234 0x0000c888 0x0040d488 8   9    .rdata  ascii   $$$$\\\\
235 0x0000c89c 0x0040d49c 4   5    .rdata  ascii   bbbb
236 0x0000c8ac 0x0040d4ac 4   5    .rdata  ascii   yyyy
237 0x0000c8b8 0x0040d4b8 8   9    .rdata  ascii   7777mmmm
238 0x0000c8c8 0x0040d4c8 4   5    .rdata  ascii   NNNN
239 0x0000c8d0 0x0040d4d0 8   9    .rdata  ascii   llllVVVV
240 0x0000c8e0 0x0040d4e0 8   9    .rdata  ascii   eeeezzzz
241 0x0000c8ec 0x0040d4ec 4   5    .rdata  ascii   \b\b\b\b
242 0x0000c8f4 0x0040d4f4 12  13   .rdata  ascii   xxxx%%%%....
243 0x0000c918 0x0040d518 4   5    .rdata  ascii   tttt
244 0x0000c920 0x0040d520 4   5    .rdata  ascii   KKKK
245 0x0000c930 0x0040d530 8   9    .rdata  ascii   pppp>>>>
246 0x0000c93c 0x0040d53c 8   9    .rdata  ascii   ffffHHHH
247 0x0000c950 0x0040d550 12  13   .rdata  ascii   aaaa5555WWWW
248 0x0000c980 0x0040d580 4   5    .rdata  ascii   iiii
249 0x0000c9a4 0x0040d5a4 8   9    .rdata  ascii   UUUU((((
250 0x0000c9bc 0x0040d5bc 4   5    .rdata  ascii   \r\r\r\r
251 0x0000c9c8 0x0040d5c8 12  13   .rdata  ascii   BBBBhhhhAAAA
252 0x0000c9d8 0x0040d5d8 4   5    .rdata  ascii   ----
253 0x0000c9e4 0x0040d5e4 4   5    .rdata  ascii   TTTT
254 0x0000c9f3 0x0040d5f3 6   8    .rdata  utf8    QSeA~ä blocks=Basic Latin,Latin-1 Supplement
255 0x0000ca19 0x0040d619 4   6    .rdata  utf8    v̈%L blocks=Basic Latin,Combining Diacritical Marks
256 0x0000ca26 0x0040d626 5   7    .rdata  utf8    *ŀD5& blocks=Basic Latin,Latin Extended-A
257 0x0000ca65 0x0040d665 5   6    .rdata  ascii   !tX)i
258 0x0000cab0 0x0040d6b0 4   5    .rdata  ascii   XhHp
259 0x0000cace 0x0040d6ce 4   5    .rdata  ascii   Uf\a(
260 0x0000cb0f 0x0040d70f 4   6    .rdata  utf8    ĝS.4 blocks=Latin Extended-A,Basic Latin
261 0x0000cb6f 0x0040d76f 4   5    .rdata  ascii   yG\n|
262 0x0000cb8c 0x0040d78c 4   5    .rdata  ascii   NrZl
263 0x0000cb99 0x0040d799 7   9    .rdata  utf8    ծ='9-6d blocks=Armenian,Basic Latin
264 0x0000cbac 0x0040d7ac 4   5    .rdata  ascii   :.6$
265 0x0000cbc7 0x0040d7c7 5   6    .rdata  ascii   aiKwZ
266 0x0000cbf3 0x0040d7f3 4   5    .rdata  ascii   WL\au
267 0x0000cc09 0x0040d809 5   6    .rdata  ascii   ;fD4~
268 0x0000cc0f 0x0040d80f 4   5    .rdata  ascii   [v)C
269 0x0000cc26 0x0040d826 4   5    .rdata  ascii   cB@"
270 0x0000cc2e 0x0040d82e 4   6    .rdata  utf8    Ƅ}$J blocks=Latin Extended-B,Basic Latin
271 0x0000cc7a 0x0040d87a 5   9    .rdata  utf8    ʌ6\vԘρ blocks=IPA Extensions,Basic Latin,Cyrillic Supplement,Greek and Coptic
272 0x0000cc9a 0x0040d89a 6   7    .rdata  ascii   _jbF~T
273 0x0000cd03 0x0040d903 6   7    .rdata  ascii   11#?*0
