[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000000 0x00000000 4   5            ascii   MZER
1    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
2    0x000000a8 0x000000a8 5   6            ascii   RichD
3    0x000001c0 0x000001c0 5   6            ascii   .text
4    0x000001e7 0x000001e7 6   7            ascii   `.rsrc
5    0x00001010 0x00001010 4   5            ascii   E\fPV
6    0x0000101e 0x0000101e 6   8            utf8    ^]ËE\b] blocks=Basic Latin,Latin-1 Supplement
7    0x0000105a 0x0000105a 5   7            utf8    \a\vʊP\v blocks=Basic Latin,IPA Extensions
8    0x000010ab 0x000010ab 5   7            utf8    \a\vʊP\a blocks=Basic Latin,IPA Extensions
9    0x00001100 0x00001100 4   6            utf8    \a\vʊP blocks=Basic Latin,IPA Extensions
10   0x0000117c 0x0000117c 5   6            ascii   >'{CU
11   0x0000119f 0x0000119f 4   5            ascii   I\fSW
12   0x000011d7 0x000011d7 6   7            ascii   1N\b1V\f
184  0x00004af4 0x004048f4 10  15   .text   utf8    u\b3\tEȉẺEЍ blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks,Cyrillic
185  0x00004b78 0x00404978 7   15   .text   utf16le jjjjjjj
186  0x00004be2 0x004049e2 4   6    .text   utf8    ^]Ê? blocks=Basic Latin,Latin-1 Supplement
187  0x00004d18 0x00404b18 4   6    .text   utf8    \fǁ8  blocks=Basic Latin,Latin Extended-B
188  0x00004d46 0x00404b46 4   5    .text   ascii   u\bWj
189  0x00004d78 0x00404b78 4   5    .text   ascii   j\eWV
190  0x00004d8f 0x00404b8f 4   5    .text   ascii   j\bWV
191  0x00004dcd 0x00404bcd 4   5    .text   ascii   SVW3
192  0x00004eb2 0x00404cb2 4   5    .text   ascii   t\nSV
193  0x00004ec8 0x00404cc8 4   6    .text   utf8    ]ËU\f blocks=Basic Latin,Latin-1 Supplement
194  0x00004ef2 0x00404cf2 4   5    .text   ascii   tKj@
195  0x00004f0b 0x00404d0b 5   6    .text   ascii   RPPh\f
196  0x00004f12 0x00404d12 5   6    .text   ascii   \bPPPP
197  0x00004f58 0x00404d58 4   5    .text   ascii   t\nSV
198  0x00005024 0x00404e24 5   7    .text   utf8    u\b3ɉE blocks=Basic Latin,Latin Extended-B
199  0x0000503c 0x00404e3c 7   11   .text   utf8    E\tEĉE܉E blocks=Basic Latin,Latin Extended-A,Syriac
200  0x0000526a 0x0040506a 6   13   .text   utf16le jjjjjj
201  0x0000536c 0x0040516c 4   5    .text   ascii   81uh
202  0x00005379 0x00405179 6   7    .text   ascii   8.tGAH
203  0x000053b8 0x004051b8 5   6    .text   ascii   :t<@N
204  0x000054ab 0x004052ab 4   5    .text   ascii   u\f^_
205  0x000054cc 0x004052cc 4   5    .text   ascii   RWSV
206  0x000057fe 0x004055fe 4   5    .text   ascii   vUW3
207  0x000058d9 0x004056d9 4   5    .text   ascii   A8`,
208  0x00005910 0x00405710 4   5    .text   ascii   t'VW
209  0x00005965 0x00405765 4   5    .text   ascii   \f^_]
210  0x000059ca 0x004057ca 9   10   .text   ascii   v'9_Pt"WV
211  0x00005a2d 0x0040582d 5   6    .text   ascii   WhO\bu
212  0x00005a79 0x00405879 5   6    .text   ascii   SVWj?
213  0x00005bfe 0x004059fe 4   5    .text   ascii   8_^[
214  0x00005c89 0x00405a89 5   6    .text   ascii   RHWQP
215  0x00005daa 0x00405baa 4   5    .text   ascii   x_'H
216  0x00005f78 0x00405d78 4   6    .text   utf8    ҍE\bP blocks=Cyrillic,Basic Latin
217  0x000060c2 0x00405ec2 4   5    .text   ascii   t\f[_
218  0x000060e8 0x00405ee8 4   5    .text   ascii   l.i^
219  0x00006152 0x00405f52 4   5    .text   ascii   G(WV
220  0x00006198 0x00405f98 4   5    .text   ascii   tSj@
221  0x000061e1 0x00405fe1 10  11   .text   ascii   RWWWWWWWSW
222  0x000061fd 0x00405ffd 4   5    .text   ascii   \r2uU
223  0x0000623d 0x0040603d 4   5    .text   ascii   H\bS3
224  0x0000628b 0x0040608b 4   5    .text   ascii   E\fPV
225  0x000062f0 0x004060f0 4   5    .text   ascii   M\fSQ
226  0x0000630b 0x0040610b 4   6    .text   utf8    Q3\rU
227  0x00006317 0x00406117 5   8    .text   utf8    E\tEĉE blocks=Basic Latin,Latin Extended-A
228  0x00006363 0x00406163 4   5    .text   ascii   SSRW
229  0x0000637f 0x0040617f 8   9    .text   ascii   RSSSSSSS
230  0x00006427 0x00406227 4   5    .text   ascii   _^[]
231  0x0000642c 0x0040622c 5   6    .text   ascii   4[u,U
232  0x000064c5 0x004062c5 4   5    .text   ascii   u\bj4
233  0x000064ca 0x004062ca 4   5    .text   ascii   F4PV
234  0x000064df 0x004062df 7   9    .text   utf8    F\f^]ôFm blocks=Basic Latin,Latin-1 Supplement
235  0x00006521 0x00406321 10  11   .text   ascii   <0POSTt\t@;
236  0x000065b7 0x004063b7 5   6    .text   ascii   wMRQW
237  0x00006600 0x00406400 4   5    .text   ascii   Rj"S
238  0x00006631 0x00406431 4   5    .text   ascii   @tpW
239  0x0000664a 0x0040644a 4   6    .text   utf8    _]ËH blocks=Basic Latin,Latin-1 Supplement
240  0x000067e8 0x004065e8 4   5    .text   ascii   QjxS
241  0x00006831 0x00406631 4   5    .text   ascii   RjyS
242  0x00006863 0x00406663 4   5    .text   ascii   PjzS
243  0x00006895 0x00406695 4   5    .text   ascii   Qj{S
244  0x000068ca 0x004066ca 4   5    .text   ascii   Rj|S
245  0x000069a6 0x004067a6 4   5    .text   ascii   \f_^[
246  0x000069ac 0x004067ac 4   6    .text   utf8    ]Ëu\f blocks=Basic Latin,Latin-1 Supplement
247  0x00006a61 0x00406861 5   6    .text   ascii   qQ^\b}
248  0x00006aa1 0x004068a1 4   5    .text   ascii   ^ASw
249  0x00006aa6 0x004068a6 4   7    .text   utf8    )귍VP blocks=Basic Latin,Hangul Syllables
250  0x00006ab2 0x004068b2 4   5    .text   ascii   CA^'
251  0x00006abd 0x004068bd 4   6    .text   utf8    ۸jzl blocks=Arabic,Basic Latin
252  0x00006ad3 0x004068d3 4   5    .text   ascii   Cz"t
253  0x00006b51 0x00406951 4   5    .text   ascii   Y<"G
254  0x00006b6d 0x0040696d 4   5    .text   ascii   9b\bR
255  0x00006bb3 0x004069b3 5   6    .text   ascii   =x`y[
256  0x00006bf2 0x004069f2 6   8    .text   utf8    1i\eҔC< blocks=Basic Latin,Cyrillic
257  0x00006c08 0x00406a08 7   9    .text   utf8    s]ڋCP9L blocks=Basic Latin,Arabic
258  0x00006c2e 0x00406a2e 5   6    .text   ascii   p~p~X
259  0x00006c3e 0x00406a3e 4   5    .text   ascii   Sg26
260  0x00006c55 0x00406a55 8   11   .text   utf8    rҽD6DPՋm blocks=Basic Latin,Cyrillic,Armenian
261  0x00006c76 0x00406a76 4   5    .text   ascii   @l=}
262  0x00006cfa 0x00406afa 4   5    .text   ascii   C',J
263  0x00006d22 0x00406b22 5   6    .text   ascii   \f|e#(
264  0x00006d3d 0x00406b3d 4   5    .text   ascii   \n|A"
265  0x00006d81 0x00406b81 4   5    .text   ascii   QX6q
266  0x00006de8 0x00406be8 4   5    .text   ascii   (dnM
267  0x00006e13 0x00406c13 5   7    .text   utf8    l@`p܈ blocks=Basic Latin,Syriac
268  0x00006e1a 0x00406c1a 4   6    .text   utf8    /A\v/
269  0x00006ebb 0x00406cbb 5   6    .text   ascii   M\fWSQ
270  0x00006ed1 0x00406cd1 5   6    .text   ascii   U\fWRS
271  0x00006f2b 0x00406d2b 5   8    .text   utf8    E؉EډE blocks=Basic Latin,Arabic
272  0x00006f44 0x00406d44 4   5    .text   ascii   @v\v3
273  0x000070f9 0x00406ef9 4   5    .text   ascii   SVWh
274  0x00007179 0x00406f79 4   5    .text   ascii   t;WV
275  0x00007223 0x00407023 6   7    .text   ascii   U\fRVPW
276  0x0000726a 0x0040706a 6   7    .text   ascii   M\fQVRW
277  0x0000729a 0x0040709a 4   6    .text   utf8    ƤkbK blocks=Latin Extended-B,Basic Latin
278  0x00007337 0x00407137 4   5    .text   ascii   D~$_
279  0x000073cd 0x004071cd 4   5    .text   ascii   {jjU
280  0x00007425 0x00407225 4   5    .text   ascii   @\fRP
281  0x00007456 0x00407256 4   5    .text   ascii   A\b;B
282  0x0000746e 0x0040726e 4   5    .text   ascii   \f_^]
283  0x0000748a 0x0040728a 4   5    .text   ascii   u\fWh
284  0x00007495 0x00407295 4   5    .text   ascii   WVQP
285  0x000074b1 0x004072b1 4   5    .text   ascii   #)UG
286  0x00007525 0x00407325 4   5    .text   ascii   \t\ff
287  0x00007585 0x00407385 5   6    .text   ascii   9\t\v3
288  0x000075c4 0x004073c4 4   6    .text   utf8    ]õ+8 blocks=Basic Latin,Latin-1 Supplement
289  0x000075cc 0x004073cc 4   6    .text   utf8    hĹ.U blocks=Basic Latin,Latin Extended-A
290  0x000075e0 0x004073e0 6   7    .text   ascii   3333t\t
291  0x00007635 0x00407435 4   5    .text   ascii   @Vj?
292  0x00007690 0x00407490 4   5    .text   ascii   Pj\bj
293  0x000076c9 0x004074c9 4   5    .text   ascii   SVW3
294  0x000076f3 0x004074f3 4   5    .text   ascii   }\bQW
295  0x0000773e 0x0040753e 4   5    .text   ascii   PSQW
296  0x00007786 0x00407586 4   5    .text   ascii   &_^3
297  0x000078ae 0x004076ae 4   6    .text   utf8    ؋C(P blocks=Arabic,Basic Latin
298  0x000078da 0x004076da 4   5    .text   ascii   (_^[
299  0x000078f5 0x004076f5 6   7    .text   ascii   XSVWj4
300  0x000079fb 0x004077fb 5   6    .text   ascii   H(WQS
301  0x00007a26 0x00407826 8   9    .text   ascii   U\fjdVWRS
302  0x00007a5f 0x0040785f 4   5    .text   ascii   QPRS
303  0x00007a88 0x00407888 4   5    .text   ascii   \bQRS
304  0x00007b37 0x00407937 4   5    .text   ascii   }\b^3
305  0x00007b41 0x00407941 6   7    .text   ascii   W9^ ts
306  0x00007ba7 0x004079a7 4   5    .text   ascii   PQWV
307  0x00007be8 0x004079e8 4   5    .text   ascii   \b_^3
308  0x00007ca0 0x00407aa0 4   5    .text   ascii   QRSV
309  0x00007cab 0x00407aab 4   5    .text   ascii   L_^[
310  0x00007cb5 0x00407ab5 4   5    .text   ascii   M{oN
311  0x00007cd4 0x00407ad4 4   5    .text   ascii   u\b_3
312  0x00007d3a 0x00407b3a 4   5    .text   ascii   Ph!i
313  0x00007d61 0x00407b61 4   5    .text   ascii   RPQW
314  0x00007df4 0x00407bf4 4   5    .text   ascii   E\fPW
315  0x00007e00 0x00407c00 7   10   .text   utf8    _^[]ÖѰS blocks=Basic Latin,Latin-1 Supplement,Cyrillic
316  0x00007e17 0x00407c17 5   6    .text   ascii   M\bSVW
317  0x00007eb9 0x00407cb9 5   6    .text   ascii   u\f8\0
318  0x00007eec 0x00407cec 5   6    .text   ascii   <>AuJ
319  0x00007f09 0x00407d09 5   6    .text   ascii   u\f8\0
320  0x00007f3c 0x00407d3c 5   6    .text   ascii   <>BuJ
321  0x00007f59 0x00407d59 5   6    .text   ascii   u\f8\0
