[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000cf 0x000000cf 5   6            ascii   ]Rich
2    0x000001d8 0x000001d8 5   6            ascii   .text
3    0x000001ff 0x000001ff 7   8            ascii   `.rdata
4    0x00000227 0x00000227 6   7            ascii   @.data
5    0x00000250 0x00000250 5   6            ascii   .rsrc
6    0x00000277 0x00000277 7   8            ascii   @.reloc
7    0x0000041a 0x0000041a 6   8            utf8    1qooGί blocks=Basic Latin,Greek and Coptic
8    0x0000044d 0x0000044d 5   6            ascii   \r"qt1
9    0x00000463 0x00000463 6   8            utf8    hӃe\b(x blocks=Basic Latin,Cyrillic
10   0x00000480 0x00000480 5   6            ascii   1C4hV
11   0x00000558 0x00000558 4   5            ascii    ?p&
12   0x0000064f 0x0000064f 6   7            ascii   XRt7\e9
13   0x0000065d 0x0000065d 4   5            ascii   z]G}
14   0x000006a1 0x000006a1 4   6            utf8    fݟP^ blocks=Basic Latin,Arabic Supplement
15   0x000006b5 0x000006b5 6   8            utf8    \fX\t*/\t
16   0x000006fb 0x000006fb 5   8            utf8    zؒ\v[͙ blocks=Basic Latin,Arabic,Combining Diacritical Marks
17   0x000007ba 0x000007ba 4   6            utf8    w|Ο3 blocks=Basic Latin,Greek and Coptic
18   0x000007d5 0x000007d5 4   5            ascii   rDdP
19   0x000007f1 0x000007f1 4   5            ascii   5it5
116  0x00002758 0x00402f58 4   6    .text   utf8    QƄ$$ blocks=Basic Latin,Latin Extended-B
117  0x00002774 0x00402f74 4   6    .text   utf8    RƄ$4 blocks=Basic Latin,Latin Extended-B
118  0x00002834 0x00403034 8   9    .text   ascii   D$\fPh^1A
119  0x00002862 0x00403062 4   5    .text   ascii   |$\fO
120  0x000028a8 0x004030a8 4   5    .text   ascii   |$\f+
121  0x00002913 0x00403113 4   5    .text   ascii   L$\fQ
122  0x0000292f 0x0040312f 6   7    .text   ascii   D$\bPh\f
123  0x00002940 0x00403140 6   7    .text   ascii   L$\bQh\f
124  0x00002977 0x00403177 4   5    .text   ascii   h,1A
125  0x00002984 0x00403184 4   5    .text   ascii   L$\bQ
126  0x000029d8 0x004031d8 4   6    .text   utf8    3ĉD$ blocks=Basic Latin,Latin Extended-A
127  0x000029de 0x004031de 4   5    .text   ascii   SUV3
128  0x00002a60 0x00403260 9   10   .text   ascii   QVVVVVVh 
129  0x00002a71 0x00403271 4   5    .text   ascii   T$LR
130  0x00002aa5 0x004032a5 5   6    .text   ascii   D$ Ph
131  0x00002b45 0x00403345 5   6    .text   ascii   _^][3
132  0x00002ba8 0x004033a8 4   5    .text   ascii   \r :A
133  0x00002bc5 0x004033c5 6   7    .text   ascii   D$\bPh4
134  0x00002be4 0x004033e4 5   6    .text   ascii   ;\r\b A
135  0x00002bfe 0x004033fe 4   5    .text   ascii   9]\fu
136  0x00002c08 0x00403408 5   6    .text   ascii   SSSSS
137  0x00002d33 0x00403533 4   5    .text   ascii   ;u\br
138  0x00002d57 0x00403557 4   5    .text   ascii   ;u\fr
139  0x00002d65 0x00403565 4   5    .text   ascii   =xYA
140  0x00002d6d 0x0040356d 4   5    .text   ascii   hxYA
141  0x00002dbc 0x004035bc 4   5    .text   ascii   =|YA
142  0x00002dc2 0x004035c2 7   8    .text   ascii   Yt\eh|YA
143  0x00002e24 0x00403624 4   5    .text   ascii   5pYA
144  0x00002e39 0x00403639 4   5    .text   ascii   5lYA
145  0x00002e79 0x00403679 4   5    .text   ascii   5pYA
146  0x00002e86 0x00403686 4   5    .text   ascii   5lYA
147  0x00002eff 0x004036ff 4   5    .text   ascii   t\bj\b
148  0x00002f94 0x00403794 4   5    .text   ascii   h&7@
149  0x00002fb2 0x004037b2 4   5    .text   ascii   u\bW3
150  0x00002fc5 0x004037c5 6   7    .text   ascii   ^WWWWW
151  0x000030ca 0x004038ca 5   6    .text   ascii   Au\rjd
152  0x00003104 0x00403904 5   6    .text   ascii   Au\njd
153  0x00003226 0x00403a26 4   5    .text   ascii   =\YA
154  0x00003246 0x00403a46 4   5    .text   ascii   t\tVP
155  0x000032a0 0x00403aa0 6   7    .text   ascii   j\fh0\aA
156  0x000032b1 0x00403ab1 7   8    .text   ascii   u\b;5LYA
157  0x0000336c 0x00403b6c 6   7    .text   ascii   u.j\f^9
158  0x000033b9 0x00403bb9 6   7    .text   ascii   j\fhP\aA
159  0x000033ca 0x00403bca 5   7    .text   utf8    3\v}\b;
160  0x000033e3 0x00403be3 5   6    .text   ascii   SSSSS
161  0x000033f3 0x00403bf3 6   8    .text   utf8    y3\vu\f;
162  0x0000343d 0x00403c3d 5   6    .text   ascii   Ph\b A
163  0x000034a1 0x00403ca1 5   6    .text   ascii   ]\fVW3
164  0x000034b0 0x00403cb0 4   5    .text   ascii   t!9}
165  0x000034c0 0x00403cc0 4   5    .text   ascii   WWWW
166  0x000034f1 0x00403cf1 5   6    .text   ascii   t\vSWQ
167  0x00003649 0x00403e49 4   5    .text   ascii   VVVV
168  0x0000367c 0x00403e7c 5   6    .text   ascii   PPPPP
169  0x0000369e 0x00403e9e 6   7    .text   ascii   j\fhp\aA
170  0x000036b2 0x00403eb2 4   5    .text   ascii   t79u
171  0x000036b7 0x00403eb7 4   5    .text   ascii   t29u
172  0x000036de 0x00403ede 5   6    .text   ascii   VVVVV
173  0x00003758 0x00403f58 5   6    .text   ascii   \fSVW3
174  0x0000375e 0x00403f5e 7   8    .text   ascii   9}\ft$9}
175  0x00003774 0x00403f74 5   6    .text   ascii   WWWWW
176  0x0000378d 0x00403f8d 4   6    .text   utf8    ËM\b; blocks=Latin-1 Supplement,Basic Latin
177  0x0000379b 0x00403f9b 4   5    .text   ascii   u\f9E
178  0x000037a0 0x00403fa0 4   6    .text   utf8    w͋}\f blocks=Basic Latin,Combining Diacritical Marks
179  0x00003825 0x00404025 4   6    .text   utf8    t\t3ҋ blocks=Basic Latin,Cyrillic
180  0x000038c1 0x004040c1 7   8    .text   ascii   9u\ft)9u
181  0x000038e2 0x004040e2 5   6    .text   ascii   VVVVV
182  0x0000394d 0x0040414d 5   6    .text   ascii   SSSSS
183  0x00003985 0x00404185 4   6    .text   utf8    \f;ÉE blocks=Basic Latin,Latin-1 Supplement
184  0x0000398b 0x0040418b 4   6    .text   utf8    |ӋW\f blocks=Basic Latin,Cyrillic
185  0x00003996 0x00404196 4   5    .text   ascii   u\b+G
186  0x00003a6a 0x0040426a 4   5    .text   ascii   E\b@;
187  0x00003a98 0x00404298 4   5    .text   ascii   9E\bw
188  0x00003ac0 0x004042c0 4   5    .text   ascii   E\b)E
189  0x00003af7 0x004042f7 5   6    .text   ascii   VVVVV
190  0x00003bef 0x004043ef 5   6    .text   ascii   VVVVV
191  0x00003c57 0x00404457 4   5    .text   ascii   u\bW3
192  0x00003c68 0x00404468 5   6    .text   ascii   WWWWW
193  0x00003cc1 0x004044c1 4   5    .text   ascii   _^[]
194  0x00003cd6 0x004044d6 5   7    .text   utf8    3\vu\b3
195  0x00003cf1 0x004044f1 5   6    .text   ascii   WWWWW
196  0x00003d04 0x00404504 5   6    .text   ascii   F\f@t\f
197  0x00003d36 0x00404536 4   6    .text   utf8    Ջu\bV blocks=Armenian,Basic Latin
198  0x00003d99 0x00404599 4   5    .text   ascii   =<:A
199  0x00003e5c 0x0040465c 4   5    .text   ascii   }\bj\e
200  0x00003e82 0x00404682 4   5    .text   ascii   }\bj\b
201  0x00003e93 0x00404693 4   5    .text   ascii   }\bj\t
202  0x00003ebf 0x004046bf 7   8    .text   ascii   j\nYQPVh
203  0x00003ef8 0x004046f8 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
204  0x00003f55 0x00404755 4   5    .text   ascii   \rD;A
205  0x00003f67 0x00404767 4   5    .text   ascii   58;A
206  0x00003f6d 0x0040476d 4   5    .text   ascii   =4;A
207  0x00003f7b 0x0040477b 4   5    .text   ascii   \rT;A
208  0x00003f90 0x00404790 4   5    .text   ascii   %(;A
209  0x00003f97 0x00404797 4   5    .text   ascii   -$;A
210  0x000041e5 0x004049e5 4   5    .text   ascii   Hpu\a
211  0x00004205 0x00404a05 4   5    .text   ascii   Hpu\b
212  0x00004236 0x00404a36 4   5    .text   ascii   A\f@t
213  0x00004294 0x00404a94 5   6    .text   ascii   G\f@SV
214  0x000042d7 0x00404ad7 4   6    .text   utf8    ^[]Ë blocks=Basic Latin,Latin-1 Supplement
215  0x00004353 0x00404b53 5   6    .text   ascii   PPPPP
216  0x0000437c 0x00404b7c 6   7    .text   ascii   F\f@u^V
217  0x00004421 0x00404c21 5   6    .text   ascii   , <Xw
218  0x0000449e 0x00404c9e 6   7    .text   ascii   \bt%HHt
219  0x00004529 0x00404d29 4   7    .text   utf8    ʍD\bЉ blocks=IPA Extensions,Basic Latin,Cyrillic
220  0x0000457a 0x00404d7a 4   7    .text   utf8    ʍD\bЉ blocks=IPA Extensions,Basic Latin,Cyrillic
221  0x000046de 0x00404ede 10  11   .text   ascii   HHtXHHt\bHH
222  0x000047ce 0x00404fce 5   6    .text   ascii   HHty+
223  0x0000491d 0x0040511d 4   5    .text   ascii    t\ff
224  0x00004977 0x00405177 4   6    .text   utf8    gueǅ blocks=Basic Latin,Latin Extended-B
225  0x00004b50 0x00405350 4   5    .text   ascii   @t\e;
226  0x00004bdb 0x004053db 4   5    .text   ascii   RPSW
227  0x00004c26 0x00405426 4   5    .text   ascii   90tV
228  0x00004c3b 0x0040543b 6   7    .text   ascii   >If90t
229  0x00004d1e 0x0040551e 4   5    .text   ascii   \bYt\e
230  0x00004d2b 0x0040552b 4   5    .text   ascii   WSj0
231  0x00004dd7 0x004055d7 4   5    .text   ascii   WSj 
232  0x00004e51 0x00405651 4   6    .text   utf8    Ð^N@ blocks=Latin-1 Supplement,Basic Latin
233  0x00004fb0 0x004057b0 4   5    .text   ascii   5d=A
234  0x00004ff1 0x004057f1 5   7    .text   utf8    j\rX]Ë blocks=Basic Latin,Latin-1 Supplement
235  0x00005057 0x00405857 4   6    .text   utf8    0^]Ë blocks=Basic Latin,Latin-1 Supplement
236  0x000050c8 0x004058c8 4   5    .text   ascii   E\b^]
237  0x00005143 0x00405943 4   5    .text   ascii   E\b^]
238  0x00005167 0x00405967 4   5    .text   ascii   5l=A
239  0x00005191 0x00405991 4   5    .text   ascii   5t=A
240  0x000051c2 0x004059c2 6   7    .text   ascii   j\fh8\bA
241  0x00005295 0x00405a95 4   5    .text   ascii   u\bj\r
242  0x000052e4 0x00405ae4 4   5    .text   ascii   5p=A
243  0x0000533c 0x00405b3c 6   7    .text   ascii   j\bh`\bA
244  0x00005454 0x00405c54 4   5    .text   ascii   u\bj\r
245  0x0000545d 0x00405c5d 6   8    .text   utf8    YËu\bj\f blocks=Basic Latin,Latin-1 Supplement
246  0x000054c4 0x00405cc4 5   7    .text   utf8    փ=h=A blocks=Armenian,Basic Latin
247  0x000054da 0x00405cda 4   5    .text   ascii   =l=A
248  0x000054e3 0x00405ce3 4   5    .text   ascii   =p=A
249  0x00005509 0x00405d09 4   5    .text   ascii   5p=A
250  0x00005528 0x00405d28 4   5    .text   ascii   5l=A
251  0x0000553e 0x00405d3e 4   5    .text   ascii   5h=A
252  0x00005549 0x00405d49 4   5    .text   ascii   5l=A
253  0x00005559 0x00405d59 4   5    .text   ascii   5p=A
254  0x00005569 0x00405d69 4   5    .text   ascii   5t=A
255  0x00005587 0x00405d87 6   7    .text   ascii   teh<[@
256  0x0000558f 0x00405d8f 4   5    .text   ascii   5h=A
257  0x000055c2 0x00405dc2 4   5    .text   ascii   5p=A
258  0x00005601 0x00405e01 5   6    .text   ascii   ]\bVW3
259  0x00005678 0x00405e78 7   8    .text   ascii   t\rVVVVV
260  0x000056be 0x00405ebe 5   6    .text   ascii   PPPPP
261  0x000056d5 0x00405ed5 4   5    .text   ascii   <v8V
262  0x00005701 0x00405f01 5   6    .text   ascii   VVVVV
263  0x00005723 0x00405f23 7   8    .text   ascii   t\rVVVVV
264  0x00005736 0x00405f36 4   6    .text   utf8    4Ŕ!A blocks=Basic Latin,Latin Extended-A
265  0x00005748 0x00405f48 7   8    .text   ascii   t\rVVVVV
266  0x00005817 0x00406017 5   7    .text   utf8    @_^Ã$ blocks=Basic Latin,Latin-1 Supplement
267  0x00005859 0x00406059 5   7    .text   utf8    |ܾH"A blocks=Basic Latin,Syriac
268  0x00005990 0x00406190 4   5    .text   ascii   QSVW
269  0x00005995 0x00406195 4   5    .text   ascii   5pYA
270  0x000059a0 0x004061a0 4   5    .text   ascii   5lYA
271  0x00005a6c 0x0040626c 4   6    .text   utf8    X^Ã& blocks=Basic Latin,Latin-1 Supplement
272  0x00005ac5 0x004062c5 4   6    .text   utf8    YH]Ë blocks=Basic Latin,Latin-1 Supplement
273  0x00005b54 0x00406354 4   6    .text   utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
274  0x00005b5a 0x0040635a 4   6    .text   utf8    A8PE
275  0x00005bbf 0x004063bf 4   5    .text   ascii   _^[]
276  0x00005bea 0x004063ea 4   5    .text   ascii   \bSVW
277  0x00005c53 0x00406453 4   5    .text   ascii   Y_^[
278  0x00005c85 0x00406485 4   5    .text   ascii   Y_^[
279  0x00005cdf 0x004064df 5   6    .text   ascii   Y__^[
280  0x00005cfe 0x004064fe 7   8    .text   ascii   s\b35\b A
281  0x00005dd3 0x004065d3 4   5    .text   ascii   9csm
282  0x00005ddb 0x004065db 4   5    .text   ascii   =`YA
283  0x00005de1 0x004065e1 6   7    .text   ascii   t h`YA
284  0x00005e0c 0x0040660c 6   7    .text   ascii   E\f9X\ft
285  0x00005e13 0x00406613 4   5    .text   ascii   h\b A
286  0x00005e6a 0x0040666a 4   5    .text   ascii   h\b A
287  0x00005eb5 0x004066b5 4   5    .text   ascii   h|f@
288  0x00005eec 0x004066ec 4   5    .text   ascii   S99t
289  0x00005f06 0x00406706 5   6    .text   ascii   s\b99u
290  0x00006005 0x00406805 4   5    .text   ascii   vdj\b
291  0x0000606c 0x0040686c 4   5    .text   ascii   M\b^;
292  0x00006089 0x00406889 6   7    .text   ascii   j h\b\tA
293  0x0000609b 0x0040689b 4   6    .text   utf8    }؋]\b blocks=Basic Latin,Arabic
294  0x000060fb 0x004068fb 4   5    .text   ascii   t+Ht
295  0x0000610d 0x0040690d 5   6    .text   ascii   PPPPP
296  0x00006172 0x00406972 4   6    .text   utf8    Y3\tE
297  0x0000618b 0x0040698b 4   6    .text   utf8    MԉG` blocks=Basic Latin,Cyrillic Supplement
298  0x00006221 0x00406a21 4   6    .text   utf8    EԉG` blocks=Basic Latin,Cyrillic Supplement
299  0x0000622c 0x00406a2c 5   7    .text   utf8    EЉGd3 blocks=Basic Latin,Cyrillic
300  0x00006268 0x00406a68 4   5    .text   ascii   h(\tA
301  0x000062a8 0x00406aa8 4   5    .text   ascii   u\bj\b
302  0x000062db 0x00406adb 4   5    .text   ascii   5\fBA
303  0x000062ff 0x00406aff 4   6    .text   utf8    ̋T$\f blocks=Combining Diacritical Marks,Basic Latin
304  0x0000630a 0x00406b0a 7   9    .text   utf8    ti3\nD$\b
305  0x0000631f 0x00406b1f 4   5    .text   ascii   =\fHA
306  0x00006339 0x00406b39 5   7    .text   utf8    t\f+ш\a blocks=Basic Latin,Cyrillic
307  0x00006370 0x00406b70 7   9    .text   utf8    D$\b_ËD$ blocks=Basic Latin,Latin-1 Supplement
308  0x0000637f 0x00406b7f 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
309  0x00006388 0x00406b88 7   9    .text   utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
310  0x0000639d 0x00406b9d 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
311  0x000063a7 0x00406ba7 4   6    .text   utf8    ؋D$\b blocks=Arabic,Basic Latin
312  0x000063c0 0x00406bc0 4   5    .text   ascii   WVS3
313  0x0000644b 0x00406c4b 7   8    .text   ascii   w\br\a;D$
314  0x00006485 0x00406c85 4   6    .text   utf8    ^Ã~D blocks=Basic Latin,Latin-1 Supplement
315  0x0000649a 0x00406c9a 6   9    .text   utf8    t܋FD^Ë blocks=Basic Latin,Syriac,Latin-1 Supplement
316  0x000064a8 0x00406ca8 4   5    .text   ascii   9E\bj
317  0x000064d7 0x00406cd7 4   5    .text   ascii   \rDYA
318  0x000064e9 0x00406ce9 5   6    .text   ascii   U\b+P\f
319  0x00006569 0x00406d69 5   6    .text   ascii   ;K\buB
320  0x000065a8 0x00406da8 4   5    .text   ascii   M\b!Y
321  0x000065f7 0x00406df7 5   6    .text   ascii   u\fK^;
322  0x0000661d 0x00406e1d 5   6    .text   ascii   ;q\bu;
323  0x0000663d 0x00406e3d 4   5    .text   ascii   M\b!1
324  0x00006658 0x00406e58 4   5    .text   ascii   M\b!q
325  0x000066a6 0x00406ea6 5   6    .text   ascii   ;N\bu`
326  0x000066f3 0x00406ef3 4   5    .text   ascii   M\b\tY
327  0x0000672d 0x00406f2d 4   5    .text   ascii   \rXYA
328  0x0000674d 0x00406f4d 4   5    .text   ascii   \rXYA
329  0x0000676a 0x00406f6a 4   5    .text   ascii   \rXYA
330  0x0000679d 0x00406f9d 4   5    .text   ascii   ueSj
331  0x000067be 0x00406fbe 4   5    .text   ascii   \rDYA
332  0x000067e9 0x00406fe9 4   5    .text   ascii   \rDYA
333  0x0000680d 0x0040700d 4   5    .text   ascii   =XYA
334  0x00006816 0x00407016 4   6    .text   utf8    áTYA blocks=Latin-1 Supplement,Basic Latin
335  0x0000681e 0x0040701e 4   5    .text   ascii   5DYA
336  0x00006832 0x00407032 4   5    .text   ascii   5HYA
337  0x00006854 0x00407054 4   5    .text   ascii   5DYA
338  0x00006862 0x00407062 4   5    .text   ascii   5HYA
339  0x000068d2 0x004070d2 4   5    .text   ascii   A\bSV
340  0x00006977 0x00407177 4   6    .text   utf8    IuˋU blocks=Basic Latin,Spacing Modifier Letters
341  0x000069ac 0x004071ac 4   7    .text   utf8    D\vE\b
342  0x00006a49 0x00407249 5   6    .text   ascii   ;_\buC
343  0x00006a8c 0x0040728c 4   5    .text   ascii   M\b!Y
344  0x00006aec 0x004072ec 5   6    .text   ascii   ;Y\buW
345  0x00006b30 0x00407330 4   5    .text   ascii   M\b\tY
346  0x00006b7a 0x0040737a 4   5    .text   ascii   ]\f)u
347  0x00006bba 0x004073ba 5   6    .text   ascii   ;O\buB
348  0x00006bf9 0x004073f9 4   5    .text   ascii   M\b!Y
349  0x00006c43 0x00407443 5   6    .text   ascii   ;K\buW
350  0x00006c6a 0x0040746a 4   5    .text   ascii   M\b\t9
351  0x00006c87 0x00407487 4   5    .text   ascii   M\b\ty
352  0x00006caa 0x004074aa 4   5    .text   ascii   @_^[
353  0x00006cd9 0x004074d9 5   6    .text   ascii    VW}\v
354  0x00006cf7 0x004074f7 4   5    .text   ascii   \rPYA
355  0x00006e37 0x00407637 4   5    .text   ascii   j?^;
356  0x00006e45 0x00407645 5   6    .text   ascii   ;J\bu\
357  0x00006e74 0x00407674 4   5    .text   ascii   ]\b!\v
358  0x00006edd 0x004076dd 5   6    .text   ascii   ;J\bu^
359  0x00006f79 0x00407779 5   6    .text   ascii   ;\rXYA
360  0x00006f9a 0x0040779a 4   6    .text   utf8    á@YA blocks=Latin-1 Supplement,Basic Latin
