[Strings]
nth  paddr      vaddr      len  size section         type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
3084 0x0005e9ef 0x004711ef 4    5    .debug_abbrev   ascii   \b:\v;
3085 0x0005ea12 0x00471212 4    5    .debug_abbrev   ascii   \v\v>\v
3086 0x0005ea3e 0x0047123e 5    6    .debug_abbrev   ascii   ;\v9\vI
3087 0x0005ea64 0x00471264 4    5    .debug_abbrev   ascii   \a9\vI
3088 0x0005ea9a 0x0047129a 4    5    .debug_abbrev   ascii   \n9\vI
3089 0x0005eaba 0x004712ba 6    7    .debug_abbrev   ascii   \b\v\v:\v;
3090 0x0005eaca 0x004712ca 5    6    .debug_abbrev   ascii   \v\v:\v;
3091 0x0005eada 0x004712da 4    5    .debug_abbrev   ascii   \b:\v;
3092 0x0005eaf2 0x004712f2 4    5    .debug_abbrev   ascii   \b:\v;
3093 0x0005eb31 0x00471331 4    5    .debug_abbrev   ascii   \b:\v;
3094 0x0005eb54 0x00471354 4    5    .debug_abbrev   ascii   \v\v>\v
3095 0x0005eb80 0x00471380 5    6    .debug_abbrev   ascii   ;\v9\vI
3096 0x0005eba6 0x004713a6 4    5    .debug_abbrev   ascii   \a9\vI
3097 0x0005ebdc 0x004713dc 4    5    .debug_abbrev   ascii   \n9\vI
3098 0x0005ebfc 0x004713fc 6    7    .debug_abbrev   ascii   \b\v\v:\v;
3099 0x0005ec0c 0x0047140c 5    6    .debug_abbrev   ascii   \v\v:\v;
3100 0x0005ec1c 0x0047141c 4    5    .debug_abbrev   ascii   \b:\v;
3101 0x0005ec34 0x00471434 4    5    .debug_abbrev   ascii   \b:\v;
3102 0x0005ec4f 0x0047144f 4    5    .debug_abbrev   ascii   \b:\v;
3103 0x0005ec89 0x00471489 4    5    .debug_abbrev   ascii   \b:\v;
3104 0x0005ee1b 0x0047201b 27   28   .debug_line     ascii   ../../../libgcc/config/i386
3105 0x0005ee38 0x00472038 8    9    .debug_line     ascii   cygwin.S
3106 0x0005ee50 0x00472050 14   15   .debug_line     ascii   ""YK0g=YY0/>""
3107 0x0005ee7e 0x0047207e 34   35   .debug_line     ascii   ../../../libgcc/../gcc/config/i386
3108 0x0005eea1 0x004720a1 15   16   .debug_line     ascii   ../../../libgcc
3109 0x0005eeb2 0x004720b2 6    7    .debug_line     ascii   i386.h
3110 0x0005eebc 0x004720bc 11   12   .debug_line     ascii   gbl-ctors.h
3111 0x0005eecb 0x004720cb 9    10   .debug_line     ascii   libgcc2.c
3112 0x0005eef4 0x004720f4 15   16   .debug_line     ascii   ../../../libgcc
3113 0x0005ef05 0x00472105 9    10   .debug_line     ascii   libgcc2.c
3114 0x0005ef12 0x00472112 9    10   .debug_line     ascii   libgcc2.h
3115 0x0005f03e 0x0047223e 4    5    .debug_line     ascii   \vK-/
3116 0x0005f0a5 0x004722a5 15   16   .debug_line     ascii   ../../../libgcc
3117 0x0005f0b6 0x004722b6 9    10   .debug_line     ascii   libgcc2.c
3118 0x0005f0c3 0x004722c3 9    10   .debug_line     ascii   libgcc2.h
3119 0x0005f1af 0x004723af 6    7    .debug_line     ascii   \vfh,KK
3120 0x0005f1d2 0x004723d2 4    5    .debug_line     ascii   J.J.
3121 0x0005f21b 0x0047241b 15   16   .debug_line     ascii   ../../../libgcc
3122 0x0005f22c 0x0047242c 9    10   .debug_line     ascii   libgcc2.c
3123 0x0005f239 0x00472439 9    10   .debug_line     ascii   libgcc2.h
3124 0x0005f600 0x00474000 36   37   .debug_str      ascii   ../../../libgcc/config/i386/cygwin.S
3125 0x0005f625 0x00474025 65   66   .debug_str      ascii   R:\winlibs32_stage\gcc-11.1.0\build_mingw\i686-w64-mingw32\libgcc
3126 0x0005f667 0x00474067 13   14   .debug_str      ascii   GNU AS 2.36.1
3127 0x0005fa15 0x00475215 4    5    .debug_loclists ascii   #'\aS
3128 0x0005fa40 0x00475240 4    5    .debug_loclists ascii   ^i\aS
3129 0x0005fdc8 0x004755c8 4    5    .debug_loclists ascii   )\b O
3130 0x0005fe03 0x00475603 4    5    .debug_loclists ascii   )\b O
3131 0x0005ff83 0x00475783 4    5    .debug_loclists ascii   \v)\aV
3132 0x00060600 0x00475e00 5    6                    ascii   .file
3133 0x00060612 0x00475e12 8    9                    ascii   crtexe.c
3134 0x00060624 0x00475e24 5    6                    ascii   _argc
3135 0x00060636 0x00475e36 5    6                    ascii   _argv
3136 0x00060648 0x00475e48 5    6                    ascii   _envp
3137 0x0006065a 0x00475e5a 7    8                    ascii   _argret
3138 0x0006066c 0x00475e6c 8    9                    ascii   _mainret
3139 0x00060756 0x00475f56 7    8                    ascii   _atexit
3140 0x00060768 0x00475f68 5    6                    ascii   .text
3141 0x0006078c 0x00475f8c 5    6                    ascii   .data
3142 0x000607b0 0x00475fb0 4    5                    ascii   .bss
3143 0x00060864 0x00476064 5    6                    ascii   .file
3144 0x00060876 0x00476076 18   19                   ascii   cygming-crtbegin.c
3145 0x0006089a 0x0047609a 4    5                    ascii   _obj
3146 0x000608f4 0x004760f4 5    6                    ascii   .text
3147 0x00060918 0x00476118 5    6                    ascii   .data
3148 0x0006093c 0x0047613c 4    5                    ascii   .bss
3149 0x00060984 0x00476184 6    7                    ascii   .rdata
3150 0x000609cc 0x004761cc 5    6                    ascii   .file
3151 0x00060ac8 0x004762c8 5    6                    ascii   .text
3152 0x00060aec 0x004762ec 5    6                    ascii   .data
3153 0x00060b10 0x00476310 4    5                    ascii   .bss
3154 0x00060b34 0x00476334 6    7                    ascii   .rdata
3155 0x00060ba0 0x004763a0 5    6                    ascii   .file
3156 0x00060ce4 0x004764e4 5    6                    ascii   .text
3157 0x00060d08 0x00476508 5    6                    ascii   .data
3158 0x00060d2c 0x0047652c 4    5                    ascii   .bss
3159 0x00060d50 0x00476550 6    7                    ascii   .rdata
3160 0x00060dbc 0x004765bc 5    6                    ascii   .file
3161 0x00060eca 0x004766ca 5    6                    ascii   .text
3162 0x00060eee 0x004766ee 5    6                    ascii   .data
3163 0x00060f12 0x00476712 4    5                    ascii   .bss
3164 0x00060f36 0x00476736 6    7                    ascii   .rdata
3165 0x00060fa2 0x004767a2 5    6                    ascii   .file
3166 0x00060fb4 0x004767b4 15   16                   ascii   stdlib_io.nim.c
3167 0x00060fc6 0x004767c6 10   11                   ascii   _fprintfH(
3168 0x00061188 0x00476988 8    9                    ascii   _asgnRef
3169 0x00061284 0x00476a84 5    6                    ascii   .text
3170 0x000612a8 0x00476aa8 5    6                    ascii   .data
3171 0x000612cc 0x00476acc 4    5                    ascii   .bss
3172 0x000612f0 0x00476af0 6    7                    ascii   .rdata
3173 0x0006135c 0x00476b5c 5    6                    ascii   .file
3174 0x00061380 0x00476b80 7    8                    ascii   _printf
3175 0x00062028 0x00477828 7    8                    ascii   _newObj
3176 0x00062148 0x00477948 9    10                   ascii   _asgnRef[
3177 0x00062646 0x00477e46 8    9                    ascii   _chckNil
3178 0x0006279c 0x00477f9c 8    9                    ascii   @isObj@8
3179 0x000628ce 0x004780ce 5    6                    ascii   .text
3180 0x000628f2 0x004780f2 5    6                    ascii   .data
3181 0x00062916 0x00478116 4    5                    ascii   .bss
3182 0x0006293a 0x0047813a 6    7                    ascii   .rdata
3183 0x000629a6 0x004781a6 5    6                    ascii   .file
3184 0x00062a48 0x00478248 5    6                    ascii   .text
3185 0x00062a6c 0x0047826c 5    6                    ascii   .data
3186 0x00062a90 0x00478290 4    5                    ascii   .bss
3187 0x00062ab4 0x004782b4 6    7                    ascii   .rdata
3188 0x00062b20 0x00478320 5    6                    ascii   .file
3189 0x00062b32 0x00478332 17   18                   ascii   stdlib_math.nim.c
3190 0x00062b68 0x00478368 5    6                    ascii   .text
3191 0x00062b8c 0x0047838c 5    6                    ascii   .data
3192 0x00062bb0 0x004783b0 4    5                    ascii   .bss
3193 0x00062c1c 0x0047841c 5    6                    ascii   .file
3194 0x00062cbe 0x004784be 5    6                    ascii   .text
3195 0x00062ce2 0x004784e2 5    6                    ascii   .data
3196 0x00062d06 0x00478506 4    5                    ascii   .bss
3197 0x00062d2a 0x0047852a 6    7                    ascii   .rdata
3198 0x00062d96 0x00478596 5    6                    ascii   .file
3199 0x00062eda 0x004786da 8    9                    ascii   _asgnRef
3200 0x0006309c 0x0047889c 5    6                    ascii   .text
3201 0x000630c0 0x004788c0 5    6                    ascii   .data
3202 0x000630e4 0x004788e4 4    5                    ascii   .bss
3203 0x00063108 0x00478908 6    7                    ascii   .rdata
3204 0x00063174 0x00478974 5    6                    ascii   .file
3205 0x000632ca 0x00478aca 5    6                    ascii   .text
3206 0x000632ee 0x00478aee 5    6                    ascii   .data
3207 0x00063312 0x00478b12 4    5                    ascii   .bss
3208 0x00063336 0x00478b36 6    7                    ascii   .rdata
3209 0x000633a2 0x00478ba2 5    6                    ascii   .file
3210 0x00063432 0x00478c32 5    6                    ascii   .text
3211 0x00063456 0x00478c56 5    6                    ascii   .data
3212 0x0006347a 0x00478c7a 4    5                    ascii   .bss
3213 0x0006349e 0x00478c9e 6    7                    ascii   .rdata
3214 0x0006350a 0x00478d0a 5    6                    ascii   .file
3215 0x000635d0 0x00478dd0 5    6                    ascii   .text
3216 0x000635f4 0x00478df4 5    6                    ascii   .data
3217 0x00063618 0x00478e18 4    5                    ascii   .bss
3218 0x0006363c 0x00478e3c 6    7                    ascii   .rdata
3219 0x000636a8 0x00478ea8 5    6                    ascii   .file
3220 0x000636ba 0x00478eba 18   19                   ascii   stdlib_times.nim.c
3221 0x00063780 0x00478f80 5    6                    ascii   .text
3222 0x000637a4 0x00478fa4 5    6                    ascii   .data
3223 0x000637c8 0x00478fc8 4    5                    ascii   .bss
3224 0x000637ec 0x00478fec 6    7                    ascii   .rdata
3225 0x00063858 0x00479058 5    6                    ascii   .file
3226 0x0006386a 0x0047906a 15   16                   ascii   stdlib_os.nim.c
3227 0x00063b82 0x00479382 8    9                    ascii   _asgnRef
3228 0x000640ec 0x004798ec 5    6                    ascii   .text
3229 0x00064110 0x00479910 5    6                    ascii   .data
3230 0x00064134 0x00479934 4    5                    ascii   .bss
3231 0x00064158 0x00479958 6    7                    ascii   .rdata
3232 0x000641c4 0x004799c4 5    6                    ascii   .file
3233 0x000642c0 0x00479ac0 8    9                    ascii   _asgnRef
3234 0x000642f6 0x00479af6 8    9                    ascii   _cardSet
3235 0x0006443a 0x00479c3a 5    6                    ascii   .text
3236 0x0006445e 0x00479c5e 5    6                    ascii   .data
3237 0x00064482 0x00479c82 4    5                    ascii   .bss
3238 0x000644a6 0x00479ca6 6    7                    ascii   .rdata
3239 0x00064512 0x00479d12 5    6                    ascii   .file
3240 0x000645b4 0x00479db4 5    6                    ascii   .text
3241 0x000645d8 0x00479dd8 5    6                    ascii   .data
3242 0x000645fc 0x00479dfc 4    5                    ascii   .bss
3243 0x00064620 0x00479e20 6    7                    ascii   .rdata
3244 0x0006468c 0x00479e8c 5    6                    ascii   .file
3245 0x00064776 0x00479f76 5    6                    ascii   .text
3246 0x0006479a 0x00479f9a 5    6                    ascii   .data
3247 0x000647be 0x00479fbe 4    5                    ascii   .bss
3248 0x000647e2 0x00479fe2 6    7                    ascii   .rdata
3249 0x0006484e 0x0047a04e 5    6                    ascii   .file
3250 0x00064926 0x0047a126 5    6                    ascii   .text
3251 0x0006494a 0x0047a14a 5    6                    ascii   .data
3252 0x0006496e 0x0047a16e 4    5                    ascii   .bss
3253 0x00064992 0x0047a192 6    7                    ascii   .rdata
3254 0x000649fe 0x0047a1fe 5    6                    ascii   .file
3255 0x00064d94 0x0047a594 9    10                   ascii   _asgnRefL
3256 0x00064ec6 0x0047a6c6 5    6                    ascii   .text
3257 0x00064eea 0x0047a6ea 5    6                    ascii   .data
3258 0x00064f0e 0x0047a70e 4    5                    ascii   .bss
3259 0x00064f32 0x0047a732 6    7                    ascii   .rdata
3260 0x00064f9e 0x0047a79e 5    6                    ascii   .file
3261 0x00064fb0 0x0047a7b0 17   18                   ascii   stdlib_sets.nim.c
3262 0x000651a8 0x0047a9a8 5    6                    ascii   .text
3263 0x000651cc 0x0047a9cc 5    6                    ascii   .data
3264 0x000651f0 0x0047a9f0 4    5                    ascii   .bss
3265 0x00065214 0x0047aa14 6    7                    ascii   .rdata
3266 0x00065280 0x0047aa80 5    6                    ascii   .file
3267 0x00065d1e 0x0047b51e 9    10                   ascii   _asgnRefH
3268 0x00065f94 0x0047b794 5    6                    ascii   .text
3269 0x00065fb8 0x0047b7b8 5    6                    ascii   .data
3270 0x00065fdc 0x0047b7dc 4    5                    ascii   .bss
3271 0x00066000 0x0047b800 6    7                    ascii   .rdata
3272 0x0006606c 0x0047b86c 5    6                    ascii   .file
3273 0x00066090 0x0047b890 5    6                    ascii   .text
3274 0x000660b4 0x0047b8b4 5    6                    ascii   .data
3275 0x000660d8 0x0047b8d8 4    5                    ascii   .bss
3276 0x000660fc 0x0047b8fc 6    7                    ascii   .rdata
3277 0x00066144 0x0047b944 5    6                    ascii   .file
3278 0x00066156 0x0047b956 16   17                   ascii   stdlib_uri.nim.c
3279 0x0006629a 0x0047ba9a 5    6                    ascii   .text
3280 0x000662be 0x0047babe 5    6                    ascii   .data
3281 0x000662e2 0x0047bae2 4    5                    ascii   .bss
3282 0x00066306 0x0047bb06 6    7                    ascii   .rdata
3283 0x00066372 0x0047bb72 5    6                    ascii   .file
3284 0x000664ec 0x0047bcec 10   11                   ascii   _asgnRefl:
3285 0x00066558 0x0047bd58 5    6                    ascii   .text
3286 0x0006657c 0x0047bd7c 5    6                    ascii   .data
3287 0x000665a0 0x0047bda0 4    5                    ascii   .bss
3288 0x000665c4 0x0047bdc4 6    7                    ascii   .rdata
3289 0x00066630 0x0047be30 5    6                    ascii   .file
3290 0x00066804 0x0047c004 5    6                    ascii   .text
3291 0x00066828 0x0047c028 5    6                    ascii   .data
3292 0x0006684c 0x0047c04c 4    5                    ascii   .bss
3293 0x00066870 0x0047c070 6    7                    ascii   .rdata
3294 0x000668dc 0x0047c0dc 5    6                    ascii   .file
3295 0x000668ee 0x0047c0ee 12   13                   ascii   @mkoch.nim.c
3296 0x00067a94 0x0047d294 10   11                   ascii   _asgnRefK_
3297 0x00067ef0 0x0047d6f0 9    10                   ascii   _PreMainp
3298 0x00067f14 0x0047d714 8    9                    ascii   _NimMain
3299 0x00067f26 0x0047d726 5    6                    ascii   _main
3300 0x00067f4a 0x0047d74a 5    6                    ascii   .text
3301 0x00067f6e 0x0047d76e 5    6                    ascii   .data
3302 0x00067f92 0x0047d792 4    5                    ascii   .bss
3303 0x00067fb6 0x0047d7b6 6    7                    ascii   .rdata
3304 0x00068022 0x0047d822 5    6                    ascii   .file
3305 0x00068034 0x0047d834 9    10                   ascii   gccmain.c
3306 0x0006806a 0x0047d86a 4    5                    ascii   _p.0
3307 0x000680a0 0x0047d8a0 7    8                    ascii   ___main
3308 0x000680b2 0x0047d8b2 5    6                    ascii   .text
3309 0x000680d6 0x0047d8d6 5    6                    ascii   .data
3310 0x000680fa 0x0047d8fa 4    5                    ascii   .bss
3311 0x00068166 0x0047d966 5    6                    ascii   .file
3312 0x00068178 0x0047d978 10   11                   ascii   natstart.c
3313 0x0006818a 0x0047d98a 5    6                    ascii   .text
3314 0x000681ae 0x0047d9ae 5    6                    ascii   .data
3315 0x000681d2 0x0047d9d2 4    5                    ascii   .bss
3316 0x0006821a 0x0047da1a 5    6                    ascii   .file
3317 0x0006822c 0x0047da2c 10   11                   ascii   wildcard.c
3318 0x0006823e 0x0047da3e 5    6                    ascii   .text
3319 0x00068262 0x0047da62 5    6                    ascii   .data
3320 0x00068286 0x0047da86 4    5                    ascii   .bss
3321 0x000682ce 0x0047dace 5    6                    ascii   .file
3322 0x000682e0 0x0047dae0 9    10                   ascii   charmax.c
3323 0x00068316 0x0047db16 5    6                    ascii   .text
3324 0x0006833a 0x0047db3a 5    6                    ascii   .data
3325 0x0006835e 0x0047db5e 4    5                    ascii   .bss
3326 0x00068382 0x0047db82 8    9                    ascii   .CRT$XIC
3327 0x000683ee 0x0047dbee 5    6                    ascii   .file
3328 0x00068400 0x0047dc00 9    10                   ascii   dllargv.c
3329 0x00068436 0x0047dc36 5    6                    ascii   .text
3330 0x0006845a 0x0047dc5a 5    6                    ascii   .data
3331 0x0006847e 0x0047dc7e 4    5                    ascii   .bss
3332 0x000684ea 0x0047dcea 5    6                    ascii   .file
3333 0x000684fc 0x0047dcfc 10   11                   ascii   _newmode.c
3334 0x0006850e 0x0047dd0e 5    6                    ascii   .text
3335 0x00068532 0x0047dd32 5    6                    ascii   .data
3336 0x00068556 0x0047dd56 4    5                    ascii   .bss
3337 0x0006859e 0x0047dd9e 5    6                    ascii   .file
3338 0x000685b0 0x0047ddb0 8    9                    ascii   tlssup.c
3339 0x000685c2 0x0047ddc2 7    8                    ascii   ___xd_a
3340 0x000685d4 0x0047ddd4 7    8                    ascii   ___xd_z
3341 0x0006862e 0x0047de2e 5    6                    ascii   .text
3342 0x00068652 0x0047de52 5    6                    ascii   .data
3343 0x00068676 0x0047de76 4    5                    ascii   .bss
3344 0x0006869a 0x0047de9a 4    5                    ascii   .tls
3345 0x000686be 0x0047debe 8    9                    ascii   .tls$ZZZ
3346 0x000686e2 0x0047dee2 8    9                    ascii   .CRT$XLA
3347 0x00068706 0x0047df06 9    10                   ascii   .CRT$XLZ(
3348 0x0006872a 0x0047df2a 6    7                    ascii   .rdata
3349 0x0006874e 0x0047df4e 9    10                   ascii   .CRT$XDA,
3350 0x00068772 0x0047df72 9    10                   ascii   .CRT$XDZ0
3351 0x00068796 0x0047df96 9    10                   ascii   .CRT$XLC 
3352 0x000687ba 0x0047dfba 9    10                   ascii   .CRT$XLD$
3353 0x00068826 0x0047e026 5    6                    ascii   .file
3354 0x00068838 0x0047e038 10   11                   ascii   xncommod.c
3355 0x0006884a 0x0047e04a 5    6                    ascii   .text
3356 0x0006886e 0x0047e06e 5    6                    ascii   .data
3357 0x00068892 0x0047e092 4    5                    ascii   .bss
3358 0x000688da 0x0047e0da 5    6                    ascii   .file
3359 0x000688ec 0x0047e0ec 10   11                   ascii   cinitexe.c
3360 0x000688fe 0x0047e0fe 5    6                    ascii   .text
3361 0x00068922 0x0047e122 5    6                    ascii   .data
3362 0x00068946 0x0047e146 4    5                    ascii   .bss
3363 0x0006896a 0x0047e16a 9    10                   ascii   .CRT$XIA\f
3364 0x0006898e 0x0047e18e 8    9                    ascii   .CRT$XIZ
3365 0x000689b2 0x0047e1b2 8    9                    ascii   .CRT$XCA
3366 0x000689d6 0x0047e1d6 9    10                   ascii   .CRT$XCZ\b
3367 0x00068a1e 0x0047e21e 5    6                    ascii   .file
3368 0x00068a30 0x0047e230 6    7                    ascii   merr.c
3369 0x00068a66 0x0047e266 5    6                    ascii   .text
3370 0x00068a8a 0x0047e28a 5    6                    ascii   .data
3371 0x00068aae 0x0047e2ae 4    5                    ascii   .bss
3372 0x00068ad2 0x0047e2d2 6    7                    ascii   .rdata
3373 0x00068b3e 0x0047e33e 5    6                    ascii   .file
3374 0x00068b50 0x0047e350 10   11                   ascii   CRT_fp10.c
3375 0x00068b86 0x0047e386 8    9                    ascii   _fpreset
3376 0x00068b98 0x0047e398 5    6                    ascii   .text
3377 0x00068bbc 0x0047e3bc 5    6                    ascii   .data
3378 0x00068be0 0x0047e3e0 4    5                    ascii   .bss
3379 0x00068c4c 0x0047e44c 5    6                    ascii   .file
3380 0x00068c5e 0x0047e45e 15   16                   ascii   mingw_helpers.c
3381 0x00068c70 0x0047e470 5    6                    ascii   .text
3382 0x00068c94 0x0047e494 5    6                    ascii   .data
3383 0x00068cb8 0x0047e4b8 4    5                    ascii   .bss
3384 0x00068d00 0x0047e500 5    6                    ascii   .file
3385 0x00068d12 0x0047e512 14   15                   ascii   pseudo-reloc.c
3386 0x00068dd8 0x0047e5d8 5    6                    ascii   .text
3387 0x00068dfc 0x0047e5fc 5    6                    ascii   .data
3388 0x00068e20 0x0047e620 4    5                    ascii   .bss
3389 0x00068e44 0x0047e644 6    7                    ascii   .rdata
3390 0x00068eb0 0x0047e6b0 5    6                    ascii   .file
3391 0x00068ec2 0x0047e6c2 13   14                   ascii   usermatherr.c
3392 0x00068f1c 0x0047e71c 5    6                    ascii   .text
3393 0x00068f40 0x0047e740 5    6                    ascii   .data
3394 0x00068f64 0x0047e764 4    5                    ascii   .bss
3395 0x00068fd0 0x0047e7d0 5    6                    ascii   .file
3396 0x00068fe2 0x0047e7e2 10   11                   ascii   xtxtmode.c
3397 0x00068ff4 0x0047e7f4 5    6                    ascii   .text
3398 0x00069018 0x0047e818 5    6                    ascii   .data
3399 0x0006903c 0x0047e83c 4    5                    ascii   .bss
3400 0x00069084 0x0047e884 5    6                    ascii   .file
3401 0x00069096 0x0047e896 13   14                   ascii   crt_handler.c
3402 0x000690cc 0x0047e8cc 5    6                    ascii   .text
3403 0x000690f0 0x0047e8f0 5    6                    ascii   .data
3404 0x00069114 0x0047e914 4    5                    ascii   .bss
3405 0x00069180 0x0047e980 5    6                    ascii   .file
3406 0x00069192 0x0047e992 9    10                   ascii   tlsthrd.c
3407 0x00069234 0x0047ea34 5    6                    ascii   .text
3408 0x00069258 0x0047ea58 5    6                    ascii   .data
3409 0x0006927c 0x0047ea7c 4    5                    ascii   .bss
3410 0x000692e8 0x0047eae8 5    6                    ascii   .file
3411 0x000692fa 0x0047eafa 9    10                   ascii   tlsmcrt.c
3412 0x0006930c 0x0047eb0c 5    6                    ascii   .text
3413 0x00069330 0x0047eb30 5    6                    ascii   .data
3414 0x00069354 0x0047eb54 4    5                    ascii   .bss
3415 0x0006939c 0x0047eb9c 5    6                    ascii   .file
3416 0x000693c0 0x0047ebc0 5    6                    ascii   .text
3417 0x000693e4 0x0047ebe4 5    6                    ascii   .data
3418 0x00069408 0x0047ec08 4    5                    ascii   .bss
3419 0x00069450 0x0047ec50 5    6                    ascii   .file
3420 0x00069462 0x0047ec62 8    9                    ascii   pesect.c
3421 0x00069528 0x0047ed28 5    6                    ascii   .text
3422 0x0006954c 0x0047ed4c 5    6                    ascii   .data
3423 0x00069570 0x0047ed70 4    5                    ascii   .bss
3424 0x000695dc 0x0047eddc 5    6                    ascii   .file
3425 0x000695ee 0x0047edee 4    5                    ascii   fake
3426 0x0006966c 0x0047ee6c 5    6                    ascii   .text
3427 0x00069690 0x0047ee90 5    6                    ascii   .data
3428 0x000696b4 0x0047eeb4 4    5                    ascii   .bss
3429 0x00069744 0x0047ef44 5    6                    ascii   .file
3430 0x00069756 0x0047ef56 9    10                   ascii   libgcc2.c
3431 0x00069768 0x0047ef68 5    6                    ascii   .text
3432 0x0006978c 0x0047ef8c 5    6                    ascii   .data
3433 0x000697b0 0x0047efb0 4    5                    ascii   .bss
3434 0x00069888 0x0047f088 5    6                    ascii   .file
3435 0x0006989a 0x0047f09a 9    10                   ascii   libgcc2.c
3436 0x000698d0 0x0047f0d0 5    6                    ascii   .text
3437 0x000698f4 0x0047f0f4 5    6                    ascii   .data
3438 0x00069918 0x0047f118 4    5                    ascii   .bss
3439 0x00069a5c 0x0047f25c 5    6                    ascii   .file
3440 0x00069a6e 0x0047f26e 15   16                   ascii   mingw_matherr.c
3441 0x00069a80 0x0047f280 5    6                    ascii   .text
3442 0x00069aa4 0x0047f2a4 5    6                    ascii   .data
3443 0x00069ac8 0x0047f2c8 4    5                    ascii   .bss
3444 0x00069b10 0x0047f310 5    6                    ascii   .file
3445 0x00069b22 0x0047f322 16   17                   ascii   mingw_vfprintf.c
3446 0x00069b58 0x0047f358 5    6                    ascii   .text
3447 0x00069b7c 0x0047f37c 5    6                    ascii   .data
3448 0x00069ba0 0x0047f3a0 4    5                    ascii   .bss
3449 0x00069c0c 0x0047f40c 5    6                    ascii   .file
3450 0x00069c1e 0x0047f41e 15   16                   ascii   mingw_pformat.c
3451 0x00069ce4 0x0047f4e4 6    7                    ascii   _fpi.0
3452 0x00069de0 0x0047f5e0 5    6                    ascii   .text
3453 0x00069e04 0x0047f604 5    6                    ascii   .data
3454 0x00069e28 0x0047f628 4    5                    ascii   .bss
3455 0x00069e4c 0x0047f64c 6    7                    ascii   .rdata
3456 0x00069eb8 0x0047f6b8 5    6                    ascii   .file
3457 0x00069eca 0x0047f6ca 7    8                    ascii   dmisc.c
3458 0x00069f36 0x0047f736 5    6                    ascii   .text
3459 0x00069f5a 0x0047f75a 5    6                    ascii   .data
3460 0x00069f7e 0x0047f77e 4    5                    ascii   .bss
3461 0x00069fea 0x0047f7ea 5    6                    ascii   .file
3462 0x00069ffc 0x0047f7fc 7    8                    ascii   gdtoa.c
3463 0x0006a032 0x0047f832 8    9                    ascii   _bitstob
3464 0x0006a044 0x0047f844 8    9                    ascii   ___gdtoa
3465 0x0006a056 0x0047f856 5    6                    ascii   .text
3466 0x0006a07a 0x0047f87a 5    6                    ascii   .data
3467 0x0006a09e 0x0047f89e 4    5                    ascii   .bss
3468 0x0006a0c2 0x0047f8c2 6    7                    ascii   .rdata
3469 0x0006a12e 0x0047f92e 5    6                    ascii   .file
3470 0x0006a140 0x0047f940 7    8                    ascii   gmisc.c
3471 0x0006a19a 0x0047f99a 5    6                    ascii   .text
3472 0x0006a1be 0x0047f9be 5    6                    ascii   .data
3473 0x0006a1e2 0x0047f9e2 4    5                    ascii   .bss
3474 0x0006a24e 0x0047fa4e 5    6                    ascii   .file
3475 0x0006a260 0x0047fa60 6    7                    ascii   misc.c
3476 0x0006a392 0x0047fb92 4    5                    ascii   _p5s
3477 0x0006a3b6 0x0047fbb6 6    7                    ascii   _p05.0
3478 0x0006a434 0x0047fc34 5    6                    ascii   .text
3479 0x0006a458 0x0047fc58 5    6                    ascii   .data
3480 0x0006a47c 0x0047fc7c 4    5                    ascii   .bss
3481 0x0006a4a0 0x0047fca0 6    7                    ascii   .rdata
3482 0x0006a50c 0x0047fd0c 5    6                    ascii   .file
3483 0x0006a51e 0x0047fd1e 13   14                   ascii   fpclassifyl.c
3484 0x0006a554 0x0047fd54 5    6                    ascii   .text
3485 0x0006a578 0x0047fd78 5    6                    ascii   .data
3486 0x0006a59c 0x0047fd9c 4    5                    ascii   .bss
3487 0x0006a608 0x0047fe08 5    6                    ascii   .file
3488 0x0006a61a 0x0047fe1a 8    9                    ascii   isnanl.c
3489 0x0006a650 0x0047fe50 7    8                    ascii   _isnanl
3490 0x0006a662 0x0047fe62 5    6                    ascii   .text
3491 0x0006a686 0x0047fe86 5    6                    ascii   .data
3492 0x0006a6aa 0x0047feaa 4    5                    ascii   .bss
3493 0x0006a716 0x0047ff16 5    6                    ascii   .file
3494 0x0006a728 0x0047ff28 9    10                   ascii   strnlen.c
3495 0x0006a73a 0x0047ff3a 10   11                   ascii   _strnlen\b4
3496 0x0006a75e 0x0047ff5e 5    6                    ascii   .text
3497 0x0006a782 0x0047ff82 5    6                    ascii   .data
3498 0x0006a7a6 0x0047ffa6 4    5                    ascii   .bss
3499 0x0006a812 0x00480012 5    6                    ascii   .file
3500 0x0006a824 0x00480024 9    10                   ascii   wcsnlen.c
3501 0x0006a836 0x00480036 10   11                   ascii   _wcsnlen84
3502 0x0006a85a 0x0048005a 5    6                    ascii   .text
3503 0x0006a87e 0x0048007e 5    6                    ascii   .data
3504 0x0006a8a2 0x004800a2 4    5                    ascii   .bss
3505 0x0006a90e 0x0048010e 5    6                    ascii   .text
3506 0x0006a920 0x00480120 5    6                    ascii   .data
3507 0x0006a932 0x00480132 4    5                    ascii   .bss
3508 0x0006a944 0x00480144 8    9                    ascii   .idata$7
3509 0x0006a956 0x00480156 8    9                    ascii   .idata$5
3510 0x0006a968 0x00480168 9    10                   ascii   .idata$4h
3511 0x0006a97a 0x0048017a 8    9                    ascii   .idata$6
3512 0x0006a98c 0x0048018c 5    6                    ascii   .text
