[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000178 0x00000178 5   6            ascii   .text
2    0x0000019f 0x0000019f 7   8            ascii   `.rdata
3    0x000001c7 0x000001c7 6   7            ascii   @.data
38   0x000025f3 0x004025f3 4   5    .text   ascii   |\n<z
39   0x00002651 0x00402651 4   6    .text   utf8    Ð^_[ blocks=Latin-1 Supplement,Basic Latin
40   0x00002663 0x00402663 4   6    .text   utf8    S+ۍE blocks=Basic Latin,Arabic
41   0x00002670 0x00402670 4   5    .text   ascii   51HA
42   0x000026ea 0x004026ea 4   5    .text   ascii   h\rHA
43   0x0000278a 0x0040278a 4   5    .text   ascii   51HA
44   0x000027db 0x004027db 4   5    .text   ascii   h\rHA
45   0x000028a5 0x004028a5 6   8    .text   utf8    ?\ttۋ}\b blocks=Basic Latin,Arabic
46   0x000028f6 0x004028f6 4   5    .text   ascii   =\aKA
47   0x00002934 0x00402934 4   5    .text   ascii   Pj R
48   0x000029d1 0x004029d1 4   9    .text   utf16le jjjj
49   0x00002a6f 0x00402a6f 4   5    .text   ascii   E\f@P
50   0x00002afb 0x00402afb 7   8    .text   ascii   <0r\b<9w
51   0x00002b06 0x00402b06 8   9    .text   ascii   %<Ar\n<Fw
52   0x00002b15 0x00402b15 7   8    .text   ascii   <ar\n<fw
53   0x00002b2f 0x00402b2f 4   6    .text   utf8    \nĪKK blocks=Basic Latin,Latin Extended-A
54   0x00002b4c 0x00402b4c 5   6    .text   ascii   ]hW+@
55   0x00002bbd 0x00402bbd 4   5    .text   ascii   Rj\bP
56   0x00002c71 0x00402c71 5   6    .text   ascii   ]h|,@
57   0x00002d73 0x00402d73 4   6    .text   utf8    t9Cǅ blocks=Basic Latin,Latin Extended-B
58   0x00002df5 0x00402df5 6   7    .text   ascii   PSQRWV
59   0x00002e50 0x00402e50 5   6    .text   ascii   F\fvT2
60   0x00002e70 0x00402e70 6   7    .text   ascii   ^_ZY[X
61   0x00002e80 0x00402e80 6   7    .text   ascii   VWPSQR
62   0x00003045 0x00403045 4   5    .text   ascii   QZ^&
63   0x000032d7 0x004032d7 4   5    .text   ascii   \aD")
64   0x00003483 0x00403483 6   7    .text   ascii   ZY[X_^
65   0x000034dd 0x004034dd 4   5    .text   ascii   j@ht
66   0x000034f6 0x004034f6 4   6    .text   utf8    @sދ] blocks=Basic Latin,Thaana
67   0x000038c2 0x004038c2 4   5    .text   ascii   tTjZ
68   0x00003937 0x00403937 4   5    .text   ascii   tgjZ
69   0x000039db 0x004039db 6   7    .text   ascii   \r\n\r\nt\n
70   0x00003abb 0x00403abb 4   5    .text   ascii   \r_[h
71   0x00003d62 0x00403d62 5   7    .text   utf8    S+ۃ}\f blocks=Basic Latin,Arabic
72   0x00004000 0x00404000 4   5    .text   ascii   B,Ph
73   0x0000401d 0x0040401d 4   5    .text   ascii   B,Ph
74   0x0000403f 0x0040403f 4   5    .text   ascii   h\rHA
75   0x0000405f 0x0040405f 4   5    .text   ascii   R,RP
76   0x000040a3 0x004040a3 6   7    .text   ascii   t=h\rHA
77   0x0000417e 0x0040417e 4   5    .text   ascii   u\fj#
78   0x000041a7 0x004041a7 7   9    .text   utf8    SVW+ۋE\f blocks=Basic Latin,Arabic
79   0x000041c2 0x004041c2 4   5    .text   ascii   =\vKA
80   0x00004235 0x00404235 7   8    .text   ascii   SVWh\nOA
81   0x000042dd 0x004042dd 6   14   .text   utf16le jjjjjj
82   0x00004569 0x00404569 4   5    .text   ascii   h\nOA
83   0x000045e3 0x004045e3 4   5    .text   ascii   51HA
84   0x00004646 0x00404646 4   5    .text   ascii   h$PA
85   0x0000466d 0x0040466d 4   5    .text   ascii   51HA
86   0x000046f1 0x004046f1 4   5    .text   ascii   51HA
87   0x00004711 0x00404711 4   9    .text   utf16le jjjj
88   0x00004738 0x00404738 4   5    .text   ascii   h\rHA
89   0x00004762 0x00404762 4   5    .text   ascii   h\rPA
90   0x0000476e 0x0040476e 4   5    .text   ascii   51HA
91   0x0000478c 0x0040478c 4   5    .text   ascii   51HA
92   0x000047aa 0x004047aa 4   5    .text   ascii   51HA
93   0x0000486f 0x0040486f 4   5    .text   ascii   h&OA
94   0x0000487c 0x0040487c 4   5    .text   ascii   hEOA
95   0x00004889 0x00404889 4   5    .text   ascii   heOA
96   0x000048fc 0x004048fc 4   5    .text   ascii   h\rHA
97   0x0000490e 0x0040490e 4   5    .text   ascii   hIPA
98   0x00004913 0x00404913 4   5    .text   ascii   hTPA
99   0x00004919 0x00404919 4   5    .text   ascii   51HA
100  0x00004947 0x00404947 4   5    .text   ascii   hIPA
101  0x0000494c 0x0040494c 4   5    .text   ascii   hTPA
102  0x0000497f 0x0040497f 4   5    .text   ascii   hIPA
103  0x00004984 0x00404984 4   5    .text   ascii   hwPA
104  0x0000498a 0x0040498a 4   5    .text   ascii   51HA
105  0x000049b8 0x004049b8 4   5    .text   ascii   hIPA
106  0x000049bd 0x004049bd 4   5    .text   ascii   hwPA
107  0x000049ee 0x004049ee 4   5    .text   ascii   h)PA
108  0x00004a80 0x00404a80 4   5    .text   ascii   h5PA
109  0x00004a9f 0x00404a9f 4   5    .text   ascii   h5PA
110  0x00004abe 0x00404abe 4   5    .text   ascii   h5PA
111  0x00004ad4 0x00404ad4 4   5    .text   ascii   h>PA
112  0x00004ad9 0x00404ad9 4   5    .text   ascii   hTPA
113  0x00004adf 0x00404adf 4   5    .text   ascii   51HA
114  0x00004af4 0x00404af4 4   5    .text   ascii   hIPA
115  0x00004af9 0x00404af9 4   5    .text   ascii   hTPA
116  0x00004aff 0x00404aff 4   5    .text   ascii   51HA
117  0x00004b25 0x00404b25 4   5    .text   ascii   h>PA
118  0x00004b2a 0x00404b2a 4   5    .text   ascii   hwPA
119  0x00004b30 0x00404b30 4   5    .text   ascii   51HA
120  0x00004b45 0x00404b45 4   5    .text   ascii   hIPA
121  0x00004b4a 0x00404b4a 4   5    .text   ascii   hwPA
122  0x00004b50 0x00404b50 4   5    .text   ascii   51HA
123  0x00004b76 0x00404b76 4   5    .text   ascii   h>PA
124  0x00004b7b 0x00404b7b 4   5    .text   ascii   hTPA
125  0x00004b95 0x00404b95 4   5    .text   ascii   hIPA
126  0x00004b9a 0x00404b9a 4   5    .text   ascii   hTPA
127  0x00004bc5 0x00404bc5 4   5    .text   ascii   h>PA
128  0x00004bca 0x00404bca 4   5    .text   ascii   hwPA
129  0x00004be4 0x00404be4 4   5    .text   ascii   hIPA
130  0x00004be9 0x00404be9 4   5    .text   ascii   hwPA
131  0x00004cc9 0x00404cc9 4   5    .text   ascii   B,Ph
132  0x00004ce6 0x00404ce6 4   5    .text   ascii   B,Ph
133  0x00004cfc 0x00404cfc 4   5    .text   ascii   h\rHA
134  0x00004d10 0x00404d10 4   5    .text   ascii   R,RP
135  0x00004d48 0x00404d48 6   7    .text   ascii   tFh\rHA
136  0x00004f78 0x00404f78 4   5    .text   ascii   51HA
137  0x0000503e 0x0040503e 4   5    .text   ascii   B,Ph
138  0x00005058 0x00405058 4   5    .text   ascii   B,Ph
139  0x0000507a 0x0040507a 4   5    .text   ascii   h\rHA
140  0x00005105 0x00405105 5   6    .text   ascii   PhiRA
141  0x00005119 0x00405119 4   5    .text   ascii   h-RA
142  0x00005126 0x00405126 5   6    .text   ascii   PhiRA
143  0x0000513a 0x0040513a 4   5    .text   ascii   hFRA
144  0x00005147 0x00405147 5   6    .text   ascii   PhiRA
145  0x0000515b 0x0040515b 4   5    .text   ascii   h`RA
146  0x00005168 0x00405168 5   6    .text   ascii   PhiRA
147  0x000051c2 0x004051c2 5   6    .text   ascii   PhiRA
148  0x00005226 0x00405226 4   5    .text   ascii   hPQA
149  0x00005233 0x00405233 4   5    .text   ascii   h~QA
150  0x0000532c 0x0040532c 4   5    .text   ascii   h\tSA
151  0x000053cc 0x004053cc 4   5    .text   ascii   hqRA
152  0x000053d2 0x004053d2 4   5    .text   ascii   51HA
153  0x000053ea 0x004053ea 4   5    .text   ascii   51HA
154  0x000053fc 0x004053fc 4   5    .text   ascii   hqRA
155  0x00005402 0x00405402 4   5    .text   ascii   51HA
156  0x00005414 0x00405414 4   5    .text   ascii   hqRA
157  0x0000541a 0x0040541a 4   5    .text   ascii   51HA
158  0x00005432 0x00405432 4   5    .text   ascii   51HA
159  0x0000544a 0x0040544a 4   5    .text   ascii   51HA
160  0x00005462 0x00405462 4   5    .text   ascii   51HA
161  0x0000547a 0x0040547a 4   5    .text   ascii   51HA
162  0x0000548c 0x0040548c 4   5    .text   ascii   hqRA
163  0x000054ba 0x004054ba 4   5    .text   ascii   hqRA
164  0x000054d1 0x004054d1 4   5    .text   ascii   hqRA
165  0x00005573 0x00405573 6   7    .text   ascii   tch SA
166  0x00005596 0x00405596 4   5    .text   ascii   h1SA
167  0x000055b7 0x004055b7 4   5    .text   ascii   hDSA
168  0x00005618 0x00405618 4   5    .text   ascii   51HA
169  0x0000562e 0x0040562e 4   5    .text   ascii   51HA
170  0x00005644 0x00405644 4   5    .text   ascii   51HA
171  0x0000565c 0x0040565c 4   5    .text   ascii   51HA
172  0x00005672 0x00405672 4   5    .text   ascii   51HA
173  0x0000568a 0x0040568a 4   5    .text   ascii   51HA
174  0x000057d3 0x004057d3 4   5    .text   ascii   hLTA
175  0x000057d8 0x004057d8 4   5    .text   ascii   h;TA
176  0x000057dd 0x004057dd 4   5    .text   ascii   h*TA
177  0x000057e2 0x004057e2 4   5    .text   ascii   h\bTA
178  0x00005804 0x00405804 4   5    .text   ascii   51HA
179  0x00005820 0x00405820 4   9    .text   utf16le jjjj
180  0x00005843 0x00405843 5   6    .text   ascii   @h\rHA
181  0x000058a5 0x004058a5 4   5    .text   ascii   hSSA
182  0x000058b9 0x004058b9 4   5    .text   ascii   hSSA
183  0x000058bf 0x004058bf 4   5    .text   ascii   51HA
184  0x000058e3 0x004058e3 4   5    .text   ascii   hfSA
185  0x000058e9 0x004058e9 4   5    .text   ascii   51HA
186  0x0000590d 0x0040590d 4   5    .text   ascii   hSSA
187  0x00005936 0x00405936 4   5    .text   ascii   hfSA
188  0x000059ab 0x004059ab 6   7    .text   ascii   tsh]TA
189  0x000059c8 0x004059c8 4   5    .text   ascii   hyTA
190  0x000059db 0x004059db 4   5    .text   ascii   hkTA
191  0x000059f6 0x004059f6 4   5    .text   ascii   hyTA
192  0x00005aa6 0x00405aa6 4   5    .text   ascii   hxUA
193  0x00005ab1 0x00405ab1 4   5    .text   ascii   51HA
194  0x00005ad5 0x00405ad5 4   5    .text   ascii   hxUA
195  0x00005ae0 0x00405ae0 4   5    .text   ascii   51HA
196  0x00005b0f 0x00405b0f 4   5    .text   ascii   51HA
197  0x00005b33 0x00405b33 4   5    .text   ascii   h,UA
198  0x00005b39 0x00405b39 4   5    .text   ascii   51HA
199  0x00005b5d 0x00405b5d 4   5    .text   ascii   hiUA
200  0x00005b63 0x00405b63 4   5    .text   ascii   51HA
201  0x00005bc7 0x00405bc7 4   5    .text   ascii   PPPh
202  0x00005c60 0x00405c60 4   5    .text   ascii   51HA
203  0x00005d22 0x00405d22 4   5    .text   ascii   51HA
204  0x00005d42 0x00405d42 4   9    .text   utf16le jjjj
205  0x00005d69 0x00405d69 4   5    .text   ascii   h\rHA
206  0x00005d93 0x00405d93 4   5    .text   ascii   hRVA
207  0x00005d9f 0x00405d9f 4   5    .text   ascii   51HA
208  0x00005db1 0x00405db1 4   5    .text   ascii   hdVA
209  0x00005dbd 0x00405dbd 4   5    .text   ascii   51HA
210  0x00005dcf 0x00405dcf 4   5    .text   ascii   h[VA
211  0x00005ddb 0x00405ddb 4   5    .text   ascii   51HA
212  0x00005ded 0x00405ded 4   5    .text   ascii   hmVA
213  0x00005df9 0x00405df9 4   5    .text   ascii   51HA
214  0x00005e0f 0x00405e0f 5   6    .text   ascii   PhwVA
215  0x00005e1c 0x00405e1c 4   5    .text   ascii   51HA
216  0x00005f34 0x00405f34 4   5    .text   ascii   51HA
217  0x00005f5c 0x00405f5c 5   6    .text   ascii   Ph&VA
218  0x00005f68 0x00405f68 4   5    .text   ascii   51HA
219  0x00005f8d 0x00405f8d 4   5    .text   ascii   h6VA
220  0x00005fba 0x00405fba 4   5    .text   ascii   51HA
221  0x00005fda 0x00405fda 4   9    .text   utf16le jjjj
222  0x00006001 0x00406001 4   5    .text   ascii   h\rHA
223  0x00006037 0x00406037 4   5    .text   ascii   51HA
224  0x00006049 0x00406049 4   5    .text   ascii   h|VA
225  0x00006055 0x00406055 4   5    .text   ascii   51HA
226  0x00006073 0x00406073 4   5    .text   ascii   51HA
227  0x00006091 0x00406091 4   5    .text   ascii   51HA
228  0x000060af 0x004060af 4   5    .text   ascii   51HA
229  0x000061d3 0x004061d3 4   5    .text   ascii   51HA
230  0x000061f3 0x004061f3 4   9    .text   utf16le jjjj
231  0x0000621a 0x0040621a 4   5    .text   ascii   h\rHA
232  0x0000624a 0x0040624a 4   5    .text   ascii   51HA
233  0x00006268 0x00406268 4   5    .text   ascii   51HA
234  0x00006286 0x00406286 4   5    .text   ascii   51HA
235  0x00006298 0x00406298 4   5    .text   ascii   h\aWA
236  0x000062a4 0x004062a4 4   5    .text   ascii   51HA
237  0x000062c7 0x004062c7 4   5    .text   ascii   51HA
238  0x00006308 0x00406308 5   6    .text   ascii   Ph\fWA
239  0x00006315 0x00406315 4   5    .text   ascii   51HA
240  0x00006465 0x00406465 4   5    .text   ascii   51HA
241  0x00006485 0x00406485 4   9    .text   utf16le jjjj
242  0x000064ac 0x004064ac 4   5    .text   ascii   h\rHA
243  0x000064e1 0x004064e1 4   5    .text   ascii   51HA
244  0x000064ff 0x004064ff 4   5    .text   ascii   51HA
245  0x0000651d 0x0040651d 4   5    .text   ascii   51HA
246  0x0000653b 0x0040653b 4   5    .text   ascii   51HA
247  0x0000655e 0x0040655e 4   5    .text   ascii   51HA
248  0x000065a2 0x004065a2 4   5    .text   ascii   51HA
249  0x00006709 0x00406709 5   6    .text   ascii   PhgWA
250  0x0000670f 0x0040670f 4   5    .text   ascii   h+WA
251  0x00006715 0x00406715 4   5    .text   ascii   51HA
252  0x00006749 0x00406749 4   5    .text   ascii   hoWA
253  0x000067e0 0x004067e0 4   5    .text   ascii   51HA
254  0x00006847 0x00406847 6   7    .text   ascii   tKh$XA
255  0x0000685e 0x0040685e 4   5    .text   ascii   h-XA
256  0x000068bf 0x004068bf 4   5    .text   ascii   hAXA
257  0x000068c4 0x004068c4 4   5    .text   ascii   h8XA
258  0x000068f1 0x004068f1 4   5    .text   ascii   51HA
259  0x00006911 0x00406911 4   9    .text   utf16le jjjj
260  0x00006938 0x00406938 4   5    .text   ascii   h\rHA
261  0x00006962 0x00406962 4   5    .text   ascii   h^XA
262  0x0000696e 0x0040696e 4   5    .text   ascii   51HA
263  0x00006980 0x00406980 4   5    .text   ascii   hNXA
264  0x0000698c 0x0040698c 4   5    .text   ascii   51HA
265  0x0000699e 0x0040699e 4   5    .text   ascii   hUXA
266  0x000069aa 0x004069aa 4   5    .text   ascii   51HA
267  0x000069c0 0x004069c0 5   6    .text   ascii   PhgXA
268  0x000069cd 0x004069cd 4   5    .text   ascii   51HA
269  0x00006abd 0x00406abd 4   5    .text   ascii   hoXA
270  0x00006b25 0x00406b25 4   5    .text   ascii   51HA
271  0x00006b45 0x00406b45 4   9    .text   utf16le jjjj
272  0x00006b6c 0x00406b6c 4   5    .text   ascii   h\rHA
273  0x00006ba7 0x00406ba7 4   5    .text   ascii   51HA
274  0x00006bc5 0x00406bc5 4   5    .text   ascii   51HA
275  0x00006be3 0x00406be3 4   5    .text   ascii   51HA
276  0x00006c06 0x00406c06 4   5    .text   ascii   51HA
277  0x00006dec 0x00406dec 4   5    .text   ascii   h\bYA
278  0x00006e74 0x00406e74 4   5    .text   ascii   h\vYA
279  0x00006e7a 0x00406e7a 4   5    .text   ascii   51HA
280  0x00006f6f 0x00406f6f 4   9    .text   utf16le jjjj
281  0x00006f96 0x00406f96 4   5    .text   ascii   h\rHA
282  0x00006fc0 0x00406fc0 4   5    .text   ascii   h?YA
283  0x00006fdb 0x00406fdb 4   5    .text   ascii   hHYA
284  0x00006ff6 0x00406ff6 4   5    .text   ascii   h/YA
285  0x00007011 0x00407011 4   5    .text   ascii   h6YA
286  0x0000702c 0x0040702c 4   5    .text   ascii   hRYA
287  0x00007138 0x00407138 4   5    .text   ascii   h\YA
288  0x0000714a 0x0040714a 4   5    .text   ascii   h\YA
289  0x00007150 0x00407150 4   5    .text   ascii   51HA
290  0x0000719a 0x0040719a 4   9    .text   utf16le jjjj
291  0x000071c1 0x004071c1 4   5    .text   ascii   h\rHA
292  0x00007369 0x00407369 4   5    .text   ascii   51HA
293  0x000073c5 0x004073c5 4   9    .text   utf16le jjjj
294  0x00007465 0x00407465 4   5    .text   ascii   51HA
295  0x0000748a 0x0040748a 4   5    .text   ascii   51HA
296  0x000074c5 0x004074c5 6   7    .text   ascii   tNh<ZA
297  0x000074d2 0x004074d2 4   5    .text   ascii   PPPh
298  0x000074da 0x004074da 4   5    .text   ascii   h&ZA
299  0x000074ee 0x004074ee 4   5    .text   ascii   h+ZA
300  0x00007502 0x00407502 4   5    .text   ascii   h0ZA
301  0x00007588 0x00407588 4   5    .text   ascii   hWZA
302  0x000075ca 0x004075ca 4   5    .text   ascii   hkZA
303  0x000076bb 0x004076bb 4   9    .text   utf16le jjjj
304  0x000076e2 0x004076e2 4   5    .text   ascii   h\rHA
305  0x00007727 0x00407727 4   5    .text   ascii   h$[A
306  0x0000794f 0x0040794f 4   5    .text   ascii   51HA
307  0x000079ad 0x004079ad 4   9    .text   utf16le jjjj
308  0x000079d4 0x004079d4 4   5    .text   ascii   h\rHA
309  0x000079fe 0x004079fe 4   5    .text   ascii   h,[A
310  0x00007a19 0x00407a19 4   5    .text   ascii   h5[A
311  0x00007a34 0x00407a34 4   5    .text   ascii   h>[A
312  0x00007a4f 0x00407a4f 4   5    .text   ascii   hG[A
313  0x00007a6e 0x00407a6e 5   6    .text   ascii   PhW[A
314  0x00007a7b 0x00407a7b 4   5    .text   ascii   51HA
315  0x00007abc 0x00407abc 5   6    .text   ascii   Phb[A
316  0x00007bfa 0x00407bfa 4   5    .text   ascii   hm[A
317  0x00007c00 0x00407c00 4   5    .text   ascii   51HA
318  0x00007c0d 0x00407c0d 4   5    .text   ascii   hm[A
319  0x00007cff 0x00407cff 4   9    .text   utf16le jjjj
320  0x00007d26 0x00407d26 4   5    .text   ascii   h\rHA
321  0x00007ddc 0x00407ddc 4   5    .text   ascii   h\t\A
322  0x00007f04 0x00407f04 4   5    .text   ascii   51HA
323  0x00007f58 0x00407f58 6   7    .text   ascii   tah \A
324  0x00007f80 0x00407f80 4   5    .text   ascii   h,\A
325  0x00007f91 0x00407f91 4   5    .text   ascii   h'\A
326  0x000080ca 0x004080ca 7   10   .text   utf8    Eċ}ľ6\A blocks=Basic Latin,Latin Extended-A
327  0x000081a0 0x004081a0 4   9    .text   utf16le jjjj
328  0x000081b7 0x004081b7 5   8    .text   utf8    t)PP茖 blocks=Basic Latin,CJK Unified Ideographs
329  0x00008380 0x00408380 6   7    .text   ascii   t#hA\A
330  0x00008391 0x00408391 6   7    .text   ascii   u\rhI\A
331  0x0000864f 0x0040864f 6   7    .text   ascii   tahR\A
332  0x00008662 0x00408662 4   5    .text   ascii   hA\A
333  0x00008671 0x00408671 6   7    .text   ascii   u\rhI\A
334  0x000087b7 0x004087b7 4   5    .text   ascii   B,Ph
335  0x000087d4 0x004087d4 4   5    .text   ascii   B,Ph
336  0x000087f6 0x004087f6 4   5    .text   ascii   h\rHA
337  0x00008816 0x00408816 5   8    .text   utf8    R,RP誕 blocks=Basic Latin,CJK Unified Ideographs
338  0x0000884c 0x0040884c 6   7    .text   ascii   t(h\rHA
339  0x0000892a 0x0040892a 4   5    .text   ascii   B,Ph
340  0x00008944 0x00408944 4   5    .text   ascii   B,Ph
341  0x00008966 0x00408966 4   5    .text   ascii   h\rHA
342  0x00008985 0x00408985 5   6    .text   ascii   PhY\A
343  0x0000899a 0x0040899a 4   5    .text   ascii   h_\A
344  0x00008a42 0x00408a42 4   5    .text   ascii   hi\A
345  0x00008a48 0x00408a48 4   5    .text   ascii   51HA
346  0x00008a56 0x00408a56 5   6    .text   ascii   Ph_\A
347  0x00008a71 0x00408a71 4   5    .text   ascii   hi\A
348  0x00008a77 0x00408a77 4   5    .text   ascii   51HA
349  0x00008a85 0x00408a85 5   6    .text   ascii   Ph_\A
350  0x00008aae 0x00408aae 4   5    .text   ascii   t$PP
351  0x00008abb 0x00408abb 5   6    .text   ascii   Ph_\A
352  0x00008b11 0x00408b11 4   9    .text   utf16le jjjj
353  0x00008b38 0x00408b38 4   5    .text   ascii   h\rHA
354  0x00008c00 0x00408c00 4   9    .text   utf16le jjjj
355  0x00008c27 0x00408c27 4   5    .text   ascii   h\rHA
356  0x00008c91 0x00408c91 4   5    .text   ascii   hm]A
357  0x00008ca9 0x00408ca9 4   5    .text   ascii   h}]A
358  0x00008d46 0x00408d46 4   5    .text   ascii   51HA
359  0x00008d77 0x00408d77 4   5    .text   ascii   h-]A
360  0x00008e4d 0x00408e4d 4   5    .text   ascii   :\\u
361  0x00008e5f 0x00408e5f 4   5    .text   ascii   hE^A
362  0x00008e8e 0x00408e8e 4   5    .text   ascii   =`_A
363  0x00008ea3 0x00408ea3 4   5    .text   ascii   5`_A
364  0x00008eb6 0x00408eb6 4   5    .text   ascii   5`_A
365  0x00008edf 0x00408edf 4   5    .text   ascii   =`_A
366  0x00008ee8 0x00408ee8 4   5    .text   ascii   5`_A
367  0x00008f2d 0x00408f2d 4   5    .text   ascii   =`_A
368  0x00008f3d 0x00408f3d 4   5    .text   ascii   8~u>
369  0x00008f6c 0x00408f6c 4   5    .text   ascii   U\bBP
370  0x00008f71 0x00408f71 4   7    .text   utf8    u\fR蝖 blocks=Basic Latin,CJK Unified Ideographs
371  0x00008fc6 0x00408fc6 4   5    .text   ascii   @\b@P
372  0x00009069 0x00409069 4   5    .text   ascii   hD_A
373  0x0000907c 0x0040907c 4   5    .text   ascii   hD_A
374  0x00009081 0x00409081 4   5    .text   ascii   he^A
375  0x00009135 0x00409135 4   5    .text   ascii   =\_A
376  0x0000913b 0x0040913b 6   7    .text   ascii   uRhR`A
377  0x00009147 0x00409147 5   6    .text   ascii   PhR`A
378  0x00009159 0x00409159 4   5    .text   ascii   hY`A
379  0x00009163 0x00409163 5   6    .text   ascii   PhY`A
380  0x00009173 0x00409173 6   7    .text   ascii   tHha`A
381  0x0000917f 0x0040917f 5   6    .text   ascii   Pha`A
382  0x00009190 0x00409190 4   5    .text   ascii   =\_A
383  0x00009198 0x00409198 4   5    .text   ascii   hj`A
384  0x000091a2 0x004091a2 5   6    .text   ascii   Phj`A
385  0x000091b3 0x004091b3 4   5    .text   ascii   =\_A
386  0x00009465 0x00409465 6   8    .text   utf8    Eă=\_A blocks=Basic Latin,Latin Extended-A
387  0x0000946e 0x0040946e 6   7    .text   ascii   uRhR`A
388  0x0000947a 0x0040947a 5   6    .text   ascii   PhR`A
389  0x0000948c 0x0040948c 4   5    .text   ascii   hY`A
390  0x00009496 0x00409496 5   6    .text   ascii   PhY`A
391  0x000094a6 0x004094a6 6   7    .text   ascii   t?ha`A
392  0x000094b2 0x004094b2 5   6    .text   ascii   Pha`A
393  0x000094c3 0x004094c3 4   5    .text   ascii   =\_A
394  0x000094cb 0x004094cb 4   5    .text   ascii   hj`A
395  0x000094d5 0x004094d5 5   6    .text   ascii   Phj`A
396  0x000095a2 0x004095a2 4   5    .text   ascii   hN`A
397  0x0000968c 0x0040968c 4   5    .text   ascii   B,Ph
398  0x000096a9 0x004096a9 4   5    .text   ascii   B,Ph
399  0x000096cb 0x004096cb 4   5    .text   ascii   h\rHA
400  0x000096eb 0x004096eb 4   5    .text   ascii   R,RP
401  0x00009718 0x00409718 4   5    .text   ascii   =\_A
402  0x00009732 0x00409732 6   7    .text   ascii   t-h\rHA
403  0x00009778 0x00409778 6   7    .text   ascii   t.h\rHA
404  0x000097c5 0x004097c5 4   5    .text   ascii   :.su
405  0x0000980a 0x0040980a 6   7    .text   ascii   t.h\rHA
406  0x000098bb 0x004098bb 4   5    .text   ascii   h\rHA
407  0x000098d7 0x004098d7 4   5    .text   ascii   hd_A
408  0x00009936 0x00409936 4   5    .text   ascii   hq_A
409  0x00009969 0x00409969 4   5    .text   ascii   hy_A
410  0x00009a2a 0x00409a2a 4   5    .text   ascii   tAPP
411  0x00009a9b 0x00409a9b 4   9    .text   utf16le jjjj
412  0x00009aba 0x00409aba 5   6    .text   ascii   :h\rHA
413  0x00009b3c 0x00409b3c 4   5    .text   ascii   h+`A
414  0x00009b41 0x00409b41 4   5    .text   ascii   h#`A
415  0x00009b46 0x00409b46 4   5    .text   ascii   h=`A
416  0x00009b4c 0x00409b4c 4   5    .text   ascii   51HA
