[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000000 0x00000000 4   5            ascii   MZER
1    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
2    0x00000080 0x00000080 17  18           ascii   }f?\e9\aQH9\aQH9\aQH"
3    0x00000093 0x00000093 6   7            ascii   Hu\aQH"
4    0x0000009b 0x0000009b 6   7            ascii   H:\aQH"
5    0x000000a3 0x000000a3 13  14           ascii   H8\aQHRich9\aQH
6    0x000001b0 0x000001b0 5   6            ascii   .text
97   0x00002b0d 0x00402b0d 4   6    .text   utf8    #=ǅ( blocks=Basic Latin,Latin Extended-B
98   0x00002b79 0x00402b79 6   8    .text   utf8    lpHPǅT blocks=Basic Latin,Latin Extended-B
99   0x00002b8f 0x00402b8f 4   6    .text   utf8    FWǅ\ blocks=Basic Latin,Latin Extended-B
100  0x00002cde 0x00402cde 5   7    .text   utf8    U!\f}ǅ blocks=Basic Latin,Latin Extended-B
101  0x00002d99 0x00402d99 5   6    .text   ascii   U\fSVW
102  0x00002e8a 0x00402e8a 5   7    .text   utf8    u\b3ۉ] blocks=Basic Latin,Arabic
103  0x00002f03 0x00402f03 4   6    .text   utf8    3ʉP  blocks=Basic Latin,IPA Extensions
104  0x00002f09 0x00402f09 6   8    .text   utf8    P\b3щH$ blocks=Basic Latin,Cyrillic
105  0x00002f78 0x00402f78 4   6    .text   utf8    3щH, blocks=Basic Latin,Cyrillic
106  0x00002f80 0x00402f80 5   7    .text   utf8    3ʉH43 blocks=Basic Latin,IPA Extensions
107  0x00002fec 0x00402fec 6   8    .text   utf8    \vڋV\b3Y blocks=Basic Latin,Arabic
108  0x0000300e 0x0040300e 7   9    .text   utf8    \vڋV\f3Y\b blocks=Basic Latin,Arabic
109  0x00003068 0x00403068 4   6    .text   utf8    \b3։] blocks=Basic Latin,Armenian
110  0x000030fd 0x004030fd 4   6    .text   utf8    \b3ߋ} blocks=Basic Latin,NKo
111  0x00003250 0x00403250 4   6    .text   utf8    \b3ߋ} blocks=Basic Latin,NKo
112  0x00003268 0x00403268 4   5    .text   ascii   \b3Y\b
113  0x000033b9 0x004033b9 4   6    .text   utf8    \b3ߋ} blocks=Basic Latin,NKo
114  0x000033cb 0x004033cb 4   6    .text   utf8    \b3ߋ} blocks=Basic Latin,NKo
115  0x0000345d 0x0040345d 4   6    .text   utf8    \vߋ}\f blocks=Basic Latin,NKo
116  0x000034d2 0x004034d2 4   6    .text   utf8    \vߋ}\f blocks=Basic Latin,NKo
117  0x000035ca 0x004035ca 6   8    .text   utf8    ~C\ƖoU blocks=Basic Latin,Latin Extended-B
118  0x000035e3 0x004035e3 4   6    .text   utf8    ^]ËM blocks=Basic Latin,Latin-1 Supplement
119  0x000035f1 0x004035f1 6   7    .text   ascii   M\fRQVP
120  0x0000362e 0x0040362e 4   6    .text   utf8    \b]ój blocks=Basic Latin,Latin-1 Supplement
121  0x00003665 0x00403665 5   6    .text   ascii   u\fWV3
122  0x00003679 0x00403679 4   5    .text   ascii   <F\t
123  0x00003681 0x00403681 4   5    .text   ascii   Ht\vf
124  0x00003686 0x00403686 4   5    .text   ascii   <F\t
125  0x000036a0 0x004036a0 4   5    .text   ascii   E\bRP
126  0x000036ab 0x004036ab 4   5    .text   ascii   \f_^]
127  0x000036dd 0x004036dd 5   6    .text   ascii   2012f
128  0x000036ea 0x004036ea 5   6    .text   ascii   2016f
129  0x000036fe 0x004036fe 5   6    .text   ascii   2008f
130  0x000037a9 0x004037a9 8   9    .text   ascii   \eIcW$muU
131  0x000037ee 0x004037ee 5   6    .text   ascii   HTTPf
132  0x000037f9 0x004037f9 4   5    .text   ascii   200 
133  0x00003855 0x00403855 7   8    .text   ascii   <0\r\n\r\nt
134  0x00003869 0x00403869 4   6    .text   utf8    ]Ít0 blocks=Basic Latin,Latin-1 Supplement
135  0x00003874 0x00403874 4   6    .text   utf8    E\f+ƍ blocks=Basic Latin,Latin Extended-B
136  0x0000388d 0x0040388d 4   6    .text   utf8    tӋ}\b blocks=Basic Latin,Cyrillic
137  0x000038b5 0x004038b5 4   6    .text   utf8    3\rX\n
138  0x000038c1 0x004038c1 8   9    .text   ascii   <0\ru\n8\0
139  0x000038d4 0x004038d4 6   7    .text   ascii   \ru\n8\0
140  0x000038e5 0x004038e5 6   7    .text   ascii   \ru\n8\0
141  0x000038f6 0x004038f6 6   7    .text   ascii   \ru\n8\0
142  0x00003907 0x00403907 6   7    .text   ascii   \ru\n8\0
143  0x00003918 0x00403918 6   7    .text   ascii   \ru\n8\0
144  0x00003938 0x00403938 9   10   .text   ascii   \f2<\ru.8\2
145  0x0000395a 0x0040395a 4   5    .text   ascii   t\n@;
146  0x0000396d 0x0040396d 5   6    .text   ascii   \aGB;U
147  0x00003a09 0x00403a09 5   6    .text   ascii   8XLNG
148  0x00003a21 0x00403a21 4   6    .text   utf8    u\bVǃ blocks=Basic Latin,Latin Extended-B
149  0x00003a3d 0x00403a3d 4   5    .text   ascii   M\fQV
150  0x00003af3 0x00403af3 7   8    .text   ascii   <8XLNGu
151  0x00003b0c 0x00403b0c 5   6    .text   ascii   M\bPWQ
152  0x00003b18 0x00403b18 4   5    .text   ascii   \f_^[
153  0x00003b29 0x00403b29 4   5    .text   ascii   9t\n_
154  0x00003b3c 0x00403b3c 5   6    .text   ascii   U\bVWR
155  0x00003b48 0x00403b48 4   5    .text   ascii   \f_^[
156  0x00003b6b 0x00403b6b 5   6    .text   ascii   M\bVWQ
157  0x00003b77 0x00403b77 4   5    .text   ascii   \f_^[
158  0x00003b89 0x00403b89 5   6    .text   ascii   U\bVWR
159  0x00003b95 0x00403b95 4   5    .text   ascii   \f_^[
160  0x00003bac 0x00403bac 5   6    .text   ascii   \r:IIU
161  0x00003c34 0x00403c34 7   8    .text   ascii   Qj\aBRSW
162  0x00003c68 0x00403c68 4   5    .text   ascii   u\bWj
163  0x00003e42 0x00403e42 5   6    .text   ascii   XLNGf
164  0x00003f29 0x00403f29 4   5    .text   ascii    x86
165  0x00003f34 0x00403f34 4   5    .text   ascii    x64
166  0x00004352 0x00404352 4   5    .text   ascii   [_^]
167  0x0000444c 0x0040444c 4   5    .text   ascii   M\fVQ
168  0x00004467 0x00404467 4   5    .text   ascii   open
169  0x000044c6 0x004044c6 5   6    .text   ascii   ?[2XU
170  0x000044d5 0x004044d5 5   6    .text   ascii   @VWj?
171  0x00004591 0x00404591 4   5    .text   ascii   SSPV
172  0x00004652 0x00404652 4   5    .text   ascii   u\b_3
173  0x00004662 0x00404662 5   7    .text   utf8    u\nǆp\v blocks=Basic Latin,Latin Extended-B
174  0x000046c2 0x004046c2 4   5    .text   ascii   M\bQV
175  0x000046d3 0x004046d3 4   5    .text   ascii   U\bWR
176  0x00004764 0x00404764 10  15   .text   utf8    u\b3\tEȉẺEЍ blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks,Cyrillic
177  0x000047e8 0x004047e8 7   15   .text   utf16le jjjjjjj
178  0x00004988 0x00404988 4   6    .text   utf8    \fǁ8  blocks=Basic Latin,Latin Extended-B
179  0x000049b6 0x004049b6 4   5    .text   ascii   u\bWj
180  0x000049e8 0x004049e8 4   5    .text   ascii   j\eWV
181  0x000049ff 0x004049ff 4   5    .text   ascii   j\bWV
182  0x00004a3d 0x00404a3d 4   5    .text   ascii   SVW3
183  0x00004b22 0x00404b22 4   5    .text   ascii   t\nSV
184  0x00004b38 0x00404b38 4   6    .text   utf8    ]ËU\f blocks=Basic Latin,Latin-1 Supplement
185  0x00004b62 0x00404b62 4   5    .text   ascii   tKj@
186  0x00004b7b 0x00404b7b 5   6    .text   ascii   RPPh\f
187  0x00004b82 0x00404b82 5   6    .text   ascii   \bPPPP
188  0x00004bc8 0x00404bc8 4   5    .text   ascii   t\nSV
189  0x00004c94 0x00404c94 5   7    .text   utf8    u\b3ɉE blocks=Basic Latin,Latin Extended-B
190  0x00004cac 0x00404cac 7   11   .text   utf8    E\tEĉE܉E blocks=Basic Latin,Latin Extended-A,Syriac
191  0x00004eda 0x00404eda 6   13   .text   utf16le jjjjjj
192  0x00004fdc 0x00404fdc 4   5    .text   ascii   81uh
193  0x00004fe9 0x00404fe9 6   7    .text   ascii   8.tGAH
194  0x00005028 0x00405028 5   6    .text   ascii   :t<@N
195  0x0000511b 0x0040511b 4   5    .text   ascii   u\f^_
196  0x0000513c 0x0040513c 4   5    .text   ascii   RWSV
197  0x000051d2 0x004051d2 4   5    .text   ascii   XiHd
198  0x0000546e 0x0040546e 4   5    .text   ascii   vUW3
199  0x00005580 0x00405580 4   5    .text   ascii   t'VW
200  0x000055d5 0x004055d5 4   5    .text   ascii   \f^_]
201  0x0000563a 0x0040563a 9   10   .text   ascii   v'9_Pt"WV
202  0x0000569d 0x0040569d 5   6    .text   ascii   WhO\bu
203  0x000056e9 0x004056e9 5   6    .text   ascii   SVWj?
204  0x000057df 0x004057df 4   7    .text   utf8    UɆ\f\r blocks=Basic Latin,Latin Extended-B
205  0x0000586e 0x0040586e 4   5    .text   ascii   8_^[
206  0x000058f9 0x004058f9 5   6    .text   ascii   RHWQP
207  0x0000593b 0x0040593b 5   7    .text   utf8    z$Ż=U blocks=Basic Latin,Latin Extended-A
208  0x00005be8 0x00405be8 4   6    .text   utf8    ҍE\bP blocks=Cyrillic,Basic Latin
209  0x00005d32 0x00405d32 4   5    .text   ascii   t\f[_
210  0x00005dc2 0x00405dc2 4   5    .text   ascii   G(WV
211  0x00005e08 0x00405e08 4   5    .text   ascii   tSj@
212  0x00005e51 0x00405e51 10  11   .text   ascii   RWWWWWWWSW
213  0x00005ead 0x00405ead 4   5    .text   ascii   H\bS3
214  0x00005efb 0x00405efb 4   5    .text   ascii   E\fPV
215  0x00005f60 0x00405f60 4   5    .text   ascii   M\fSQ
216  0x00005f7b 0x00405f7b 4   6    .text   utf8    Q3\rU
217  0x00005f87 0x00405f87 5   8    .text   utf8    E\tEĉE blocks=Basic Latin,Latin Extended-A
218  0x00005fd3 0x00405fd3 4   5    .text   ascii   SSRW
219  0x00005fef 0x00405fef 8   9    .text   ascii   RSSSSSSS
220  0x00006097 0x00406097 6   8    .text   utf8    _^[]Üt blocks=Basic Latin,Latin-1 Supplement
221  0x00006120 0x00406120 8   11   .text   utf8    ^_]ÝH0l̞ blocks=Basic Latin,Latin-1 Supplement,Combining Diacritical Marks
222  0x00006135 0x00406135 4   5    .text   ascii   u\bj4
223  0x0000613a 0x0040613a 4   5    .text   ascii   F4PV
224  0x0000614f 0x0040614f 4   5    .text   ascii   F\f^]
225  0x00006191 0x00406191 10  11   .text   ascii   <0POSTt\t@;
226  0x00006227 0x00406227 5   6    .text   ascii   wMRQW
227  0x00006270 0x00406270 4   5    .text   ascii   Rj"S
228  0x0000627b 0x0040627b 4   7    .text   utf8    ]×ђU blocks=Basic Latin,Latin-1 Supplement,Cyrillic
229  0x000062a1 0x004062a1 4   5    .text   ascii   @tpW
230  0x000062ba 0x004062ba 4   6    .text   utf8    _]ËH blocks=Basic Latin,Latin-1 Supplement
231  0x00006458 0x00406458 4   5    .text   ascii   QjxS
232  0x000064a1 0x004064a1 4   5    .text   ascii   RjyS
233  0x000064d3 0x004064d3 4   5    .text   ascii   PjzS
234  0x00006505 0x00406505 4   5    .text   ascii   Qj{S
235  0x0000653a 0x0040653a 4   5    .text   ascii   Rj|S
236  0x00006616 0x00406616 4   5    .text   ascii   \f_^[
237  0x0000661c 0x0040661c 4   6    .text   utf8    ]Ëu\f blocks=Basic Latin,Latin-1 Supplement
238  0x00006671 0x00406671 4   5    .text   ascii   \aE[Q
239  0x0000667c 0x0040667c 4   5    .text   ascii   9Y6\f
240  0x000066c5 0x004066c5 5   7    .text   utf8    22ɟQh blocks=Basic Latin,IPA Extensions
241  0x000066cc 0x004066cc 5   6    .text   ascii   {'`x#
242  0x000066d2 0x004066d2 5   6    .text   ascii   flP\e\a
243  0x00006767 0x00406767 5   6    .text   ascii   \aL(%[
244  0x00006778 0x00406778 4   6    .text   utf8    dc1ؘ blocks=Basic Latin,Arabic
245  0x0000677e 0x0040677e 4   5    .text   ascii   @e+'
246  0x00006812 0x00406812 5   6    .text   ascii   [9QLk
247  0x0000684b 0x0040684b 5   6    .text   ascii   xn~\fo
248  0x00006863 0x00406863 6   7    .text   ascii   |_~<yd
249  0x0000686f 0x0040686f 5   6    .text   ascii   \rM!,I
250  0x00006898 0x00406898 10  11   .text   ascii   m7g;  er@x
251  0x000068ce 0x004068ce 5   6    .text   ascii   L1g\a<
252  0x000068f1 0x004068f1 5   6    .text   ascii   DU)2s
253  0x00006929 0x00406929 4   5    .text   ascii   +* p
254  0x00006978 0x00406978 6   8    .text   utf8    ҟy$\f~X blocks=Cyrillic,Basic Latin
255  0x00006981 0x00406981 5   7    .text   utf8    Sؼha% blocks=Basic Latin,Arabic
256  0x00006a21 0x00406a21 4   5    .text   ascii   70yl
257  0x00006a2a 0x00406a2a 8   9    .text   ascii   \v>ti<N'9
258  0x00006a7b 0x00406a7b 4   7    .text   utf8    #m6 blocks=Basic Latin,Private Use Area
259  0x00006ac5 0x00406ac5 4   6    .text   utf8    %Z^Ȑ blocks=Basic Latin,Latin Extended-B
260  0x00006b2b 0x00406b2b 5   6    .text   ascii   M\fWSQ
261  0x00006b41 0x00406b41 5   6    .text   ascii   U\fWRS
262  0x00006b9b 0x00406b9b 5   8    .text   utf8    E؉EډE blocks=Basic Latin,Arabic
263  0x00006bb4 0x00406bb4 4   5    .text   ascii   @v\v3
264  0x00006d69 0x00406d69 4   5    .text   ascii   SVWh
265  0x00006de9 0x00406de9 4   5    .text   ascii   t;WV
266  0x00006e93 0x00406e93 6   7    .text   ascii   U\fRVPW
267  0x00006eda 0x00406eda 6   7    .text   ascii   M\fQVRW
268  0x00006fa7 0x00406fa7 4   5    .text   ascii   D~$_
269  0x00006fdc 0x00406fdc 5   6    .text   ascii   w%HFU
270  0x00007095 0x00407095 4   5    .text   ascii   @\fRP
271  0x000070ab 0x004070ab 5   7    .text   utf8    )ŇkpU blocks=Basic Latin,Latin Extended-A
272  0x000070c6 0x004070c6 4   5    .text   ascii   A\b;B
273  0x000070de 0x004070de 4   5    .text   ascii   \f_^]
274  0x000070e5 0x004070e5 4   6    .text   utf8    ^]ÿm blocks=Basic Latin,Latin-1 Supplement
275  0x000070fa 0x004070fa 4   5    .text   ascii   u\fWh
276  0x00007105 0x00407105 4   5    .text   ascii   WVQP
277  0x00007195 0x00407195 4   5    .text   ascii   \t\ff
278  0x000071f5 0x004071f5 5   6    .text   ascii   9\t\v3
279  0x00007250 0x00407250 6   7    .text   ascii   3333t\t
280  0x00007295 0x00407295 4   5    .text   ascii   @Vj?
281  0x000072f0 0x004072f0 4   5    .text   ascii   Pj\bj
282  0x00007329 0x00407329 4   5    .text   ascii   SVW3
283  0x00007353 0x00407353 4   5    .text   ascii   }\bQW
284  0x0000739e 0x0040739e 4   5    .text   ascii   PSQW
285  0x000073e6 0x004073e6 4   5    .text   ascii   &_^3
286  0x0000750e 0x0040750e 4   6    .text   utf8    ؋C(P blocks=Arabic,Basic Latin
287  0x0000753a 0x0040753a 4   5    .text   ascii   (_^[
288  0x00007555 0x00407555 6   7    .text   ascii   XSVWj4
289  0x0000765b 0x0040765b 5   6    .text   ascii   H(WQS
290  0x00007686 0x00407686 8   9    .text   ascii   U\fjdVWRS
291  0x000076bf 0x004076bf 4   5    .text   ascii   QPRS
292  0x000076e8 0x004076e8 4   5    .text   ascii   \bQRS
293  0x0000771b 0x0040771b 4   5    .text   ascii   T& Q
294  0x0000778a 0x0040778a 4   5    .text   ascii   Ph!i
295  0x00007882 0x00407882 4   5    .text   ascii   PQWV
296  0x0000797b 0x0040797b 4   5    .text   ascii   QRWV
297  0x00007a14 0x00407a14 4   5    .text   ascii   E\fPW
298  0x00007a20 0x00407a20 5   7    .text   utf8    _^[]Â blocks=Basic Latin,Latin-1 Supplement
299  0x00007a37 0x00407a37 5   6    .text   ascii   M\bSVW
300  0x00007ad9 0x00407ad9 5   6    .text   ascii   u\f8\0
301  0x00007b0c 0x00407b0c 5   6    .text   ascii   <>AuJ
302  0x00007b29 0x00407b29 5   6    .text   ascii   u\f8\0
303  0x00007b5c 0x00407b5c 5   6    .text   ascii   <>BuJ
304  0x00007b79 0x00407b79 5   6    .text   ascii   u\f8\0
305  0x00007bac 0x00407bac 5   6    .text   ascii   <>CuJ
306  0x00007bc9 0x00407bc9 5   6    .text   ascii   u\f8\0
307  0x00007bfc 0x00407bfc 5   6    .text   ascii   <>DuG
308  0x00007c19 0x00407c19 5   6    .text   ascii   u\f8\0
309  0x00007c72 0x00407c72 4   7    .text   utf8    ]÷\rƚ blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
310  0x00007d41 0x00407d41 5   6    .text   ascii   M\bQWV
311  0x00007dad 0x00407dad 4   5    .text   ascii   Rj|V
312  0x00007e59 0x00407e59 4   5    .text   ascii   SVW3
313  0x000082b9 0x004082b9 4   6    .text   utf8    v!3Ʌ blocks=Basic Latin,Latin Extended-B
314  0x0000832b 0x0040832b 4   5    .text   ascii   jI8w
315  0x0000839a 0x0040839a 5   6    .text   ascii   jcjjV
316  0x000083be 0x004083be 8   9    .text   ascii   Rj\bjsjkV
317  0x000083e5 0x004083e5 9   12   .text   utf8    Pj\bjnjlV讹 blocks=Basic Latin,CJK Unified Ideographs
318  0x0000840c 0x0040840c 9   12   .text   utf8    Qj\bjxjmV臹 blocks=Basic Latin,CJK Unified Ideographs
319  0x00008432 0x00408432 5   6    .text   ascii   jcjnV
320  0x00008452 0x00408452 8   9    .text   ascii   Pj\njwjoV
321  0x00008475 0x00408475 8   9    .text   ascii   Qj\njxjpV
322  0x000084c3 0x004084c3 4   5    .text   ascii   SVWj
323  0x000084e2 0x004084e2 11  14   .text   utf8    G(Pj\bj\jcV诸 blocks=Basic Latin,CJK Unified Ideographs
