[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
672  0x000121c8 0x0041bbc8 5   12   .rsrc   utf16le Lundi
673  0x0001222a 0x0041bc2a 11  23   .rsrc   utf16le c\aJanvier\aF
674  0x00012242 0x0041bc42 5   12   .rsrc   utf16le vrier
675  0x0001224e 0x0041bc4e 4   10   .rsrc   utf16le Mars
676  0x00012258 0x0041bc58 5   12   .rsrc   utf16le Avril
677  0x0001226e 0x0041bc6e 18  37   .rsrc   utf16le Instruction privil
678  0x0001229a 0x0041bc9a 109 219  .rsrc   utf16le e<Le format '%s' est incorrect ou incompatible avec l'argument"Aucun argument pour le format '%s'(Appels de m
679  0x00012376 0x0041bd76 26  53   .rsrc   utf16le thode variante non support
680  0x000123ac 0x0041bdac 22  45   .rsrc   utf16le s3Erreur lors de la cr
681  0x000123da 0x0041bdda 113 228  .rsrc   utf16le ation du variant ou du tableau,Indice de variant ou de tableau hors limites%Conversion de type variant incorrecte
682  0x000124c4 0x0041bec4 28  58   .rsrc   utf16le ration de variant incorrecte
683  0x000124fe 0x0041befe 18  38   .rsrc   utf16le Argument incorrect
684  0x00012524 0x0041bf24 20  42   .rsrc   utf16le Exception externe %x
685  0x0001254e 0x0041bf4e 20  42   .rsrc   utf16le Echec de l'assertion
686  0x00012578 0x0041bf78 21  43   .rsrc   utf16le Interface non support
687  0x000125a8 0x0041bfa8 16  33   .rsrc   utf16le Exception dans m
688  0x000125ca 0x0041bfca 14  30   .rsrc   utf16le thode safecall
689  0x000125e8 0x0041bfe8 23  47   .rsrc   utf16le Verrou d'objet non poss
690  0x0001261c 0x0041c01c 46  93   .rsrc   utf16le /Fonction de gestion du moniteur non initialis
691  0x00012686 0x0041c086 24  50   .rsrc   utf16le Trop de fichiers ouverts
692  0x000126c0 0x0041c0c0 18  37   .rsrc   utf16le s au fichier refus
693  0x000126e6 0x0041c0e6 15  31   .rsrc   utf16le $Lecture au-del
694  0x00012706 0x0041c106 45  91   .rsrc   utf16le  de la fin de fichier\fDisque plein\eSaisie num
695  0x00012762 0x0041c162 16  34   .rsrc   utf16le rique incorrecte
696  0x00012784 0x0041c184 14  29   .rsrc   utf16le Division par z
697  0x000127a2 0x0041c1a2 14  29   .rsrc   utf16le ro Erreur de v
698  0x000127c0 0x0041c1c0 13  27   .rsrc   utf16le rification d'
699  0x000127dc 0x0041c1dc 6   14   .rsrc   utf16le tendue
700  0x000127ee 0x0041c1ee 21  43   .rsrc   utf16le bordement d'entier)Op
701  0x0001281a 0x0041c21a 53  107  .rsrc   utf16le ration en virgule flottante incorrecte&Division par z
702  0x00012886 0x0041c286 25  51   .rsrc   utf16le ro en virgule flottante D
703  0x000128ba 0x0041c2ba 30  62   .rsrc   utf16le bordement en virgule flottante
704  0x000128fc 0x0041c2fc 13  27   .rsrc   utf16le bordement inf
705  0x00012918 0x0041c318 14  30   .rsrc   utf16le rieur flottant
706  0x00012936 0x0041c336 31  64   .rsrc   utf16le Transtypage de classe incorrect
707  0x00012976 0x0041c376 15  31   .rsrc   utf16le Violation d'acc
708  0x0001299e 0x0041c39e 17  36   .rsrc   utf16le bordement de pile
709  0x000129c2 0x0041c3c2 15  31   .rsrc   utf16le Frappe de Contr
710  0x000129e2 0x0041c3e2 4   10   .rsrc   utf16le le-C
711  0x00012a08 0x0041c408 6   14   .rsrc   utf16le  0@P`p
712  0x00014c0a 0x0041e60a 5   12   .rsrc   utf16le  0@P`
713  0x00014c4e 0x0041e64e 4   9    .rsrc   utf16le QQQQ
714  0x00014c84 0x0041e684 6   13   .rsrc   utf16le 111QQQ
715  0x00014dba 0x0041e7ba 7   8    .rsrc   ascii    \a0\a@\ad
716  0x00014dca 0x0041e7ca 4   5    .rsrc   ascii   `\ap\a
717  0x00014df2 0x0041e7f2 6   7    .rsrc   ascii   0\b@\bP\b
718  0x00014dfa 0x0041e7fa 4   5    .rsrc   ascii   `\bp\b
719  0x00014e5b 0x0041e85b 5   6    .rsrc   ascii   \t0\t\e\a
720  0x00014e6e 0x0041e86e 6   7    .rsrc   ascii   @\tP\t`\t
721  0x00014efa 0x0041e8fa 10  11   .rsrc   ascii   0\n@\nP\n`\np\n
722  0x00014f6a 0x0041e96a 4   5    .rsrc   ascii   @\vP\v
723  0x00014f6f 0x0041e96f 6   7    .rsrc   ascii   \b`\vp\vd
724  0x00014fd1 0x0041e9d1 17  18   .rsrc   ascii   \v \f0\f0\f0\f@\fP\f`\fp\f
725  0x00014ff5 0x0041e9f5 8   9    .rsrc   ascii   \r \r0\r@\rd
726  0x00014ffe 0x0041e9fe 5   6    .rsrc   ascii   P\r`\rd
727  0x00015070 0x0041ea70 6   7    .rsrc   ascii   Y\tY\tY\t
728  0x000153c6 0x0041edc6 4   9    .rsrc   utf16le  0@P
729  0x00015406 0x0041ee06 6   7    .rsrc   ascii   Y\tY\ti\t
730  0x000156c4 0x0041f0c4 10  11   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r
731  0x000156d5 0x0041f0d5 26  27   .rsrc   ascii   \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t
732  0x00015734 0x0041f134 7   8    .rsrc   ascii   \t\t\t\t\t\t\t
733  0x0001573c 0x0041f13c 7   8    .rsrc   ascii   \t\t\t\t\t\t\t
734  0x00015792 0x0041f192 4   5    .rsrc   ascii   \t\t\t\t
735  0x000157c4 0x0041f1c4 6   7    .rsrc   ascii   \a\a\a\a\t\b
736  0x000157f7 0x0041f1f7 4   5    .rsrc   ascii   \t\t\t\t
737  0x00015864 0x0041f264 16  17   .rsrc   ascii   \f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f
738  0x00015895 0x0041f295 17  18   .rsrc   ascii   \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t
739  0x000158a7 0x0041f2a7 9   10   .rsrc   ascii   \t\t\t\t\t\t\t\t\t
740  0x000158e1 0x0041f2e1 4   5    .rsrc   ascii   \t\t\t\t
741  0x000158e7 0x0041f2e7 4   5    .rsrc   ascii   \f\f\f\f
742  0x00015925 0x0041f325 22  23   .rsrc   ascii   \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t
743  0x00015965 0x0041f365 29  30   .rsrc   ascii   \f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f
744  0x00015994 0x0041f394 27  28   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
745  0x000159d4 0x0041f3d4 6   7    .rsrc   ascii   \f\f\f\f\f\f
746  0x000159e5 0x0041f3e5 25  26   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\f\f\f\f\f\r\r\r\r\r\r\r\r\r\r
747  0x00015a02 0x0041f402 22  23   .rsrc   ascii   \a\a\f\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
748  0x00015a19 0x0041f419 8   9    .rsrc   ascii   \a\f\f\f\f\f\f\f
749  0x00015a22 0x0041f422 7   8    .rsrc   ascii   \v\f\f\f\f\f\f
750  0x00015a2e 0x0041f42e 19  20   .rsrc   ascii   \f\f\f\f\a\a\r\r\r\r\r\r\r\r\r\r\a\a\a
751  0x00015a54 0x0041f454 11  12   .rsrc   ascii   \f\f\f\f\f\f\f\f\f\f\f
752  0x00015a61 0x0041f461 21  22   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\f\f\f\f\f\f\f\f\f\f\f\a
753  0x00015a84 0x0041f484 36  37   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\f\f\f\f\f\f\f\f\f
754  0x00015ab5 0x0041f4b5 25  26   .rsrc   ascii   \f\f\n\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
755  0x00015ad0 0x0041f4d0 18  19   .rsrc   ascii   \f\a\n\n\n\f\f\f\f\f\f\f\f\n\n\n\n\f
756  0x00015ae4 0x0041f4e4 5   6    .rsrc   ascii   \a\f\f\f\f
757  0x00015aec 0x0041f4ec 12  13   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\f\f
758  0x00015afa 0x0041f4fa 10  11   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r
759  0x00015b0f 0x0041f50f 5   6    .rsrc   ascii   \a\a\a\a\a
760  0x00015b19 0x0041f519 8   9    .rsrc   ascii   \a\a\a\a\a\a\a\a
761  0x00015b27 0x0041f527 22  23   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
762  0x00015b3e 0x0041f53e 7   8    .rsrc   ascii   \a\a\a\a\a\a\a
763  0x00015b4a 0x0041f54a 4   5    .rsrc   ascii   \a\a\a\a
764  0x00015b50 0x0041f550 9   10   .rsrc   ascii   \f\a\n\n\n\f\f\f\f
765  0x00015b5f 0x0041f55f 4   5    .rsrc   ascii   \n\n\f\a
766  0x00015b73 0x0041f573 5   6    .rsrc   ascii   \a\a\a\f\f
767  0x00015b7a 0x0041f57a 12  13   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r\a\a
768  0x00015b99 0x0041f599 6   7    .rsrc   ascii   \a\a\a\a\a\a
769  0x00015bb2 0x0041f5b2 5   6    .rsrc   ascii   \n\n\n\f\f
770  0x00015bcd 0x0041f5cd 4   5    .rsrc   ascii   \a\a\a\a
771  0x00015bd4 0x0041f5d4 5   6    .rsrc   ascii   \f\f\a\a\a
772  0x00015be9 0x0041f5e9 9   10   .rsrc   ascii   \a\a\a\a\a\a\a\a\a
773  0x00015bf7 0x0041f5f7 14  15   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a
774  0x00015c09 0x0041f609 5   6    .rsrc   ascii   \a\a\a\a\a
775  0x00015c10 0x0041f610 10  11   .rsrc   ascii   \f\a\n\n\n\f\f\f\f\f
776  0x00015c49 0x0041f649 5   6    .rsrc   ascii   \a\a\a\a\a
777  0x00015c50 0x0041f650 8   9    .rsrc   ascii   \f\a\n\f\n\f\f\f
778  0x00015c7a 0x0041f67a 10  11   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r
779  0x00015c99 0x0041f699 6   7    .rsrc   ascii   \a\a\a\a\a\a
780  0x00015ca6 0x0041f6a6 4   5    .rsrc   ascii   \a\a\a\a
781  0x00015cc2 0x0041f6c2 12  13   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a
782  0x00015cd2 0x0041f6d2 5   6    .rsrc   ascii   \n\n\f\n\n
783  0x00015cde 0x0041f6de 4   5    .rsrc   ascii   \n\n\n\f
784  0x00015d09 0x0041f709 8   9    .rsrc   ascii   \a\a\a\a\a\a\a\a
785  0x00015d12 0x0041f712 6   7    .rsrc   ascii   \a\a\a\a\a\a
786  0x00015d19 0x0041f719 5   6    .rsrc   ascii   \a\a\a\a\a
787  0x00015d22 0x0041f722 7   8    .rsrc   ascii   \f\f\f\n\n\n\n
788  0x00015d2e 0x0041f72e 4   5    .rsrc   ascii   \f\f\f\f
789  0x00015d49 0x0041f749 8   9    .rsrc   ascii   \a\a\a\a\a\a\a\a
790  0x00015d52 0x0041f752 6   7    .rsrc   ascii   \a\a\a\a\a\a
791  0x00015d59 0x0041f759 5   6    .rsrc   ascii   \a\a\a\a\a
792  0x00015d60 0x0041f760 9   10   .rsrc   ascii   \f\a\n\f\n\n\n\n\n
793  0x00015d6e 0x0041f76e 4   5    .rsrc   ascii   \n\n\f\f
794  0x00015d94 0x0041f794 4   5    .rsrc   ascii   \n\f\f\f
795  0x00015d9e 0x0041f79e 4   5    .rsrc   ascii   \n\n\n\f
796  0x00015da9 0x0041f7a9 18  19   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
797  0x00015dbe 0x0041f7be 8   9    .rsrc   ascii   \a\a\a\a\a\a\a\a
798  0x00015dc7 0x0041f7c7 9   10   .rsrc   ascii   \a\a\a\a\a\a\a\a\a
799  0x00015dd4 0x0041f7d4 7   8    .rsrc   ascii   \a\a\a\a\a\a\a
800  0x00015de3 0x0041f7e3 6   7    .rsrc   ascii   \n\n\n\f\f\f
801  0x00015dec 0x0041f7ec 8   9    .rsrc   ascii   \n\n\n\n\n\n\n\n
802  0x00015e04 0x0041f804 11  12   .rsrc   ascii   \a\f\a\a\f\f\f\f\f\f\f
803  0x00015e14 0x0041f814 6   7    .rsrc   ascii   \a\a\a\a\a\a
804  0x00015e1b 0x0041f81b 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
805  0x00015e24 0x0041f824 10  11   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r
806  0x00015e48 0x0041f848 4   5    .rsrc   ascii   \a\a\a\a
807  0x00015e4d 0x0041f84d 7   8    .rsrc   ascii   \a\a\a\a\a\a\a
808  0x00015e61 0x0041f861 13  14   .rsrc   ascii   \a\a\a\a\f\a\a\f\f\f\f\f\f
809  0x00015e74 0x0041f874 5   6    .rsrc   ascii   \a\a\a\a\a
810  0x00015e7c 0x0041f87c 6   7    .rsrc   ascii   \f\f\f\f\f\f
811  0x00015e84 0x0041f884 10  11   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r
812  0x00015eb4 0x0041f8b4 10  11   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r
813  0x00015ed5 0x0041f8d5 20  21   .rsrc   ascii   \f\f\f\f\f\f\f\f\f\f\f\f\f\f\n\f\f\f\f\f
814  0x00015eea 0x0041f8ea 6   7    .rsrc   ascii   \f\f\a\a\a\a
815  0x00015ef4 0x0041f8f4 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
816  0x00015efd 0x0041f8fd 20  21   .rsrc   ascii   \f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f
817  0x00015f37 0x0041f937 5   6    .rsrc   ascii   \a\a\a\a\a
818  0x00015f40 0x0041f940 7   8    .rsrc   ascii   \n\f\f\f\f\n\f
819  0x00015f4a 0x0041f94a 4   5    .rsrc   ascii   \f\f\n\f
820  0x00015f54 0x0041f954 10  11   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r
821  0x00015f64 0x0041f964 10  11   .rsrc   ascii   \a\a\a\a\a\a\n\n\f\f
822  0x00015f74 0x0041f974 6   7    .rsrc   ascii   \t\t\t\t\t\t
823  0x00015f84 0x0041f984 11  12   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a
824  0x00015f9c 0x0041f99c 18  19   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
825  0x00015fb4 0x0041f9b4 9   10   .rsrc   ascii   \a\a\a\a\a\a\a\a\a
826  0x00015fbe 0x0041f9be 4   5    .rsrc   ascii   \a\a\a\a
827  0x00015fc4 0x0041f9c4 7   8    .rsrc   ascii   \a\a\a\a\a\a\a
828  0x00015fce 0x0041f9ce 4   5    .rsrc   ascii   \a\a\a\a
829  0x00015fd6 0x0041f9d6 4   5    .rsrc   ascii   \a\a\a\a
830  0x00015fdc 0x0041f9dc 19  20   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
831  0x00016024 0x0041fa24 5   6    .rsrc   ascii   \a\a\a\a\a
832  0x00016034 0x0041fa34 13  14   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a
833  0x00016043 0x0041fa43 8   9    .rsrc   ascii   \a\a\a\a\a\a\a\a
834  0x00016055 0x0041fa55 26  27   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
835  0x00016074 0x0041fa74 11  12   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a
836  0x00016094 0x0041fa94 5   6    .rsrc   ascii   \a\a\f\f\f
837  0x000160a4 0x0041faa4 5   6    .rsrc   ascii   \a\a\f\f\f
838  0x000160b4 0x0041fab4 4   5    .rsrc   ascii   \a\a\f\f
839  0x000160d4 0x0041fad4 4   5    .rsrc   ascii   \a\a\a\a
840  0x000160da 0x0041fada 30  31   .rsrc   ascii   \n\f\f\f\f\f\f\f\n\n\n\n\n\n\n\n\f\n\n\f\f\f\f\f\f\f\f\f\f\f
841  0x00016104 0x0041fb04 10  11   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r
842  0x00016138 0x0041fb38 22  23   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\f
843  0x00016154 0x0041fb54 12  13   .rsrc   ascii   \f\f\f\n\n\n\n\f\f\n\n\n
844  0x00016164 0x0041fb64 12  13   .rsrc   ascii   \n\n\f\n\n\n\n\n\n\f\f\f
845  0x0001617a 0x0041fb7a 36  37   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\a\a\a\a\a\a\a\n\n
846  0x000161a4 0x0041fba4 10  11   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r
847  0x000161c4 0x0041fbc4 12  13   .rsrc   ascii   \a\a\a\a\a\a\a\f\f\n\n\n
848  0x000161d4 0x0041fbd4 44  45   .rsrc   ascii   \f\f\f\f\n\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\f\n\f\f\f\f\f\n\f\n\n\n\n\n\f\n\n\a\a\a\a\a\a\a
849  0x0001620f 0x0041fc0f 9   10   .rsrc   ascii   \f\f\f\f\f\f\f\f\f
850  0x00016254 0x0041fc54 11  12   .rsrc   ascii   \f\f\f\f\f\f\f\f\f\f\f
851  0x0001629c 0x0041fc9c 8   9    .rsrc   ascii   \t\t\t\t\t\t\t\t
852  0x000162ac 0x0041fcac 6   7    .rsrc   ascii   \t\t\t\t\t\t
853  0x000162dc 0x0041fcdc 8   9    .rsrc   ascii   \b\b\b\b\b\b\b\b
854  0x000162ec 0x0041fcec 5   6    .rsrc   ascii   \t\t\t\t\b
855  0x000162fc 0x0041fcfc 5   6    .rsrc   ascii   \t\t\t\t\b
856  0x0001630c 0x0041fd0c 4   5    .rsrc   ascii   \t\t\t\t
857  0x0001631c 0x0041fd1c 5   6    .rsrc   ascii   \t\t\t\t\t
858  0x0001632c 0x0041fd2c 5   6    .rsrc   ascii   \t\t\t\t\b
859  0x000163f4 0x0041fdf4 32  33   .rsrc   ascii   \f\f\f\f\f\f\f\f\f\f\f\f\f\v\v\v\v\f\v\v\v\f\f\f\f\f\f\f\f\f\f\f
860  0x0001642d 0x0041fe2d 5   6    .rsrc   ascii   \t\t\t\t\t
861  0x0001643e 0x0041fe3e 4   5    .rsrc   ascii   \t\t\t\t
862  0x00016444 0x0041fe44 4   5    .rsrc   ascii   \t\t\t\t
863  0x00016449 0x0041fe49 4   5    .rsrc   ascii   \a\a\a\a
864  0x000166e4 0x004200e4 6   7    .rsrc   ascii   \a\a\a\a\a\a
865  0x0001674e 0x0042014e 6   7    .rsrc   ascii   \f\f\f\f\f\f
866  0x00016764 0x00420164 7   8    .rsrc   ascii   \a\a\a\a\a\a\a
867  0x00016775 0x00420175 26  27   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
868  0x000167b4 0x004201b4 6   7    .rsrc   ascii   \a\a\a\a\a\a
869  0x000167c4 0x004201c4 5   6    .rsrc   ascii   \a\a\a\a\a
870  0x000167ca 0x004201ca 10  11   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a
871  0x000167f4 0x004201f4 24  25   .rsrc   ascii   \a\a\n\a\a\a\f\a\a\a\a\f\a\a\a\a\a\a\a\n\n\f\f\n
872  0x00016814 0x00420214 4   5    .rsrc   ascii   \a\a\a\a
873  0x00016824 0x00420224 4   5    .rsrc   ascii   \a\a\a\a
874  0x00016871 0x00420271 12  13   .rsrc   ascii   \a\f\a\a\a\a\a\a\a\a\a\a
875  0x0001687e 0x0042027e 13  14   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a
876  0x0001688c 0x0042028c 5   6    .rsrc   ascii   \a\a\a\a\a
877  0x0001689a 0x0042029a 12  13   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a
878  0x000168b4 0x004202b4 12  13   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a
879  0x00016914 0x00420314 5   6    .rsrc   ascii   \a\a\a\a\a
880  0x0001691a 0x0042031a 23  24   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
881  0x0001695a 0x0042035a 24  25   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
882  0x00016976 0x00420376 6   7    .rsrc   ascii   \a\a\a\a\a\a
883  0x0001697e 0x0042037e 6   7    .rsrc   ascii   \a\a\a\a\a\a
884  0x00016986 0x00420386 6   7    .rsrc   ascii   \a\a\a\a\a\a
885  0x000169f6 0x004203f6 8   9    .rsrc   ascii   \a\a\a\a\a\a\a\a
886  0x00016a04 0x00420404 14  15   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a
887  0x00016a14 0x00420414 4   5    .rsrc   ascii   \a\a\a\a
888  0x00016a1c 0x0042041c 8   9    .rsrc   ascii   \a\a\a\a\a\a\a\a
889  0x00016a34 0x00420434 6   7    .rsrc   ascii   \a\a\a\a\a\a
890  0x00016a3e 0x0042043e 12  13   .rsrc   ascii   \a\a\a\a\a\a\a\a\a\a\a\a
891  0x00016a53 0x00420453 7   8    .rsrc   ascii   \a\a\a\a\a\a\a
892  0x00016a64 0x00420464 4   5    .rsrc   ascii   \a\f\f\f
893  0x00016a70 0x00420470 8   9    .rsrc   ascii   \f\f\f\f\a\a\a\a
894  0x00016ac9 0x004204c9 5   6    .rsrc   ascii   \n\n\f\f\f
895  0x00016ad1 0x004204d1 6   7    .rsrc   ascii   \n\n\n\n\n\n
896  0x00016adf 0x004204df 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
897  0x00016ae9 0x004204e9 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
898  0x00016afe 0x004204fe 4   5    .rsrc   ascii   \f\f\f\f
899  0x00016b34 0x00420534 10  11   .rsrc   ascii   \t\t\t\t\t\t\t\t\t\t
900  0x00016b48 0x00420548 26  27   .rsrc   ascii   \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t
901  0x00016b8d 0x0042058d 4   5    .rsrc   ascii   \t\t\t\t
902  0x00016b92 0x00420592 8   9    .rsrc   ascii   \t\t\t\t\t\t\t\t
903  0x00016bab 0x004205ab 4   5    .rsrc   ascii   \t\t\t\t
904  0x00016bb1 0x004205b1 8   9    .rsrc   ascii   \t\t\t\t\t\t\t\t
905  0x00016bba 0x004205ba 7   8    .rsrc   ascii   \t\t\t\t\t\t\t
906  0x00016bcf 0x004205cf 4   5    .rsrc   ascii   \t\t\t\t
907  0x00016bd4 0x004205d4 5   6    .rsrc   ascii   \t\t\t\t\t
908  0x00016bde 0x004205de 7   8    .rsrc   ascii   \t\t\t\t\t\t\t
909  0x00016c00 0x00420600 4   5    .rsrc   ascii   \t\t\t\t
910  0x00016c0c 0x0042060c 9   10   .rsrc   ascii   \t\t\t\t\t\t\t\t\t
911  0x00016c34 0x00420634 11  12   .rsrc   ascii   \t\t\t\t\t\t\t\t\t\t\t
912  0x00016c50 0x00420650 19  20   .rsrc   ascii   \t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t
913  0x00016c72 0x00420672 18  19   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r
914  0x00016cc6 0x004206c6 5   12   .rsrc   utf16le @P`Pp
915  0x000198f3 0x004232f3 7   8    .rsrc   ascii   ?]QJ\bVU
916  0x0001990b 0x0042330b 7   8    .rsrc   ascii   ?333333
917  0x0001991b 0x0042331b 7   8    .rsrc   ascii   ?tE)!XU
918  0x0001a48b 0x00423e8b 7   8    .rsrc   ascii   ?]QJ\bVU
919  0x0001aaa3 0x004244a3 4   5    .rsrc   ascii   @F]k
920  0x0001aaab 0x004244ab 7   8    .rsrc   ascii   ?]QJ\bVU
921  0x0001aabb 0x004244bb 4   5    .rsrc   ascii   ?F]k
922  0x0001aac3 0x004244c3 7   8    .rsrc   ascii   ?]QJ\bVU
923  0x0001aadb 0x004244db 7   8    .rsrc   ascii   ?tE)!XU
924  0x0001acd6 0x004246d6 9   11   .rsrc   utf8    ߘ{<:y&q?\t blocks=NKo,Basic Latin
925  0x0001acf2 0x004246f2 13  14   .rsrc   ascii   TOWebPortable
926  0x0001ad02 0x00424702 8   9    .rsrc   ascii   ImageHlp
927  0x0001ad0b 0x0042470b 9   10   .rsrc   ascii   \fKWindows
928  0x0001ad16 0x00424716 6   7    .rsrc   ascii   UTypes
929  0x0001ad1f 0x0042471f 7   8    .rsrc   ascii   SysInit
930  0x0001ad29 0x00424729 6   7    .rsrc   ascii   System
931  0x0001ad31 0x00424731 9   10   .rsrc   ascii   YStrUtils
932  0x0001ad3c 0x0042473c 10  11   .rsrc   ascii   eCharacter
933  0x0001ad49 0x00424749 8   9    .rsrc   ascii   SysUtils
934  0x0001ad54 0x00424754 4   5    .rsrc   ascii   Math
935  0x0001ad5b 0x0042475b 8   9    .rsrc   ascii   SysConst
936  0x0001ad65 0x00424765 10  11   .rsrc   ascii   "RTLConsts
937  0x0001ad70 0x00424770 10  11   .rsrc   ascii   \f*ShellAPI
938  0x0001ae41 0x00424841 5   6            ascii   Y0W03
939  0x0001ae5e 0x0042485e 13  27           utf16le <<<Obsolete>>
940  0x0001ae79 0x00424879 4   5            ascii   0 0\f
941  0x0001aed0 0x004248d0 4   5            ascii   1\v0\t
942  0x0001aee7 0x004248e7 14  15           ascii   \fWestern Cape1
943  0x0001aefe 0x004248fe 13  14           ascii   \vDurbanville1
944  0x0001af15 0x00424915 7   8            ascii   Thawte1
945  0x0001af26 0x00424926 21  22           ascii   Thawte Certification1
946  0x0001af45 0x00424945 23  24           ascii   Thawte Timestamping CA0
947  0x0001af5e 0x0042495e 14  15           ascii   \r121221000000Z
948  0x0001af6d 0x0042496d 20  21           ascii   \r201230235959Z0^1\v0\t
949  0x0001af95 0x00424995 24  25           ascii   Symantec Corporation100.
950  0x0001afb3 0x004249b3 41  42           ascii   'Symantec Time Stamping Services CA - G20
951  0x0001b00a 0x00424a0a 6   8            utf8    "W*oܸ& blocks=Basic Latin,Syriac
952  0x0001b012 0x00424a12 7   9            utf8    Csk¿.PZ blocks=Basic Latin,Latin-1 Supplement
953  0x0001b051 0x00424a51 5   6            ascii   r\e&Mq
954  0x0001b071 0x00424a71 4   6            utf8    W?=ƒ blocks=Basic Latin,Latin Extended-B
955  0x0001b0a1 0x00424aa1 4   6            utf8    \rtޒ" blocks=Basic Latin,Thaana
956  0x0001b0e9 0x00424ae9 5   6            ascii   ]jxdE
957  0x0001b0ef 0x00424aef 4   5            ascii   `F~T
958  0x0001b133 0x00424b33 5   6            ascii   &0$0"
959  0x0001b144 0x00424b44 23  24           ascii   http://ocsp.thawte.com0
960  0x0001b176 0x00424b76 5   6            ascii   80604
961  0x0001b180 0x00424b80 48  49           ascii   .http://crl.thawte.com/ThawteTimestampingCA.crl0
962  0x0001b1ee 0x00424bee 18  19           ascii   TimeStamp-2048-10\r
963  0x0001b25c 0x00424c5c 4   5            ascii   \b\*z
964  0x0001b26a 0x00424c6a 4   5            ascii   y@b%
965  0x0001b2bf 0x00424cbf 6   7            ascii   0^1\v0\t
