[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000138 0x00000138 5   6            ascii   drws1
1    0x0000015f 0x0000015f 6   7            ascii   `drws2
2    0x00000188 0x00000188 5   6            ascii   drws3
3    0x000001af 0x000001af 6   7            ascii   @drws4
113  0x00003e89 0x00403e89 7   9    drws1   utf8    \r+گ\n\eL6 blocks=Basic Latin,Arabic
114  0x00003eb0 0x00403eb0 5   7    drws1   utf8    %oҠRh blocks=Basic Latin,Cyrillic
115  0x00003ec6 0x00403ec6 4   6    drws1   utf8    &/ź; blocks=Basic Latin,Latin Extended-A
116  0x00003efe 0x00403efe 5   6    drws1   ascii   6?r\ag
117  0x00003f77 0x00403f77 4   6    drws1   utf8    §g&a blocks=Latin-1 Supplement,Basic Latin
118  0x00003f80 0x00403f80 8   10   drws1   utf8    IiGM>nwۮ blocks=Basic Latin,Arabic
119  0x00003fed 0x00403fed 6   7    drws1   ascii   \e1A26b
120  0x00004085 0x00404085 4   6    drws1   utf8    Ųe]] blocks=Latin Extended-A,Basic Latin
121  0x00004097 0x00404097 4   5    drws1   ascii   i91k
122  0x000040a0 0x004040a0 4   5    drws1   ascii   \v\a\t,
123  0x000041a5 0x004041a5 6   7    drws1   ascii   ewh/?y
124  0x000041b6 0x004041b6 4   5    drws1   ascii   *5KS
125  0x0000423c 0x0040423c 7   8    drws1   ascii   \f6~_'\e-
126  0x00004285 0x00404285 4   5    drws1   ascii   F*.f
127  0x000042d1 0x004042d1 9   10   drws1   ascii   *F2\a1wsHp
128  0x0000430d 0x0040430d 4   5    drws1   ascii   8l\a1
129  0x0000436c 0x0040436c 5   7    drws1   utf8    Ge­lH blocks=Basic Latin,Latin-1 Supplement
130  0x00004380 0x00404380 4   5    drws1   ascii   \b$Tj
131  0x0000441b 0x0040441b 5   7    drws1   utf8    d\bؓS\n blocks=Basic Latin,Arabic
132  0x00004422 0x00404422 6   7    drws1   ascii   -\n\v\G=
133  0x00004437 0x00404437 4   5    drws1   ascii   )\e/\v
134  0x00004467 0x00404467 4   5    drws1   ascii   M8MF
135  0x00004486 0x00404486 4   5    drws1   ascii   Pe6^
136  0x000044b8 0x004044b8 5   6    drws1   ascii   #bML"
137  0x000044d2 0x004044d2 8   9    drws1   ascii   `F(>\nq-q
138  0x000044fc 0x004044fc 5   6    drws1   ascii   vQO+t
139  0x00004503 0x00404503 5   7    drws1   utf8    ru՛E~ blocks=Basic Latin,Armenian
140  0x0000450f 0x0040450f 4   5    drws1   ascii   O}\r\b
141  0x0000453f 0x0040453f 4   5    drws1   ascii   [h1R
142  0x0000459e 0x0040459e 4   5    drws1   ascii   XsBI
143  0x000045aa 0x004045aa 4   5    drws1   ascii   hPU3
144  0x000045e0 0x004045e0 5   6    drws1   ascii   ^oEZ_
145  0x00004669 0x00404669 6   8    drws1   utf8    x]`غ7W blocks=Basic Latin,Arabic
146  0x000046d9 0x004046d9 6   8    drws1   utf8    D\at͆mC blocks=Basic Latin,Combining Diacritical Marks
147  0x0000479a 0x0040479a 4   6    drws1   utf8    )ġ:C blocks=Basic Latin,Latin Extended-A
148  0x000047de 0x004047de 4   8    drws1   utf8    ÿZ^ھ blocks=Latin-1 Supplement,Basic Latin,Arabic
149  0x000047ff 0x004047ff 5   7    drws1   utf8    2%k_ܝ blocks=Basic Latin,Syriac
150  0x00004822 0x00404822 4   5    drws1   ascii   w3Xc
151  0x00004840 0x00404840 4   5    drws1   ascii   ur\bC
152  0x00004864 0x00404864 5   7    drws1   utf8    \bzGɠ2 blocks=Basic Latin,IPA Extensions
153  0x0000486f 0x0040486f 4   5    drws1   ascii   [\n;g
154  0x00004878 0x00404878 4   5    drws1   ascii   /P8i
155  0x00004890 0x00404890 7   9    drws1   utf8    ϏOZw3(? blocks=Greek and Coptic,Basic Latin
156  0x000048b0 0x004048b0 4   5    drws1   ascii   Z"0*
157  0x00004941 0x00404941 4   5    drws1   ascii   fP~V
158  0x00004979 0x00404979 4   5    drws1   ascii   D`T\f
159  0x000049ef 0x004049ef 4   5    drws1   ascii   ^GP~
160  0x000049f8 0x004049f8 7   9    drws1   utf8    b;!lڇF\t blocks=Basic Latin,Arabic
161  0x00004a12 0x00404a12 6   7    drws1   ascii   V_:X1:
162  0x00004a36 0x00404a36 5   6    drws1   ascii   NJ2"v
163  0x00004a5c 0x00404a5c 5   6    drws1   ascii   O*9y]
164  0x00004aca 0x00404aca 4   5    drws1   ascii   fu`z
165  0x00004af9 0x00404af9 4   5    drws1   ascii   /yQA
166  0x00004b15 0x00404b15 4   5    drws1   ascii   Li\a<
167  0x00004b5d 0x00404b5d 7   10   drws1   utf8    >aDƋΪ~7 blocks=Basic Latin,Latin Extended-B,Greek and Coptic
168  0x00004b6e 0x00404b6e 4   5    drws1   ascii   &]|v
169  0x00004bbe 0x00404bbe 5   8    drws1   utf8    散\rI{\e blocks=CJK Unified Ideographs,Basic Latin
170  0x00004bf0 0x00404bf0 6   14   drws1   utf16le \a\b\t\n\v\r
171  0x00004c08 0x00404c08 8   18   drws1   utf16le #+3;CScs
172  0x00004c7c 0x00404c7c 4   10   drws1   utf16le !1Aa
173  0x00004ce8 0x00404ce8 48  49   drws1   ascii   Invalid parameter passed to C runtime function.\n
174  0x00004d4d 0x00404d4d 5   6    drws1   ascii   ('8PW
175  0x00004d56 0x00404d56 5   6    drws1   ascii   700PP
176  0x00004d68 0x00404d68 17  18   drws1   ascii   ```hhh\b\b\axppwpp\b\b
177  0x00004dae 0x00404dae 47  96   drws1   utf16le @Microsoft Enhanced Cryptographic Provider v1.0
178  0x00005fa8 0x00405fa8 5   6    drws1   ascii   Z06}\
179  0x00005fb1 0x00405fb1 12  13   drws1   ascii   awL\:6}]27}w
180  0x00005fca 0x00405fca 4   5    drws1   ascii   5v"5
181  0x0000602b 0x0040602b 8   10   drws1   utf8    SnJ,:\fû% blocks=Basic Latin,Latin-1 Supplement
182  0x0000603e 0x0040603e 7   9    drws1   utf8    \vl_gEΐ6 blocks=Basic Latin,Greek and Coptic
183  0x0000606b 0x0040606b 7   8    drws1   ascii   X\nz^oqO
184  0x00006076 0x00406076 7   9    drws1   utf8    yhqBߎ_o blocks=Basic Latin,NKo
185  0x000060f7 0x004060f7 5   6    drws1   ascii   }\aUv}
186  0x0000610e 0x0040610e 5   7    drws1   utf8    ɝ\bx8} blocks=IPA Extensions,Basic Latin
187  0x0000614e 0x0040614e 5   7    drws1   utf8    6}ܰ6} blocks=Basic Latin,Syriac
188  0x00006888 0x00406888 4   5    drws1   ascii   DJ[M
189  0x00006890 0x00406890 7   8    drws1   ascii   |n]M*CC
190  0x000068c0 0x004068c0 4   5    drws1   ascii   NFw-
191  0x0000692a 0x0040692a 5   6    drws1   ascii   .so\bB
192  0x00006930 0x00406930 4   5    drws1   ascii   +v{0
193  0x00006947 0x00406947 7   8    drws1   ascii   \a\b\t\n\v\f\r
194  0x00006960 0x00406960 95  96   drws1   ascii    !"#$%&'()*+,-./0123456789:;<=>?@abcdefghijklmnopqrstuvwxyz[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
195  0x00006a47 0x00406a47 7   8    drws1   ascii   \a\b\t\n\v\f\r
196  0x00006a60 0x00406a60 95  96   drws1   ascii    !"#$%&'()*+,-./0123456789:;<=>?@abcdefghijklmnopqrstuvwxyz[\]^_`ABCDEFGHIJKLMNOPQRSTUVWXYZ{|}~
197  0x00006da3 0x00406da3 5   6    drws1   ascii   #$%&'
198  0x00006db0 0x00406db0 10  11   drws1   ascii   0123456789
199  0x00006dc1 0x00406dc1 26  27   drws1   ascii   abcdefghijklmnopqrstuvwxyz
200  0x00006dde 0x00406dde 29  30   drws1   ascii   ^_`abcdefghijklmnopqrstuvwxyz
201  0x00006ec1 0x00406ec1 4   5    drws1   ascii   \n\v\f\r
202  0x00006ee1 0x00406ee1 4   5    drws1   ascii   \n\v\f\r
203  0x00006fe2 0x00406fe2 5   6    drws1   ascii   :ps@h
204  0x00006fec 0x00406fec 4   5    drws1   ascii   w=P=
205  0x00006ffd 0x00406ffd 4   5    drws1   ascii   =E5|
206  0x00007006 0x00407006 5   6    drws1   ascii   vl\n"c
207  0x0000700c 0x0040700c 6   7    drws1   ascii   ~h:6Zf
208  0x0000704d 0x0040704d 7   8    drws1   ascii   \b\b404D?
209  0x00007064 0x00407064 4   5    drws1   ascii   Gj1.
210  0x00007069 0x00407069 4   6    drws1   utf8    fA`Ϣ blocks=Basic Latin,Greek and Coptic
211  0x0000709e 0x0040709e 14  15   drws1   ascii   J0T0\0d0l0t0|0
212  0x000070d3 0x004070d3 12  13   drws1   ascii   1$1,141<1D1L
213  0x00007125 0x00407125 7   8    drws1   ascii   (l2t2|2
214  0x0000714b 0x0040714b 6   7    drws1   ascii   gAP0\'
215  0x00007152 0x00407152 20  21   drws1   ascii   93$3,343<3D3L3T3\3d3
216  0x000071d9 0x004071d9 19  20   drws1   ascii   :<5D5L5T5\5d5l5t5|5
217  0x00007211 0x00407211 9   10   drws1   ascii   6$7,747<7
218  0x00007251 0x00407251 4   5    drws1   ascii   GDf_
219  0x00007260 0x00407260 10  11   drws1   ascii   F8d8l8t8|8
220  0x00007291 0x00407291 16  17   drws1   ascii   9$9,949<9D9L9T9\
221  0x000072d8 0x004072d8 5   6    drws1   ascii   \r/Zj+
222  0x000072e0 0x004072e0 5   6    drws1   ascii   PD!I\e
223  0x000072e6 0x004072e6 4   5    drws1   ascii   }$|:
224  0x00007314 0x00407314 20  21   drws1   ascii   6;4;<;D;L;T;\;d;l;t;
225  0x00007351 0x00407351 4   5    drws1   ascii   <$<,
226  0x0000739c 0x0040739c 14  15   drws1   ascii   L=T=\=d=l=t=|=
227  0x000073d1 0x004073d1 11  12   drws1   ascii   >$>,>4><>D'
228  0x0000740a 0x0040740a 5   6    drws1   ascii   >:/]Q
229  0x0000747a 0x0040747a 5   7    drws1   utf8    SݜT^~ blocks=Basic Latin,Arabic Supplement
230  0x00007487 0x00407487 4   6    drws1   utf8    0ӺHj blocks=Basic Latin,Cyrillic
231  0x0000749e 0x0040749e 4   5    drws1   ascii   ,\rNz
232  0x000074d6 0x004074d6 4   5    drws1   ascii   {zm_
233  0x000074dd 0x004074dd 7   9    drws1   utf8    \e0Mơ1I" blocks=Basic Latin,Latin Extended-B
234  0x000074fd 0x004074fd 6   7    drws1   ascii   c7\n,5b
235  0x0000750a 0x0040750a 4   5    drws1   ascii   T,`I
236  0x0000751e 0x0040751e 4   5    drws1   ascii   IONZ
237  0x000075b8 0x004075b8 11  24   drws1   utf16le displayName
238  0x000075ec 0x004075ec 22  46   drws1   utf16le arFileInfo\Translation
239  0x0000761c 0x0040761c 27  56   drws1   utf16le \StringFileInfo\%04x%04x\%s
240  0x000076a6 0x004076a6 11  24   drws1   utf16le @tellerplus
241  0x000076c0 0x004076c0 8   18   drws1   utf16le bancline
242  0x000076d4 0x004076d4 8   18   drws1   utf16le fidelity
243  0x000076e8 0x004076e8 8   18   drws1   utf16le micrsolv
244  0x000076fc 0x004076fc 7   16   drws1   utf16le bankman
245  0x0000770c 0x0040770c 6   14   drws1   utf16le vantiv
246  0x0000771c 0x0040771c 6   14   drws1   utf16le episys
247  0x0000772c 0x0040772c 10  22   drws1   utf16le jack henry
248  0x00007744 0x00407744 9   20   drws1   utf16le cruisenet
249  0x00007758 0x00407758 9   20   drws1   utf16le gplusmain
250  0x0000776c 0x0040776c 18  38   drws1   utf16le launchpadshell.exe
251  0x00007794 0x00407794 12  26   drws1   utf16le dirclt32.exe
252  0x000077b0 0x004077b0 8   18   drws1   utf16le wtng.exe
253  0x000077c4 0x004077c4 12  26   drws1   utf16le prologue.exe
254  0x000077e0 0x004077e0 10  22   drws1   utf16le silverlake
255  0x000077f8 0x004077f8 9   20   drws1   utf16le pcsws.exe
256  0x0000780c 0x0040780c 10  22   drws1   utf16le v48d0250s1
257  0x00007824 0x00407824 12  26   drws1   utf16le fdmaster.exe
258  0x00007840 0x00407840 7   16   drws1   utf16le fastdoc
259  0x00007874 0x00407874 28  29   drws1   ascii   GetFileInformationByHandleEx
260  0x00007894 0x00407894 12  26   drws1   utf16le kernel32.dll
261  0x000078b0 0x004078b0 26  27   drws1   ascii   SetFileInformationByHandle
262  0x00007980 0x00407980 11  12   drws1   ascii   gdiplus.dll
263  0x0000798c 0x0040798c 14  15   drws1   ascii   GdiplusStartup
264  0x0000799c 0x0040799c 15  16   drws1   ascii   GdiplusShutdown
265  0x000079ac 0x004079ac 27  28   drws1   ascii   GdipCreateBitmapFromHBITMAP
266  0x000079c8 0x004079c8 16  17   drws1   ascii   GdipDisposeImage
267  0x000079dc 0x004079dc 24  25   drws1   ascii   GdipGetImageEncodersSize
268  0x000079f8 0x004079f8 20  21   drws1   ascii   GdipGetImageEncoders
269  0x00007a10 0x00407a10 21  22   drws1   ascii   GdipSaveImageToStream
270  0x00007a3a 0x00407a3a 5   6    drws1   ascii   \$\bUV
271  0x00007a66 0x00407a66 8   18   drws1   utf16le ADISPLAY
272  0x00007aaa 0x00407aaa 5   12   drws1   utf16le A"%s"
273  0x00007ab8 0x00407ab8 7   16   drws1   utf16le "%s" %s
274  0x00007ac8 0x00407ac8 11  12   drws1   ascii   userenv.dll
275  0x00007ad4 0x00407ad4 22  23   drws1   ascii   CreateEnvironmentBlock
276  0x00007aec 0x00407aec 23  24   drws1   ascii   DestroyEnvironmentBlock
277  0x00007b04 0x00407b04 34  35   drws1   ascii   :d\r\ndel "%s"\r\nif exist "%s" goto d
278  0x00007b28 0x00407b28 4   10   drws1   utf16le .bat
279  0x00007b34 0x00407b34 28  29   drws1   ascii   @echo off\r\n%s\r\ndel /F "%s"\r\n
280  0x00007b54 0x00407b54 7   16   drws1   utf16le /c "%s"
281  0x00007b64 0x00407b64 7   16   drws1   utf16le ComSpec
282  0x00007b76 0x00407b76 5   12   drws1   utf16le c.tmp
283  0x00007b94 0x00407b94 4   20   drws1   utf32le \t\n\v\f
284  0x00007bac 0x00407bac 4   5    drws1   ascii   POST
285  0x00007bb8 0x00407bb8 8   9    drws1   ascii   HTTP/1.1
286  0x00007bc4 0x00407bc4 19  20   drws1   ascii   Connection: Close\r\n
287  0x00007be0 0x00407be0 14  30   drws1   utf16le SeTcbPrivilege
288  0x00007c00 0x00407c00 4   10   drws1   utf16le .exe
289  0x00007c4c 0x00407c4c 14  15   drws1   ascii   IsWow64Process
290  0x00007ce0 0x00407ce0 13  14   drws1   ascii   Authorization
291  0x00007cf0 0x00407cf0 6   7    drws1   ascii   Basic 
292  0x00007cf8 0x00407cf8 11  24   drws1   utf16le ProhibitDTD
293  0x00007d10 0x00407d10 4   10   drws1   utf16le .dat
294  0x00007d1c 0x00407d1c 15  16   drws1   ascii   RegDeleteKeyExW
295  0x00007d2c 0x00407d2c 12  26   drws1   utf16le advapi32.dll
296  0x00007d7a 0x00407d7a 6   14   drws1   utf16le \n \r!\r*
297  0x00007d88 0x00407d88 19  40   drws1   utf16le SeShutdownPrivilege
298  0x00007db0 0x00407db0 20  21   drws1   ascii   SHGetKnownFolderPath
299  0x00007dc8 0x00407dc8 11  24   drws1   utf16le shell32.dll
300  0x00007de0 0x00407de0 14  15   drws1   ascii   GetProcAddress
301  0x00007df0 0x00407df0 12  13   drws1   ascii   LoadLibraryA
302  0x00007e00 0x00407e00 59  120  drws1   utf16le SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\%s
303  0x00007e78 0x00407e78 16  34   drws1   utf16le ProfileImagePath
304  0x00007ee4 0x00407ee4 6   7    drws1   ascii   script
305  0x00007eec 0x00407eec 5   6    drws1   ascii   nbsp;
306  0x00007ef4 0x00407ef4 12  13   drws1   ascii   \n\n\n \n\n\n\n\n\n\n\n
307  0x00007f0c 0x00407f0c 14  15   drws1   ascii   GetProductInfo
308  0x00007f24 0x00407f24 4   10   drws1   utf16le -m%p
309  0x00007f60 0x00407f60 11  12   drws1   ascii   hNPVDHKbH\N
310  0x00007fb8 0x00407fb8 38  39   drws1   ascii   Gzpcgp`v@\no\xnzHjq[Sndw{l|jTDchFZEXVE
311  0x00007ff8 0x00407ff8 4   5    drws1   ascii   Pvio
312  0x00008000 0x00408000 7   8    drws1   ascii   jGE^HB[
313  0x00008008 0x00408008 6   7    drws1   ascii   mEMEQL
314  0x00008021 0x00408021 7   8    drws1   ascii   #!:,&?g
315  0x00008029 0x00408029 7   8    drws1   ascii   *$)%)-%
316  0x00008035 0x00408035 14  15   drws1   ascii   '$#14n\a#/ * &,
317  0x00008045 0x00408045 16  17   drws1   ascii   4$*0$$2b\v#/$. &0
318  0x00008059 0x00408059 6   7    drws1   ascii   775%3'
319  0x000080a0 0x004080a0 5   6    drws1   ascii   l;qGG
320  0x000080a8 0x004080a8 13  14   drws1   ascii   >.-0298,>9;{+
321  0x000080b6 0x004080b6 19  20   drws1   ascii   &'8c+#9'd=5* * -%%\e
322  0x000080d8 0x004080d8 7   8    drws1   ascii   (((#)=/
323  0x0000811c 0x0040811c 10  11   drws1   ascii   W-3?#)<0$^
324  0x00008160 0x00408160 7   8    drws1   ascii   ?>dhfr)
325  0x00008174 0x00408174 8   9    drws1   ascii   =!"cy298
326  0x00008180 0x00408180 9   10   drws1   ascii   ossp1*cje
327  0x000081a0 0x004081a0 8   9    drws1   ascii   gdjw_]BU
328  0x000081c0 0x004081c0 4   5    drws1   ascii   #9'7
329  0x000081d6 0x004081d6 7   8    drws1   ascii     4/1-'
330  0x000081e0 0x004081e0 11  12   drws1   ascii   hkehYI{MB^@
331  0x000081ff 0x004081ff 5   6    drws1   ascii   =>7:*
332  0x00008205 0x00408205 5   6    drws1   ascii   (/3**
333  0x0000820c 0x0040820c 4   5    drws1   ascii   ?# R
334  0x00008218 0x00408218 15  16   drws1   ascii   OlzhjkeYLbzlh`t
335  0x00008228 0x00408228 12  13   drws1   ascii    #=5=93$v042
