[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000150 0x00000150 4   5            ascii   Rich
1    0x0000029c 0x0000029c 5   6            ascii   .text
2    0x000002c3 0x000002c3 7   8            ascii   `.rdata
3    0x000002eb 0x000002eb 5   6            ascii   @.crt
4    0x00000314 0x00000314 5   6            ascii   .rsrc
5    0x0000033b 0x0000033b 7   8            ascii   @.reloc
147  0x000015fc 0x100021fc 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
148  0x00001602 0x10002202 4   5    .text   ascii   D$,f
149  0x00001607 0x10002207 4   5    .text   ascii   L$"f
150  0x00001641 0x10002241 4   5    .text   ascii   =oCL
151  0x0000165f 0x1000225f 4   6    .text   utf8    ĉD$, blocks=Latin Extended-A,Basic Latin
152  0x000016a4 0x100022a4 4   5    .text   ascii   T$\bt
153  0x000016d9 0x100022d9 4   6    .text   utf8    ]ËE\b blocks=Basic Latin,Latin-1 Supplement
154  0x00001740 0x10002340 4   5    .text   ascii   D$w=
155  0x00001756 0x10002356 4   5    .text   ascii   ^[_]
156  0x00001761 0x10002361 4   5    .text   ascii   D$bm
157  0x00001767 0x10002367 9   10   .text   ascii   L$Xf+D$bf
158  0x00001794 0x10002394 5   6    .text   ascii   D$k[8
159  0x000017aa 0x100023aa 4   6    .text   utf8    щD$4 blocks=Cyrillic,Basic Latin
160  0x000017ca 0x100023ca 4   5    .text   ascii   |$@I
161  0x000017d8 0x100023d8 6   8    .text   utf8    D$|1ɺ\b blocks=Basic Latin,IPA Extensions
162  0x00001815 0x10002415 4   5    .text   ascii   \$bf
163  0x00001823 0x10002423 5   6    .text   ascii   D$\\e\t
164  0x0000183a 0x1000243a 4   5    .text   ascii   D$\b\b
165  0x0000184b 0x1000244b 4   5    .text   ascii   D$xf
166  0x00001850 0x10002450 6   7    .text   ascii   D$bf\r.
167  0x00001907 0x10002507 5   7    .text   utf8    T$pǄ$ blocks=Basic Latin,Latin Extended-B
168  0x0000196f 0x1000256f 5   6    .text   ascii   \$7tA
169  0x00001980 0x10002580 4   6    .text   utf8    5\vՍE blocks=Basic Latin,Armenian
170  0x0000198f 0x1000258f 5   7    .text   utf8    D$7 \b
171  0x000019a4 0x100025a4 5   6    .text   ascii   D$7$a
172  0x00001a04 0x10002604 4   5    .text   ascii   D$74
173  0x00001a2e 0x1000262e 5   8    .text   utf8    _ՍEǄ$ blocks=Basic Latin,Armenian,Latin Extended-B
174  0x00001a5b 0x1000265b 4   5    .text   ascii   L$df
175  0x00001a6b 0x1000266b 5   7    .text   utf8    [^_]Ë blocks=Basic Latin,Latin-1 Supplement
176  0x00001a77 0x10002677 4   6    .text   utf8    5\vՍE blocks=Basic Latin,Armenian
177  0x00001aaa 0x100026aa 5   6    .text   ascii   f%#jf
178  0x00001ac3 0x100026c3 4   5    .text   ascii   |$`I
179  0x00001acd 0x100026cd 4   6    .text   utf8    ċD$D blocks=Latin Extended-A,Basic Latin
180  0x00001b45 0x10002745 5   6    .text   ascii   D$l\e\t
181  0x00001b4d 0x1000274d 6   8    .text   utf8    D$0fǄ$ blocks=Basic Latin,Latin Extended-B
182  0x00001b66 0x10002766 4   5    .text   ascii   D$\b\b
183  0x00001bb7 0x100027b7 4   6    .text   utf8    )ۍE+ blocks=Basic Latin,Arabic
184  0x00001c3a 0x1000283a 5   7    .text   utf8    D$7\fЈ blocks=Basic Latin,Cyrillic
185  0x00001cce 0x100028ce 4   5    .text   ascii   x%\n3
186  0x00001ce7 0x100028e7 6   8    .text   utf8    X\a۬:Ct blocks=Basic Latin,Arabic
187  0x00001d4d 0x1000294d 6   9    .text   utf8    臺+_2c; blocks=CJK Unified Ideographs,Basic Latin
188  0x00001d78 0x10002978 6   7    .text   ascii   ZfGP\e4
189  0x000041f1 0x10004df1 4   5    .text   ascii   L$.f
190  0x00004234 0x10004e34 4   5    .text   ascii   D$ 7
191  0x00004271 0x10004e71 4   5    .text   ascii   M+D$
192  0x000042d4 0x10004ed4 4   6    .text   utf8    ȉD$\b blocks=Latin Extended-B,Basic Latin
193  0x00004326 0x10004f26 4   5    .text   ascii   \$[f
194  0x0000432b 0x10004f2b 4   5    .text   ascii   D$^\a
195  0x00004335 0x10004f35 4   5    .text   ascii   |$Tf
196  0x00004340 0x10004f40 4   5    .text   ascii   t$,f
197  0x0000435a 0x10004f5a 9   11   .text   utf8    D$$)\tD$`f
198  0x00004365 0x10004f65 4   5    .text   ascii   D$^f
199  0x00004372 0x10004f72 4   5    .text   ascii   |$=f
200  0x00004386 0x10004f86 4   5    .text   ascii   L$`f
201  0x00004395 0x10004f95 8   10   .text   utf8    L$\f9Ɖ|$ blocks=Basic Latin,Latin Extended-B
202  0x000043cc 0x10004fcc 4   6    .text   utf8    ЋL$, blocks=Cyrillic,Basic Latin
203  0x000043d2 0x10004fd2 4   6    .text   utf8    щL$P blocks=Cyrillic,Basic Latin
204  0x000043dc 0x10004fdc 8   9    .text   ascii   D$@;D$8r
205  0x000043e6 0x10004fe6 4   6    .text   utf8    D$`λ blocks=Basic Latin,Greek and Coptic
206  0x000043f0 0x10004ff0 5   7    .text   utf8    [^_]ð blocks=Basic Latin,Latin-1 Supplement
207  0x000043f8 0x10004ff8 4   5    .text   ascii   L$\e8
208  0x0000440b 0x1000500b 4   5    .text   ascii   T$@f
209  0x0000441d 0x1000501d 5   6    .text   ascii   T$Df9
210  0x00004469 0x10005069 4   6    .text   utf8    \tD$`
211  0x0000446f 0x1000506f 4   5    .text   ascii   D$,%
212  0x000044a4 0x100050a4 4   5    .text   ascii   D$$\r
213  0x00004525 0x10005125 4   5    .text   ascii   T$8f
214  0x0000452e 0x1000512e 4   5    .text   ascii   |$lf
215  0x0000458d 0x1000518d 8   10   .text   utf8    D$(1ɍT$X blocks=Basic Latin,Latin Extended-B
216  0x000045db 0x100051db 4   6    .text   utf8    ̈\$i blocks=Combining Diacritical Marks,Basic Latin
217  0x000045fa 0x100051fa 4   5    .text   ascii   D$i~
218  0x00004605 0x10005205 4   5    .text   ascii   _[^]
219  0x0000462d 0x1000522d 4   5    .text   ascii   T$(f
220  0x00004663 0x10005263 4   6    .text   utf8    M\bƄ$ blocks=Basic Latin,Latin Extended-B
221  0x00004689 0x10005289 7   8    .text   ascii   D$DO`jA
222  0x000046fd 0x100052fd 5   7    .text   utf8    D$#\f߈ blocks=Basic Latin,NKo
223  0x00004721 0x10005321 4   5    .text   ascii   t$(i
224  0x0000477c 0x1000537c 5   7    .text   utf8    ÉD$xf blocks=Latin-1 Supplement,Basic Latin
225  0x000047ad 0x100053ad 4   5    .text   ascii   D$|5
226  0x000047b2 0x100053b2 4   5    .text   ascii   ~8Nf
227  0x000047c3 0x100053c3 4   5    .text   ascii   T$4f
228  0x000047e1 0x100053e1 5   7    .text   utf8    D$8Ƅ$ blocks=Basic Latin,Latin Extended-B
229  0x00004815 0x10005415 6   7    .text   ascii   L$4<Ss
230  0x0000481d 0x1000541d 4   5    .text   ascii   D$#4
231  0x00004830 0x10005430 4   5    .text   ascii   _[^]
232  0x0000483b 0x1000543b 6   8    .text   utf8    \b)ȋL$h blocks=Basic Latin,Latin Extended-B
233  0x00004859 0x10005459 4   6    .text   utf8    @,Ǆ$ blocks=Basic Latin,Latin Extended-B
234  0x0000487a 0x1000547a 5   6    .text   ascii   L$l9A
235  0x000048a3 0x100054a3 4   6    .text   utf8    1ɉT$ blocks=Basic Latin,Latin Extended-B
236  0x000048b2 0x100054b2 4   5    .text   ascii   t$\b9
237  0x000048be 0x100054be 4   5    .text   ascii   L$Tf
238  0x00004901 0x10005501 6   8    .text   utf8    D$<fǄ$ blocks=Basic Latin,Latin Extended-B
239  0x000049af 0x100055af 6   8    .text   utf8    a)ʊ\$# blocks=Basic Latin,IPA Extensions
240  0x00004a07 0x10005607 4   5    .text   ascii   D$lf
241  0x00004a6d 0x1000566d 4   5    .text   ascii   L$(i
242  0x00004acd 0x100056cd 4   5    .text   ascii   D$su
243  0x00004ae2 0x100056e2 5   7    .text   utf8    T$#0҈ blocks=Basic Latin,Cyrillic
244  0x00004afe 0x100056fe 5   6    .text   ascii   L$xf+
245  0x00004b2c 0x1000572c 7   8    .text   ascii   L$_:D$_
246  0x00004b7e 0x1000577e 4   5    .text   ascii   D$hf
247  0x00004b99 0x10005799 4   5    .text   ascii   ;D$L
248  0x00004ba3 0x100057a3 4   7    .text   utf8    떋D$l blocks=Hangul Syllables,Basic Latin
249  0x00004c05 0x10005805 4   5    .text   ascii   \essT
250  0x00004c46 0x10005846 4   5    .text   ascii   Xc.7
251  0x00004c66 0x10005866 5   7    .text   utf8    ËD$\f- blocks=Latin-1 Supplement,Basic Latin
252  0x00004c7a 0x1000587a 5   7    .text   utf8    !ȉD$\f blocks=Basic Latin,Latin Extended-B
253  0x00004c8e 0x1000588e 6   9    .text   utf8    u\f뎋D$\b blocks=Basic Latin,Hangul Syllables
254  0x00004c9d 0x1000589d 4   5    .text   ascii   D$\ff
255  0x00004d2b 0x1000592b 6   8    .text   utf8    T$hfǄ$ blocks=Basic Latin,Latin Extended-B
256  0x00004d8c 0x1000598c 4   5    .text   ascii   D$\b\v
257  0x00004dc9 0x100059c9 4   5    .text   ascii   T$&f
258  0x00004df7 0x100059f7 6   8    .text   utf8    D$(fǄ$ blocks=Basic Latin,Latin Extended-B
259  0x00004e0f 0x10005a0f 10  12   .text   utf8    [^_]Ã|$  t blocks=Basic Latin,Latin-1 Supplement
260  0x00004e37 0x10005a37 4   5    .text   ascii   T$ f
261  0x00004e3c 0x10005a3c 5   7    .text   utf8    t$$Ƅ$ blocks=Basic Latin,Latin Extended-B
262  0x00004e51 0x10005a51 5   7    .text   utf8    L$\f1ɉ blocks=Basic Latin,Latin Extended-B
263  0x00004ec6 0x10005ac6 8   10   .text   utf8    |$(1ۉD$\f blocks=Basic Latin,Arabic
264  0x00004ee3 0x10005ae3 4   5    .text   ascii   D$ 9
265  0x00004f06 0x10005b06 4   5    .text   ascii   t$\bi
266  0x00004f32 0x10005b32 5   7    .text   utf8    _[^]Ð blocks=Basic Latin,Latin-1 Supplement
267  0x00004f59 0x10005b59 4   5    .text   ascii   9yGS
268  0x00005012 0x10005c12 4   6    .text   utf8    #fǄ$ blocks=Basic Latin,Latin Extended-B
269  0x00005051 0x10005c51 4   5    .text   ascii   D$ff
270  0x00005056 0x10005c56 5   7    .text   utf8    D$fǄ$ blocks=Basic Latin,Latin Extended-B
271  0x0000506e 0x10005c6e 5   6    .text   ascii   |$\ r
272  0x000050ab 0x10005cab 5   7    .text   utf8    L$\Ǆ$ blocks=Basic Latin,Latin Extended-B
273  0x000050c5 0x10005cc5 4   6    .text   utf8    щL$\ blocks=Cyrillic,Basic Latin
274  0x000050d2 0x10005cd2 4   5    .text   ascii   _^[]
275  0x00005106 0x10005d06 4   5    .text   ascii   D$4%
276  0x0000515e 0x10005d5e 4   5    .text   ascii   L$0i
277  0x000051a2 0x10005da2 7   9    .text   utf8    L$8\tɋT$ blocks=Basic Latin,Latin Extended-B
278  0x000051bf 0x10005dbf 4   6    .text   utf8    E\bǄ$ blocks=Basic Latin,Latin Extended-B
279  0x000051d2 0x10005dd2 4   6    .text   utf8    \bƄ$\v blocks=Basic Latin,Latin Extended-B
280  0x000051eb 0x10005deb 4   5    .text   ascii   D$45
281  0x0000522c 0x10005e2c 5   7    .text   utf8    )ǊT$+ blocks=Basic Latin,Latin Extended-B
282  0x0000524a 0x10005e4a 5   7    .text   utf8    D$PǄ$ blocks=Basic Latin,Latin Extended-B
283  0x0000525d 0x10005e5d 4   5    .text   ascii   D$45
284  0x000052bc 0x10005ebc 4   5    .text   ascii   wX}\a
285  0x000052c7 0x10005ec7 5   6    .text   ascii   S;L$`
286  0x000052d8 0x10005ed8 5   6    .text   ascii   D$H;E
287  0x00005323 0x10005f23 8   10   .text   utf8    |$\e ۈ\$% blocks=Basic Latin,Arabic
288  0x0000533e 0x10005f3e 4   5    .text   ascii   T$\ff
289  0x0000538a 0x10005f8a 5   6    .text   ascii   t$\nf!
290  0x00005391 0x10005f91 4   5    .text   ascii   D$(f
291  0x000053a4 0x10005fa4 8   9    .text   ascii   D$&9k9D$
292  0x000053c4 0x10005fc4 4   5    .text   ascii   Qb>3
293  0x000053cd 0x10005fcd 4   5    .text   ascii   L$,8
294  0x000053d8 0x10005fd8 4   5    .text   ascii   57O.
295  0x000053f7 0x10005ff7 4   5    .text   ascii   t$\nf
296  0x00005410 0x10006010 4   5    .text   ascii   ^_[]
297  0x00005460 0x10006060 5   7    .text   utf8    D$(Ǆ$ blocks=Basic Latin,Latin Extended-B
298  0x00005526 0x10006126 4   5    .text   ascii   D$Pf
299  0x00005595 0x10006195 4   5    .text   ascii   D$ \r
300  0x000055da 0x100061da 4   5    .text   ascii   [_^]
301  0x00005666 0x10006266 5   6    .text   ascii   D$tri
302  0x000056a7 0x100062a7 4   5    .text   ascii   T$7f
303  0x0000571a 0x1000631a 4   5    .text   ascii   D$\f@
304  0x0000578e 0x1000638e 4   5    .text   ascii   L$lf
305  0x00005793 0x10006393 4   5    .text   ascii   |$4f
306  0x000057ba 0x100063ba 4   6    .text   utf8    ˋM\bf blocks=Spacing Modifier Letters,Basic Latin
307  0x00005801 0x10006401 5   6    .text   ascii   7+t$t
308  0x00005845 0x10006445 6   7    .text   ascii   D$4f%p
309  0x00005857 0x10006457 8   10   .text   utf8    _[^]ËD$x blocks=Basic Latin,Latin-1 Supplement
310  0x00005867 0x10006467 4   6    .text   utf8    щL$| blocks=Cyrillic,Basic Latin
311  0x000058ce 0x100064ce 5   7    .text   utf8    ^]ÊD$ blocks=Basic Latin,Latin-1 Supplement
312  0x000058f1 0x100064f1 4   6    .text   utf8    щL$\f blocks=Cyrillic,Basic Latin
313  0x00005923 0x10006523 4   5    .text   ascii   L$ti
314  0x00005931 0x10006531 5   6    .text   ascii   D$drP
315  0x00005973 0x10006573 5   6    .text   ascii   D$t #
316  0x00005987 0x10006587 4   5    .text   ascii   D$rf
317  0x0000598c 0x1000658c 4   6    .text   utf8    ǋL$` blocks=Latin Extended-B,Basic Latin
318  0x0000599c 0x1000659c 4   5    .text   ascii   D$Df
319  0x000059a8 0x100065a8 4   6    .text   utf8    щL$T blocks=Cyrillic,Basic Latin
320  0x000059d3 0x100065d3 5   7    .text   utf8    ȉD$Lf blocks=Latin Extended-B,Basic Latin
321  0x000059da 0x100065da 8   10   .text   utf8    D$rkˋD$` blocks=Basic Latin,Spacing Modifier Letters
322  0x00005a2c 0x1000662c 5   7    .text   utf8    !\tD$t
323  0x00005a56 0x10006656 5   6    .text   ascii   %\aP\r7
324  0x00005a68 0x10006668 6   7    .text   ascii   D$d5rP
325  0x00005a6f 0x1000666f 5   6    .text   ascii   %9D$\
326  0x00005a90 0x10006690 5   7    .text   utf8    Vڊ\$\e blocks=Basic Latin,Arabic
327  0x00005aa3 0x100066a3 4   5    .text   ascii   D$h\n
328  0x00005b5e 0x1000675e 4   6    .text   utf8    VڋT$ blocks=Basic Latin,Arabic
329  0x00005b78 0x10006778 4   5    .text   ascii   \${9
330  0x00005b8b 0x1000678b 7   9    .text   utf8    _^[]øqP blocks=Basic Latin,Latin-1 Supplement
331  0x00005b94 0x10006794 9   10   .text   ascii   %+D$d9D$H
332  0x00005ba9 0x100067a9 4   5    .text   ascii   D$(f
333  0x00005bb7 0x100067b7 4   5    .text   ascii   T$8f
334  0x00005c1a 0x1000681a 5   6    .text   ascii   t$l;A
335  0x00005c3e 0x1000683e 4   6    .text   utf8    щL$h blocks=Cyrillic,Basic Latin
336  0x00005c94 0x10006894 4   6    .text   utf8    Ȉ\${ blocks=Latin Extended-B,Basic Latin
337  0x00005ca1 0x100068a1 5   6    .text   ascii   5u+k%
338  0x00005cda 0x100068da 4   6    .text   utf8    ȉD$X blocks=Latin Extended-B,Basic Latin
