[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000e0 0x000000e0 4   5            ascii   Rich
2    0x00000100 0x00000100 4   5            ascii   woHY
3    0x000001f0 0x000001f0 4   5            ascii   UPX0
4    0x00000218 0x00000218 4   5            ascii   UPX1
5    0x00000240 0x00000240 5   6            ascii   .rsrc
6    0x000003db 0x000003db 4   5            ascii   3.91
7    0x000003e0 0x000003e0 9   10           ascii   UPX!\r\t\b\b@
61   0x00000d7e 0x0044497e 4   5    UPX1    ascii   Sg<R
62   0x00000d84 0x00444984 5   6    UPX1    ascii   ^_RV(
63   0x00000d9a 0x0044499a 8   9    UPX1    ascii   \anH\fuNT\a
64   0x00000ddf 0x004449df 4   6    UPX1    utf8    vx|¡ blocks=Basic Latin,Latin-1 Supplement
65   0x00000e24 0x00444a24 4   5    UPX1    ascii   t\ti@
66   0x00000e50 0x00444a50 4   5    UPX1    ascii   9etZ
67   0x00000e5a 0x00444a5a 8   9    UPX1    ascii   @HPyI.\aH
68   0x00000e9f 0x00444a9f 4   5    UPX1    ascii   <Dx(
69   0x00000f0e 0x00444b0e 7   9    UPX1    utf8    ]\nv!B3́ blocks=Basic Latin,Combining Diacritical Marks
70   0x00000f56 0x00444b56 4   5    UPX1    ascii   ;|=G
71   0x00000f5e 0x00444b5e 7   8    UPX1    ascii   V0\eP_oV
72   0x00000f99 0x00444b99 4   5    UPX1    ascii   \aC]7
73   0x00000fac 0x00444bac 4   5    UPX1    ascii   L>\e~
74   0x00000ffc 0x00444bfc 4   5    UPX1    ascii   \fL\bJ
75   0x0000100a 0x00444c0a 6   7    UPX1    ascii   N\f4T";
76   0x0000105d 0x00444c5d 4   5    UPX1    ascii   ]\b${
77   0x000010a9 0x00444ca9 4   5    UPX1    ascii   X?^P
78   0x0000114e 0x00444d4e 6   7    UPX1    ascii   \tu#d>@
79   0x00001170 0x00444d70 4   6    UPX1    utf8    ]̆DH blocks=Basic Latin,Combining Diacritical Marks
80   0x0000118b 0x00444d8b 4   5    UPX1    ascii   \t;]x
81   0x000011a9 0x00444da9 5   6    UPX1    ascii   09G;<
82   0x000011f8 0x00444df8 4   6    UPX1    utf8    wpڊ\f blocks=Basic Latin,Arabic
83   0x00001233 0x00444e33 5   6    UPX1    ascii   )!R*/
84   0x00001251 0x00444e51 4   6    UPX1    utf8    \fWԋ\f blocks=Basic Latin,Cyrillic Supplement
85   0x00001301 0x00444f01 5   6    UPX1    ascii   ^exec
86   0x0000131b 0x00444f1b 4   5    UPX1    ascii   FOFz
87   0x00001337 0x00444f37 4   6    UPX1    utf8    žjSh blocks=Latin Extended-A,Basic Latin
88   0x000013ad 0x00444fad 6   7    UPX1    ascii   \$H6|\n
89   0x000013c6 0x00444fc6 11  12   UPX1    ascii   R:{JNrH|{2{
90   0x000013e1 0x00444fe1 4   5    UPX1    ascii   v\e5|
91   0x0000143b 0x0044503b 4   5    UPX1    ascii   d@^P
92   0x00001486 0x00445086 4   5    UPX1    ascii   \TB!
93   0x0000148e 0x0044508e 11  12   UPX1    ascii   Ey;a3w1`P\bX
94   0x0000149c 0x0044509c 6   7    UPX1    ascii   [dP0l\f
95   0x000014b0 0x004450b0 5   6    UPX1    ascii   \DP-D
96   0x000014de 0x004450de 4   5    UPX1    ascii   \\!<
97   0x0000150e 0x0044510e 4   5    UPX1    ascii   dj@%
98   0x0000151d 0x0044511d 4   5    UPX1    ascii   ~Ctt
99   0x0000152d 0x0044512d 8   9    UPX1    ascii   )eJlPSX*
100  0x00001538 0x00445138 5   7    UPX1    utf8    P"HÇL blocks=Basic Latin,Latin-1 Supplement
101  0x00001592 0x00445192 5   7    UPX1    utf8    wԃ|NF blocks=Basic Latin,Cyrillic Supplement
102  0x000015cf 0x004451cf 5   6    UPX1    ascii   \bDZi`
103  0x000015f7 0x004451f7 4   5    UPX1    ascii   curl
104  0x0000163b 0x0044523b 4   5    UPX1    ascii   ._4g
105  0x00001643 0x00445243 4   5    UPX1    ascii   k*8h
106  0x00001665 0x00445265 4   5    UPX1    ascii   TtX?
107  0x00001674 0x00445274 4   5    UPX1    ascii   dsh9
108  0x0000167c 0x0044527c 6   7    UPX1    ascii   Fv?l9p
109  0x00001689 0x00445289 7   8    UPX1    ascii   wvxmO|s
110  0x00001698 0x00445298 4   5    UPX1    ascii   QFR+
111  0x0000170c 0x0044530c 4   6    UPX1    utf8    9ց"\a blocks=Basic Latin,Armenian
112  0x00001743 0x00445343 4   5    UPX1    ascii   qemu
113  0x00001750 0x00445350 6   7    UPX1    ascii   irt&ua
114  0x00001757 0x00445357 6   8    UPX1    utf8    @vmwж; blocks=Basic Latin,Cyrillic
115  0x0000176d 0x0044536d 5   8    UPX1    utf8    uЩ؋N2 blocks=Basic Latin,Cyrillic,Arabic
116  0x00001797 0x00445397 4   5    UPX1    ascii   Chpd
117  0x0000179e 0x0044539e 6   7    UPX1    ascii   vo:q =
118  0x000017b5 0x004453b5 4   5    UPX1    ascii   t$V|
119  0x000017d7 0x004453d7 4   5    UPX1    ascii   \b.&u
120  0x000017f2 0x004453f2 7   9    UPX1    utf8    4\t[3ΒPE blocks=Basic Latin,Greek and Coptic
121  0x00001813 0x00445413 6   7    UPX1    ascii   ^gbA!C
122  0x0000181f 0x0044541f 6   7    UPX1    ascii   =~lhHP
123  0x00001847 0x00445447 5   6    UPX1    ascii   ,{QE6
124  0x00001889 0x00445489 4   6    UPX1    utf8    \r}Sئ blocks=Basic Latin,Arabic
125  0x000018ab 0x004454ab 4   5    UPX1    ascii   ^v\fs
126  0x000018fd 0x004454fd 4   5    UPX1    ascii   :?uy
127  0x00001917 0x00445517 7   9    UPX1    utf8    jb"'WVւ blocks=Basic Latin,Armenian
128  0x00001995 0x00445595 4   5    UPX1    ascii   tc(p
129  0x000019df 0x004455df 4   5    UPX1    ascii   |nao
130  0x000019f7 0x004455f7 8   10   UPX1    utf8    T\n]؏,\t[k blocks=Basic Latin,Arabic
131  0x00001a02 0x00445602 4   5    UPX1    ascii   /x-~
132  0x00001a07 0x00445607 4   5    UPX1    ascii   UO>|
133  0x00001a26 0x00445626 4   5    UPX1    ascii   Uv \a
134  0x00001a79 0x00445679 4   5    UPX1    ascii   >`\bT
135  0x00001acf 0x004456cf 4   5    UPX1    ascii   -lZt
136  0x00001b0f 0x0044570f 5   7    UPX1    utf8    hěp?\a blocks=Basic Latin,Latin Extended-A
137  0x00001b39 0x00445739 4   6    UPX1    utf8    Rı.l blocks=Basic Latin,Latin Extended-A
138  0x00001b60 0x00445760 4   5    UPX1    ascii   Rim.
139  0x00001bc2 0x004457c2 4   5    UPX1    ascii   j.\eX
140  0x00001c6b 0x0044586b 5   6    UPX1    ascii   gLt}E
141  0x00001ca7 0x004458a7 6   7    UPX1    ascii   2\\b4\f/
142  0x00001cae 0x004458ae 8   9    UPX1    ascii   =b^C"(Qb
143  0x00001cc7 0x004458c7 4   5    UPX1    ascii   hh}^
144  0x00001d2c 0x0044592c 4   6    UPX1    utf8    _Si߫ blocks=Basic Latin,NKo
145  0x00001d6e 0x0044596e 5   6    UPX1    ascii   MJ\fN,
146  0x00001d74 0x00445974 6   7    UPX1    ascii   \b:\vt\n+
147  0x00001dce 0x004459ce 4   5    UPX1    ascii   9\^[
148  0x00001de6 0x004459e6 4   5    UPX1    ascii   >W\a_
149  0x00001e18 0x00445a18 4   5    UPX1    ascii   \n6iF
150  0x00001e51 0x00445a51 4   5    UPX1    ascii   Qp?$
151  0x00001e7e 0x00445a7e 7   8    UPX1    ascii   N\vPRK\f%
152  0x00001f22 0x00445b22 5   6    UPX1    ascii   u_\b/,
153  0x00001f28 0x00445b28 5   6    UPX1    ascii   z?!K\
154  0x00001f2f 0x00445b2f 5   6    UPX1    ascii   1c-Yd
155  0x00001f64 0x00445b64 5   7    UPX1    utf8    r~ŋ7\ blocks=Basic Latin,Latin Extended-A
156  0x00001f74 0x00445b74 4   5    UPX1    ascii   zo\v
157  0x00001f80 0x00445b80 4   5    UPX1    ascii   \vHDL
158  0x00001fd6 0x00445bd6 4   5    UPX1    ascii   9\bt\r
159  0x00002006 0x00445c06 4   5    UPX1    ascii   5th{
160  0x0000201c 0x00445c1c 4   5    UPX1    ascii   ![{!
161  0x00002021 0x00445c21 5   6    UPX1    ascii   2t\a!Y
162  0x0000203f 0x00445c3f 4   7    UPX1    utf8    \nO㌠J blocks=Basic Latin,CJK Compatibility
163  0x0000206a 0x00445c6a 7   8    UPX1    ascii   /~|,\b{*
164  0x00002078 0x00445c78 5   6    UPX1    ascii   jwymY
165  0x0000207e 0x00445c7e 4   5    UPX1    ascii   MZZ9
166  0x000020bc 0x00445cbc 5   6    UPX1    ascii   s5R\bj
167  0x000020c4 0x00445cc4 4   5    UPX1    ascii   Y lg
168  0x000020e3 0x00445ce3 10  12   UPX1    utf8    άfvRy\bnw;C blocks=Greek and Coptic,Basic Latin
169  0x000020fb 0x00445cfb 6   7    UPX1    ascii   GN\aPG{
170  0x0000210b 0x00445d0b 5   7    UPX1    utf8    5\f\u܂ blocks=Basic Latin,Syriac
171  0x00002127 0x00445d27 4   5    UPX1    ascii   i'YY
172  0x00002139 0x00445d39 5   6    UPX1    ascii   _oB(\f
173  0x00002147 0x00445d47 4   5    UPX1    ascii   :mqu
174  0x00002166 0x00445d66 9   10   UPX1    ascii   \b>Y~!;\r^H
175  0x00002182 0x00445d82 4   5    UPX1    ascii   m~[G
176  0x0000219e 0x00445d9e 4   5    UPX1    ascii   9u\fr
177  0x000021ae 0x00445dae 6   7    UPX1    ascii   u Ukn\t
178  0x0000220b 0x00445e0b 7   11   UPX1    utf8    Ǉ"뺟w7a% blocks=Latin Extended-B,Basic Latin,Hangul Syllables
179  0x0000224a 0x00445e4a 4   5    UPX1    ascii   X0\tX
180  0x00002254 0x00445e54 4   6    UPX1    utf8    ޏ(l` blocks=Thaana,Basic Latin
181  0x0000227b 0x00445e7b 4   5    UPX1    ascii   \vX}"
182  0x00002281 0x00445e81 5   6    UPX1    ascii   =2\f~{
183  0x00002362 0x00445f62 4   5    UPX1    ascii   (\b\bX
184  0x00002367 0x00445f67 4   5    UPX1    ascii   ,\bj\a
185  0x0000236e 0x00445f6e 4   5    UPX1    ascii   }tc<
186  0x00002385 0x00445f85 4   5    UPX1    ascii   F (U
187  0x000023be 0x00445fbe 9   10   UPX1    ascii   2!\ar\b\b\bj7
188  0x00002432 0x00446032 4   6    UPX1    utf8    D̐\b\ blocks=Basic Latin,Combining Diacritical Marks
189  0x00002458 0x00446058 4   5    UPX1    ascii   WRY`
190  0x00002463 0x00446063 5   6    UPX1    ascii   *M9KG
191  0x0000246f 0x0044606f 4   5    UPX1    ascii   ^@\f/
192  0x000024b7 0x004460b7 5   7    UPX1    utf8    \f^_ÐC blocks=Basic Latin,Latin-1 Supplement
193  0x000024e0 0x004460e0 4   5    UPX1    ascii   Cq?l
194  0x000024ee 0x004460ee 4   5    UPX1    ascii   ##+E
195  0x0000251f 0x0044611f 4   5    UPX1    ascii   OHgZ
196  0x00002550 0x00446150 6   7    UPX1    ascii   \f\f\b\bs\b
197  0x00002573 0x00446173 5   6    UPX1    ascii   'wVC/
198  0x000025ad 0x004461ad 6   7    UPX1    ascii   f@\bnPv
199  0x000025b7 0x004461b7 6   7    UPX1    ascii   `~p0g&
200  0x00002637 0x00446237 4   5    UPX1    ascii   [S8R
201  0x0000265b 0x0044625b 4   5    UPX1    ascii   t2+u
202  0x000026cd 0x004462cd 4   5    UPX1    ascii   YwfF
203  0x000026d4 0x004462d4 4   5    UPX1    ascii   A\tP8
204  0x00002728 0x00446328 6   9    UPX1    utf8    \f0Ɠgڨo blocks=Basic Latin,Latin Extended-B,Arabic
205  0x00002737 0x00446337 4   5    UPX1    ascii   J\aY4
206  0x00002743 0x00446343 4   7    UPX1    utf8    K,[ѷ blocks=Basic Latin,Cyrillic
207  0x000027d2 0x004463d2 4   5    UPX1    ascii   :1@#
208  0x000027e3 0x004463e3 5   7    UPX1    utf8    ЉVpJl blocks=Cyrillic,Basic Latin
209  0x00002815 0x00446415 4   5    UPX1    ascii   N\b=A
210  0x00002848 0x00446448 4   5    UPX1    ascii   X\t-~
211  0x00002856 0x00446456 4   5    UPX1    ascii   _C'y
212  0x000028a8 0x004464a8 10  11   UPX1    ascii   \v*DjGKZ|Y\v
213  0x00002915 0x00446515 4   5    UPX1    ascii   %V[&
214  0x00002926 0x00446526 7   9    UPX1    utf8    Qׇ+ SW3 blocks=Basic Latin,Hebrew
215  0x00002933 0x00446533 4   5    UPX1    ascii   j\aVY
216  0x00002949 0x00446549 5   6    UPX1    ascii   Vd\vSA
217  0x0000295f 0x0044655f 5   7    UPX1    utf8    Bݴ\egc blocks=Basic Latin,Arabic Supplement
218  0x0000299a 0x0044659a 5   6    UPX1    ascii   <3Yh\t
219  0x00002a6a 0x0044666a 5   6    UPX1    ascii   WSV'`
220  0x00002b00 0x00446700 6   8    UPX1    utf8    u9#ڙ/\n blocks=Basic Latin,Arabic
221  0x00002b32 0x00446732 5   7    UPX1    utf8    H^[_Û blocks=Basic Latin,Latin-1 Supplement
222  0x00002b5e 0x0044675e 5   6    UPX1    ascii   Kt\t \a
223  0x00002b6c 0x0044676c 5   6    UPX1    ascii   |\v&xv
224  0x00002be0 0x004467e0 5   6    UPX1    ascii   \nnjP 
225  0x00002c5b 0x0044685b 4   5    UPX1    ascii   nNua
226  0x00002c72 0x00446872 4   5    UPX1    ascii   [2-l
227  0x00002c8c 0x0044688c 4   5    UPX1    ascii   dp\bl
228  0x00002caa 0x004468aa 6   8    UPX1    utf8    ~xhWܜ, blocks=Basic Latin,Syriac
229  0x00002d30 0x00446930 6   7    UPX1    ascii   %TUYg+
230  0x00002d85 0x00446985 4   6    UPX1    utf8    Hu܍M blocks=Basic Latin,Syriac
231  0x00002d9e 0x0044699e 5   7    UPX1    utf8    m\rל$\n blocks=Basic Latin,Hebrew
232  0x00002dbf 0x004469bf 4   5    UPX1    ascii   @gUd
233  0x00002e16 0x00446a16 4   5    UPX1    ascii   SW\bC
234  0x00002e23 0x00446a23 4   5    UPX1    ascii   G3V&
235  0x00002ea7 0x00446aa7 5   6    UPX1    ascii   +hD];
236  0x00002ead 0x00446aad 6   8    UPX1    utf8    r^+ݠIT blocks=Basic Latin,Arabic Supplement
237  0x00002ed2 0x00446ad2 5   6    UPX1    ascii   YP?x\n
238  0x00002f1b 0x00446b1b 4   5    UPX1    ascii   N\f +
239  0x00002f2b 0x00446b2b 7   9    UPX1    utf8    \fˎ\b\\nt$ blocks=Basic Latin,Spacing Modifier Letters
240  0x00002f64 0x00446b64 4   5    UPX1    ascii   !\v`E
241  0x00003018 0x00446c18 4   6    UPX1    utf8    \tM0^
242  0x0000304f 0x00446c4f 4   5    UPX1    ascii   :`k^
243  0x0000307e 0x00446c7e 4   5    UPX1    ascii   ^|G|
244  0x00003086 0x00446c86 4   5    UPX1    ascii   )jNz
245  0x000030ac 0x00446cac 4   5    UPX1    ascii   dW\rv
246  0x000030d9 0x00446cd9 5   6    UPX1    ascii   \rq?xD
247  0x0000315f 0x00446d5f 4   6    UPX1    utf8    uvrݣ blocks=Basic Latin,Arabic Supplement
248  0x00003167 0x00446d67 4   5    UPX1    ascii   0Ke=
249  0x00003180 0x00446d80 5   8    UPX1    utf8    ܴJSpC blocks=Syriac,Basic Latin
250  0x000031a3 0x00446da3 4   5    UPX1    ascii   (gL\
251  0x000031cd 0x00446dcd 6   7    UPX1    ascii   +F:|u\r
252  0x0000320d 0x00446e0d 4   6    UPX1    utf8    T`]x
253  0x00003255 0x00446e55 7   8    UPX1    ascii   <tld\T[
254  0x00003272 0x00446e72 4   6    UPX1    utf8    a4הC blocks=Basic Latin,Hebrew
255  0x0000328c 0x00446e8c 4   5    UPX1    ascii   a4a4
256  0x000032b6 0x00446eb6 5   6    UPX1    ascii   OTzPa
257  0x000032cc 0x00446ecc 4   5    UPX1    ascii   YN!u
258  0x000032da 0x00446eda 4   5    UPX1    ascii   U&Y*
259  0x000032e8 0x00446ee8 4   5    UPX1    ascii   r2($
260  0x0000330e 0x00446f0e 4   7    UPX1    utf8    ͺ؞\bY blocks=Greek and Coptic,Arabic,Basic Latin
261  0x00003320 0x00446f20 4   5    UPX1    ascii   _^H\r
262  0x0000332d 0x00446f2d 4   5    UPX1    ascii   8@b@
263  0x00003337 0x00446f37 7   8    UPX1    ascii   @,\f\bt\aN
264  0x0000334a 0x00446f4a 4   5    UPX1    ascii   )`'4
265  0x0000335a 0x00446f5a 4   5    UPX1    ascii   \f+dH
266  0x0000336c 0x00446f6c 4   5    UPX1    ascii   P\b#a
267  0x00003373 0x00446f73 4   5    UPX1    ascii   %z3a
268  0x0000337a 0x00446f7a 4   5    UPX1    ascii   bN\b3
269  0x0000338a 0x00446f8a 5   6    UPX1    ascii   \ejp*v
270  0x00003397 0x00446f97 6   7    UPX1    ascii   GSbEHU
271  0x0000342f 0x0044702f 4   5    UPX1    ascii   ,D-R
272  0x0000345b 0x0044705b 4   5    UPX1    ascii   f5Sp
273  0x000034cc 0x004470cc 6   7    UPX1    ascii   wh+B|S
274  0x00003500 0x00447100 4   5    UPX1    ascii   ;\n\b~
275  0x0000351d 0x0044711d 4   5    UPX1    ascii   ;x\fw
276  0x0000353c 0x0044713c 6   7    UPX1    ascii   C0C\b+m
277  0x00003543 0x00447143 4   7    UPX1    utf8    сѢcz blocks=Cyrillic,Basic Latin
278  0x00003590 0x00447190 7   8    UPX1    ascii   =g'V;-u
279  0x000035e4 0x004471e4 8   10   UPX1    utf8    gblؠ\nL]O blocks=Basic Latin,Arabic
280  0x000035f3 0x004471f3 4   5    UPX1    ascii   R`GH
281  0x000035fd 0x004471fd 4   5    UPX1    ascii   [hq\a
282  0x00003650 0x00447250 5   6    UPX1    ascii   \nzt-W
283  0x00003661 0x00447261 5   6    UPX1    ascii   CVm6$
284  0x00003696 0x00447296 4   5    UPX1    ascii   8csm
285  0x000036ad 0x004472ad 5   6    UPX1    ascii   t\e=!\r
286  0x000036bd 0x004472bd 4   6    UPX1    utf8    6ƭ%\b blocks=Basic Latin,Latin Extended-B
287  0x000036d9 0x004472d9 5   6    UPX1    ascii   EtV\?
288  0x00003717 0x00447317 4   5    UPX1    ascii   0zfH
289  0x0000371d 0x0044731d 5   6    UPX1    ascii   >^`,!
290  0x00003728 0x00447328 4   5    UPX1    ascii   6mox
291  0x00003734 0x00447334 4   5    UPX1    ascii   jd\aB
292  0x00003744 0x00447344 5   7    UPX1    utf8    \f\v~dJ
293  0x0000374c 0x0044734c 4   5    UPX1    ascii   :sFd
294  0x0000375c 0x0044735c 4   5    UPX1    ascii   Fqu 
295  0x00003774 0x00447374 4   5    UPX1    ascii   2HS1
296  0x0000378b 0x0044738b 6   8    UPX1    utf8    vdjzҤ8 blocks=Basic Latin,Cyrillic
297  0x000037a6 0x004473a6 4   5    UPX1    ascii   S$\bH
298  0x000037ba 0x004473ba 4   5    UPX1    ascii   ,,44
299  0x000037c1 0x004473c1 5   6    UPX1    ascii   A<<@2
300  0x000037c9 0x004473c9 4   5    UPX1    ascii   @DDH
301  0x000037d3 0x004473d3 7   8    UPX1    ascii   ~\b(#\\r
302  0x00003807 0x00447407 4   5    UPX1    ascii   vl#Q
303  0x0000380d 0x0044740d 4   5    UPX1    ascii   Y;=F
304  0x00003819 0x00447419 5   7    UPX1    utf8    ; ?׃? blocks=Basic Latin,Hebrew
305  0x0000384f 0x0044744f 8   9    UPX1    ascii   W{\vLYNGh
306  0x0000385f 0x0044745f 6   7    UPX1    ascii   $&t3VQ
307  0x00003880 0x00447480 4   5    UPX1    ascii   \f/13
308  0x00003897 0x00447497 7   8    UPX1    ascii   GP~pjCX
309  0x000038a8 0x004474a8 5   6    UPX1    ascii   kphHh
310  0x0000391b 0x0044751b 4   5    UPX1    ascii   _3_(
311  0x00003922 0x00447522 5   6    UPX1    ascii   V9]\bu
312  0x00003928 0x00447528 5   6    UPX1    ascii   qDn+;
313  0x00003934 0x00447534 4   6    UPX1    utf8    Kn\rӀ blocks=Basic Latin,Cyrillic
314  0x0000393f 0x0044753f 4   5    UPX1    ascii   nCxj
315  0x00003955 0x00447555 5   6    UPX1    ascii   A\r00K
316  0x0000398d 0x0044758d 5   6    UPX1    ascii   #@T\vW
317  0x000039ce 0x004475ce 8   10   UPX1    utf8    $y˝:RT\t8 blocks=Basic Latin,Spacing Modifier Letters
318  0x000039e4 0x004475e4 5   7    UPX1    utf8    zxȽn| blocks=Basic Latin,Latin Extended-B
319  0x00003a14 0x00447614 4   5    UPX1    ascii   \eZ\bn
320  0x00003a1a 0x0044761a 4   5    UPX1    ascii   G&V5
321  0x00003a37 0x00447637 4   5    UPX1    ascii   S*^\r
322  0x00003a5d 0x0044765d 4   6    UPX1    utf8    3Rxږ blocks=Basic Latin,Arabic
323  0x00003a7f 0x0044767f 4   6    UPX1    utf8    Ȝ"\rJ blocks=Latin Extended-B,Basic Latin
324  0x00003ae3 0x004476e3 7   8    UPX1    ascii   T:!pl\ve
325  0x00003b2d 0x0044772d 4   5    UPX1    ascii   \a\;\f
326  0x00003b36 0x00447736 4   5    UPX1    ascii   m8Z@
327  0x00003b55 0x00447755 4   5    UPX1    ascii   y>S\
328  0x00003b5a 0x0044775a 4   5    UPX1    ascii   i+\r"
329  0x00003ba1 0x004477a1 4   5    UPX1    ascii   VAyu
330  0x00003bad 0x004477ad 7   8    UPX1    ascii   ?@*<v5!
331  0x00003bde 0x004477de 10  11   UPX1    ascii   _{_~W7-u{h
332  0x00003bfb 0x004477fb 4   5    UPX1    ascii   "QHI
333  0x00003c16 0x00447816 4   5    UPX1    ascii   Ot\tA
334  0x00003c59 0x00447859 7   8    UPX1    ascii   h DE\QP
335  0x00003c85 0x00447885 4   5    UPX1    ascii   _P U
336  0x00003c91 0x00447891 6   7    UPX1    ascii   @j _WY
337  0x00003ccf 0x004478cf 6   7    UPX1    ascii   .%\n\n(8
338  0x00003d13 0x00447913 9   10   UPX1    ascii   9\r\a} z)\t,
339  0x00003d4a 0x0044794a 5   6    UPX1    ascii   QPN~@
340  0x00003d7c 0x0044797c 5   6    UPX1    ascii   F\bv71
341  0x00003d9d 0x0044799d 7   8    UPX1    ascii   }$\ngpjm
342  0x00003e2a 0x00447a2a 5   6    UPX1    ascii   %C"ut
343  0x00003e30 0x00447a30 5   6    UPX1    ascii   vI U:
344  0x00003e53 0x00447a53 4   5    UPX1    ascii   AXKG
345  0x00003e76 0x00447a76 4   5    UPX1    ascii   lsK\f
346  0x00003eb2 0x00447ab2 4   5    UPX1    ascii   QF)X
347  0x00003ece 0x00447ace 5   6    UPX1    ascii   ^@\f\b 
348  0x00003f38 0x00447b38 5   6    UPX1    ascii   S))tu
349  0x00003f48 0x00447b48 4   5    UPX1    ascii   ZC@t
350  0x00003f51 0x00447b51 5   6    UPX1    ascii   o4Xu;
351  0x00003f71 0x00447b71 7   8    UPX1    ascii   &K\f>Np>
