[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000000 0x00000000 4   5            ascii   MZER
1    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
2    0x000000a7 0x000000a7 6   7            ascii   uRichY
3    0x000001b0 0x000001b0 5   6            ascii   .text
329  0x00007ea9 0x00407ea9 4   5    .text   ascii   RSPV
330  0x00007f4a 0x00407f4a 4   5    .text   ascii   Qh!i
331  0x00007f69 0x00407f69 4   5    .text   ascii   PSQV
332  0x00007fa4 0x00407fa4 4   5    .text   ascii   U\fSj
333  0x00007fd7 0x00407fd7 5   6    .text   ascii   M\bSVW
334  0x00008079 0x00408079 5   6    .text   ascii   u\f8\0
335  0x000080ac 0x004080ac 5   6    .text   ascii   <>AuJ
336  0x000080c9 0x004080c9 5   6    .text   ascii   u\f8\0
337  0x000080fc 0x004080fc 5   6    .text   ascii   <>BuJ
338  0x00008119 0x00408119 5   6    .text   ascii   u\f8\0
339  0x0000814c 0x0040814c 5   6    .text   ascii   <>CuJ
340  0x00008169 0x00408169 5   6    .text   ascii   u\f8\0
341  0x0000819c 0x0040819c 5   6    .text   ascii   <>DuG
342  0x000081b9 0x004081b9 5   6    .text   ascii   u\f8\0
343  0x000082e1 0x004082e1 5   6    .text   ascii   M\bQWV
344  0x0000839d 0x0040839d 4   5    .text   ascii   Pj|V
345  0x00008449 0x00408449 4   5    .text   ascii   SVW3
346  0x000088a9 0x004088a9 4   6    .text   utf8    v!3Ʌ blocks=Basic Latin,Latin Extended-B
347  0x0000898a 0x0040898a 5   6    .text   ascii   jcjjV
348  0x000089ae 0x004089ae 8   9    .text   ascii   Rj\bjsjkV
349  0x000089d5 0x004089d5 8   9    .text   ascii   Pj\bjnjlV
350  0x000089fc 0x004089fc 8   9    .text   ascii   Qj\bjxjmV
351  0x00008a22 0x00408a22 5   6    .text   ascii   jcjnV
352  0x00008a42 0x00408a42 8   9    .text   ascii   Pj\njwjoV
353  0x00008a65 0x00408a65 8   9    .text   ascii   Qj\njxjpV
354  0x00008ab3 0x00408ab3 4   5    .text   ascii   SVWj
355  0x00008ad2 0x00408ad2 10  11   .text   ascii   G(Pj\bj\jcV
356  0x00008af6 0x00408af6 10  11   .text   ascii   O(Qj\fj\jdV
357  0x00008b1a 0x00408b1a 10  11   .text   ascii   W(Rj\bj\jeV
358  0x00008b3e 0x00408b3e 10  11   .text   ascii   G(Pj\tj\jfV
359  0x00008b62 0x00408b62 10  11   .text   ascii   O(Qj\bj\jgV
360  0x00008b82 0x00408b82 10  11   .text   ascii   W(Rj\tj\jhV
361  0x00008ba2 0x00408ba2 4   5    .text   ascii   G(Pj
362  0x00008ba7 0x00408ba7 5   6    .text   ascii   j\jiV
363  0x00008bdc 0x00408bdc 4   5    .text   ascii   F4_^
364  0x00008be5 0x00408be5 4   6    .text   utf8    []ËN blocks=Basic Latin,Latin-1 Supplement
365  0x00008c0b 0x00408c0b 4   6    .text   utf8    1+IE
366  0x00008d1d 0x00408d1d 4   6    .text   utf8    rыu\b blocks=Basic Latin,Cyrillic
367  0x00008d48 0x00408d48 4   5    .text   ascii   t\nPV
368  0x00008dc9 0x00408dc9 5   8    .text   utf8    E݈E߉E blocks=Basic Latin,Syriac,NKo
369  0x00008ddf 0x00408ddf 4   7    .text   utf8    EňEǍ blocks=Basic Latin,Latin Extended-A,Latin Extended-B
370  0x00008e96 0x00408e96 5   6    .text   ascii   www.u
371  0x00008fa5 0x00408fa5 4   6    .text   utf8    1+IE
372  0x00008fca 0x00408fca 4   5    .text   ascii   m3qt
373  0x00009020 0x00409020 5   7    .text   utf8    \f]ê(- blocks=Basic Latin,Latin-1 Supplement
374  0x00009037 0x00409037 4   5    .text   ascii   M\bPQ
375  0x0000905d 0x0040905d 4   5    .text   ascii   FHWP
376  0x00009072 0x00409072 4   5    .text   ascii   FHPS
377  0x00009080 0x00409080 4   5    .text   ascii   VUR3
378  0x000090a0 0x004090a0 4   6    .text   utf8    ^[]Ú blocks=Basic Latin,Latin-1 Supplement
379  0x0000918d 0x0040918d 4   5    .text   ascii   F~^U
380  0x00009194 0x00409194 6   8    .text   utf8    U\bVW3ɿ blocks=Basic Latin,IPA Extensions
381  0x00009244 0x00409244 5   7    .text   utf8    E\b3ɉH blocks=Basic Latin,Latin Extended-B
382  0x00009266 0x00409266 5   6    .text   ascii   @\fvT2
383  0x0000928c 0x0040928c 6   8    .text   utf8    u\bW3ɍF blocks=Basic Latin,Latin Extended-B
384  0x00009353 0x00409353 4   5    .text   ascii   3\b3X
385  0x00009370 0x00409370 5   6    .text   ascii   H 3X\b
386  0x00009742 0x00409742 4   7    .text   utf8    bʋI] blocks=Basic Latin,IPA Extensions
387  0x000097ed 0x004097ed 4   5    .text   ascii   F\~A
388  0x0000981c 0x0040981c 5   6    .text   ascii   9N\}-
389  0x00009829 0x00409829 6   7    .text   ascii   ~\9N\|
390  0x0000988f 0x0040988f 4   5    .text   ascii   _^[]
391  0x0000989a 0x0040989a 4   6    .text   utf8    6s:]
392  0x000098c8 0x004098c8 8   10   .text   utf8    _^]ôz\t$U blocks=Basic Latin,Latin-1 Supplement
393  0x0000990a 0x0040990a 4   5    .text   ascii   E\bSV
394  0x0000991a 0x0040991a 4   5    .text   ascii   ABCD
395  0x00009921 0x00409921 4   5    .text   ascii   EFGH
396  0x00009928 0x00409928 4   5    .text   ascii   IJKL
397  0x0000992f 0x0040992f 4   5    .text   ascii   MNOP
398  0x00009936 0x00409936 4   5    .text   ascii   QRST
399  0x0000993d 0x0040993d 4   5    .text   ascii   UVWX
400  0x00009944 0x00409944 4   5    .text   ascii   YZab
401  0x0000994b 0x0040994b 4   5    .text   ascii   cdef
402  0x00009952 0x00409952 4   5    .text   ascii   ghij
403  0x00009959 0x00409959 4   5    .text   ascii   klmn
404  0x00009960 0x00409960 4   5    .text   ascii   opqr
405  0x00009967 0x00409967 4   5    .text   ascii   stuv
406  0x0000996e 0x0040996e 4   5    .text   ascii   wxyz
407  0x00009975 0x00409975 4   5    .text   ascii   0123
408  0x0000997c 0x0040997c 4   5    .text   ascii   4567
409  0x00009983 0x00409983 4   5    .text   ascii   89+/
410  0x00009a57 0x00409a57 7   8    .text   ascii   +E\b_^@[
411  0x00009a68 0x00409a68 5   6    .text   ascii   U:\e=8
412  0x00009a7a 0x00409a7a 4   6    .text   utf8    M\fVǅ blocks=Basic Latin,Latin Extended-B
413  0x00009a83 0x00409a83 5   7    .text   utf8    @@@@ǅ blocks=Basic Latin,Latin Extended-B
414  0x00009a8d 0x00409a8d 6   8    .text   utf8    @@@@ǅ\b blocks=Basic Latin,Latin Extended-B
415  0x00009a97 0x00409a97 6   8    .text   utf8    @@@@ǅ\f blocks=Basic Latin,Latin Extended-B
416  0x00009aa1 0x00409aa1 5   7    .text   utf8    @@@@ǅ blocks=Basic Latin,Latin Extended-B
417  0x00009aab 0x00409aab 5   7    .text   utf8    @@@@ǅ blocks=Basic Latin,Latin Extended-B
418  0x00009ab5 0x00409ab5 5   7    .text   utf8    @@@@ǅ blocks=Basic Latin,Latin Extended-B
419  0x00009abf 0x00409abf 5   7    .text   utf8    @@@@ǅ blocks=Basic Latin,Latin Extended-B
420  0x00009ac9 0x00409ac9 6   8    .text   utf8    @@@@ǅ  blocks=Basic Latin,Latin Extended-B
421  0x00009ad3 0x00409ad3 6   8    .text   utf8    @@@@ǅ$ blocks=Basic Latin,Latin Extended-B
422  0x00009add 0x00409add 6   8    .text   utf8    @@@@ǅ( blocks=Basic Latin,Latin Extended-B
423  0x00009ae7 0x00409ae7 4   5    .text   ascii   @@@>
424  0x00009af3 0x00409af3 6   8    .text   utf8    @@@?ǅ0 blocks=Basic Latin,Latin Extended-B
425  0x00009afd 0x00409afd 6   8    .text   utf8    4567ǅ4 blocks=Basic Latin,Latin Extended-B
426  0x00009b07 0x00409b07 6   8    .text   utf8    89:;ǅ8 blocks=Basic Latin,Latin Extended-B
427  0x00009b11 0x00409b11 6   8    .text   utf8    <=@@ǅ< blocks=Basic Latin,Latin Extended-B
428  0x00009b1b 0x00409b1b 6   8    .text   utf8    @@@@ǅ@ blocks=Basic Latin,Latin Extended-B
429  0x00009b39 0x00409b39 6   8    .text   utf8    \a\b\t\nǅL blocks=Basic Latin,Latin Extended-B
430  0x00009b6b 0x00409b6b 6   8    .text   utf8    @@@@ǅ` blocks=Basic Latin,Latin Extended-B
431  0x00009b89 0x00409b89 6   8    .text   utf8    !"#$ǅl blocks=Basic Latin,Latin Extended-B
432  0x00009b93 0x00409b93 6   8    .text   utf8    %&'(ǅp blocks=Basic Latin,Latin Extended-B
433  0x00009b9d 0x00409b9d 6   8    .text   utf8    )*+,ǅt blocks=Basic Latin,Latin Extended-B
434  0x00009ba7 0x00409ba7 6   8    .text   utf8    -./0ǅx blocks=Basic Latin,Latin Extended-B
435  0x00009bb1 0x00409bb1 6   8    .text   utf8    123@ǅ| blocks=Basic Latin,Latin Extended-B
436  0x00009bbb 0x00409bbb 4   5    .text   ascii   @@@@
437  0x00009bc2 0x00409bc2 4   5    .text   ascii   @@@@
438  0x00009bc9 0x00409bc9 4   5    .text   ascii   @@@@
439  0x00009bd0 0x00409bd0 4   5    .text   ascii   @@@@
440  0x00009bd7 0x00409bd7 4   5    .text   ascii   @@@@
441  0x00009bde 0x00409bde 4   5    .text   ascii   @@@@
442  0x00009be5 0x00409be5 4   5    .text   ascii   @@@@
443  0x00009bec 0x00409bec 4   5    .text   ascii   @@@@
444  0x00009bf3 0x00409bf3 4   5    .text   ascii   @@@@
445  0x00009bfa 0x00409bfa 4   5    .text   ascii   @@@@
446  0x00009c01 0x00409c01 4   5    .text   ascii   @@@@
447  0x00009c08 0x00409c08 4   5    .text   ascii   @@@@
448  0x00009c0f 0x00409c0f 4   5    .text   ascii   @@@@
449  0x00009c16 0x00409c16 4   5    .text   ascii   @@@@
450  0x00009c1d 0x00409c1d 4   5    .text   ascii   @@@@
451  0x00009c24 0x00409c24 4   5    .text   ascii   @@@@
452  0x00009c2b 0x00409c2b 4   5    .text   ascii   @@@@
453  0x00009c32 0x00409c32 4   5    .text   ascii   @@@@
454  0x00009c39 0x00409c39 4   5    .text   ascii   @@@@
455  0x00009c40 0x00409c40 4   5    .text   ascii   @@@@
456  0x00009c47 0x00409c47 4   5    .text   ascii   @@@@
457  0x00009c4e 0x00409c4e 4   5    .text   ascii   @@@@
458  0x00009c55 0x00409c55 4   5    .text   ascii   @@@@
459  0x00009c5c 0x00409c5c 4   5    .text   ascii   @@@@
460  0x00009c63 0x00409c63 4   5    .text   ascii   @@@@
461  0x00009c6a 0x00409c6a 4   5    .text   ascii   @@@@
462  0x00009c71 0x00409c71 4   5    .text   ascii   @@@@
463  0x00009c78 0x00409c78 4   5    .text   ascii   @@@@
464  0x00009c7f 0x00409c7f 4   5    .text   ascii   @@@@
465  0x00009c86 0x00409c86 4   5    .text   ascii   @@@@
466  0x00009c8d 0x00409c8d 4   5    .text   ascii   @@@@
467  0x00009c94 0x00409c94 4   5    .text   ascii   @@@@
468  0x00009c9b 0x00409c9b 4   5    .text   ascii   @@@@
469  0x00009cb0 0x00409cb0 5   7    .text   utf8    u\b+Mx
470  0x00009e35 0x00409e35 4   6    .text   utf8    u\f3Ʌ blocks=Basic Latin,Latin Extended-B
471  0x00009e43 0x00409e43 11  12   .text   ascii   <+t\f</t\b<=t
472  0x00009e70 0x00409e70 6   8    .text   utf8    3ɸgfff blocks=Basic Latin,IPA Extensions
473  0x00009f04 0x00409f04 5   6    .text   ascii   9E\fvx
474  0x00009f75 0x00409f75 4   6    .text   utf8    2ʈL8 blocks=Basic Latin,IPA Extensions
475  0x00009f7b 0x00409f7b 4   5    .text   ascii   ;E\fr
476  0x00009f9f 0x00409f9f 5   7    .text   utf8    ^]Ã~` blocks=Basic Latin,Latin-1 Supplement
477  0x00009fd7 0x00409fd7 4   5    .text   ascii   uKSW
478  0x00009ffd 0x00409ffd 4   5    .text   ascii   F\u\b
479  0x0000a00b 0x0040a00b 4   5    .text   ascii   @u\tV
480  0x0000a01f 0x0040a01f 4   5    .text   ascii   _[^]
481  0x0000a0af 0x0040a0af 9   12   .text   utf8    _^]ÃΜS34B blocks=Basic Latin,Latin-1 Supplement,Greek and Coptic
482  0x0000a234 0x0040a234 5   6    .text   ascii   \t\a;F
483  0x0000a2ea 0x0040a2ea 5   7    .text   utf8    ]ËE\bj blocks=Basic Latin,Latin-1 Supplement
484  0x0000a3f9 0x0040a3f9 5   6    .text   ascii   Q8,DP
485  0x0000a47b 0x0040a47b 4   5    .text   ascii   E\fVP
486  0x0000a50f 0x0040a50f 4   5    .text   ascii   ]\bVW
487  0x0000a538 0x0040a538 4   5    .text   ascii   E\fVP
488  0x0000a619 0x0040a619 4   5    .text   ascii   SVW3
489  0x0000a72c 0x0040a72c 4   5    .text   ascii   E\f_3
490  0x0000a739 0x0040a739 5   7    .text   utf8    ]ËU\f3 blocks=Basic Latin,Latin-1 Supplement
491  0x0000a74b 0x0040a74b 4   5    .text   ascii   T}SR
492  0x0000a759 0x0040a759 4   5    .text   ascii   SVWh
493  0x0000a7c0 0x0040a7c0 4   5    .text   ascii   </t\f
494  0x0000a896 0x0040a896 6   8    .text   utf8    rȋE\f_3 blocks=Basic Latin,Latin Extended-B
495  0x0000a8a6 0x0040a8a6 6   8    .text   utf8    ]ËU\f_3 blocks=Basic Latin,Latin-1 Supplement
496  0x0000a8cb 0x0040a8cb 4   5    .text   ascii   u\fWj
497  0x0000a98e 0x0040a98e 5   7    .text   utf8    SV3ۉE blocks=Basic Latin,Arabic
498  0x0000aa24 0x0040aa24 5   6    .text   ascii   DESTf
499  0x0000aa47 0x0040aa47 6   9    .text   utf8    Mċ}ċM\f blocks=Basic Latin,Latin Extended-A
500  0x0000aa83 0x0040aa83 5   8    .text   utf8    Eċ}čE blocks=Basic Latin,Latin Extended-A
501  0x0000ab56 0x0040ab56 5   8    .text   utf8    Uċ}ĉ8 blocks=Basic Latin,Latin Extended-A
502  0x0000ab6c 0x0040ab6c 4   6    .text   utf8    UЉP\f blocks=Basic Latin,Cyrillic
503  0x0000adb4 0x0040adb4 4   5    .text   ascii   j@Sj
504  0x0000adcc 0x0040adcc 4   5    .text   ascii   RPQV
505  0x0000aeaf 0x0040aeaf 4   5    .text   ascii   j@Sj
506  0x0000aec7 0x0040aec7 4   5    .text   ascii   RPQV
507  0x0000afa2 0x0040afa2 5   6    .text   ascii   M\fj@j
508  0x0000b03d 0x0040b03d 4   5    .text   ascii   M\bPQ
509  0x0000b05c 0x0040b05c 4   6    .text   utf8    +Ƌu\b blocks=Basic Latin,Latin Extended-B
510  0x0000b16d 0x0040b16d 4   7    .text   utf8    M쉏(\n blocks=Basic Latin,Hangul Syllables
511  0x0000b1ae 0x0040b1ae 4   5    .text   ascii   }\bPj
512  0x0000b1e1 0x0040b1e1 5   6    .text   ascii   QRPVW
513  0x0000b284 0x0040b284 4   5    .text   ascii   U\bRV
514  0x0000b29d 0x0040b29d 7   11   .text   utf8    ]ԉ]܉]؉] blocks=Basic Latin,Cyrillic Supplement,Syriac,Arabic
515  0x0000b2c8 0x0040b2c8 4   5    .text   ascii   M\bSj
516  0x0000b326 0x0040b326 4   5    .text   ascii   PQRV
517  0x0000b34d 0x0040b34d 4   5    .text   ascii   U\bRV
518  0x0000b360 0x0040b360 8   9    .text   ascii   U\fSWPQRV
519  0x0000b388 0x0040b388 4   5    .text   ascii   \b_^[
520  0x0000b3a0 0x0040b3a0 4   5    .text   ascii   E\bj 
521  0x0000b3b8 0x0040b3b8 4   5    .text   ascii   M\bQV
522  0x0000b3c3 0x0040b3c3 4   5    .text   ascii   \b_^[
523  0x0000b3c9 0x0040b3c9 4   6    .text   utf8    ]ËE\f blocks=Basic Latin,Latin-1 Supplement
524  0x0000b3ee 0x0040b3ee 5   6    .text   ascii   U\bRWV
525  0x0000b427 0x0040b427 4   5    .text   ascii   M\bQV
526  0x0000b472 0x0040b472 6   7    .text   ascii   SSSPQV
527  0x0000b48c 0x0040b48c 4   5    .text   ascii   E\bPV
528  0x0000b4c4 0x0040b4c4 4   5    .text   ascii   \b_^[
529  0x0000b6ab 0x0040b6ab 6   7    .text   ascii   u!j@j+
530  0x0000b7b0 0x0040b7b0 5   6    .text   ascii   jZjAf
531  0x0000b93b 0x0040b93b 4   7    .text   utf8    皻!@U blocks=CJK Unified Ideographs,Basic Latin
532  0x0000b974 0x0040b974 5   6    .text   ascii   Rj\bPV
533  0x0000ba56 0x0040ba56 4   9    .text   utf16le jjjj
534  0x0000ba6c 0x0040ba6c 5   6    .text   ascii   U\fQRP
535  0x0000baf1 0x0040baf1 4   5    .text   ascii   Dj\fj
536  0x0000bb52 0x0040bb52 4   5    .text   ascii   U\bQR
537  0x0000bb79 0x0040bb79 4   5    .text   ascii   SVW3
538  0x0000bbc5 0x0040bbc5 4   6    .text   utf8    Q3\tE
539  0x0000bc8a 0x0040bc8a 4   5    .text   ascii   \b_^3
540  0x0000bceb 0x0040bceb 5   6    .text   ascii   \fhYd8
541  0x0000bd26 0x0040bd26 6   9    .text   utf8    ]ÿ/(մR blocks=Basic Latin,Latin-1 Supplement,Armenian
542  0x0000bde7 0x0040bde7 4   5    .text   ascii   t&2Y
543  0x0000bea6 0x0040bea6 4   5    .text   ascii   j\vj\n
544  0x0000bef1 0x0040bef1 4   5    .text   ascii   U\bRV
545  0x0000bf06 0x0040bf06 4   5    .text   ascii   E\bPV
546  0x0000bf40 0x0040bf40 4   5    .text   ascii   M\bQV
547  0x0000bf4a 0x0040bf4a 4   5    .text   ascii   U\bRV
548  0x0000bf84 0x0040bf84 4   5    .text   ascii   E\bPV
549  0x0000bf8e 0x0040bf8e 4   5    .text   ascii   M\fQj
550  0x0000bf94 0x0040bf94 4   5    .text   ascii   U\bRV
551  0x0000bf9e 0x0040bf9e 4   5    .text   ascii   E\bPV
552  0x0000bfe0 0x0040bfe0 4   5    .text   ascii   M\bQV
553  0x0000bfea 0x0040bfea 4   5    .text   ascii   U\fRj
554  0x0000bff0 0x0040bff0 4   5    .text   ascii   E\bPV
555  0x0000c02b 0x0040c02b 4   5    .text   ascii   M\bQV
556  0x0000c03c 0x0040c03c 4   6    .text   utf8    eUɒU blocks=Basic Latin,IPA Extensions
557  0x0000c160 0x0040c160 4   5    .text   ascii   j\nWV
558  0x0000c173 0x0040c173 4   5    .text   ascii   E\bPV
559  0x0000c20b 0x0040c20b 4   5    .text   ascii   j\vWV
560  0x0000c221 0x0040c221 4   5    .text   ascii   U\bRV
561  0x0000c236 0x0040c236 4   5    .text   ascii   E\bPV
562  0x0000c270 0x0040c270 4   5    .text   ascii   M\bQV
563  0x0000c27a 0x0040c27a 4   5    .text   ascii   U\bRV
564  0x0000c2b4 0x0040c2b4 4   5    .text   ascii   E\bPV
565  0x0000c2ca 0x0040c2ca 4   5    .text   ascii   U\bRV
566  0x0000c347 0x0040c347 4   5    .text   ascii   t\WV
567  0x0000c355 0x0040c355 4   5    .text   ascii   j WV
568  0x0000c363 0x0040c363 4   5    .text   ascii   j\aWV
569  0x0000c371 0x0040c371 4   5    .text   ascii   u\nWV
570  0x0000c37f 0x0040c37f 4   5    .text   ascii   j\bWV
571  0x0000c4d7 0x0040c4d7 4   5    .text   ascii   Wj?V
572  0x0000c713 0x0040c713 4   5    .text   ascii   LjBV
573  0x0000c792 0x0040c792 4   5    .text   ascii   t\aHf
574  0x0000c8aa 0x0040c8aa 4   5    .text   ascii   tqRW
575  0x0000c8b5 0x0040c8b5 5   6    .text   ascii   \fSVWD
576  0x0000c8e5 0x0040c8e5 4   5    .text   ascii   [g\t0
577  0x0000c904 0x0040c904 6   7    .text   ascii   D/\v={Y
578  0x0000c90f 0x0040c90f 4   6    .text   utf8    Mc֜K blocks=Basic Latin,Hebrew
579  0x0000c91a 0x0040c91a 4   5    .text   ascii   4:S\r
580  0x0000c93a 0x0040c93a 4   6    .text   utf8    ڥ-:k blocks=Arabic,Basic Latin
581  0x0000c941 0x0040c941 4   5    .text   ascii   ${{i
582  0x0000c998 0x0040c998 6   7    .text   ascii   r=.Dua
583  0x0000c9ca 0x0040c9ca 5   6    .text   ascii   RIizI
584  0x0000c9e4 0x0040c9e4 5   6    .text   ascii   lV (h
585  0x0000ca27 0x0040ca27 5   6    .text   ascii   @\bVW3
586  0x0000ca8c 0x0040ca8c 4   6    .text   utf8    _^]Ã blocks=Basic Latin,Latin-1 Supplement
587  0x0000cab0 0x0040cab0 4   5    .text   ascii   u\bj\f
588  0x0000cad9 0x0040cad9 4   5    .text   ascii   u\bj\f
589  0x0000cb05 0x0040cb05 4   5    .text   ascii   u\bj\f
590  0x0000cba7 0x0040cba7 6   8    .text   utf8    ZvLƆ\r? blocks=Basic Latin,Latin Extended-B
591  0x0000cbb2 0x0040cbb2 4   6    .text   utf8    \aƆ\r? blocks=Basic Latin,Latin Extended-B
592  0x0000cbf6 0x0040cbf6 6   8    .text   utf8    _^[]×l blocks=Basic Latin,Latin-1 Supplement
593  0x0000cc10 0x0040cc10 5   6    .text   ascii   u\fWt\t
594  0x0000cd53 0x0040cd53 4   5    .text   ascii   ,_^[
595  0x0000cd65 0x0040cd65 4   5    .text   ascii   \b_^[
596  0x0000cd8c 0x0040cd8c 5   7    .text   utf8    \b^]ËU blocks=Basic Latin,Latin-1 Supplement
597  0x0000cdae 0x0040cdae 4   5    .text   ascii   PRVQ
598  0x0000cdd2 0x0040cdd2 4   5    .text   ascii   PRVQ
599  0x0000cdde 0x0040cdde 4   6    .text   utf8    ^]ïD blocks=Basic Latin,Latin-1 Supplement
600  0x0000ce68 0x0040ce68 4   5    .text   ascii   u\bWV
601  0x0000cf9a 0x0040cf9a 7   9    .text   utf8    \frjjDVǆ blocks=Basic Latin,Latin Extended-B
602  0x0000cfda 0x0040cfda 4   5    .text   ascii   hO\bu
603  0x0000d065 0x0040d065 4   6    .text   utf8    Rǆ,\n blocks=Basic Latin,Latin Extended-B
604  0x0000d086 0x0040d086 4   5    .text   ascii   M\bQV
605  0x0000d182 0x0040d182 4   5    .text   ascii   M\bQV
606  0x0000d1db 0x0040d1db 5   7    .text   utf8    ]Þ\fAU blocks=Basic Latin,Latin-1 Supplement
607  0x0000d222 0x0040d222 5   7    .text   utf8    RWǆD  blocks=Basic Latin,Latin Extended-B
608  0x0000d274 0x0040d274 6   7    .text   ascii   t?Vhts
609  0x0000d27c 0x0040d27c 4   6    .text   utf8    Wǀ8  blocks=Basic Latin,Latin Extended-B
610  0x0000d2b3 0x0040d2b3 4   5    .text   ascii    ^_]
611  0x0000d2c5 0x0040d2c5 4   6    .text   utf8    u\bVǆ blocks=Basic Latin,Latin Extended-B
612  0x0000d323 0x0040d323 6   8    .text   utf8    W3ɉE\b3 blocks=Basic Latin,Latin Extended-B
613  0x0000d3fc 0x0040d3fc 5   7    .text   utf8    t\nǃ4  blocks=Basic Latin,Latin Extended-B
614  0x0000d408 0x0040d408 4   5    .text   ascii   _^[]
615  0x0000d414 0x0040d414 5   6    .text   ascii   M\fSVW
616  0x0000d5a1 0x0040d5a1 5   6    .text   ascii   Qj(RV
617  0x0000d61f 0x0040d61f 5   6    .text   ascii   Pj\bQV
618  0x0000d672 0x0040d672 5   6    .text   ascii   _^H#E
619  0x0000d68b 0x0040d68b 4   5    .text   ascii   ]\fW3
620  0x0000d745 0x0040d745 4   5    .text   ascii   M\fQV
621  0x0000d76a 0x0040d76a 5   6    .text   ascii    \aqH2
622  0x0000d7cb 0x0040d7cb 4   5    .text   ascii   t\nPV
623  0x0000d7e9 0x0040d7e9 4   5    .text   ascii   u\nPV
624  0x0000d863 0x0040d863 5   6    .text   ascii   y\t_^3
625  0x0000d872 0x0040d872 4   5    .text   ascii   E\fVj
626  0x0000d8e7 0x0040d8e7 4   9    .text   utf16le jjjj
627  0x0000d906 0x0040d906 5   6    .text   ascii   u\a_^3
628  0x0000d935 0x0040d935 4   5    .text   ascii   \bPQW
629  0x0000d95b 0x0040d95b 4   5    .text   ascii   ]\bVW
630  0x0000d99c 0x0040d99c 4   5    .text   ascii   \aVPS
631  0x0000d9b7 0x0040d9b7 4   5    .text   ascii   \b_^3
632  0x0000d9d7 0x0040d9d7 5   7    .text   utf8    E\f3ɉM blocks=Basic Latin,Latin Extended-B
633  0x0000da3c 0x0040da3c 4   5    .text   ascii   h&M4
634  0x0000da69 0x0040da69 5   6    .text   ascii   F\r"XH
635  0x0000da96 0x0040da96 6   9    .text   utf8    }\bjqW萵 blocks=Basic Latin,CJK Unified Ideographs
636  0x0000db4c 0x0040db4c 6   7    .text   ascii   )v\fj)j
637  0x0000db96 0x0040db96 4   5    .text   ascii   um9]
638  0x0000db9b 0x0040db9b 4   5    .text   ascii   ttSj
639  0x0000dc36 0x0040dc36 4   5    .text   ascii   u\b_3
640  0x0000e0c8 0x0040e0c8 4   6    .text   utf8    @Pǅp blocks=Basic Latin,Latin Extended-B
641  0x0000e40e 0x0040e40e 4   6    .text   utf8    @Qǅ@ blocks=Basic Latin,Latin Extended-B
642  0x0000ecb9 0x0040ecb9 4   5    .text   ascii   SVW3
643  0x0000ed3c 0x0040ed3c 5   7    .text   utf8    ]\f3\tE
644  0x0000ed60 0x0040ed60 7   11   .text   utf8    E؉EډEމE blocks=Basic Latin,Arabic,Thaana
645  0x0000f09b 0x0040f09b 4   5    .text   ascii   tQj\b
646  0x0000f15d 0x0040f15d 4   8    .text   utf8    %r뇌\v blocks=Basic Latin,Hangul Syllables
647  0x0000f16f 0x0040f16f 4   5    .text   ascii   t\nPW
648  0x0000f19f 0x0040f19f 4   5    .text   ascii   xlCo
649  0x0000f1a6 0x0040f1a6 5   6    .text   ascii   okief
650  0x0000f2be 0x0040f2be 4   6    .text   utf8    Qǆt  blocks=Basic Latin,Latin Extended-B
651  0x0000f499 0x0040f499 4   5    .text   ascii   VWh\b
652  0x0000f4f7 0x0040f4f7 4   5    .text   ascii   u\b_3
653  0x0000f567 0x0040f567 4   5    .text   ascii   G QP
654  0x0000f626 0x0040f626 6   7    .text   ascii   h+Q0$j
655  0x0000f8db 0x0040f8db 4   6    .text   utf8    ]Ëu\f blocks=Basic Latin,Latin-1 Supplement
656  0x0000f95e 0x0040f95e 4   5    .text   ascii   F RP
657  0x0000f990 0x0040f990 4   5    .text   ascii   }\fSj
658  0x0000f9c1 0x0040f9c1 12  13   .text   ascii   QSSj\fSSSSWSV
659  0x0000fa7b 0x0040fa7b 5   6    .text   ascii   uw9~$
660  0x0000faec 0x0040faec 4   5    .text   ascii   \b_^[
661  0x0000fb17 0x0040fb17 4   7    .text   utf8    RPV聶 blocks=Basic Latin,CJK Unified Ideographs
662  0x0000fb9a 0x0040fb9a 4   5    .text   ascii   QRPV
663  0x0000fc51 0x0040fc51 4   5    .text   ascii   j@Sj
664  0x0000fc69 0x0040fc69 4   5    .text   ascii   QRPV
665  0x0000fc82 0x0040fc82 5   6    .text   ascii   U\b_^[
666  0x0000fc93 0x0040fc93 4   7    .text   utf8    RPV腣 blocks=Basic Latin,CJK Unified Ideographs
667  0x0000fccc 0x0040fccc 4   5    .text   ascii   \b_^[
668  0x0000fcee 0x0040fcee 4   5    .text   ascii   \b_^[
669  0x0000fd7d 0x0040fd7d 6   9    .text   utf8    FHSPR艥 blocks=Basic Latin,CJK Unified Ideographs
670  0x0000fdd4 0x0040fdd4 5   8    .text   utf8    FHPW賤 blocks=Basic Latin,CJK Unified Ideographs
671  0x0000fe6f 0x0040fe6f 4   6    .text   utf8    t҃~  blocks=Basic Latin,Cyrillic
672  0x0000fe75 0x0040fe75 4   6    .text   utf8    t̃~$ blocks=Basic Latin,Combining Diacritical Marks
